RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04
9,California,1,25261,25651,26002,27286,29255,30402,33066,34750,34950,35498,36634,39508,39112,36991,34434,34004,34934,34859,35450,35386,36466,37463,37580,38370,37467,36198,34796,33652,32260,30574,30007,29916,30881,32280,35021,36648,36907,35094,33074,31547,30828,31473,31831,31959,32314,33234,35874,38238,38617,37001,35404,34105,33968,33694,33090,34129,34895,37472,39132,40434,39918,38499,37508,36133,36516,36248,36711,36152,35300,35481,36240,37201,36624,35958,35124,35009,34960,34657,35462,35788,35294,35619,35713,37420,37743,38253,38137,38803,39653,39545,39697,38453,37346,37616,38210,40486,39974,39515,38658,38802,38495,39058,39373,39904,40901,41198,42840,42466,42859,40700,40685,40797,41247,41596,40951,41425,41040,40319,40928,41142,41901,40928,40528,39681,39557,39039,37309,36891,35842,35342,35274,36239,37096,36381
54,Texas,2,26346,25194,23590,23541,23282,22918,22076,21448,20397,20263,20073,21246,21586,21181,20057,20150,21027,21565,21616,21463,23450,23835,23332,21952,22208,23320,23479,23345,21181,19694,18045,18105,19041,19621,21187,20863,21330,20431,20342,19943,19431,19918,19628,19676,19696,20102,21006,21645,21886,21515,21247,21394,22075,22010,21331,21697,21759,22565,23567,24635,25229,25925,26158,26384,26086,26491,26840,26318,25732,25576,26073,26122,26233,26240,26550,27074,27179,25991,26619,26972,28144,28104,27991,28042,28154,27748,27732,28111,29056,29394,29249,28928,28548,28764,29318,31240,31379,30951,29780,29962,29797,30673,30445,30435,30982,31205,32846,32849,33554,32209,32112,31894,32076,31521,30671,31387,32716,33331,34906,35069,35249,34327,34184,34433,34075,33810,32886,32834,32395,31715,30844,29842,29527,
43,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9423,9721,10028,10961,11498,11125,10726,10255,10280,9723,9031,8517,8306,8713,8973,9260,9305,9398,9631,9553,9365,9053,8964,8964,8866,9431,9859,10335,10326,10550,10513,10594,10893,11395,11628,11433,11406,11374,11176,11002,10904,11283,11389,11757,11634,11725,11838,11759,12041,11696,12151,12266,12585,12125,12197,12693,13214,13551,13317,13663,13663,13697,14230,15021,15456,14919,14485,14318,14747,14795,14730,14892,14964,15677,16520,17434,17730,17471,17327,16785,16932,16326,16614,16309,16265,16542,16531,16368,15645,15033,14997,15056,15321,14907,15177,15155,15051,14878,14370,14975,
14,Florida,4,17919,17427,17204,17594,17994,17649,17893,17815,17772,17656,18264,19515,20242,20041,20072,20736,21885,22395,22990,23649,25144,25862,26111,25348,25533,25221,25225,24922,24430,23887,23280,23140,24005,24785,27114,28315,29269,28267,27312,26052,24852,24982,24861,24750,25036,25166,26565,26823,27315,27218,27275,26855,26635,26494,26569,27992,29557,31012,32574,33099,33383,33031,33191,33434,33537,33588,34057,34190,34215,34519,34999,35415,35196,35034,35166,35457,35763,35415,36318,37218,38232,39289,38641,39225,39306,40286,39709,40181,40513,40580,40486,39706,39942,39190,38710,39140,38828,38660,37791,38172,37779,38351,37691,37677,38324,38803,39989,39584,40563,39935,40871,40822,41159,41002,37580,37708,37274,39561,40769,40895,41928,41693,42446,42414,42216,42001,41041,41229,41642,41286,41184,39727,40604,
21,Illinois,5,14798,14361,13115,12717,12716,12398,12487,12120,11659,11075,10525,11123,11406,11637,11052,10934,11298,11447,11783,12135,13592,14393,14110,13747,13531,14e3,13721,13587,12673,11513,10219,9561,9919,10414,11359,11805,12132,11535,11085,10805,10642,10794,10554,10652,10832,11329,12342,13170,13373,12890,12334,12228,12075,12215,11663,11765,11481,11876,13180,14099,14367,13841,13218,13129,13684,14086,14525,14612,15166,15583,16020,16347,16012,15592,14986,15291,15088,14513,15112,15817,16206,16234,15529,16431,16333,16779,16276,16752,17538,18579,19139,19110,18619,18261,18097,19919,20277,20707,19809,20326,20370,20511,19846,19132,18848,19010,19987,20505,21199,20725,20876,20592,20425,20008,18970,18638,18479,18434,18721,18513,19021,19412,19871,20326,19968,18877,17339,16891,17257,17527,16717,16720,16798,18752
47,Pennsylvania,6,12787,12508,11477,11232,11027,10840,10782,10428,10046,9482,9003,9146,9202,9423,9079,9293,9712,10196,10526,10543,11321,11467,10771,9871,9815,10703,10948,11310,10706,9884,8732,8266,8553,8736,9186,9771,10043,9887,9334,9222,9117,9402,9136,9048,8863,8956,9592,10351,10557,10377,9959,9865,9982,9888,9448,9426,9756,10421,10982,11437,11449,11503,11273,11396,11533,11600,11906,11672,11491,11349,11422,11649,11551,11460,11200,11531,11657,11812,11812,11941,11928,12237,12253,13004,13196,13390,12816,12800,13466,13711,14024,13739,13683,13587,13596,14879,15012,15049,14294,14649,14577,14861,14564,14347,14468,14603,15562,16041,16512,15973,15638,15385,15250,15172,14829,15145,15462,15619,16345,16574,16766,16589,16275,16408,16174,16331,15969,15937,15851,15926,15752,15927,16369,
44,Ohio,7,13490,13034,11947,11820,11596,11220,11190,11136,10806,10647,10253,11075,10953,10981,10069,9972,10126,10409,10725,11015,11629,11923,11668,11549,11486,11902,12001,11988,10804,9679,8964,8971,9183,9445,10276,11047,11316,11004,10488,10022,9689,9707,9824,9870,9821,9943,10732,11832,12096,11703,10858,10446,10153,9943,9651,9970,10189,10816,11815,12951,13303,13002,12667,12766,12996,13017,12947,12767,12526,12469,12415,12659,12232,11868,11510,11893,12162,11777,11991,12168,12378,12774,12950,14099,14163,14409,13918,14067,14152,14187,14033,13713,13066,12844,13392,15033,15312,15104,14501,15018,14946,15120,15104,15102,15054,15187,15884,16528,16769,16480,16395,16384,16260,16303,16160,16642,16622,16674,17072,17312,17430,17183,16969,16745,16543,16680,16490,16731,16640,16997,17189,17946,18080,
30,Michigan,8,12918,13236,12443,12029,11525,11004,11165,11075,10137,10286,10470,12354,12881,13513,13103,12384,12118,11868,12156,11550,11117,12002,12585,14225,14271,15059,14410,13760,12223,11136,10482,10299,10201,10849,11780,13416,13975,14016,13121,12058,11417,11735,11893,11651,11543,11939,12943,14613,15302,15472,14383,13539,13105,12846,12835,13472,14623,15475,16146,16606,16686,16535,15682,15270,14978,14760,15171,15192,15562,15629,15503,15416,14611,14467,13767,13790,13930,13815,14215,14245,14637,15637,15417,15683,14946,15527,14961,15198,14942,15353,15121,15141,14878,15146,15174,16414,16482,16661,16123,16132,16047,16220,16609,15710,13812,13515,14770,16928,17413,16949,17135,17037,17301,17245,16826,16678,14735,14633,15011,16454,16493,16479,16927,16892,17145,17181,17203,16883,14977,14865,14463,16549,17033,
16,Georgia,9,13590,13215,12342,12156,12154,12039,12312,12483,12305,12009,10781,10318,9990,9907,9676,9599,10206,10789,10882,10923,11395,12005,11225,10820,10470,11129,10910,10697,10023,9573,9657,10523,11459,11565,11376,11310,11350,10988,10912,10968,11641,12861,14923,16728,17996,17790,18782,19928,20851,20829,20263,20927,21331,21771,21357,21706,22187,22173,22760,22870,22988,22190,21514,21601,21753,21984,21839,21655,21345,20727,20796,20691,21024,20201,20044,20012,20578,20603,20823,20902,20850,20674,20486,20641,20618,20967,18865,17649,15677,15824,17209,18218,17860,17755,17898,20634,21025,21671,21479,22505,21913,21456,20084,19846,19673,19638,18450,17450,16996,17321,17992,18012,18214,18023,17452,17678,17759,18283,17672,17692,17564,18570,18821,19452,19630,20148,19306,19286,18974,18810,17878,17690,18580,
36,North Carolina,10,10784,10370,9544,9441,9308,9034,8810,8453,7764,7384,7137,7697,7725,7617,7183,7320,7752,7969,8246,8409,8947,8950,8563,8245,8246,8729,8793,8894,8091,7504,6957,6962,7067,7408,7803,8111,8025,7850,7543,7375,7114,7297,7249,7200,7075,7154,7713,8353,8505,8277,7908,7787,7667,7563,7409,7675,7985,8645,9399,9909,9940,9913,9989,10110,10136,10170,10171,10117,9933,10046,10373,10610,10496,10165,10085,10264,10497,10398,10319,10476,10436,10982,11075,11573,11573,10878,10006,10073,11195,11965,12031,11629,11164,10968,11276,12654,13158,13453,13292,13825,13770,14137,14166,14269,14653,14866,15833,15919,16350,15750,15511,15407,15317,15702,15773,16411,16431,16183,16340,16385,16442,16272,16278,16413,16163,16407,15439,15602,15124,15325,15354,15737,16259,
