RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04
9,California,1,23415,28497,31286,32963,36605,35238,36312,38741,29142,35778,28911,28825,35696,37046,36889,41606,42093,36729,37280,38375,32761,37994,26507,27198,36462,36130,38212,39944,33306,32616,32289,30239,29111,34462,26484,26140,36302,34352,34461,38362,33706,36727,33795,31282,30775,34490,26983,29009,36690,35738,40413,39662,37122,39593,31932,37224,34226,37551,28979,29430,37166,39394,43122,39961,42719,42327,35481,37422,32008,33932,27210,26975,33252,39126,39775,39791,40981,38856,36390,38562,30174,35204,26586,27140,37256,41948,42452,47461,46981,42194,40915,39212,31203,39303,28087,29156,38981,41121,43138,47656,42212,45148,41583,40321,39366,40010,31062,29856,42423,40186,47080,51699,43780,48379,42063,41583,38199,37507,29742,30202,40940,41981,46329,46437,43730,44701,34232,38781,33396,30776,26394,28065,34293,37733
54,Texas,2,23722,25815,26478,27671,28158,25162,21355,21849,15411,19098,14818,16449,21606,21159,21771,25702,26934,23567,22452,22231,21748,21584,14436,16496,24026,25346,26269,27722,20887,21088,18869,17773,17387,18875,15626,14913,21758,20830,22944,24102,21648,24562,19992,18379,17620,19398,14675,17251,21627,21049,25971,25922,26119,25684,20351,23091,18526,20871,18158,19016,24298,29674,30455,29342,32368,31774,26541,25710,21286,23765,18934,19241,25929,28682,31070,32335,32678,26905,30010,28581,22130,27262,19666,20005,29697,28492,31135,36237,35436,32219,30971,28896,22109,28874,21270,24124,31515,30854,33573,37657,34166,36503,31944,28750,27458,29781,23424,24687,34234,31233,38157,39403,35820,36154,31504,32309,29134,30501,25765,26549,33392,36103,40901,40102,39398,39887,31879,33035,27449,27138,21193,22456,28246,
43,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9408,8549,8224,9861,9722,9787,11625,11769,12419,10197,9056,8147,8677,7988,6882,7661,7933,9385,10809,10670,11120,10185,10014,8621,9020,9128,7624,8407,8914,10753,10904,12573,14652,13062,12935,10795,11879,9828,7913,9069,9375,11594,12240,14207,14141,13049,14115,10735,12829,9928,9320,10554,10521,10984,14074,16230,15767,15797,14903,13220,14466,11508,11415,13552,12362,13528,16351,16465,18629,17183,15696,14907,15959,13864,13411,15055,14317,16992,19269,17863,21942,17987,18236,16131,16331,14690,12456,12661,12559,14687,16483,17525,19478,15743,17846,15038,14090,13232,10502,12788,
14,Florida,4,17450,19452,19622,20443,20827,17536,17791,18175,13717,18138,16183,16147,21408,21857,22637,25723,25718,23140,23223,24649,22022,26301,20583,19224,28279,27615,26840,29875,26063,23757,23201,22620,20918,26465,23865,22917,30898,29906,28757,29414,26017,27739,24226,22665,22591,25571,21697,22239,28485,29875,31226,29695,29228,29212,25031,29987,26984,30408,28021,27088,32915,37837,38339,36844,38279,36588,32149,34212,28909,34329,28884,28667,35446,39664,40446,39779,40784,37311,35862,38665,31979,40462,29823,32007,42857,44739,42716,48512,45962,40796,40262,38332,32762,39571,29950,32386,40672,41124,42261,45808,39936,41983,36360,35246,34736,39233,31397,32253,44421,41622,48165,48411,42850,45256,30512,38237,34584,38615,33873,33392,43940,46366,49135,47946,45839,45991,37275,41052,37303,37664,33054,32166,42443,
21,Illinois,5,11589,12888,13583,14934,16150,14726,13892,13388,9174,9880,8024,7387,10013,10876,11124,13732,14967,13597,13623,14703,13465,13474,9554,8584,12093,13517,14211,16615,13588,12300,10811,10104,9633,10309,9189,7425,10528,9933,11624,13865,11851,14197,11821,11043,10501,11148,9997,8719,10994,11292,13563,15160,13592,16425,11960,12630,10844,10981,11771,9118,11005,13424,14047,15243,18861,17974,15342,17344,14161,13840,13043,10319,12127,15352,16215,18270,18497,16850,18628,19068,12930,15482,11609,10520,14287,16060,16901,21953,23014,23721,21849,20719,15448,17083,14e3,13925,16969,19054,21628,25897,24041,25882,21356,19370,17525,18109,15694,12975,18804,18562,23316,25554,22653,25763,19802,19384,17771,16252,14113,11824,16578,19084,22278,25116,22604,22017,17735,18953,16517,15413,11287,11347,14676,20069
47,Pennsylvania,6,10039,11074,11908,13309,13720,12486,11457,11203,8664,9146,6497,5868,7942,8777,9399,12021,13014,12128,11571,11796,11633,11413,6409,5900,9582,10543,11374,14884,11557,9615,9333,8880,8300,9400,7011,6435,8715,8360,9739,11920,10541,11787,9574,9220,8671,9357,7656,6992,8507,9102,11175,11695,12325,12012,8823,11045,10288,10382,8722,7486,8881,11099,12673,13015,15013,14246,12363,12767,10598,11288,8790,7274,9370,10773,12197,14468,14546,14037,12653,13553,10907,12930,9193,8424,11518,12084,13234,16242,18246,15503,15209,15518,11928,14125,10505,10051,12383,13287,15563,18825,17098,18220,15515,14708,14542,15115,12091,10285,14101,13655,17350,19027,17352,18894,15542,16708,15614,15210,12919,10525,13460,15717,17845,19534,19681,20284,15929,17652,15570,15324,11539,10398,14206,
44,Ohio,7,10949,12150,12965,14073,13944,12682,12242,12407,9046,9867,7278,7641,9732,10260,10296,12569,12997,12181,12043,12658,11350,10933,7733,7386,10982,12036,13235,14537,10388,10257,10430,9394,8685,9489,7882,7302,10432,10107,11031,12133,11077,12018,11016,10144,9326,9600,8282,8365,10530,10428,11784,12466,11610,12002,9985,11502,10080,10108,9611,8939,11292,12559,14495,15363,16058,15781,13245,13908,11741,10989,8972,8342,10029,11477,13377,14735,14881,13096,13615,13995,10916,12533,9511,9524,12969,14021,14996,17777,17314,16374,15090,14592,11048,12091,10683,10555,13115,14329,16423,19328,17131,18420,16898,15448,14374,14579,11553,10876,15550,15306,18718,20612,18131,20434,17610,17907,16038,14960,12532,11218,15593,16802,18883,19883,19667,20954,16820,18517,16246,15123,12500,12346,15807,
30,Michigan,8,9848,11141,11948,12295,12740,12454,12629,13384,10525,9828,9801,8542,10900,11705,11994,12700,14253,13454,13458,13186,13677,12324,10649,9575,12141,12977,12891,14669,11717,11613,12188,11953,12904,10770,10648,9200,11901,11074,11594,12907,12203,14950,13221,12266,16689,10900,11046,11059,12349,11812,13901,14289,13838,15697,14003,17136,22553,12648,13622,11556,12542,13649,15356,16054,16680,17578,17173,18013,21598,13018,12269,10070,10703,12273,13506,15001,16323,15727,16100,17660,19568,14594,11788,9775,12410,13621,13441,18120,16763,17479,17012,18099,18964,13412,12709,11325,13257,13550,15914,18513,17232,19602,19514,15355,14887,13844,13820,11127,14715,13059,17716,20172,17746,20960,18392,18560,16265,13500,13895,10430,13271,14281,17403,18378,19290,20905,18132,19612,16347,13282,12702,11681,14165,
16,Georgia,9,12593,13578,13437,13462,14136,12934,12618,13071,9675,10705,8112,7649,10945,9995,10050,11990,12395,11951,10784,11143,10641,11523,7578,8665,11790,11649,11530,12468,9931,9904,11179,11349,10272,10498,9221,9150,11845,10521,12710,13453,13160,16757,18001,16952,16540,15865,16937,17764,20552,21346,23234,25295,23554,24544,20913,21963,20549,19053,20210,18889,21638,23049,24452,24527,24504,25038,21054,21257,18824,17518,18324,16805,20585,20585,23278,22939,23290,23173,20763,20942,18050,18470,17413,16734,20556,23112,16506,18834,17624,16871,20677,18608,12284,18588,16244,17754,21956,22568,24503,28115,21568,22749,20497,18491,17394,18613,12840,13344,19389,17256,21214,21775,18634,20392,17357,17231,16220,17288,13195,14749,18912,19842,21763,23346,21247,23350,17916,18837,17496,15902,13770,15402,20491,
36,North Carolina,10,9409,10195,11105,11139,10952,9881,8520,8215,5869,6798,5256,5960,7379,7533,8166,9533,9962,8698,8708,8933,8218,8042,5464,5967,8633,9707,9923,10937,8042,7660,7376,6831,6253,7755,5631,5729,8062,7888,8233,9252,7915,8647,7493,6564,6411,7130,5788,6572,8105,7958,9387,9475,8491,8791,7355,7994,7683,8627,7201,7323,9349,10704,12170,11886,12081,11975,9816,10080,8849,9370,7771,7675,9713,10603,12196,12539,12699,11546,10113,11234,8898,10854,8091,8279,11645,9936,10397,14498,15085,12764,12168,11587,8713,10677,8792,10029,12967,14100,15737,17823,15601,16589,14805,13530,13962,14252,11541,11488,16583,15406,17836,19910,16942,18695,16653,16268,14632,14670,11762,11944,15911,17089,19436,19965,18262,19773,13555,15965,14145,13067,11281,12278,15586,
