RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04
12447,Los Angeles,California,1,499300,487800,465700,457300,438200,423200,406e3,397700,384800,372700,354400,343600,336600,329100,325100,328800,333700,338600,340200,345800,345900,352300,356300,361900,358500,353900,354e3,352600,354200,349900,353300,352400,357400,362200,357500,356700,344900,348900,348700,349700,346400,342200,339900,334400,330800,331e3,330500,331400,330800,338300,340700,347300,353900,362700,374600,377100,383900,397800,403200,413100,411100,431700,446400,461800,468900,470400,472700,476100,474800,467500,450700,448900,452900,464200,468700,466400,466900,466800,467500,472500,470100,476300,478600,488300,492300,496e3,494600,496800,498800,506600,510800,509900,510300,518300,522600,526e3,521100,528900,533200,537e3,535200,536500,539500,539900,543100,544200,552300,552200,556500,555500,562600,567600,576300,575900,578700,585700,601800,614200,612300,621700,625500,639600,639200,650700,644400,655400,657400,683300,686100,691300,690200,689900,699500,706900
17426,Chicago,Illinois,2,324600,316300,294900,278700,274200,270600,271300,268800,261600,257700,249e3,247700,248900,246e3,239400,226900,226400,228600,23e4,229600,235200,234300,238100,226900,225500,222600,228e3,228500,220300,211500,199100,199800,202200,204200,202700,199800,197300,189900,184800,189900,199700,206200,204800,201600,192300,191700,185400,183900,180300,183300,188300,195700,202200,209700,214700,208800,208e3,198600,204500,198200,202700,204800,219200,231900,242500,248e3,250800,253800,252100,247500,244900,254500,258800,258600,255600,258100,257900,259300,262500,265200,266200,263e3,266400,265e3,268600,269300,268800,263200,255700,244200,238200,230300,222500,219300,218800,219700,217e3,218100,222100,223900,227200,231500,232400,233200,238300,249200,260700,256400,252400,239500,234300,225700,222300,225400,225400,228600,229600,235300,241300,244100,259e3,259300,260300,250500,258300,263800,266500,262400,266900,249600,258700,266900,298400,298500
6915,San Antonio,Texas,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164300,163900,165900,166100,167200,166800,169800,171800,173100,171900,171600,172700,173900,175200,174900,178500,177e3,178300,175600,176400,178e3,178700,179600,177800,178400,178800,180100,180300,180900,180800,180100,181200,180100,179600,179e3,181700,182500,182900,182500,185900,187200,189e3,188300,188800,188900,190300,191600,192400,192100,192400,193900,199100,201400,201e3,196700,195100,195900,196400
13271,Philadelphia,Pennsylvania,4,111300,111300,112700,11e4,108300,111100,113800,116200,114500,111500,107700,102100,102900,110500,113400,113700,109e3,115700,121300,124600,129200,127500,124200,114400,116200,119e3,122300,119500,115200,106300,104800,101e3,111e3,106300,108900,104300,108500,112e3,112200,111500,105300,106200,105400,106800,103100,104500,104e3,101200,100200,103700,110300,107900,107400,108900,109400,106800,106700,112300,115200,112500,107900,108100,109800,112800,115e3,115500,115500,115700,116200,118700,119e3,120500,126e3,125e3,124200,118300,117900,119800,118600,120600,118100,119300,118e3,112800,115500,116700,121100,121e3,121200,121600,122600,126400,126900,123500,127200,128200,129600,122200,123400,122700,125500,125800,129600,127500,130200,130700,133700,134900,137900,141800,143900,144800,144400,145700,144800,144900,147500,147800,150900,143100,142600,139300,146e3,144300,143700,142e3,145100,148100,152700,157600,159600,160700,159e3,161700
40326,Phoenix,Arizona,5,221700,212400,203600,195200,185400,176e3,167400,154600,14e4,122800,108200,93100,81800,74400,73400,81300,88e3,95100,95700,97500,104300,105100,105800,102800,102800,102600,101600,103300,101700,97900,95400,94e3,90500,85e3,84600,83900,83600,80400,79500,81600,83300,86100,88400,90500,95800,98200,93700,86200,81400,84800,93e3,97100,101400,104200,106600,111700,116e3,120700,123900,122400,123300,123800,128900,133700,137e3,137500,137900,138e3,136500,137e3,137e3,138900,138400,139800,138400,139e3,139e3,140800,143100,143200,143200,145e3,144400,147500,149800,155e3,158800,161200,161900,161700,161700,163800,167e3,169100,170300,170500,172600,174200,175600,175800,176200,179100,182100,184600,187100,187100,189200,189300,190700,19e4,190200,191e3,192800,194700,195900,198300,201100,203600,208200,213200,215200,218100,215200,215900,216800,218600,220100,219500,222600,223e3,226900,228700,231200,229700
18959,Las Vegas,Nevada,6,244600,239500,235400,229700,220300,209700,194900,184800,173900,166800,158600,150200,142e3,131200,124e3,120500,120100,118300,116e3,116900,118600,121300,122800,123300,123100,124300,126300,128700,125800,124500,119600,118200,116e3,115200,114900,113700,110800,109e3,108e3,108800,106900,103700,101700,102400,104100,105700,106300,106100,107400,109600,112900,116800,119e3,121700,123100,126100,130100,132900,136600,138900,142800,144700,147900,154600,159100,162600,160700,162300,162900,166e3,166500,168200,169500,171600,171800,163900,163500,167600,177e3,179200,177900,178500,178e3,181800,182400,185700,185400,185600,188600,188100,190500,188200,190900,191600,196200,199500,199500,197800,195900,198500,198e3,198500,196900,200300,204600,206300,208600,207300,213100,214500,218300,223500,226600,228100,227800,230100,232900,235600,240300,244300,246900,248400,252600,26e4,261900,261400,259e3,261600,263500,263100,266200,267100,27e4,264100
54296,San Diego,California,7,423e3,409300,398200,378900,369700,354700,347e3,333900,321e3,309100,295600,302300,296300,294400,289700,307e3,322500,331100,338400,346600,346200,349600,340500,346300,346800,351800,348400,343800,347700,347900,352100,353900,359700,359100,346900,340700,337700,344100,343300,336900,332700,327300,325e3,324800,325300,330300,328900,331300,335900,343200,350900,354400,364500,367e3,369700,372200,381700,391100,397400,402400,408400,415700,425900,430100,432200,428800,434e3,433600,435700,435600,438900,441300,441800,441700,444e3,444700,448300,453200,457900,465600,464300,463900,463200,474100,483200,482400,477e3,475100,478e3,478600,470900,468500,470800,486800,499300,503500,494700,495800,496300,501300,499e3,501800,504500,515200,518800,521e3,526200,539400,545600,537200,529400,534900,540200,544600,545700,551600,562800,570400,573900,574500,578800,583900,589200,591500,589900,589700,591900,590300,584200,580800,589300,600300,601800,601300
33839,San Jose,California,8,616200,583400,565500,545200,534100,522500,501500,477100,445600,427200,421100,415400,395300,37e4,359e3,367700,394600,403800,418500,420400,437e3,448900,458100,465e3,466300,454100,454400,448800,458500,456500,460700,457500,454100,450100,448500,437700,429200,417800,414700,423300,426e3,432500,431900,425600,424400,419600,430900,430800,432600,437400,441300,452600,467800,494800,510300,515700,518800,523700,539900,547400,556400,564e3,579200,592700,599500,601600,605300,608100,611100,614800,620100,625300,624800,630300,634e3,641600,637900,647400,652700,660600,664100,667700,675400,665800,676600,682100,700600,704800,714e3,721900,730700,732700,732800,737200,735e3,743900,749e3,759600,764700,762300,768e3,764500,765100,768400,776500,782e3,790700,800800,810500,810300,809100,814e3,827900,838300,855600,876600,907800,951900,972600,1015100,1035500,1061100,1056200,1041200,1019300,1005100,999900,1012100,994e3,988300,980200,977600,975200,955300
25290,Jacksonville,Florida,9,173400,166600,151200,146100,142700,141600,136e3,130400,130300,128800,129700,131800,131400,126500,112600,108900,108600,111900,110400,106400,109100,109900,110900,110400,110300,109200,101400,98800,97800,94200,87200,82100,88500,93400,95600,93e3,90400,89200,83700,84700,84e3,86900,82900,83100,83400,88900,84700,83800,78200,80900,78100,77400,75800,76500,77800,75500,77400,80200,87300,85800,83100,79800,79900,76900,74400,78900,82700,87e3,85900,86800,84900,81e3,79200,78300,75700,74900,78500,80300,81700,82800,85500,86700,81500,78e3,74400,76600,83400,90900,96e3,95900,98700,97500,94400,92500,94200,105200,104e3,109300,108700,115300,114e3,112300,110300,112e3,113400,114700,118400,132300,138800,139300,128700,125300,122700,124700,121500,119900,121e3,125700,133100,138600,147500,147800,143200,139100,141e3,142700,144400,140900,141700,139700,143400,152900,155400,159e3
24043,Charlotte,North Carolina,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181200,185600,185400,187200,187600,188300,187800,186800,189300,193900,196500,202700,210300,22e4,221700,223800,224700,221100,219300,215300,219700,219300,220800,224600,227e3,229700,226900
