RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04
3101,Los Angeles County,California,1,463500,449800,433200,421200,404700,388800,371900,360500,349700,337100,322200,311700,305200,300200,296300,3e5,307100,314300,321500,326600,330400,334100,338e3,339500,338e3,335100,339e3,336500,337700,332e3,337300,335e3,337e3,334800,331700,330400,326500,329e3,327400,323100,320100,315900,316500,31e4,310400,309300,310400,31e4,310100,314800,317400,320700,324700,330200,339500,346400,355500,363100,365900,367800,374200,388800,402800,412200,417900,422200,423600,427200,427200,426900,422100,423500,424800,429400,430900,430100,432300,432600,435e3,436500,438200,442100,446e3,452100,456800,458700,458700,460700,461500,465e3,466700,468400,467200,474e3,476600,480300,478200,484800,491800,494500,494300,494500,496e3,493800,496300,495900,502100,496800,499700,499200,506800,509900,513500,516900,523200,532700,544500,552400,558900,563900,568400,568800,573200,576200,577700,577600,580900,591900,598800,598100,597400,597200,603400,606200
139,Cook County,Illinois,2,,,,,,,,,,,,,,,,198200,198100,200800,203700,205500,210100,210300,210200,203800,202500,201200,199500,198500,192400,187300,178700,179200,183400,188700,187900,187100,182100,176700,167e3,163500,167200,172900,175100,173300,167700,168500,164600,163300,160700,161100,16e4,162700,164600,171e3,172800,169800,169200,164300,166700,163700,164700,164e3,171700,182600,196500,203e3,205500,207200,206400,206300,202600,207300,205900,205e3,202100,205200,208100,211200,215700,218800,219300,216200,217400,219100,223900,225300,223300,218700,214500,205600,201500,195e3,193100,189400,188300,187700,187100,189900,190400,192300,192900,197600,196600,197600,201100,207800,211200,211800,212500,211800,209200,204600,201500,201800,201900,204100,206900,211800,215700,22e4,23e4,232800,23e4,225900,227200,229600,228400,229200,235700,229300,232900,241e3,26e4,261600
2402,Maricopa County,Arizona,3,231800,221300,212900,208600,203100,197100,187500,178900,169600,159300,149600,138600,131e3,122500,118100,119800,124300,128900,130800,132100,136300,136400,137500,136500,136900,135500,132400,131800,130700,128800,126800,125400,125300,121700,121e3,120100,119800,116500,112600,113600,114800,115900,117100,118400,124200,125600,120500,112900,109600,114900,12e4,123900,125200,128700,128300,132900,136700,141400,143600,143400,146100,148100,150900,152700,156100,157e3,157700,157400,156800,158100,158200,159300,158900,159100,159400,158600,159700,160200,163500,163800,165200,166800,166700,169e3,170900,174400,176300,178e3,179200,180400,181800,183100,184700,187200,189e3,190300,191700,193700,196e3,197600,199e3,201500,202600,205e3,207400,207300,208900,209600,212e3,211100,211200,211500,214300,216100,217800,219300,223e3,224800,229300,232400,235800,235100,233200,234800,238900,242500,242600,243100,245800,248e3,252800,255300,257300,253200
2841,San Diego County,California,4,403200,394200,379900,368400,353300,341500,331400,320500,307800,297900,290200,288800,283800,282700,281e3,289600,298300,308400,314800,319900,324700,329100,326600,328500,329500,336e3,335300,332e3,331500,330500,336800,337200,338100,335800,327600,323300,319400,322300,321900,318500,317200,317800,315700,315200,313300,316500,316400,317200,318900,323300,328800,330700,335e3,339e3,347e3,352200,359600,367600,370800,372200,374100,385600,397300,404600,409200,41e4,414400,413600,415900,417700,418500,419100,421700,425900,429700,429700,432900,435e3,437300,438900,438200,436800,443300,448300,453e3,448500,449200,453300,457100,459500,457100,458500,462900,468400,473e3,472200,473400,476300,479900,480500,478200,482400,486100,494e3,493800,496800,498500,504500,508800,510500,512500,517300,519e3,521800,525400,529100,536700,541100,544400,545800,546300,554300,554800,557400,554800,557500,559900,559700,555100,552900,552900,556700,553900,558e3
1286,Orange County,California,5,514500,505600,489600,471e3,456800,443900,434400,422600,408200,399800,387200,387400,383600,381900,386e3,394800,409800,418800,427100,434e3,439100,442800,448500,449100,447300,439400,436600,434e3,438800,437900,442200,441400,442100,433600,43e4,426900,433100,429400,424600,416600,416900,416e3,417800,411200,409200,404400,407700,406200,406400,407600,413500,422500,432200,440400,446800,450400,457500,465900,469e3,478800,488100,506200,514e3,519300,521800,524800,527800,526400,529600,537500,545100,551e3,549200,547200,548900,548700,55e4,549100,554e3,564400,567700,568200,563e3,569600,573200,578300,574100,580200,586400,591900,592500,589800,595e3,599100,607900,606800,606200,605300,608600,612300,611900,619200,618800,617800,606e3,600900,597100,596700,600200,604e3,612200,614500,617400,614600,620500,637600,660500,675400,684800,696300,710800,708900,704800,697800,704e3,704800,710700,709100,706e3,696800,695900,695e3,698700,700700
2964,Miami-Dade County,Florida,6,290800,281400,268100,255400,247500,243400,234800,224200,212600,205100,191300,18e4,169900,161500,153300,148400,150800,154900,155900,156700,157600,159100,166200,168300,173500,169e3,168900,162900,154600,146e3,135700,138200,141400,143e3,130800,124300,122100,131e3,138500,146100,158100,158e3,154500,147600,148200,155200,160300,162700,162400,163500,164500,169400,168400,169500,168e3,168500,171200,178800,183300,188900,186900,189300,191900,197500,200200,204400,202600,199100,200300,200300,205200,195700,196800,197700,204100,204800,208500,208600,208800,208500,21e4,214700,212800,214e3,215700,217900,221e3,221600,223200,221700,223400,224500,226500,226300,228300,231600,231400,232500,228300,231100,233e3,240400,242200,247e3,250800,253400,254300,252500,253700,254600,252400,251600,247900,253800,258100,261700,260900,260600,265800,268800,274e3,270500,268100,265300,267e3,272300,271500,276500,278100,284900,284100,284e3,284700,
2832,Riverside County,California,7,317400,300200,282800,270700,258700,246800,235800,228200,218500,209200,200100,193100,184300,175200,169300,168400,169200,171e3,173300,177e3,181700,185500,190400,193200,193100,190200,190900,192800,193500,191700,191900,192900,191100,190300,190200,193100,191800,188500,185800,184900,184100,182600,183200,184700,185800,184500,185400,186500,188e3,191400,193e3,195400,196100,198900,203800,210400,216e3,221700,226300,230400,234300,237200,242200,247800,251500,254100,257500,261500,266700,268900,274300,278800,280300,278500,278800,280500,282100,281900,282300,283800,284800,286400,288100,294200,295300,297600,294300,295300,296700,297900,300700,302100,302600,303600,305600,308700,310900,311800,312300,313200,313700,317300,321700,322300,320800,318100,319500,323e3,325200,327800,327100,329500,332200,335200,336900,342700,347e3,350500,356600,366900,369200,367e3,364300,367500,366600,365300,369400,371800,374300,369300,371800,372600,374500,372300
3250,San Bernardino County,California,8,267700,254900,241200,232600,22e4,211200,201300,194900,187e3,177e3,168100,158800,151500,141600,136200,132900,132300,134200,137800,142100,145900,147800,149800,149500,148700,148100,147900,149800,15e4,152300,154e3,154100,153e3,150100,151200,151900,151700,148700,145200,143200,144100,146300,149700,150400,151e3,147900,147700,146e3,147e3,148500,150600,153400,155700,159700,163900,166700,172300,174300,178100,175900,178800,181900,189100,193700,196300,200600,209700,219100,219900,22e4,218900,223300,221700,224500,226600,230400,231100,231500,231700,234600,237800,240200,240200,241300,244900,247800,247300,246200,247800,254900,257700,256500,255700,257e3,260500,261600,263300,262800,264400,263400,266900,265700,275600,273600,275300,268e3,267e3,266600,268700,273100,276500,279400,279500,281500,286400,297e3,303500,305400,309e3,315600,321100,323400,322200,323900,322100,322300,324400,327500,325500,320600,320300,325e3,327800,329500
445,Clark County,Nevada,9,247300,242400,234700,228200,218300,208e3,195200,187500,177900,171e3,162400,155800,148400,138300,130400,125900,124400,121700,120200,121600,123900,124700,124800,124600,124800,126e3,128e3,130200,127700,126300,122800,122200,120600,119e3,118200,117600,115500,113700,111700,112e3,110400,107800,106200,107400,109800,110100,110200,109100,110100,112500,116e3,120300,121800,123800,125e3,129100,133e3,136700,139200,141700,144700,148600,152e3,157600,160900,163900,163200,164400,165900,168300,169600,171600,173600,174400,174200,168100,168600,171100,179100,181200,181500,182600,183400,189300,189600,191900,188500,188800,190200,191700,194100,193400,195100,195300,199800,203800,205200,203700,201400,202900,203900,204100,203700,206100,209e3,21e4,212100,213700,218700,219900,222700,227600,230900,231800,232e3,235300,238e3,240700,243700,248400,251e3,253700,257300,263300,263300,263700,262200,266800,268300,269300,271600,273100,275100,271100
207,King County,Washington,10,393900,388800,381900,376100,365700,362800,36e4,361200,356800,359900,367300,368300,356900,339400,331400,329700,328600,330100,334e3,340100,339200,348600,362e3,372300,367300,350100,341e3,335500,347100,351800,358200,353200,354100,356900,360500,362900,352600,341100,328400,32e4,311200,308400,311500,308100,304500,302e3,308e3,306e3,303400,309900,319500,331700,331900,336900,340200,348100,359e3,363200,361700,36e4,362500,363500,366e3,364500,372700,373800,380900,381700,383100,379400,381200,380700,380600,374700,372300,375600,382e3,383600,386800,388600,391500,389900,390800,395500,397300,404600,405600,409400,402600,406900,409e3,415400,417100,425300,433800,438300,437800,437900,439500,445700,441600,441800,440500,449900,460300,469100,478400,482e3,488600,496800,508200,516e3,521600,528700,533300,541800,545e3,554100,557500,564900,577200,593300,601200,594e3,576800,567100,568100,575900,577800,576500,575200,580400,588e3,593900
2049,Tarrant County,Texas,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170300,177300,178600,178300,174200,175400,176300,177100,178400,179100,181800,184100,186e3,185800,184400,185800,187500,189900,191400,192200,193300,195900,199100,199600,199100,198400,200600,202400,203500,203400,203900,204200,206700,208200,209700,210500,214400,218800,221800,217600,218800,218700,220800,217100,218100,219400,223900,
3136,Santa Clara County,California,12,666700,639500,621200,611e3,603700,589e3,565100,532200,496100,472e3,459300,448e3,424300,405700,400300,415e3,442400,466e3,478600,484400,494600,509700,515300,508700,503900,497900,504900,510600,521100,525500,528400,528200,529600,525100,517100,494800,482500,478100,488600,502400,505500,514200,512200,506300,499300,493800,495600,484700,483300,492800,514600,538900,562400,585e3,594700,602300,604100,612400,624200,627500,629500,632100,645e3,654e3,658e3,662100,666900,668900,670600,673e3,686800,693800,703700,707300,711800,715700,710400,719200,724800,736600,742600,750600,751600,756600,760500,769400,780800,793100,808100,823200,826400,828800,827800,839700,838900,840100,837400,847600,852600,854600,858900,855500,861400,867600,878400,876200,873800,878500,893400,899900,905e3,914900,923900,936400,958100,992400,102e4,1070100,1104400,1146300,1172100,1177400,1183200,1153700,1140700,1135400,1123400,1144200,1121600,1108400,1078400,1064800,1075700,1065700
1561,Broward County,Florida,13,232200,220300,211100,206400,204700,204400,193700,188100,176200,168400,157800,148500,139700,131800,122400,117500,115100,117100,117700,117700,122500,126200,123900,117400,114900,113200,115e3,114e3,114900,112400,110400,110100,112100,112e3,107100,102600,99400,99600,99100,102800,106200,107200,106800,106700,110700,112900,116900,115900,116500,116300,118400,120800,120900,121500,122900,127200,130100,135200,138600,141900,140100,140900,142600,146e3,149300,152300,155700,157600,158300,159300,160300,161600,162e3,160900,161500,163100,165900,165200,167300,168600,174300,177500,178400,179500,180300,184200,187900,189800,193100,193100,191800,189800,186900,188100,191300,197400,201600,202200,203e3,203700,203400,201900,205400,209300,212300,211900,211100,213500,216e3,220700,220700,222800,221100,226100,225300,228e3,229100,232100,235100,236e3,238700,241300,241700,241500,238e3,238700,236400,241200,247600,255e3,252900,252300,254400,258900
386,Bexar County,Texas,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168800,168800,169100,170300,170400,171800,172200,174900,174800,176200,176200,177600,178600,178600,178900,178300,179800,179300,180600,179700,179600,180700,182300,183600,182500,182800,183900,185500,184900,185100,184e3,183600,185300,184700,184500,183400,186400,187400,187600,186800,188e3,189200,190900,191900,191700,192200,194600,196100,196600,195400,196100,198600,202300,205400,203600,201e3,198200,199200,200600
2452,New York County,New York,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829500,824600,802500,812700,832700,847100,830500,789600,799500,817100,798200,733500,663500,641600,664800,688e3,703400,702500,711200,720100,706e3,738800,747700,783300,746900,726800,690300,703300,709100,700100,684300,706500,742300,756900,748100,737800,744800,737400,759200,751600,741200,745700,753700,777200,769400,760200,767100,770500,773900,758500,770100,774800,801700,792700,793800,786200,812400,854e3,942300,987e3,995200,952600,1026e3,1095700,1084300,983200,958500,957200,966800,944800,958300,971400,914e3,886e3,880700,950700,1010600,1051300,1064500,1055300,996300,983800,967200,972e3,977e3,1025200,1038600,1027500,101e4,1005900,973400,928200,946400,994800,1073e3,1063100,1020500,957900,987600,1032700,1031900
3175,Philadelphia County,Pennsylvania,16,111100,111200,112700,109900,108200,111e3,113900,116300,114600,111500,107700,102100,102900,110600,113500,113700,109e3,115700,121300,124600,129200,127600,124200,114400,116200,119100,122400,119500,115200,106300,104800,101e3,111e3,106300,109e3,104300,108500,112e3,112300,111500,105300,106300,105500,106900,103100,104500,104e3,101300,100200,103700,110300,107900,107300,108900,109400,106800,106700,112300,115200,112600,107900,108200,109800,112800,115e3,115400,115500,115700,116200,118700,119100,120500,126100,125e3,124200,118300,117900,119800,118600,120600,118e3,119200,117900,112700,115600,116800,121200,121e3,121300,121600,122600,126400,127e3,123500,127200,128200,129700,122200,123400,122800,125600,126e3,129600,127500,130200,130700,133800,134900,138e3,141800,143900,144800,144400,145700,144800,144900,147500,147800,150900,143100,142600,139300,146100,144400,143700,141900,145100,148100,152600,157700,159700,160800,159100,161800
1510,Alameda County,California,17,523e3,499600,469900,446100,438200,427500,413200,391200,37e4,352100,341500,331700,315500,304700,306800,320100,330200,335e3,352300,368700,38e4,379400,376700,374700,375e3,370400,381800,382600,389400,382900,384e3,382800,381700,374200,362200,353100,348600,345400,343100,337800,341400,340800,347500,346300,347700,344e3,342900,337500,33e4,330200,334700,351400,369300,387100,399200,405200,412100,418700,429400,426600,434200,439700,460400,474300,490700,499900,507900,513600,517200,518600,520300,518900,522900,526800,539200,546e3,552300,565700,566700,564800,561500,563900,570300,561700,576700,594100,613300,613700,611600,617500,623200,628100,626700,637100,642300,653900,647500,647400,650200,654600,654300,652100,657800,663e3,677500,680800,690600,692500,705900,710300,704100,702200,704600,713200,720500,734e3,746400,758900,774e3,782400,786300,787300,8e5,809100,810800,806900,808600,806500,806100,8e5,800700,803100,806600,798700
2801,Middlesex County,Massachusetts,18,363900,354e3,346700,347800,347e3,351e3,349500,345200,336700,332900,334200,345700,337100,335200,323400,332e3,336100,338500,342900,337200,336900,343800,354300,362200,354100,351e3,346e3,352900,359200,370700,375e3,367100,36e4,353600,356100,353e3,342400,335200,336200,349400,356200,360100,359800,354300,351100,342e3,344400,344600,345600,344700,345500,354200,359600,361900,357900,355800,355100,356200,355600,349800,354900,363100,371500,374500,373600,378600,379800,387200,383300,379900,383e3,387700,390700,386200,393400,398e3,404200,400600,402600,402600,407400,407200,412800,415200,418600,413400,412800,411400,415600,416700,416900,416700,419400,424900,424200,425400,421200,426400,426100,434e3,438800,443300,443100,433300,437500,440500,449200,45e4,455100,461300,464100,459800,457600,461e3,467500,469900,469600,475700,483100,489900,489500,492100,490600,496300,497700,500600,495900,493e3,493200,494200,500700,501500,507200,
