RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04
112345,Maryvale,Arizona,1,,,,,,,,,,,,,,,,,,,47900,50900,56700,56300,56200,52800,51300,51100,50800,53e3,51600,48100,45300,42700,42500,40500,42100,41600,41900,40500,39700,40600,40800,41800,43e3,44900,45800,45500,46100,47e3,49600,52400,59900,63500,65600,65100,67600,73200,74200,75300,82200,84500,83700,77e3,81e3,85300,87500,95800,98e3,102100,96e3,96900,95200,92300,93500,97e3,100300,101500,101100,103500,103600,103900,104600,112e3,110300,111600,109400,114400,116700,118100,120200,121100,120500,119700,118600,121800,124800,134500,135100,136400,131800,132900,135800,137200,140300,141600,144900,145e3,145700,147100,148500,150500,149400,151300,150300,151700,154300,159300,160600,160800,162500,165400,166900,167700,169600,172400,174500,174100,176200,175900,178800,179700,182e3,185300,184500,186600
192689,Paradise,Nevada,2,270700,287500,290900,258300,230700,213500,203900,191400,182300,168100,164e3,147800,137700,127e3,122400,113500,113900,113800,115700,113500,117300,119400,119200,116900,116200,116500,117300,116200,117300,114600,112500,105900,106100,104900,106600,106600,105300,107500,101500,102600,97500,100700,97800,100300,100300,100300,102500,100900,106e3,102800,106300,107300,115400,113100,115300,112800,123500,127700,132600,133500,134600,139e3,14e4,141300,142700,144800,148200,148300,151100,153e3,157800,158e3,159100,154900,156200,148300,154100,165300,173e3,172600,161900,165600,166600,170100,174200,176600,176700,169e3,168500,170700,179400,180800,184200,181300,179500,178400,178600,182300,182700,185500,185300,187100,185e3,190500,189100,192500,190900,193200,196800,196900,201800,204700,207700,207500,210200,213500,217900,220500,226100,228200,229100,231800,236300,243300,245100,247600,245400,244e3,247600,247800,253600,251500,253e3,246600
270958,Upper West Side,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,975200,981800,943200,1033100,1059300,1050400,931500,919700,929e3,961600,947e3,952300,895900,809300,778900,787500,834100,805800,790700,853300,869400,916300,832900,875200,882600,934e3,894700,886400,856500,875500,822300,837200,865100,929700,948500,911100,918800,915600,915300,913100,951700,978500,1000200,960800,972600,907200,924300,898100,910200,879400,927e3,959900,987e3,952800,997300,1080600,1089e3,1127400,1132e3,1376900,1372300,1371e3,1162300,1189500,1122200,1089500,1024e3,1026700,1036500,1135900,1117200,1125e3,988600,990300,1067500,1107700,1189300,1215500,1236500,1201e3,1120500,1104400,1092500,1144800,1221800,1260900,1190300,1108e3,1142200,1160300,1159100,1081600,1244e3,1261700,1218200,1036e3,1042900,1132200,1208900,1234e3,1228400
118208,South Los Angeles,California,4,,,,,,286200,269500,264300,246600,231100,219e3,212800,213100,197300,184100,175e3,180400,185100,184200,180300,185700,192200,198900,200300,196600,194800,199800,209400,203300,199900,202200,211300,207e3,198400,203100,215400,219e3,207500,199600,198300,204200,202100,200200,200300,195100,193700,191e3,195500,201300,201800,203600,202700,202800,208400,207500,212200,214100,218200,222900,218800,222100,225700,233200,237e3,241e3,242900,251800,256700,268200,273300,276400,279200,281500,285900,288e3,290500,284500,285100,288300,295200,299900,296900,298800,296600,301100,313e3,316500,314600,308500,307700,314e3,321800,326200,328800,329200,339800,343100,345900,344500,355400,363e3,372e3,367700,370600,365600,370500,372e3,381300,387100,389800,391300,409100,416600,428400,419200,424200,425100,438500,449800,454100,459500,457900,470800,476700,476700,473700,464800,471600,478600,481100,474e3,465500,466e3,472200
192820,Sunrise Manor,Nevada,5,,,,,,,,,,,,,,,,,,,71700,75300,76800,85900,88700,89300,82100,81400,80900,82200,80600,80500,77700,75600,75e3,73500,74100,71500,72200,69600,68600,68900,66600,66400,64800,67300,69900,67800,67300,65100,66900,65e3,68e3,72e3,76700,76800,78300,81e3,87e3,88800,92e3,93900,96700,93800,91300,93400,98500,103700,105300,106700,111800,113100,114700,110800,112800,112500,113300,107300,108800,110500,115700,121100,129100,133100,128900,122300,121800,126400,129200,130100,134700,132200,134200,131e3,135900,136300,154500,154100,153800,145e3,146600,149600,143500,144900,146600,148500,150300,149700,151900,157400,161300,162300,160700,162500,165800,167400,166400,167400,170300,175300,179800,183800,189400,188e3,191200,200900,206300,206500,202600,210200,209700,208100,204300,207800,209100,207700
192796,Spring Valley,Nevada,6,233100,229600,225400,224500,217400,214500,197400,193600,184400,182700,176700,172200,166100,152100,138900,131400,129e3,125500,120500,122900,125400,126700,127e3,128200,132800,133700,132700,135200,128900,126e3,117100,118800,118400,118300,116600,118200,116700,113600,114200,117700,117700,110900,105700,107200,109100,109500,109200,110200,118300,117700,121600,122700,128500,129500,126300,13e4,133700,138600,142300,144600,152500,153700,155e3,153200,155900,159e3,161900,164200,166600,165500,165900,170300,171400,175e3,175900,176400,173300,169700,169e3,179300,181100,189e3,183200,186300,187300,189700,190700,188600,188400,188100,188400,186e3,187400,189800,193600,205100,224400,225600,216300,199300,204200,204800,206100,206400,223800,224e3,223200,211200,214600,217900,220800,225200,228100,233200,237300,240400,240100,242900,249e3,253400,256100,255800,259100,261400,263100,261e3,257500,261800,262500,271600,266300,272800,273100,275900
268496,Southeast Los Angeles,California,7,,,,,,239e3,220100,211300,192200,188800,184500,170700,152400,141e3,143800,140600,133100,13e4,129900,134100,138100,143500,151700,149600,148e3,141100,141700,148500,148e3,154600,160500,172e3,171200,163300,154800,153300,158900,169e3,172500,172300,173100,172900,167200,165400,160200,160100,152300,151e3,150300,158700,164500,174500,169800,183200,177300,187500,183200,188500,184900,175200,181200,186500,197e3,198300,197300,213400,225e3,228600,215100,212400,22e4,228e3,227e3,226100,226900,232600,236900,242800,242400,242700,249600,247100,250100,243e3,252e3,257900,265500,274500,273700,271400,272800,276800,284700,284e3,285300,288500,291500,292e3,291e3,293700,300200,303800,307e3,309600,310700,312200,313400,324600,328600,326200,325100,323600,331400,332e3,336100,339300,343100,344600,345900,341e3,35e4,353400,358100,360200,360600,381300,380100,400100,386300,391e3,379700,383500,385400,382700
112547,Paradise Valley,Arizona,8,276500,262600,262600,263200,261e3,251800,249500,241600,261e3,252400,243400,206900,184400,169400,163100,167800,171700,173700,173e3,172900,176200,177900,179400,167100,159900,152800,158200,164200,167400,161e3,151800,15e4,148400,150700,151100,153700,144900,139600,130400,136e3,137400,142800,143200,142600,149e3,149900,146900,140600,140800,142e3,143700,145900,149500,154700,153200,157100,161200,168300,166900,171400,168800,172900,177200,192300,203300,202400,199100,197500,195600,194200,196700,186700,185200,182e3,185600,186700,184900,190700,194200,195100,196e3,196300,198100,209600,214200,219800,216300,217100,207800,209100,205600,217e3,221500,225100,228500,224700,236800,235e3,238300,229500,230600,234e3,24e4,241300,241e3,242500,242100,243500,241500,241500,241300,240700,244600,248700,250300,253200,255700,259300,259500,260600,260800,265e3,268700,270100,275300,277100,274200,274800,264700,269800,265300,278300,281500,284800
111818,Deer Valley,Arizona,9,215200,208100,201200,197600,194600,187300,181600,178700,175900,168300,162100,156e3,150900,137400,129900,125900,127100,127800,131400,130100,129e3,126700,129700,129400,129100,124800,124900,121500,119900,116200,118e3,119600,116700,108700,104600,105900,105700,102600,101400,102100,102200,102700,104600,107e3,107400,110100,104900,103600,100600,108600,113100,115600,115200,117900,119700,128100,128100,132900,132600,135900,136100,138300,141800,144e3,145800,146700,148900,149600,149200,150200,152200,156e3,157200,156800,153100,156800,163e3,165800,160600,154e3,152100,156e3,150500,154e3,155100,163700,167e3,169600,171600,170900,172600,175800,180400,185100,185500,185600,183700,193e3,196200,199100,193300,195e3,197900,200600,202100,201300,203600,206700,209400,208200,205100,205100,208500,212100,213900,214300,218700,219600,219900,218e3,221800,229100,229400,228600,224200,227e3,226400,227600,228e3,229300,233200,235900,241e3,241400
267955,North Mountain,Arizona,10,,,,,,,,,,,,,,,,,,,76900,80700,89500,87600,88400,80800,83300,83200,84400,85400,82400,82400,79100,81100,78300,73400,77600,71700,71800,61800,63800,67400,68200,69900,67800,66600,70600,74100,79900,76300,76600,76500,82700,85900,89800,93700,96700,100900,107900,110400,112100,113600,117500,121200,119200,121e3,122600,126800,127200,130100,131300,131600,127e3,137300,137700,142700,131200,129700,128500,130300,131800,132800,130100,132400,133400,136800,138900,141400,145700,147200,149900,149400,152500,152e3,154e3,155700,159300,160400,159200,157400,159100,163e3,165400,166900,167100,161600,164100,167200,176700,174800,174800,173300,176700,176500,176100,174400,176e3,175800,179300,177500,187900,192e3,197700,198700,199600,200500,200600,199700,202300,205300,207300,207500,215600,213200,219200,210700
