RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04
9,California,1,389e3,371e3,347200,331700,317100,304800,290600,277800,264200,255100,243700,237500,228300,221400,216500,220500,230500,238400,244300,248300,254900,261e3,263800,264900,263300,261200,263700,263500,266900,263e3,265400,262300,261100,258800,256600,256400,252900,251300,246400,244500,243500,244e3,244800,243700,244500,244100,247e3,248100,250500,255400,259900,265100,271400,277800,286700,291500,299400,306800,310100,312e3,315100,324900,335400,344700,352900,356900,357600,358800,360800,365700,366800,369700,369800,371800,374300,374300,376800,377500,380800,381700,382300,383e3,384700,389700,392600,396400,395900,398400,398800,401100,401200,401100,403600,409e3,413700,413e3,410900,411400,414400,415900,416200,417100,419400,420100,421100,420900,422800,423400,426900,428200,432200,435400,438300,439200,441100,448700,458700,465100,469600,475200,480800,483500,483200,482900,483400,482800,483100,485200,486900,486400,484100,489100,492900,497500
54,Texas,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184400,186400,186900,187200,185100,185e3,185600,187e3,188400,189600,190500,191400,192400,194e3,195200,196300,197200,198800,200200,201100,201300,203e3,203500,204100,203200,203900,204500,205600,206500,207400,208400,208700,209700,212300,213600,214300,214500,216600,218900,219800,221900,222100,221100,218300,215700,215700,215e3,
43,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240200,245e3,252300,261100,262300,258700,252700,251600,244600,237200,218700,205600,195900,195100,194e3,195600,194900,198300,206600,209400,210900,211700,215400,217800,219e3,218800,215300,212400,208800,216800,220600,229800,232200,235500,236300,234500,233800,231900,231900,228800,226400,232e3,233e3,233900,227700,225300,226e3,226400,228200,227100,226300,227300,228100,229200,228500,226600,228900,233e3,237e3,240500,239900,237100,233600,238300,242900,243700,244200,246800,249100,247700,245100,247500,25e4,250200,256100,261e3,272200,274800,276e3,275e3,270500,272500,273600,280200,283800,290200,294200,295900,298500,300600,301700,303e3,298800,297e3,293900,298200,300800,305600,306300,306900,
14,Florida,4,204500,196600,190400,186100,183400,179800,174900,168700,163700,156500,150300,143500,137900,132400,127300,124900,126e3,127200,129100,128800,131e3,131200,130200,128100,126600,126e3,124700,123200,120300,117100,114700,114900,116700,117100,114700,110400,107700,108800,112100,113800,115500,115800,116400,116e3,116600,118400,12e4,120800,121100,122300,123700,124900,125100,125500,126800,128100,130700,132900,135400,135400,135800,137300,139300,141100,142e3,144400,146700,147700,149900,149800,149800,147500,147100,147700,148700,149900,151500,152400,153600,155e3,157700,158600,158400,158200,16e4,162e3,165100,166e3,167200,166500,167900,169300,170500,172400,174500,176900,177400,177700,178500,180100,181400,183500,184500,185900,187e3,188e3,189500,191500,193500,195200,194900,196200,197100,198600,199300,200200,201900,204e3,208500,213e3,216900,217e3,215200,213600,212900,214e3,216300,219100,223500,225600,228e3,228900,229100,
21,Illinois,5,21e4,205600,191400,182800,179300,180600,181500,180900,178500,176e3,170500,168500,164300,160100,154200,149300,150500,154800,158900,161400,162600,165900,168500,170200,165800,161300,155700,155900,156e3,155500,151500,150300,151500,153300,153600,151e3,148e3,142100,137500,136800,139700,142500,142800,141200,138600,138500,136500,135100,134100,134900,136100,138e3,139e3,141800,140200,139700,140600,140600,141400,139400,139100,139100,142200,147300,154600,158700,161800,164200,165400,167e3,165500,166600,165100,164100,162400,163800,165100,167500,171800,174200,174500,172200,172300,174400,174600,175300,173600,172900,172700,169100,167100,163200,161100,158700,157e3,157100,158200,161e3,162900,164500,164300,166100,165200,166e3,167500,170500,172500,172700,174300,175200,175400,172900,170600,170100,169300,170600,172300,174600,177300,179700,185600,188200,187800,188400,189500,188500,185100,183400,187700,186700,188400,192800,201600,205500
47,Pennsylvania,6,147400,146200,144200,141100,140900,141600,142500,141e3,139500,137100,136300,136400,138600,138700,137100,135700,135900,138100,140700,141300,142700,143400,143300,143300,143600,144700,143800,140200,138100,135100,135100,135100,137300,138500,140600,141300,139700,136300,133200,132900,133300,133400,131900,131e3,131400,134600,137600,140100,139800,139800,139500,140500,140700,139700,138500,137800,140100,142300,143600,143300,142600,142500,142400,143e3,144600,144800,144500,143700,142900,143300,142600,143900,143500,142e3,140600,14e4,140900,142700,144400,145100,144400,144700,145500,146100,146500,146200,145500,145600,147e3,147800,148900,148400,148400,146800,147600,148800,148300,148700,148800,151200,150900,151100,150800,151600,153e3,153700,154100,154e3,154800,156200,157300,158200,158600,158e3,157200,157400,158800,160300,162e3,161700,163700,162100,162700,161100,160800,160600,160900,161200,162900,163300,165400,168200,169200,
44,Ohio,7,109400,106900,106300,105400,106e3,105400,103600,100800,94500,89500,85400,84100,84e3,85300,89e3,93200,97600,100300,103e3,105500,107100,106400,102800,101300,100800,100900,102400,103200,100500,96100,91500,91500,92e3,95800,95600,91800,85400,83200,85700,89100,93e3,93900,93e3,91500,90700,92600,91700,89700,88600,90300,95700,98100,102100,102400,102700,101800,101500,102800,103100,101300,100300,98300,101900,104500,109200,110500,109900,108e3,108800,108700,109700,107800,109500,110700,112800,114300,116200,117300,117900,118e3,117800,118700,116300,117e3,116500,117300,117600,117200,118700,118800,119200,119200,115600,114900,114800,119300,120800,122400,122700,122900,122700,122800,123200,124800,125800,126800,128400,128800,129400,128400,128200,127300,126800,127200,128600,130300,131400,133300,135800,138900,138900,136900,134100,132600,132100,132500,133400,135e3,136500,138900,141300,142900,143600,
30,Michigan,8,,,,,,,,,,,,,,,,,,,,,,,,69400,66400,66600,68e3,68600,67700,64100,62100,59600,67500,68400,70600,62800,61200,58600,57100,57900,60800,63600,64900,63600,63500,64600,65500,65100,62700,62700,63800,65800,67900,70200,71700,70700,64100,65200,68300,77800,80800,82800,84200,86e3,90900,95200,97700,96200,91e3,90100,91300,95e3,94700,94500,97300,101900,106600,109300,111200,109500,106700,102800,105500,109200,114300,115800,118200,119400,120200,119700,119600,116300,120600,120900,125400,124600,126900,127300,125900,125400,125600,126600,126700,128800,154200,157400,157500,134700,133300,134400,133500,134e3,133400,134600,135500,137300,162800,165100,166400,144400,145900,145500,144100,141200,141500,141400,142500,141300,167500,168100,170200,149500,152700,
16,Georgia,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107900,107700,104600,100500,95400,95600,95900,97300,96400,96600,96800,96900,97800,99600,102600,104600,105500,106800,110100,113300,115500,116100,118100,119600,122300,125200,129200,131100,130900,129800,128900,129e3,129200,128900,128100,129100,132400,136700,139500,140400,140600,140500,141800,143100,144800,145500,150100,151600,153400,151e3,152100,154800,156200,156400,155700,157300,159100,159500,158300,158200,157700,158700,157800,158300,158400,160700,160900,162600,162800,165900,166100,167200,166400,167500,168100,169800,171200,172800,174800,176400,179600,180600,181900,180900,181200,181300,179900,182700,183700,186900,185900,187400,189e3,189500,
36,North Carolina,10,155e3,153500,149e3,147400,147300,147100,146400,147300,145100,144700,143400,149900,151800,151e3,146600,145200,146800,147700,148900,149800,150300,149200,150500,152300,152700,149800,146600,146700,146900,146800,147100,147700,148900,149800,149700,15e4,147400,146300,144600,146100,145900,147700,146e3,146e3,143900,145800,145600,148e3,148700,15e4,148600,148500,148e3,148200,147700,147800,149800,151800,152500,152700,151700,152900,152200,152400,152900,153500,154e3,154100,154100,155300,154700,154900,153300,153e3,153800,153700,154500,153800,154800,154900,156e3,157e3,159500,163400,164800,165700,164600,165700,166e3,165700,165200,163900,163400,163500,165e3,165500,164800,165e3,165300,167e3,166700,168600,169100,171500,172200,172300,171600,171200,172900,173600,172900,173100,174500,175900,176200,177200,178900,180200,182200,186800,191800,194600,193900,191900,190400,190300,191600,192700,193700,193800,193400,195200,196600,
