RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04
61639,10025,New York,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,871200,903200,973600,930100,903300,846700,844600,864900,866600,847800,864600,897900,960400,1032200,1049400,1118e3,1045200,1007300,922900,936e3,915800,894400,908600,902700,996900,1000800,972400,943400,996900,1083500,1129e3,1036600,930200,890700,888100,1041900,1045700
84654,60657,Illinois,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396200,378300,382e3,390100,408200,384e3,380300,384200,390900,384e3,369800,372800,362200,352900,343e3,343300,313100,318200,302100,318100,314300,325700,325500,319500,330200,350100,342100,322900,313300,317400,333400,315500,320900,316900,316100,306500,300900,307e3,317500,338300,354300,358400,360800,365300,374e3,333e3,328500,320900,366700,390200,383900,391200,386200,416e3,436700,,,
91982,77494,Texas,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267800,273700,266700,263200,252700,251500,253200,264200,263600,262700,254900,249600,250200,257500,264300,266400,267200,274300,279300,277700,271100,272300,275200,280200,277e3,279300,278900,281600,278700,281700,285e3,292500,291300,288300,290700,291100,301500,300200,312700,310700,312500,301900,293600,301100,303800,312600,302900,303700,302200,303500,304200,308300,312e3,314300,316600,315100,323500,330400,335900,336900,328400,326400,314600,314e3,317100,320200,319700,319600,322700,322400,331800,333300,339600,343400,340700,337200,326e3,324900,316200,310400,310700,329e3,337900,346800,319200,
84616,60614,Illinois,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508e3,373100,383300,393300,402800,402400,376200,368600,363200,366300,354200,395600,407700,448700,420100,385800,395300,434800,503200,521800,503100,514700,512800,536500,533600,504200
91940,77449,Texas,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145800,147800,146700,148400,149200,152300,151700,152600,154700,156e3,152600,150600,155700,162100,163900,159500,159100,164200,171e3,172300,171600,168400,166400,165700,167600,167900,169100,164700,166400,164300,169100,170200,174e3,174600,176500,176700,175900,174e3,172e3,177100,178700,180500,176900,177800,177700,179100,183e3,186100,190500,191e3,189600,186900,184500,186300
93144,79936,Texas,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111400,113300,113400,118300,119200,123e3,119900,125600,121400,122800,117500,123900,119500,118500,114400,117900,119100,118100,117700,117200,117100,119900,124300,121700,122e3,118800,117800,120500,119700,116e3,104600,106700,112400,121200,119800,121200,118300,120200,119200,119300,117700,117200,119600,115e3,115800,114400,119300,119400,121100,121300,123900,121900,120200,117100,119600,123500,121e3,117e3,114400,120100,119200,118400,118600,123400,127200,127100,125300,124e3,125300,129400,129500,127600,127200,129300,129e3,126500,130900,132800,132800,128900,129300,128700,127500,127700,131500,132300,131100,129e3,129e3,127100,127400,128e3,132600,138400,138e3
61616,10002,New York,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450300,429700,409200,442400,455800,470200,451200,489500,519300,541700,527e3,544500,535100,573200,548700,549700,524700,562300,554500,556600,542500,548e3,566100,579500,619600,593800,618600,679100,697400,662800,576100,592600,58e4,640300,628500,653200,653700,686700,685100,679300,730700,788700,837700,822800,810100,771500,759600,748300,739700,752400,797500,809300,842800,764500,771700,709500,790200,766100,851300,842e3,849600,810100,818600,861700,863900,923200,957300,963500,865900,822300,795700,849700,779600,782500,729400,850700,837800,811200,702700,665500
61630,10016,New York,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681300,851e3,871e3,888300,755e3,757400,760700,745600,847200,866400,876e3,727100,688800,704900,716200,692900,645400,718700,787800,860500,838100,846800,814400,826e3,827900,816600,810200,785500,787900,791200,775300,762700,759100,793400,826200,888e3,874400,890400,784e3,762e3,756700,808400,896900
74101,37013,Tennessee,9,133100,134800,133300,133300,132300,132100,131200,131400,127900,124400,122e3,125800,131900,131600,128500,125700,128700,129200,127300,127300,124e3,125700,121100,123100,122800,121800,122100,121900,121700,118e3,117200,113e3,111400,110700,111e3,114200,109100,105400,102200,103400,106100,103200,102700,100400,101600,106200,110900,114100,107100,104100,103800,105100,104100,98900,106e3,112600,114700,107600,105900,109500,114600,12e4,121500,125e3,123700,120200,117800,119300,125200,130300,133100,134500,133300,131800,131400,130700,129e3,129500,130800,131800,132900,133500,136300,145100,149200,147400,141900,141900,147500,148400,148500,147e3,147800,148700,152900,153100,155100,154e3,158800,161900,163600,162800,165700,168700,172900,173600,173600,175800,175300,179700,178200,179200,180300,185600,191500,195200,195600,195800,193100,195900,199900,206100,213600,215600,221100,216100,218e3,216600,215100,215e3,210300,215700,217e3,221700
71831,32162,Florida,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183100,187e3,185500,187600,190100,193500,197700,204400,207100,210500,211900,213100,215300,219300,227500,227800,225900,227400,229900,232e3,233100,233500,231700,231e3,233500,237200,235300,235200,239700,243100,239900,233600,229400,231e3,229900,233700,235500,240600,237800,237e3,235600,234700,235900,234300,235800,237600,241500,242e3,235400,229800,237600,241700,244700,234200,234900,236200,239e3,237400,237500,235700,237e3,234600,237200,242500,249200,252e3,248900,254600,252300,253800,246300,249100,253400,251700,258800,258600,
96107,90250,California,11,478500,443200,394300,382400,425600,407400,399700,378e3,392500,398100,362500,337600,318200,317300,311800,317500,318300,322500,318300,316e3,316200,337400,328600,329800,326900,348200,376200,356300,351700,330100,332900,337800,326600,333300,321800,347400,333900,358900,331e3,318e3,297200,294100,313600,314900,331400,327700,307100,276100,278700,298900,318100,309300,322200,316800,332300,325900,366800,364e3,360500,347700,364e3,366900,365e3,383800,398200,419700,416500,406100,407400,403200,438400,435800,430700,425500,439900,453500,463e3,478100,489300,490200,461800,482200,454400,471e3,475e3,505400,514600,496900,493400,475200,478700,484900,508500,516600,506300,507e3,499400,517600,508900,53e4,533900,550400,544600,557400,567700,573800,585300,580400,580200,577900,594700,591900,623500,602e3,608800,572700,577400,569800,565500,586900,604400,631e3,641200,653600,672400,680100,681600,66e4,654400,654100,677e3,717500,728600,687800
74242,37211,Tennessee,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174900,175600,173e3,171e3,174600,176700,174e3,169500,174600,185100,189800,187e3,188e3,185400,189800,192300,195700,201e3,202e3,205600,204200,203700,204600,206e3,211100,215600,221200,225900,226200,225700,214300,219e3,221100,238800,236600,238500,233600,240600,242500,243200,242300,241300,244e3,246100,254200,262300,260100,256800,247900,251100,256e3,257300,260800,264e3,267600,259900,256100
92036,77573,Texas,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192700,191200,191500,192300,192e3,193300,188900,194900,195300,200200,197e3,199e3,200600,204200,206200,214100,216e3,215700,215e3,224300,231900,234e3,23e4,229e3,234700,236600,238700,232100,233700,233800,234800,234200,234700,236900,236600,240300,240100,238600,237100,239600,247500,248400,239900,235600,234300,240200,242800,246600,252700,255200,256800,256600,256200,257200,258400,258200,258200,258900,259700,258900,257300,257200,259900,258500,267e3,263100,262e3,257200,253400,266500,264100,271700
84620,60618,Illinois,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338700,345500,361e3,358600,345e3,345500,340500,350500,338100,348500,340700,346400,334e3,325400,322100,323e3,326100,317900,321600,324300,319100,296500,279500,275e3,297400,324500,335700,347200,341100,366800,369800,421e3,404700,389200,346200,350900,358800,330200,309600,305e3,335700,339200,345100,402900,429500,438300,367e3,356700,354400,366400,385800,389800,387700,389800,406400,446900,435300,438400
92271,78130,Texas,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198400,200800,196500,187900,187200,180400,182300,190600,200300,203100,200700,199e3,200700,199100,202900,198500,203e3,200800,206200,204900,21e4,211800,218100,220200,220700,218700,219e3,221400,224e3,211600,209100,205800,217800,228900,225900,227600,227e3,229600,222500,217200,225700,225600,227400,224800,239800,238e3,
92045,77584,Texas,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173300,182900,189100,192900,194100,192800,191e3,192400,192700,194100,191700,194200,194200,196500,193500,194600,194400,200100,210100,210400,209100,201100,205500,206500,215800,224e3,231200,229200,225300,220900,221800,221100,221600,227300,231900,236300,234900,234600,238300,238600,242e3,245400,251400,256300,263500,261700,262e3,256700,257400,256e3,251300,250100,250900,253300,253400,253800,257800,257800,250100,250900,252200,262100,253400,253e3,249600,254600,258100,261800,269800,279400,274800,266200,
69816,28269,North Carolina,17,152700,154500,150900,150200,142400,141900,146e3,149400,143300,141300,142400,152700,148200,151200,148900,154e3,150300,149800,150700,151600,151e3,144600,139100,137400,139e3,146400,148800,150400,149e3,139800,133700,127900,133700,136600,140300,143600,139600,139600,134200,137100,136700,134500,131400,135500,132600,134600,131800,132800,127200,129100,138900,142400,137e3,129e3,134300,135600,135200,133800,137100,145300,147800,146700,146700,143800,146700,149100,157500,155100,154900,149800,153200,156800,164500,163200,162e3,156700,160100,162700,165400,162300,160600,164100,165400,165200,160400,16e4,162700,166300,167500,164200,163400,165200,162800,166300,167800,169700,167e3,173200,175e3,179100,173100,176900,175100,177800,180600,179300,175500,170500,172900,175900,178500,179900,175800,174100,172500,178300,182700,185600,184400,188300,192100,195100,198200,199600,199800,193600,194e3,195100,196600,199700,202500,210400,204800,208500
66126,20002,District of Columbia,18,401200,402300,349400,333500,350500,364900,370500,364500,36e4,344400,318800,315800,307900,322900,295300,286500,297400,324700,328800,311e3,315800,313700,324600,318500,315100,296100,293400,302700,307300,319800,343700,355300,375500,352700,363400,354500,356100,342600,323e3,332400,341400,349400,335300,352e3,343800,368900,331600,352e3,334100,357600,346800,368900,387700,403500,418400,413500,412700,392e3,397e3,403800,411800,412800,421e3,429900,437400,440600,464900,475300,476e3,464300,456600,464600,470100,459500,432300,438200,469900,495100,499100,501300,512200,503900,503300,507200,514700,517700,499900,504700,501800,523500,520300,523400,526600,525100,534300,523300,528800,528400,539900,526300,521100,520700,536900,564800,561900,568100,530800,583900,592100,614e3,565e3,56e4,569500,582100,593800,582400,570100,584600,610400,646800,643700,625900,610600,590700,595700,596800,603500,602900,628400,619100,605700,626200,649600,
92551,78613,Texas,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252300,254500,256100,254400,254300,257100,253100,252e3,25e4,257500,264400,267400,268600,266900,269300,269300,272700,272e3,273900,272500,276e3,276800,278500,278400,285600,284400,285e3,276800,279100,276800,277e3,279e3,276100,276500,275800,279700,283700,292400,302500,305800,300300,303800,306700,,,,
