RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04
9,California,1,,,,,,,,,,,,0.4472,0.4315,0.4234,0.4005,0.3571,0.3399,0.3359,0.3157,0.3028,0.2881,0.288,0.3101,0.3129,0.2876,0.2666,0.2453,0.2383,0.2485,0.2494,0.2526,0.2632,0.2672,0.2774,0.3006,0.2963,0.2805,0.2585,0.2475,0.2449,0.2371,0.2364,0.231,0.2325,0.2201,0.2268,0.2373,0.2304,0.2082,0.1952,0.1862,0.1626,0.14,0.1225,0.1023,0.0961,0.0976,0.0889,0.106,0.1068,0.0822,0.0741,0.0589,0.0488,0.0401,0.0326,0.0291,0.0269,0.0304,0.0332,0.0376,0.0424,0.0359,0.0314,0.0298,0.0286,0.0275,0.026,0.027,0.0267,0.0278,0.0289,0.0369,0.0375,0.0314,0.0265,0.0232,0.0225,0.0221,0.0202,0.0208,0.0217,0.0202,0.0211,0.024,0.0259,0.0225,0.0195,0.018,0.0143,0.0143,0.0143,0.0141,0.0127,0.014,0.015,0.0178,0.0172,0.015,0.0138,0.0111,0.0097,0.009,0.0086,0.0087,0.0086,0.0086,0.0095,0.0113,0.011,0.0098,0.0078,0.0069,0.0073,0.0068,0.0061,0.0068,0.0075,0.0076,0.0079,0.0092,0.0082,0.0086,0.0072
54,Texas,2,0.0575,0.0584,0.0571,0.0527,0.0491,0.0529,0.06,0.0613,0.0641,0.0727,0.0864,0.0739,0.0719,0.0677,0.0611,0.0517,0.052,0.0508,0.0586,0.0573,0.0578,0.0685,0.0837,0.0817,0.073,0.0596,0.0573,0.0538,0.0618,0.0675,0.0721,0.0711,0.0643,0.0602,0.0808,0.0751,0.0656,0.0618,0.056,0.0522,0.0512,0.0485,0.053,0.0529,0.0496,0.0499,0.0628,0.0666,0.0583,0.0566,0.056,0.052,0.0538,0.0496,0.0497,0.051,0.0552,0.0485,0.0614,0.051,0.042,0.0342,0.0305,0.0275,0.025,0.0241,0.0242,0.0278,0.0273,0.0293,0.0358,0.0326,0.0273,0.0246,0.0194,0.0208,0.0168,0.0178,0.0193,0.0186,0.0225,0.0224,0.0267,0.0243,0.0218,0.0221,0.0187,0.0167,0.0147,0.0169,0.0161,0.0172,0.0163,0.0157,0.0181,0.0181,0.0155,0.0131,0.0125,0.0116,0.0111,0.0096,0.0108,0.0088,0.0107,0.0088,0.0132,0.0105,0.0098,0.0106,0.0086,0.0078,0.0075,0.0071,0.0077,0.0079,0.0075,0.0076,0.009,0.0073,0.0069,0.0071,0.0063,0.0065,0.007,0.0073,0.007,0.0094,0.0094,0.0089,0.0131,0.0122,0.0101,
43,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0123,0.0123,0.0117,0.015,0.0104,0.0078,0.0064,0.0048,0.0044,0.0045,0.0049,0.0029,0.0046,0.0036,0.0036,0.0043,0.004,0.0037,0.0034,0.0029,0.0024,0.0028,0.0037,0.0028,0.0024,0.0026,0.0021,0.002,0.0018,0.0018,0.0022,0.0012,0.001,8e-4,6e-4,0.0027,0.0014,0.0012,0.0013,0.0021,0.0017,0.0019,0.0017,0.0017,0.0021,0.0025,0.0048,0.0035,0.0032,0.0039,0.0049,0.0041,0.0046,0.0057,0.0052,0.003,0.0029,0.0028,0.0028,0.0033,0.0033,0.0036,0.0041,0.0042,0.0047,0.0053,0.0046,0.0036,0.0035,0.003,0.0048,0.0036,0.0029,0.0037,0.0046,0.0052,0.0031,0.0048,0.0043,0.0041,0.0031,0.0027,0.0035,0.0033,0.0037,0.0029,0.0028,0.003,0.004,0.0035,0.0032,0.003,0.0025,0.0022,0.0025,0.0024,0.0021,0.0023,0.0025,0.0036,
14,Florida,4,,,,,,,,,,,,,,0.0813,0.0782,0.0756,0.0747,0.0753,0.0773,0.0788,0.0748,0.0724,0.089,0.081,0.0741,0.0729,0.0698,0.078,0.0906,0.103,0.1114,0.1086,0.104,0.1134,0.1207,0.1053,0.0988,0.0818,0.0705,0.0662,0.0622,0.065,0.0658,0.0637,0.0629,0.0583,0.0675,0.0581,0.054,0.0547,0.0512,0.0556,0.0575,0.055,0.0548,0.0482,0.0504,0.0436,0.0495,0.0481,0.0437,0.0411,0.039,0.0425,0.0402,0.0424,0.0442,0.0483,0.0433,0.0475,0.0564,0.0512,0.0498,0.0451,0.0423,0.0442,0.0405,0.0466,0.048,0.0495,0.0443,0.0471,0.0571,0.0525,0.0451,0.0411,0.0362,0.0366,0.0387,0.0399,0.037,0.0359,0.0337,0.0308,0.033,0.0307,0.0264,0.0221,0.0199,0.0169,0.0154,0.0126,0.0118,0.0113,0.0104,0.0079,0.0075,0.0068,0.0043,0.0041,0.0029,0.0026,0.0029,0.0034,0.003,0.0029,0.0029,0.0028,0.0022,0.0031,0.0029,0.0032,0.0028,0.0027,0.0027,0.0028,0.0028,0.0029,0.003,0.0029,0.0038,0.0028,0.0031,
21,Illinois,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1245,0.1324,0.1434,0.1276,0.1257,0.1093,0.0755,0.0639,0.0563,0.0468,0.0559,0.0552,0.0563,0.0638,0.0735,0.074,0.0766,0.0564,0.0499,0.0442,0.0377,0.04,0.0478,0.0462,0.0495,0.0549,0.0555,0.0585,0.0516,0.0479,0.0366,0.0323,0.0282,0.0268,0.0322,0.032,0.0341,0.0369,0.0386,0.046,0.0422,0.035,0.0274,0.0221,0.0233,0.023,0.0271,0.0274,0.0317,0.0282,0.0363,0.0411,0.0349,0.0302,0.0238,0.0226,0.0239,0.0242,0.0284,0.0284,0.0297,0.0358,0.044,0.0479,0.0382,0.0315
47,Pennsylvania,6,0.0392,0.0407,0.0359,0.0331,0.0292,0.0276,0.0337,0.0387,0.0454,0.05,0.0569,0.0596,0.0573,0.0532,0.0477,0.0378,0.0355,0.0343,0.0406,0.0396,0.0327,0.0432,0.0624,0.0603,0.0509,0.0474,0.0407,0.0317,0.0485,0.0536,0.0549,0.0561,0.053900000000000003,0.0532,0.0697,0.0867,0.0772,0.0665,0.054,0.0516,0.0444,0.0463,0.0489,0.0522,0.0498,0.0534,0.0562,0.0652,0.0648,0.0558,0.044,0.0385,0.0422,0.0435,0.0445,0.0463,0.0443,0.0413,0.0558,0.0602,0.0557,0.0527,0.0451,0.0397,0.0414,0.0406,0.0442,0.0453,0.0471,0.0512,0.0635,0.0681,0.0633,0.0541,0.0444,0.0403,0.0348,0.035,0.0413,0.0437,0.0467,0.0479,0.0563,0.067,0.059,0.0567,0.051,0.0409,0.0441,0.0453,0.045,0.0492,0.0485,0.0508,0.0602,0.0622,0.0634,0.0507,0.0444,0.0349,0.034,0.0353,0.0382,0.0354,0.0401,0.037,0.0446,0.0501,0.0489,0.0412,0.0354,0.03,0.0288,0.033,0.0329,0.0374,0.0329,0.0341,0.0376,0.0432,0.0374,0.0336,0.0275,0.0228,0.0217,0.0236,0.0243,0.0274,0.0264,0.0274,0.0371,0.0355,0.0362,
44,Ohio,7,0.0827,0.0858,0.0717,0.0658,0.0645,0.0695,0.0769,0.0783,0.0954,0.1072,0.1195,0.1203,0.1099,0.1021,0.0901,0.0761,0.0742,0.075,0.0756,0.0761,0.086,0.1005,0.1161,0.1267,0.1111,0.0954,0.0844,0.0742,0.1043,0.1021,0.1053,0.097,0.1026,0.1121,0.1234,0.1285,0.1083,0.0971,0.0806,0.0721,0.0761,0.0743,0.0752,0.0851,0.086,0.0832,0.095,0.0967,0.0933,0.0843,0.0781,0.0728,0.079,0.0783,0.0852,0.0928,0.098,0.1029,0.1253,0.1399,0.1331,0.1192,0.1059,0.1013,0.0983,0.0931,0.0885,0.0925,0.0924,0.0956,0.1038,0.1074,0.0895,0.0803,0.0662,0.0584,0.0548,0.0537,0.0633,0.0656,0.0729,0.0717,0.0996,0.0995,0.0915,0.0817,0.0658,0.0545,0.0581,0.0556,0.0574,0.0614,0.068,0.0655,0.073,0.0719,0.0607,0.0482,0.0434,0.0404,0.037,0.0413,0.0393,0.0419,0.045,0.0486,0.0578,0.0621,0.0503,0.0431,0.041,0.0376,0.0406,0.0369,0.0445,0.0398,0.0465,0.0483,0.0564,0.0526,0.0468,0.037,0.0317,0.028,0.0311,0.0262,0.0258,0.0255,0.029,0.0321,0.0402,0.0432,0.0353,
30,Michigan,8,0.1332,0.1352,0.1313,0.1295,0.1258,0.132,0.131,0.1411,0.1414,0.1559,0.1749,0.1631,0.1544,0.1594,0.1585,0.1385,0.125,0.1265,0.1271,0.1194,0.1037,0.1183,0.1372,0.1432,0.1411,0.1222,0.1029,0.0969,0.1051,0.112,0.1234,0.1257,0.0911,0.1034,0.1304,0.128,0.1147,0.1044,0.1057,0.0913,0.0834,0.0852,0.0852,0.0805,0.0595,0.0886,0.0881,0.089,0.0887,0.0794,0.0813,0.0721,0.0704,0.0685,0.0641,0.0598,0.0388,0.0637,0.0749,0.0794,0.0758,0.0772,0.071,0.0618,0.0556,0.0564,0.0465,0.0455,0.0303,0.0473,0.0525,0.0516,0.0475,0.0501,0.0378,0.0349,0.0289,0.0291,0.0257,0.0253,0.0181,0.0299,0.035,0.0427,0.0389,0.0366,0.0316,0.0256,0.0245,0.024,0.0257,0.0272,0.0235,0.0313,0.0393,0.0457,0.0385,0.0339,0.0268,0.0282,0.0237,0.0217,0.0219,0.0249,0.0255,0.0242,0.0308,0.0271,0.0265,0.0223,0.0206,0.0169,0.0159,0.0165,0.0168,0.0176,0.0199,0.0196,0.0217,0.0297,0.0258,0.0242,0.02,0.0158,0.0161,0.0146,0.0133,0.0133,0.0137,0.0161,0.0191,0.0226,0.0196,
16,Georgia,9,0.1051,0.1212,0.1136,0.1176,0.1257,0.1126,0.1331,0.1527,0.1524,0.1715,0.2321,0.2058,0.2186,0.2174,0.2335,0.2177,0.198,0.2035,0.1964,0.195,0.2005,0.2095,0.2524,0.2385,0.2198,0.1949,0.17,0.1766,0.1821,0.2032,0.2015,0.1577,0.1394,0.1476,0.1533,0.1572,0.15310000000000001,0.1418,0.1485,0.1427,0.1509,0.1176,0.0987,0.1041,0.1034,0.1005,0.1362,0.1309,0.1279,0.1201,0.1183,0.1207,0.1153,0.1135,0.1046,0.107,0.0998,0.0932,0.1077,0.11,0.1007,0.0865,0.0747,0.0672,0.0591,0.0572,0.0566,0.059,0.0656,0.0619,0.0691,0.071,0.0604,0.0571,0.0489,0.044,0.0418,0.0432,0.0462,0.0459,0.0517,0.0481,0.0549,0.058,0.0519,0.0475,0.0548,0.0476,0.0478,0.0438,0.0377,0.0397,0.0506,0.0387,0.0475,0.0438,0.0373,0.0316,0.0259,0.025,0.026,0.0291,0.0272,0.0309,0.0283,0.0304,0.04,0.0357,0.0321,0.0274,0.0245,0.0229,0.0215,0.0253,0.0226,0.025,0.0243,0.0201,0.0232,0.0216,0.0192,0.0162,0.015,0.0146,0.0131,0.0137,0.0159,0.0161,0.0181,0.0165,0.0207,0.0211,0.0153,
36,North Carolina,10,0.0662,0.0662,0.0614,0.0584,0.0627,0.0717,0.0838,0.0913,0.0973,0.1069,0.1275,0.1183,0.1159,0.1112,0.0959,0.0793,0.0751,0.082,0.0941,0.0921,0.0933,0.0999,0.1202,0.1289,0.1347,0.1172,0.1068,0.1083,0.1261,0.1299,0.1419,0.1361,0.1287,0.1469,0.1561,0.1735,0.1583,0.1389,0.1275,0.1111,0.0988,0.0973,0.102,0.1028,0.0964,0.1021,0.1228,0.14,0.1202,0.1135,0.1104,0.1036,0.1053,0.1114,0.101,0.1011,0.0919,0.0873,0.1023,0.1105,0.086,0.0785,0.0665,0.0652,0.0651,0.0636,0.0634,0.071,0.0783,0.0834,0.0927,0.0919,0.0769,0.0709,0.0601,0.0548,0.0545,0.0492,0.0564,0.0556,0.056,0.0566,0.0696,0.0678,0.0617,0.045,0.0364,0.0346,0.031,0.0338,0.0347,0.0336,0.0414,0.0326,0.0359,0.0385,0.0328,0.0283,0.0264,0.0233,0.0213,0.0252,0.0259,0.0262,0.0256,0.0265,0.0292,0.0285,0.0225,0.0174,0.0161,0.0143,0.0152,0.0174,0.0153,0.0167,0.0182,0.0172,0.0213,0.0243,0.0184,0.0176,0.0163,0.0142,0.0136,0.0128,0.0141,0.0153,0.0157,0.0132,0.0151,0.0131,0.0125,
