"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"California",1,314.895681707909,314.960367454068,317.711697396119,319.444444444444,321.002751452155,321.744084022723,319.453809844909,317.45,308.800823468863,305.19819873334,300.564971751412,293.123888559573,290.076335877863,297.366185216653,294.602389781623,293.125263601856,295.6,294.321329639889,290.866879263143,287.242920540997,284.835615204468,280.522613065327,275.973566419426,271.375464684015,269.708423326134,274.051422381245,274.447949526814,280.952380952381,284.538588481019,288.615384615385,290.882352941176,291.246684350133,293.304812705699,290.386512187855,290.79939668175,283.238904627007,284.708146574742,295.792181069959,303.461124466258,313.893653516295,321.819085487078,320.33426183844,323.382126348228,317.911714770798,317.371937639198,314.455032020183,309.234477408643,305.840205305455,302.486531288852,306.417473105038,315.093108384494,320.192307692308,324.758840171831,323.062797549178,319.14982195688,314.023399233408,314.033577270771,313.976116762494,312.761557135028,302.389699721685,302.014652014652,307.571899194494,312.910859847489,313.271657902491,318.693018648539,321.753750817238,316.635160680529,319.478375427168,320.087592460229,320.569855738729,321.246142243344,318.926025950819,316.34446397188,328.56843240652,334.619645839117,340.82466003715,341.904519219825,344.896331738437,342.605470560964,341.959334565619,343.24942791762,344.331812833125,345.511163401157,338.161888701518,343.316323179336,350.8294805548,358.766453599154,365.06599269868,363.591571050309,362.091376482463,362.318357487923,362.244009661616,366.266543551862,367.044463818657,365.718507572959,358.986202072003,358.009708737864,368.603265752568,373.960642696153,379.750286229246,379.075056861259,381.063554519888,380.299876352524,378.171833378473,383.698577470204,386.990049751244,387.679494543366,380.76275320767,377.83129830275,387.77605230895,397.403685092127,400.150112593834
"Texas",2,115.432418436044,115.221069905041,115.026666666667,114.860206817311,114.384961176951,113.679544015199,113.739270614539,112.843660237998,110.422670509126,110.010482180294,109.721281620109,108.923705722071,107.870390653523,108.126410835214,108.412027419007,109.548724656638,109.836274994346,109.108794481028,109.06733351338,108.828531024978,109.337827312124,109.488212885331,109.651306515468,109.708721886999,109.842842723277,109.524469707473,110.137006833672,111.003056404557,111.02573953131,111.007895959127,110.652141839968,110.577116428715,111.363855321258,111.230762021852,111.327790973872,111.692422267734,111.623616236162,112.145969498911,113.012714739571,114.024331962797,114.592754552187,115.152574267991,116.071428571429,116.440933032355,117.603367170092,118.177330320751,118.697895990472,118.482755076922,118.834498834499,119.760239520958,119.980002985723,122.082018927445,122.011111825625,121.800801726796,122.684026039059,123.406488549618,124.386759581882,125.220458553792,125.581483915407,127.193515704154,127.688172043011,128.17959159773,128.71964214953,129.457531878107,129.333029820168,129.737609329446,129.782359679267,129.867532467532,130.548731102409,131.379956954015,131.381096790498,132.138100245356,132.364139020537,135.279325155269,135.672664952871,136.225364181662,136.84010234783,136.396142973186,136.564948453608,137.482175595844,137.675010606703,137.982216701858,138.126488418258,138.418731439566,138.700481699428,139.296187683284,140.099082610268,140.6654177982,140.857899713199,140.725047291971,140.439877811719,139.949890230516,140.549563665509,140.407688163768,140.29707940278,140.33850493653,140.909465220967,141.971830985915,143.566560654248,145.161290322581,145.518431870667,145.363008369443,145.772594752187,145.845616757176,146.539027982327,146.713142279604,146.926532293434,147.074582083155,147.205384731559,147.836378737542,148.499693815064,149.769585253456
"New York",3,257.414641203704,249.021003419692,250.114744193578,249.895675793133,264.514991181658,264.021164021164,263.627353815659,259.141494435612,266.555183946488,271.067415730337,273.046875,272.012578616352,272.692307692308,264.29922114653,275.732041478392,273.200431330233,263.324538258575,257.620164126612,252.94388224471,248.224431818182,248.340247819595,249.696823823162,250.215951626836,254.439252336449,253.117884743796,262.205186493866,257.307692307692,264.601769911504,264,253.598744299301,252.53036437247,248.787956111253,259.259259259259,266.64,258.918918918919,269.253039953677,276.785714285714,277.905274249327,282.254354358608,270.822992213223,260.416666666667,250,242.771964364808,237.616261536719,241.000438981563,245.20379732528,270.8125,275.187129552761,287.5,289.473684210526,291.666666666667,287.5,294.37790624009,306.359748890141,297.173852691823,300.510204081633,302.044444444444,307.984790874525,309.24294307133,328.18685669042,345.604395604396,333.313558823529,326.916083916084,320.51282051282,316.164865013673,310.728771697227,307.953244551356,302.590817752741,310,323.529411764706,330.523780854907,340.625,390.747108471397,401.859802713822,367.647058823529,384.411609386277,355.674342105263,348.788976129236,330.928741092637,332.840236686391,343.689854275502,357.142857142857,375.943409660515,380.555555555556,399.592944369064,416.542473919523,410,400.250312891114,379.329608938547,364.284475561627,353.249038627866,345.071182053494,357.142857142857,366.65074810412,382.890164726783,400.308528449304,418.132611637348,394.736184210526,363.367159478611,371.710526315789,369.079908767385,354.827074260565,344.510794671566,341.213235294118,355.348474341193,370.253278927997,382.016890213612,396.728971962617,409.577571762926,412.89592760181,409.218662169758,408.636363636364
"Florida",4,184.375758127123,181.666666666667,179.159188569999,177.944406881527,178.490384112456,175.830538782354,175.263774912075,173.611111111111,171.845662521566,171.324422843256,171.08823385151,170.286707211121,168.585879543684,171.569259962049,166.316526610644,163.179232194313,162.337662337662,161.130813953488,161.463600260569,161.730569419382,164.24510423247,166.666666666667,165.672753136773,169.190615341208,167.071688942892,166.666666666667,166.618839096148,166.086681429927,163.760340824561,162.292817679558,163.107947805457,163.27868852459,164.5575507801,164.422164647497,165.90469928495,168.955343001642,170.198888165814,169.855442176871,172.017249640632,172.509835757206,168.388597293713,168.571428571429,168.878932142191,167.095115681234,167.047184170472,168.178284529671,172.267651888342,175.276381909548,176.538849646821,176.263219741481,175.12910308879,175.854465270121,172.811059907834,171.703296703297,172.137733142037,171.677667930431,172.024687456103,172.877449097196,174.714388261631,178.692917571691,179,179.743669896843,173.534532791642,173.973851274095,177.625570776256,176.016960208741,174.40788264141,176.328502415459,177.744783589454,181.313131313131,183.681361175561,187.343775967917,188.422186322025,196.189896171869,196.363058189036,196.221358148664,194.05757722271,193.716659060016,192.982456140351,191.995947315096,196.271361988607,199.392328142803,202.800361336947,205.24212115001,210.98676415627,211.813567143516,210.19220220971,209.634015069968,207.750659630607,207.171134541474,206.311541949776,206.677218206309,206.581086346482,208.256917349099,210.426441885267,215.49751951074,216.802550038469,216.671237886268,217.63085399449,219.246856892168,217.59697256386,216.001502629602,215.677966101695,215.681622088007,216.818446696594,218.956792526275,223.170731707317,226.954082894646,228.854450124611,230.010224948875,226.82384341637,226.999140154772
"Illinois",5,192.349972190366,190.973217128303,189.862869198312,190.043223508116,188.0415826324,188.524590163934,187.020169160703,186.025836296693,181.772727272727,182.623567837835,180.684186639093,179.14888599075,177.227272727273,178.429372768995,176.481715006305,176.759410801964,175.142999694643,173.580478648522,171.702790577146,168.985695708713,167.977528089888,166.611111111111,164.651434667131,164.056906324582,163.69664318276,164.655810510733,162.85634531102,164.181933038534,162.677636499626,164.666666666667,161.784554124634,160.452576676767,159.942857142857,158.823529411765,159.087256950024,158.25,158.892875448488,162.095521461514,165.198237885463,167.436876297636,169.163159445918,170.385623813779,170.069313169502,169.908366533865,170.796611964385,169.642857142857,168.400142427599,167.613901052828,167.511140819964,169.774151679314,172.812314779891,175.816993464052,177.295741914064,178.693102485339,178.073313582838,177.015250544662,176.971326164875,176.847073591679,176.227348917278,175.053532001475,174.905003130305,178.571428571429,180.924500774422,182.679296346414,184.935241990457,185.714285714286,184.24142027246,182.849506833276,182.453739275195,183.010174058835,183.23892035988,181.816867723199,182.485098578634,186.066032456631,187.589587241913,188.384385696599,189.376049391527,189.024775726326,188.062013476435,187.408181140098,188.239910864769,188.738282478767,189.265489364062,188.111884671921,189.354066985646,192.307692307692,193.929743292801,194.347771735216,194.609626900046,194.805194805195,193.420357156341,191.583333333333,191.511387163561,192.518885221855,192.710843373494,191.790090570059,193.207995250346,196.12365063788,203.967363590005,206.647553394521,206.660104986877,205.17342739565,205.442991876605,205.281964467744,206.86036916774,207.237442022263,208.329166666667,208.719851576994,210.37432700852,214.012738853503,213.509749303621,212.557226945716
"Pennsylvania",6,152.335815842925,152.105263157895,152.754056648092,151.579279848389,150.717922123306,149.896587383661,149.59202175884,148.650050465403,147.703984727695,147.187563788528,146.684527454583,145.348837209302,144.674524706304,143.535573472354,144.349824626814,145.440251572327,145.416666666667,144.690628605943,143.725254147166,142.949443912071,142.636159957231,141.703789492824,140.9795,140.81308077198,140.703971119134,140.770114429984,141.324833702882,140.984767977329,140.816901408451,140.663251326158,140.292397660819,139.326988443236,139.260912936878,139.683278993945,139.422288286966,139.082751744766,139.207813372229,140.562248995984,142.098273572377,142.516037063436,143.511871893981,144.255737704918,142.67043131789,140.753073770492,140.878787878788,141.348581973582,142.168903143861,142.081218274112,141.64979757085,139.222873900293,141.397867983243,142.724319349339,143.246924343907,143.297172332299,141.544117647059,141.31227217497,141.962611607143,141.472172351885,141.686602870813,141.206741020174,140.23569023569,141.272391205476,144.48061511002,145.416666666667,146.527777777778,146.099463071063,145.363636363636,144.443160516653,142.223551598533,144.70091568336,144.882383738103,144.460500963391,143.969078347302,146.672924978487,147.018970189702,150.526843953838,150.228304156551,147.847056087188,148.698884758364,148.081671415005,147.437888198758,144.958789804265,147.087676272226,147.058823529412,147.192479916124,148.386167146974,146.68678806171,148.198814409485,152.011224642804,153.012221784949,151.866618339978,150.33203419533,151.971496437055,153.240418118467,152.873868074924,152.459749552773,152.784065187868,153.554175293306,155.520217729393,155.983847283407,157.29862475442,157.877188640888,158.910852713178,158.265866209262,159.390732408449,159.578313253012,160.082670650089,160.007358351729,160.799632352941,161.678584129242,164.870689655172,166.444740346205
"Ohio",7,111.927945472249,112.040332147094,111.807137433561,112.529691211401,112.466319287909,112.28157763355,112.040133779264,111.446380168842,110.981595092025,110.460436630448,110.225051401559,109.315589353612,108.61801242236,108.99127243531,108.738631870304,108.991825613079,108.938953488372,108.541205228389,108.161982135506,107.563850687623,107.427992437392,107.133717210493,106.209223587769,105.627147766323,106.008236040043,105.932203389831,106.409242129179,106.682769726248,107.043242200779,106.890031436771,106.816283924843,106.392536281963,106.34955876963,106.419753143105,106.30460496388,106.129343629344,106.081290722929,107.144133108763,107.907875559018,108.735554044867,109.607951408062,109.802200605244,110.170146945089,110.015772870662,110.161896853689,108.032839034267,110.529377545084,110.668437361664,110.791993037424,112.303370786517,112.901606425703,112.817085756786,113.636363636364,114.315468105899,114.052051021259,113.903133903134,113.683775374774,113.841839653482,113.923628691983,113.861386138614,114.25239699404,114.852398523985,115.598481711525,116.487877401647,117.303493449782,118.090706494889,117.924528301887,117.724002616089,117.664405780006,117.97243010665,117.627065144921,117.509143155695,118.044619422572,119.524347588375,120.410077587656,121.48070907195,122.490118577075,123.106060606061,123.097014925373,123.249669749009,123.396833914677,123.406053714533,123.496824276641,124.102146780442,124.636476942252,125.537853584122,125.82635133895,126.882966396292,127.938063963449,128.03173138619,128.491859468723,127.959610027855,128.276988430656,128.151709401709,128.723902563389,129.375951293759,130.217076700434,131.661847010149,132.312295987738,133.523449837789,134.52380952381,135.277878705302,135.03788218497,135.013774947241,135.622817229336,135.520409718119,135.744660665644,136.538120446421,137.19512195122,138.121546961326,139.015691868759,139.35873605948
"Michigan",8,115.549132947977,114.339205623598,113.636363636364,113.680302385162,113.552188552189,112.704918032787,112.184370694796,111.5625,110.936238902341,110.841121495327,110.579710144928,109.311045376445,108.756274400446,109.275452841974,108.983863933711,108.532423208191,109.434576231268,109.863577797775,109.923664122137,109.624863272952,109.389400921659,109.084084084084,108.675723049956,109.098394400988,108.957009345794,109.404134576409,110.236609248729,110.425503645843,111.111111111111,112.621359223301,113.188220230474,113.169267800295,113.755687784389,113.524468180695,113.885876114726,114.622057001239,115.424739195231,116.424412325352,117.888986573821,119.509900744768,121.631736526946,123.042836041359,124.016563146998,125.608624552446,126.340412638965,126.038575667656,126.132317911183,126.600142247511,127.132281943997,127.798953662182,128.323262839879,130.484773151025,132.574916759156,132.694092174451,133.026813617686,132.779083431257,133.507549361208,133.266666666667,133.277777777778,133.597078514912,133.861204954955,135.060794588106,135.971428571429,138.119227539882,138.888888888889,139.515754335568,138.927576601671,138.946947439999,138.949156590396,139.337979094077,139.668367346939,140.245506356861,140.951621742887,141.587529976019,142.671009771987,143.714066692219,145.345393295012,145.55863769456,145.042321644498,145.343873326286,144.684210526316,145.090909090909,145.310435931308,144.660704892162,145.396215217723,146.454028881938,148.095909732017,150.091541559868,150.806451612903,152.495840266223,151.866151866152,151.75983436853,152.570281124498,152.133023050674,152.493765586035,152.681890600106,152.258158508159,154.800952601427,156.062424969988,155.028328611898,158.111824014665,158.970476911431,159.001097694841,158.545325516576,158.581116327595,159.026875901876,159.505208333333,159.716732542819,160.886664283161,161.709584533114,162.960699085393,164.496798603027
"Georgia",9,125.715183904433,125.324114088159,125.904278113398,126.690618283258,125.434362934363,124.198717948718,124.477299693999,123.65937178017,122.672991984296,121.64375548406,120.45821350636,119.55980861244,117.827325582068,118.06908768822,116.834224373977,116.009280742459,115.62274660764,114.774371418702,113.965800360912,113.467492260062,113.013698630137,111.778846153846,111.318181818182,110.748042942336,110.081619590571,111.516974645466,110.524168975002,110.157367668097,110.708534621578,110.37814045391,110.874922982132,110.421286031042,111.242466388503,111.924939467312,112.83851554664,112.612612612613,112.5,112.889408099688,113.960113960114,115.072432619912,116.495157384988,116.960295994127,117.283950617284,116.543648730108,116.542014958205,116.512068418334,116.947891805887,116.646486947602,116.762067891623,117.64180859777,118.152845769668,120.279924187199,120.466717674063,121.003915984336,120.654506437768,120.627785583606,121.75572519084,121.59707198048,120.715725806452,121.99473749785,122.340003154336,123.862487360971,124.431481481481,125.29965388418,125.209030100334,125.67619047619,125.320421532327,124.907805827651,124.716118349984,124.970735213582,125.418060200669,125.09004952724,125.627255620243,128.032892714417,129.550922601164,131.584885493161,132.636815920398,131.935188216039,132.71506236009,133.23782234957,133.614520956873,135.145809367846,135.038090709037,134.601579325197,135,136.713895103157,138.81036633563,139.716982959388,140.313349282297,140.25,140.128153784541,140.753241851048,141.882900864937,142.857142857143,142.34400624756,142.700541037293,143.848569105439,144.622086866446,147.394862863816,149.443837349246,149.67168791039,150.10492020846,150.854754114185,151.028563581434,151.021378177079,152.327272727273,153.307052124398,154.24791086351,155.284552845528,154.714820359281,155.153804641122,157.57698541329
"North Carolina",10,136.674883593536,135.548848085229,135.36105684009,135.037241377488,133.19437740809,132.845188284519,133.004926108374,131.25,130.450987700335,130.692379672729,130.593358737071,129.583333333333,127.77911743429,127.554419817349,127.779631150038,127.64405543399,126.955141768938,126.253724363848,126.080691642651,126.097003153908,126.162018592297,125.492125984252,124.881964117092,125,124.42969722107,123.621323529412,123.929183323815,124.377916018663,123.864574731627,123.707169389147,123.19740800756,123.19740800756,123.389385952895,123.453608247423,123.14126394052,122.846944125899,122.609289617486,122.78784551126,124.113475177305,125.063809932812,124.925219734119,125.972762645914,125.702662721893,125.465436295937,125.418215613383,125.482625482625,124.932469378828,122.667757774141,123.124300111982,123.946753438134,124.07611693326,125.257602412667,126.175340332546,126.036363636364,125.20499558471,126.588397790055,127.184054283291,127.981785567268,127.075810692375,126.938502673797,126.314977396375,126.937860377758,128.661823295055,130.600498068794,131.750753471652,131.717597471022,131.818181818182,132.317448780412,131.710610169332,132.956762192056,132.682018978416,133.145491803279,133.297819919367,136.973788721207,137.36737925574,138.634263149051,138.819523269012,137.969094922737,138.055992130657,138.379469434833,138.760704530836,139.57242582897,139.305038093249,139.344262295082,139.558228893561,140.280561122244,140.400195278244,142.374517374517,143.058878256247,142.311261834328,142.381304592843,142.082312591867,142.530487804878,143.74831838565,143.830233167409,143.802266510356,144.474185064307,145.054847391031,146.740468974861,147.873915802835,147.877044229149,148.692162564206,149.147727272727,149.159663865546,149.958915365653,150.060369669986,150.876054510058,151.290889356513,150.863630056199,152.072200113701,152.470309235302,153.702218658113
