"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"California",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225000,220000,220000,219000,220000,229900,240000,242500,249000,250000,250000,249000,240000,236500,220000,235000,236900,240000,245000,249900,254900,253340,265000,269900,268000,264900,265000,260000,265000,271500,279900,287000,295000,299000,299000,299000,299000,298500,289900,290900,299000,305000,314900,315000,319000,319999,319500,320000,323000,324900,319000,319500,324900,334000,340000,340000,349000,349900,349900,350000,350000,349500,340000,339950,348000,350000,352000
"Texas",2,79900,79900,81000,82900,82000,81555,80000,80000,80000,80000,79900,79900,78500,75000,76900,76560,77500,77900,77000,76000,75000,75000,73000,73500,72500,73000,73900,73900,74900,74881.5,74500,73900,72000,72500,72000,72500,72000,72500,74000,74000,74152.5,74900,75000,75900,75000,75000,75000,75000,74900,75000,75000,75000,75900,75000,75000,78500,76000,75000,75000,75000,78500,79000,78000,79000,79950,82500,84500,85000,85000,85860,85000,85000,85000,85000,88000,89900,90000,94500,99500,99900,99900,99900,1e+05,1e+05,1e+05,1e+05,107119,110000,115000,117900,119000,119900,119000,119000,119900,119900,119000,119533,120000,125000,127900,129000,130000,134900,134900,134900,135000,135750,137278,139900,144999,146500
"New York",3,184000,180000,189000,189000,190000,189999,189900,189000,189900,182000,175007,175000,174999,159500,169000,169000,169000,165000,165000,165000,164999,160000,159000,159000,155900,159000,159000,159000,158000,154967,150000,149999,150000,149999,150000,155000,155000,159000,159000,155000,150000,149000,148500,145000,145000,145500,147000,149000,149000,155000,149900,150000,150000,150000,149900,149900,149900,149000,149000,145000,145500,145000,148900,149000,149000,145000,144900,140000,139900,139000,139900,139500,139000,139000,139000,139870,140000,141500,130000,129900,127200,125000,125000,124900,124900,125000,129000,129900,129900,129900,133050,130411.5,132900,134900,130000,134900,137900,149000,149900,152100,150000,155000,150000,149900,149900,149900,150000,150837.5,159900,160000,164900,165400
"Florida",4,69750,69000,69000,69000,67000,65000,65000,65000,65000,64900,64900,62000,60000,58900,59900,59900,59900,59900,59200,59000,59000,58000,57900,57000,57000,57500,57900,57900,58500,58500,59000,59000,59000,59900,59900,59900,60000,61000,62000,63500,64900,64900,65000,65000,65000,65000,65900,66000,69000,69500,69900,69900,69900,69000,70000,71500,71500,72000,72500,73863,74900,74900,71900,74000,77000,77500,76500,77400,79000,79750,79900,80000,81900,84900,86900,88075,89900,90000,92000,95000,97000,98900,99900,1e+05,105000,109500,110000,110939,113000,114900,115000,115900,116900,119900,120000,120500,123000,125000,127000,128900,129900,129900,130000,130000,134800,134900,135000,135000,137540,138900,139000,139000
"Illinois",5,89900,92000,94900,94900,90900,89900,89900,89900,89900,85000,85850,84900,80900,75000,79982.5,79900,79900,79900,77900,75900,75000,74000,72900,71900,69900,69900,69900,69900,69000,69000,69000,68000,68900,68000,67900,67000,67500,67900,68000,68300,68900,68000,67500,68000,69000,69000,68000,68000,67500,68000,69900,69900,70000,72000,72900,72900,73000,72600,72000,72000,73500,74200,74900,75600,79900,79900,79900,79000,79900,79000,77900,79000,78900,79000,79900,79900,79999,81000,84900,84500,83000,82000,81134,80000,80000,80900,84495,85000,89000,89900,89900,89900,89900,89900,89000,89000,89000,89900,93000,97500,99500,99900,99900,99900,99900,99900,99500,98900,99000,99900,102457,106695
"Pennsylvania",6,79000,79000,79900,79900,79900,79900,79900,79900,79900,79900,79900,78900,77000,74900,75900,75900,77500,79000,79474.5,77650,75000,75000,74900,74900,74900,73900,74900,74000,74200,74000,74500,72500,70000,71000,70000,70000,70000,70000,72000,72900,73000,73000,72000,70000,70000,69900,69900,69900,69900,69900,69900,70000,72900,74000,73000,71900,71500,74893.5,72200,70000,70000,69900,70000,70000,72900,72900,72500,72300,71900,70000,70000,69900,69900,69900,69900,69900,70000,71500,70000,70000,70000,69900,69900,69900,69900,69900,71900,74500,74900,75000,75000,75000,75000,75000,75000,75000,75000,75000,77000,79900,79900,79900,80000,80121,82222.5,84000,84500,83900,84000,82652,84900,85000
"Ohio",7,59000,59900,59900,59900,59900,59900,59800,59000,59500,59000,59000,55900,54900,50000,52900,52900,52500,52900,51940,50550,50000,49900,49900,49900,49900,49900,49900,49900,49900,49900,49900,49900,49900,49900,49900,49900,49900,49500,49900,49900,49900,49900,49900,50000,50000,49900,50000,50000,50000,51400,50000,52000,52900,54500,54900,54900,54900,54000,53000,52675,53900,54000,54900,54900,54900,54900,54900,54900,54900,54900,54900,54300,54000,54600,54900,55000,56500,57000,58000,58500,58800,59500,59713,58500,58050,59000,59900,59900,59900,60000,60000,60000,60500,61500,61400,60000,60000,62000,64500,64900,65000,66000,68000,69500,69900,69900,69900,69900,69500,69000,69813.5,69900
"Michigan",8,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,33900,30000,29900,28000,28900,29000,29900,29900,29900,29900,29700,29700,29450,29000,29000,28000,29000,29900,29900,29900,29900,29900,29900,29900,29900,29900,29900,29900,29999,30900,32900,34000,34900,35000,35000,35500,35500,37000,37000,37500,37500,39900,39900,40000,42500,42500,41000,42000,41000,42000,42000,42000,43000,44500,44000,44900,45000,45000,45000,45000,45000,44900,44900,44900,44900,45000,46000,48900,49900,49900,49900,49900,49900,49900,49900,49900,49900,50000,54000,55000,55000,58000,58500,56500,55000,54900,54500,51995,54900,55000,56612,58000,59900,60000,60000,63000,61900,60000,60000,60000,59000,59900
"Georgia",9,69900,69900,69900,69900,69900,67500,65900,66000,67000,65000,64900,63000,60000,57000,59900,58000,56900,55900,54900,53000,52705,50000,49900,49900,49900,49000,48000,47000,46900,49900,47900,48000,45000,47900,47000,49900,50000,50550,51900,52900,55000,55000,56000,57837.5,59000,59900,59900,59900,60000,60000,60000,63000,64900,64300,63900,64500,62000,64900,64300,64900,65000,66500,67000,68000,69500,69900,68000,69900,69900,69900,69900,71000,70000,72000,73900,74900,74900,77000,79000,79000,82500,80000,84500,84900,85000,86000,88700,89500,94900,94900,95000,96000,99000,99000,99000,99000,1e+05,1e+05,103000,101000,104900,109996,110352,111632.5,114900,115000,115500,119900,119900,120000,125000,125000
"North Carolina",10,84900,84900,85000,85000,84900,83999.5,83900,82500,82500,82900,82000,79900,79900,74900,78500,78000,77500,76900,75000,74900,74900,73000,73500,70000,69900,69900,69900,69900,69900,69900,69900,69900,67000,68900,69000,69500,69900,70000,71000,72500,74000,74900,74900,74900,75000,74900,74600,72460,72200,72000,72900,74000,74900,75000,75000,75000,74000,72000,70000,71000,72900,73500,74000,74900,78900,79000,79000,79000,79500,79500,79500,79000,79000,79900,79900,80000,80000,82000,82500,82900,80000,81900,80000,80000,82000,83495,85000,85500,89000,89900,90000,89900,89900,89900,89500,89250,89000,89900,92000,94500,94900,98000,99000,99000,99500,99900,99900,99900,99900,1e+05,105000,109900
"New Jersey",11,199900,199900,204900,2e+05,199900,199900,199900,199900,199000,190000,185000,184000,179900,175000,175000,175000,175000,175000,170000,170000,172500,169900,162000,160000,157500,159000,159900,159000,159900,159000,154000,151500,154900,150000,150000,149900,150000,150000,154900,154900,156900,155000,155000,155000,155000,154999,150000,149900,150000,150000,155000,159000,159774.5,159900,160000,160000,161900,159900,159000,158000,155000,154900,155950,160000,165000,165000,170000,169000,167200,164900,160000,159000,158900,159900,164000,165000,169900,174900,172000,169999,169900,169000,165000,160000,159900,160000,164900,169900,170000,174900,174900,172900,169989,174900,169900,169900,165000,169000,172471,179900,185000,189999,190000,189900,189900,192842.5,191997,189900,191091,190235,199000,203634
"Virginia",12,135000,135000,135000,136650,135000,134900,134900,132050,134900,130000,129900,127000,124925,119000,120000,120000,121500,120000,119950,119950,118000,117000,115000,111650,112000,111989.5,109950,110000,110000,110000,109950,109900,108000,109500,109500,109500,110000,111950,113250,113900,114900,114900,115000,115000,115000,116000,115000,115900,115000,115000,117800,119000,120000,122600,123500,123000,122500,120000,119900,119900,119950,120000,121000,125000,125000,127400,120000,129000,128000,126900,125000,125000,125000,125000,129900,130000,134000,134900,135000,134950,134900,135000,133000,132900,131000,134900,135900,140000,143900,142000,142000,141000,144500,145950,145000,140000,140000,142925,146900,149990,153580,154000,155000,154900,155000,157995,155900,151440,149900,150000,155000,157999.5
