"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"California",1,750000,755000,750000,750000,759000,764000,755000,749990,740150,729000,723000,699000,699000,699900,699000,699000,699000,699000,695000,682451,675000,669500,659000,650000,650000,665000,669000,685000,695000,699000,699000,699000,699900,715000,719000,699000,699000,732995,749000,769000,795000,789900,795000,775000,776090,775000,765000,755325,749900,758888,775000,785000,795000,789500,779500,775000,778000,775000,778000,754750,759000,774990,788800,795000,799000,799000,795000,799000,799000,799900,808000,8e+05,8e+05,837025.5,849000,849000,850000,859000,850000,850000,859000,869000,875000,860000,875000,890000,899000,9e+05,899900,908000,906800,899950,925000,927000,929000,919000,905000,939000,950000,965000,959000,959990,950000,950000,975000,985000,989000,975000,969800,989850,999000,999000
"Texas",2,319900,319500,319000,319000,319000,319000,315000,313817.5,308000,306990,305000,3e+05,299900,299900,299900,299999,3e+05,299900,299990,299950,299500,299070.5,299500,299000,299000,299000,299900,3e+05,305000,307500,305000,304900,308900,308670,309900,314000,310000,310000,315000,319900,319990,321990,324900,325000,327449,328404,329000,329900,329900,334900,334900,340990,342500,342500,347730,349000,349900,350000,351730,360000,361831,364418,367900,369500,369000,369990,369900,370000,372900,375000,374990,378990,379541.5,380000,383990,385000,385000,385000,385000,388900,389000,389000,388863,389000,388000,389900,394990,397990,399000,399000,399000,395000,395000,394990,392290,391990,395000,395000,399000,399999,404900,403198.5,402417,4e+05,4e+05,402997,403559,404900,403990,407995,410900,415000
"New York",3,629000,624000,625000,615000,620000,617120,619000,599999,619000,624000,625000,620000,619000,599000,603447.5,599900,599000,597900,595000,589900,589000,595000,599000,599000,599000,599000,599000,599900,599900,599000,599000,599000,6e+05,624000,609000,625000,630000,639000,649000,629000,619900,599000,599000,595000,599000,599000,640000,649000,650000,659000,650000,650000,665000,679000,659000,669000,675000,699000,699000,720000,739900,728888,709000,699000,699000,695000,689000,679000,695000,699900,715000,725000,779000,795000,759000,785000,749000,749000,720000,719000,737900,749000,765000,775000,789000,799000,799000,799000,789000,769000,750000,749000,765000,775000,795000,799000,819000,850000,849000,835000,819900,799000,795000,780000,799000,799844,819000,835000,849000,849000,850000,855000
"Florida",4,395888,389900,389000,384900,384500,379000,379000,375000,369500,367500,364900,359000,353900,359900,350000,350000,350000,349900,349900,349900,350000,357000,350000,356000,359000,359999,359909,359000,359000,352200,350000,350000,359900,354020,356900,359999,367500,368000,370000,375000,369000,369000,374000,369000,369900,369950,376000,380000,380000,385000,384900,385000,380000,379900,382000,382900,384990,385990,389900,397000,395990,399000,389999,395000,399000,399000,399000,399900,399900,405000,415000,423990,425000,435000,435000,439000,435000,439000,435000,430000,439900,449000,449999,453462,468000,475000,470000,474000,469900,469900,469000,469000,469900,470000,475000,479900,479990,484900,487750,494500,490000,489999,489900,489000,494900,495000,499000,499900,5e+05,509900,500900,509485
"Illinois",5,389000,389000,382999,379999,375000,379000,375000,374900,369000,369000,365000,359900,358500,359900,350000,349900,349900,349900,349000,344500,339900,339000,335000,335000,337900,339500,335000,339000,335000,339000,335000,334900,336900,337900,339000,330000,334500,339900,343900,349900,349900,350000,349900,349900,352000,350000,350000,350000,352000,359900,359900,359900,362900,369000,365000,364900,369000,369000,367500,365000,365000,374900,377000,379900,385000,388000,385000,380000,384900,385000,384900,385000,388183,394900,398500,399000,399000,399000,399000,399000,399000,399900,399900,399900,399999,409900,409999,410000,414900,414900,409000,399900,399950,4e+05,405000,4e+05,410000,419000,424000,425000,425000,424900,424500,424000,424999,425000,425000,425000,429000,434000,434000,434000
"Pennsylvania",6,339900,339223.5,339000,335000,337000,335000,333900,330000,329900,329900,329000,325000,325000,322900,320000,324900,324900,319900,319026,317625,314900,310000,309999,310000,310037,313749.5,314900,312500,310000,309900,308900,3e+05,299999,3e+05,3e+05,299990,3e+05,309000,314000,314000,317387,319900,315000,309900,311058,312957,317000,316990,315000,300720,314451,315000,315000,318234,310000,311904.5,315000,314900,314999,314900,309995,310000,319900,323554.5,325000,325000,325000,324900,320000,327900,329000,328314,325000,329900,329900,339000,339000,330000,334050,329900,330000,329332,334900,334900,334500,337420.5,329900,331200,341094,344000,339900,339900,343900,347990,348900,346662,347990,349900,350000,350000,350000,354995,359000,355000,359000,359900,359900,359900,360109,365000,370000,375000
"Ohio",7,242925,244500,239900,244900,245000,245000,245000,240000,239900,239900,239900,238900,235900,238900,235000,235000,235000,234900,234000,229990,229900,230000,233900,229900,229900,230000,230900,233941,234500,234900,234000,230450,230997,234000,235000,234900,236995,239500,239900,239900,239900,239900,239990,240000,244900,239900,249000,249000,249500,249999,250000,249900,250000,256000,255990,255000,256000,259500,259900,260000,262522.5,264990,265000,265000,267500,269675,269900,269900,271900,272990,274000,274000,274900,278900,278900,279900,280000,281997.5,283945,283000,284900,285000,289000,289900,289900,294500,293000,295500,299000,299000,297990,297000,297000,296990,299000,299900,299999,304900,309000,309900,310000,310000,310000,310000,310000,314810,315000,319900,320000,324933.5,325000,325000
"Michigan",8,229000,225000,224900,224900,224900,224900,224900,220000,220000,220000,220000,215977.5,215000,219000,215000,213900,215000,215900,217000,214900,217768.5,217500,215900,219000,219500,219000,219900,219900,220000,224977,225000,225000,227900,229000,229900,230000,232540,234900,238000,239900,239900,244900,245000,250000,254000,250000,255900,255000,259900,259900,260000,267000,270000,274900,274900,274900,274900,275000,279000,279900,279900,283100,284900,289900,290000,289999,289900,289900,290000,295000,299000,299825,299900,299900,299900,3e+05,309900,309900,307400,309900,305000,309374.5,309900,309900,309900,310000,314900,320000,324900,325000,325000,324900,325000,325000,329000,329900,327000,331600,339000,337140,339900,340000,339900,339900,339900,339895,340000,340000,340000,347000,348000,349900
"Georgia",9,339000,330000,330000,332880,329900,329000,329000,325000,325000,324900,320000,319000,311700,314900,3e+05,3e+05,299900,299900,299900,299700,299000,295000,293500,289900,289900,290000,290000,293900,295000,289900,296900,295000,295000,296000,299000,299000,298970,299000,299900,299999,310000,313330,314000,309900,310747,315000,315000,315000,316000,320000,324900,327500,329000,329900,329900,330000,337900,336900,335000,339000,339000,344900,345049,348730,349900,349900,349989,349999.5,349900,349970,350000,350000,354000,359900,361450,370000,374900,371777.5,374900,375000,377400,379900,383224.5,381509,384900,385930,389900,395000,398500,398740,397433,395000,399000,399900,399000,399800,399900,4e+05,409900,413142,415000,415000,414900,415000,417900,418750,420000,425000,425000,428900,428960,429000
"North Carolina",10,349900,349000,346000,345000,339900,339000,339000,334900,330000,330000,334000,329000,325000,324900,323000,324760,324700,320000,319900,319715.5,319000,315000,313455,309990,310000,309900,309900,314900,310000,312354,310000,310000,310000,312840,312000,309900,308000,309000,310000,315000,315000,319000,319900,319000,319900,320000,319000,310000,318000,322990,325000,329000,329900,329900,329900,330000,329900,329900,329900,329900,329900,329000,330990,339662.5,343900,345000,345000,349000,349000,349900,349500,349000,349000,350000,355900,359500,359900,359900,360000,362500,364900,367775,365000,365000,365000,367662.5,369900,375000,379000,379500,380000,379900,379000,379999,379990,379900,379999.5,385000,387820,389000,389500,389990,389900,389500,390000,391000,395000,395000,393900,390000,395000,399000
