"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"California",1,2100,2100,2000,1995,1950,1950,2000,2000,1700,1695,1695,1750,1595,1625,1600,1650,1675,1650,1600,1600,1595,1547,1500,1500,1500,1500,1560,1529.5,1500,1525,1501,1550,1580,1562,1555,1526,1504,1550,1565,1545,1550,1505,1540,1533.5,1625,1637,1525,1695,1698,1630,1600,1675,1795,1800,1800,1800,1850,1895,1895,1912,1920,1950,1965,2000,2000,2025,2045,2085,2100,2100,2150,2150,2169,2195,2205,2200,2200,2199,2242,2188,2250,2118,2195,2150,2200,2294,2309,2350,2355,2353,2370,2350,2350,2331,2300,2300,2300,2321,2342,2395,2400,2400,2439,2450,2400,2400,2420,2413,2400,2411,2432,2490
"Texas",2,,862.5,995,1025,950,995,950,985,900,900,925,900,949,935,950,925,925,950,930,925,900,895,900,934,950,970,990,950,961,970,970,1000,1015,900,1006,1040,1035,995,1025,1044,1055,1050,1075,1040,1100,1128,1150,1139,1155,1111,1105,1150,1130,1135,1115,1119,1119,1121,1120,1115,1125,1126,1129,1169,1174,1190,1179,1190,1185,1180,1250,1248.5,1250,1247,1288,1265,1258,1254,1245,1238,1264,1200,1200,1169,1230,1250,1265,1300,1330,1345,1342,1329,1329,1300,1316,1324,1310,1350,1377,1395,1400,1399,1405,1408,1399,1417,1415,1405,1408,1415,1445,1445
"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2550,2565,2500,2500,2500,2500,2500,2500,2550,2600,2595,2500,2500,2500,2500,2495,2450,2400,2450,2499,2500,2525,2550,2550,2550,2600,2600,2595,2400,2400,2350,2375,2400,2400,2450,2450,2450,2399,2335,2300,2300,2300,2295,2300,2399,2450,2450,2475,2450,2400,2350,2300,2300,2300,2300,2328,2395
"Florida",4,,,,,,,,,,,,,,1350,1350,1350,1300,1300,1300,1295,1300,1250,1250,1250,1200,1250,1250,1250,1250,1250,1250,1250,1220,1200,1200,1200,1179,1200,1200,1200,1200,1225,1300,1300,1345,1350,1400,1400,1375,1349,1300,1300,1350,1350,1350,1350,1375,1375,1350,1350,1330,1360,1395,1375,1400,1405,1500,1500,1500,1500,1549,1550,1550,1585,1600,1550,1500,1500,1495,1500,1500,1500,1600,1459,1500,1500,1550,1550,1564,1571,1590,1600,1600,1600,1607,1625,1602,1625,1650,1659,1650,1650,1655,1670,1675,1675,1669,1675,1659,1674,1680,1691
"Illinois",5,,,1347.5,1350,1350,1400,1400,1375,1350,1400,1395,1450,1425,1495,1500,1550,1575,1650,1600,1595,1600,1525,1475,1490,1475,1450,1425,1395,1405,1495,1465,1470,1470,1495,1420,1450,1425,1500,1491,1495,1563,1600,1630,1645,1620,1550,1550,1625,1500,1460,1500,1500,1585,1595,1650,1585,1650,1600,1550,1450,1455,1575,1500,1550,1575,1550,1550,1550,1595,1550,1600,1545.5,1500,1600,1545,1550,1595,1595,1584.5,1550,1500,1495,1450,1495,1500,1500,1500,1550,1589,1595,1589,1550,1542,1500,1500,1500,1510,1550,1600,1650,1650,1675,1650,1650,1695,1625,1633,1650,1665.5,1700,1725,1700
"Pennsylvania",6,,,1212.5,1200,1200,1200,1300,1325,1200,1171.5,1193,1100,1095,1050,1050,1100,1095,1065,1050,1090,1070,1005,1050,1080,1100,1125,1150,1195,1200,1200,1190,1150,1107,1100,1095,1050,1034,1050,1095,1100,1175,1195,1106,1100,1100,1050,1050,1075,1050,1050,1050,1100,1175,1195,1150,1104,1100,1095,1095,1095,1100,1100,1160,1195,1200,1200,1195,1150,1100,1100,1150,1145,1199,1200,1200,1210,1250,1200,1200,1195,1144.5,1150,1100,1125,1150,1195,1200,1250,1255,1250,1250,1250,1250,1235,1215,1200,1200,1205,1250,1299,1300,1300,1300,1284,1250,1270,1279,1295,1295,1299,1348,1357
"Ohio",7,,,825,850,850,825,850,809,677,695,684,699,675,675,665,725,735,700,709,709,709,695,710,725,750,734,725,695,688,690,680,700,700,705,725,700,687.5,699,705,700,700,700,689,685,700,700,675,749,700,700,700,710,725,725,700,709,740,762.5,795,780,775,800,825,840,850,825,810,802.5,800,802,850,850,840,829,850,875,870,850,850,850,850,850,825,820,850,850,888,899,895,890.5,895,875,875,875,874.5,875,877,889,900,929,939,930,934,935,920,940,925,910,909,925,955,984
"Michigan",8,,,,,,,,,,,,,,,,,,,,,,,700,715,740,740,750,775,775,745,736,750,775,770,770,710,695,741,759,740,750,750,749,750,850,850,845,850,850,850,844.5,850,900,900,895,900,900,900,900,900,900,900,900,950,950,965,900,900,900,929,965,950,929.5,900,950,970,950,920,1000,975,935,975,1000,950,950,975,995,1000,990,1000,1000,1000,1009,1005,1000,995,995,1000,1050,1100,1075,1060,1062.5,1050,1069,1099,1099,1050,1025,1010.5,1050,1100
"Georgia",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1100,1094.5,1105,1136,1050,1083,1075,1100,1115,1014,1050,1040,1110,1139,1175,1200,1240,1235,1250,1250,1255,1250,1260,1260,1269,1300,1325,1365,1385,1398,1395,1413,1377,1445,1435,1418.5,1425,1445,1460,1500
"North Carolina",10,,800,800,800,800,800,825,800,825,825,800,825,750,775,775,775,750,762.5,765,765,750,750,750,750,750,775,795,795,786,775,785,800,795,796,795,775,780,800,825,829,825,800,809,795,775,775,759,775,784,775,775,795,800,800,800,800,795,799,800,800,800,800,825,850,850,850,850,850,850,850,946.5,925,935,925,999,989,995,985,1000,1040,1065,975,975,951,1000,995,1000,1050,1100,1109,1138,1121,1119,1104,1125,1105,1105,1159,1178,1200,1225,1219,1203,1226.5,1214,1225,1241,1218,1215,1235.5,1255,1295
