"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"California",1,,,,,,,,,,,,,2450,2400,2495,2495,2465,2400,2400,2300,2300,2200,2200,2200,2200,2200,2119,2155,2195,2195,2150,2100,2050,2000,2000,2000,2000,1999,2000,1995,2000,2100,2000,2100,2100,2000,2100,2099,2025,2050,2095,2200,2295,2300,2300,2300,2295,2275,2295,2300,2300,2350,2400,2450,2500,2500,2500,2500,2500,2500,2500,2500,2525,2645,2600,2600,2700,2700,2675,2600,2600,2695,2500,2650,2700,2800,2900,2980,3000,3000,3000,2990,2900,2895,2895,2900,2950,2950,2999,3095,3150,3195,3100,3095,3000,3000,3000,3000,3095,3100,3200
"Texas",2,1500,1495,1650,1800,1850,1700,1695,1650,1650,1675,1700,1650,1595,1595,1595,1595,1595,1595,1550,1525,1500,1500,1500,1500,1550,1600,1550,1550,1595,1595,1550,1500,1499,1500,1500,1500,1500,1550,1550,1595,1595,1600,1600,1600,1595,1550,1595,1595,1550,1550,1595,1650,1700,1700,1750,1700,1695,1699,1700,1700,1700,1750,1769,1800,1800,1800,1800,1800,1795,1800,1795,1795,1795,1800,1838.5,1800,1800,1800,1800,1800,1775,1795,1750,1799,1800,1800,1850,1850,1850,1850,1850,1850,1800,1800,1800,1800,1800,1850,1875,1875,1895,1895,1885,1850,1850,1850,1849,1850,1850,1850,1895
"Florida",3,,,,,,,,,,,,,1900,1900,1950,1990,2000,2000,2000,2000,1950,1900,1850,1850,1900,2000,1950,1950,1995,1950,1900,1900,1900,1900,1850,1800,1900,1900,1950,1900,1895,1995,1900,2000,2000,2100,2100,2000,2000,1975,1995,2000,2020,2100,1995,2000,2000,1950,1922.5,1900,1950,1900,1900,1975,1950,1975,1995,1950,1950,1995,1995,2000,2000,2050,2000,2000,2000,1975,1995,1999,2000,2050,1925,1995,2000,2000,2100,2100,2100,2150,2150,2150,2181,2195,2195,2195,2200,2200,2214.5,2235,2200,2200,2200,2200,2200,2200,2200,2200,2200,2295,2300
"Illinois",4,2500,2300,2300,2300,2150,2300,2300,2100,2300,2250,2400,2000,2000,2145,2200,2375,2400,2325,2250,2200,2100,2000,2000,2000,2000,2100,2050,2100,2160,2150,2086,1950,1900,1800,1817,1800,1797.5,1995,1900,2000,2009.5,2100,1975,1892.5,1850,1800,1900,1800,1799,1800,1900,2100,2148.5,2160,2200,2100,2000,2000,2023,1972.5,1975,2000,2000,2200,2250,2200,2145,1995,1925,1950,1850,1850,1850,1942.5,2000,2100,2200,2200,2100,1949,1800,1795,1765,1775,1800,1900,2000,2200,2200,2250,2150,1975,1895,1850,1895,1895,1928,2100,2225,2400,2500,2400,2250,2150,2050,2050,1999,1999.5,1995,2100,2440
"Pennsylvania",5,,,,,,,,,,,,,1625,1675,1800,1800,1800,1700,1700,1700,1600,1695,1795,1785,1800,1800,1800,1800,1800,1850,1800,1700,1700,1650,1600,1600,1800,1800,1850,1995,1950,1900,1800,1723,1650,1650,1700,1750,1750,1785,1800,1900,1900,1850,1800,1750,1700,1800,1795,1800,1800,1895,1950,1950,1900,1900,1800,1800,1750,1800,1700,1750,1800,1800,1862.5,1850,1850,1800,1800,1795,1600,1799.5,1695,1600,1700,1800,1800,1850,1850,1800,1750,1650,1650,1795,1700,1750,1799,1800,1800,1800,1800,1750,1725,1700,1750,1800,1800,1795,1800,1800,1860
"Ohio",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1495,1462.5,1450,1450,1450,1425,1400,1475,1495,1495,1500,1499.5,1450,1500,1495,1475,1500,1425,1450,1499,1600,1600,1600,1650,1650,1595,1500,1400,1350,1300,1400,1400,1425,1500,1500,1450,1425,1399,1430,1450,1450,1430,1400,1450,1500,1500,1445,1425,1400,1440,1450,1500,1450,1400,1400,1412.5,1400,1495
"Michigan",7,,,,,,,,,,,,,,,,,,,,,,1385,1497.5,1450,1400,1492.5,1500,1550,1500,1500,1450,1400,1500,1595,1400,1280,1400,1396,1300,1395.5,1400,1500,1650,1695,1700,1650,1600,1600,1550,1500,1500,1700,1700,1750,1800,1850,1800,1800,1800,1750,1762.5,1800,1800,1800,1800,1850,1850,1875,1800,1800,1800,1800,1750,1800,1800,1825,1750,1800,1900,1900,1850,1925,1800,1700,1750,1700,1792.5,1800,1750,1800,1799.5,1800,1800,1700,1650,1550,1550,1600,1700,1800,1800,1800,1800,1897.5,1900,1800,1750,1725,1750,1600,1600
"Georgia",8,,1475,1500,1500,1500,1500,1500,1500,1500,1495,1500,1400,1400,1396.5,1400,1450,1450,1400,1395,1395,1375,1350,1300,1300,1300,1300,1300,1300,1350,1350,1300,1300,1295,1295,1295,1275,1300,1300,1300,1300,1300,1350,1300,1317.5,1315,1300,1300,1300,1295,1295,1300,1350,1375,1375,1375,1374,1374,1375,1395,1395,1395,1400,1400,1450,1450,1450,1450,1425,1400,1425,1450,1450,1450,1450,1475,1500,1500,1500,1500,1500,1500,1500,1495,1500,1500,1550,1579,1600,1600,1602,1595,1595,1595,1585,1590,1595,1595,1600,1650,1650,1662,1650,1650,1650,1650,1640,1650,1650,1660,1675,1695
"North Carolina",9,,1500,1500,1585,1500,1500,1550,1595,1550,1497.5,1500,1450,1400,1397.5,1400,1400,1400,1395,1395,1395,1350,1350,1300,1325,1350,1350,1375,1395,1400,1399,1375,1350,1350,1350,1300,1300,1300,1350,1350,1399.5,1395,1395,1395,1350,1350,1350,1315,1300,1300,1349.5,1350,1395,1395,1395,1395,1395,1377.5,1395,1395,1395,1380,1400,1450,1425,1407.5,1400,1400,1400,1400,1400,1400,1400,1445,1450,1495,1495,1450,1495,1495,1450,1472,1475,1449,1500,1534.5,1592.5,1600,1595,1595,1600,1595,1580,1595,1595,1595,1595,1590,1600,1625,1645,1600,1600,1600,1600,1620,1600,1625,1645,1675,1695,1700
"New Jersey",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750,2550,2500,2500,2350,2500,2500,2600,2600,2600,2800,2800,2600,2700,2525,2500,2500,2500,2500,2600,2700,2700,2750,2600,2700,2600,2500,2497.5,2450,2500,2450,2600,2700,2600,2800,2812.5,2650,2500,2450,2500,2500,2400,2500,2599,2625,2800,2800,2897.5,2600,2500,2400,2400,2400,2400,2400,2500,2600,2650,2700,2700,2600,2500,2500,2400,2500,2500,2500,2600,2680,2700
