"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"California",1,,,,,,,,,,,,,2700,2695,2750,2800,2872.5,2800,2850,2800,2895,2700,2725,2600,2680,2695,2500,2500,2500,2500,2500,2450,2350,2312.5,2300,2300,2350,2300,2300,2300,2395,2400,2399,2495,2400,2349.5,2450,2400,2395,2395,2400,2600,2600,2650,2650,2600,2650,2695,2600,2650,2700,2800,2800,2862.5,2975,2950,2957.5,2950,2900,2800,2800,2850,2950,3000,3000,3195,2995,3100,3000,3000,3000,3200,2995,3000,3192.5,3295,3350,3500,3500,3500,3500,3400,3300,3295,3300,3200,3400,3350,3500,3500,3500,3550,3500,3500,3400,3447.5,3500,3450,3500,3500,3500
"Texas",2,,,,,,,,,,,,,,2100,2172.5,2200,2200,2195,2100,2100,2000,2000,2000,1995,1995,2000,2000,2000,2000,2097.5,2000,1995,1990,2000,1950,1925,1995,2000,2095,2000,2050,2095,2099,2000,2000,2000,2100,2000,1995,1995,2050,2250,2300,2300,2300,2395,2295,2250,2250,2292.5,2250,2259,2395,2400,2500,2495,2495,2500,2550,2500,2470,2495,2500,2500,2500,2475,2500,2500,2495,2599,2495,2439.5,2399.5,2400,2395,2445,2500,2500,2499,2500,2495,2500,2500,2500,2497.5,2450,2450,2495,2500,2525,2595,2545,2500,2500,2550,2500,2500,2500,2500,2549.5,2600
"Florida",3,,,,,,,,,,,,,,,,,,3000,3000,3100,3000,3000,3000,2960,2850,3200,3000,3200,3300,3350,3300,3200,3000,3000,2995,3000,2950,2995,2900,2925,2700,2900,2800,3000,3000,3000,3000,2912.5,2900,2800,2850,3000,3000,3200,2800,2800,2797.5,2800,2800,2800,2800,2750,2900,2850,2800,2800,2800,2700,2750,2900,2950,2950,2895,2930,2900,2875,2840,2800,2950,2950,2900,3000,2800,2800,2850,2850,2950,2900,2950,3000,3100,3000,3000,3095,3000,3000,3100,3200,3200,3100,3150,3150,3195,3100,3000,3200,3195,3150,3175,3200,3200
"Pennsylvania",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,1992.5,1995,2067.5,1850,1850,1800,1650,1625,1550,1500,1750,1895,1800,1800,1900,1950,1950
"Georgia",5,,,,,,,,,,,,,2000,1962.5,2000,2000,2000,2100,2000,2000,2000,1962.5,1975,1900,1899.5,1975,1950,1975,1950,1900,1850,1700,1790,1700,1695,1695,1650,1700,1700,1700,1700,1700,1665,1700,1660,1600,1625,1600,1550,1575,1600,1750,1700,1700,1700,1795,1800,1800,1799.5,1795,1750,1795,1800,1800,1900,1910,1900,1875,1875,1850,1800,1850,1895,1895,1950,1950,1950,1950,1924,1995,1950,2000,1924,1800,1875,1900,2000,1995,2000,2000,2000,1995,1950,1950,1995,1950,1995,1995,1995,1995,2095,2000,2000,1995,2000,2000,2000,2000,1993,2000,2095
"North Carolina",6,,,2650,2495,2300,2195,1972.5,2000,2200,2150,2300,2174.5,1950,1850,1790,1789,1850,1897.5,1875,1850,1800,1697.5,1600,1800,1700,1700,1850,1922.5,1850,1800,1850,1925,1750,1750,1725,1800,1862.5,1850,1795,1795,1800,1800,1800,1800,1800,1797.5,1795,1795,1795,1795,1795,1800,1895,1875,1800,1800,1800,1800,1850,1900,1895,1875,1895,1850,1875,1850,1800,1800,1897.5,1845,1862.5,1895,1950,1995,2000,1900,1850,2000,1995,1900,1875,1900,1847.5,2000,1985,1995,2005,2000,2000,2050,1995,1995,1995,2000,1995,1995,1975,1997,2045,2045,2095,2100,2100,2100,2100,2050,2097.5,2100,2100,2100,2100
"New Jersey",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,3300,3500,3500,3500,3000,3000,2900,2837.5,2750,3000,3000,3170,3700,4000,3700,3500,3225,3000,2899.5,2874.5,2925,2900,3000,3400,3500,3750
"Virginia",8,2250,2000,2197.5,2200,2300,2450,2395,2350,2295,2200,2195,2100,2187.5,2250,2185,2200,2295,2300,2300,2200,2200,2200,2250,2295,2200,2250,2344.5,2400,2395,2400,2344.5,2250,2200,2200,2200,2200,2200,2300,2350,2350,2300,2395,2450,2377.5,2300,2295,2250,2200,2250,2250,2300,2450,2500,2500,2500,2495,2350,2300,2300,2250,2200,2200,2395,2400,2500,2500,2450,2400,2362.5,2395,2400,2295,2262.5,2297,2250,2395,2300,2471,2500,2472.5,2470,2400,2300,2400,2300,2375,2450,2500,2600,2500,2500,2500,2500,2475,2500,2400,2375,2400,2499,2500,2550,2550,2500,2500,2400,2500,2485,2450,2400,2449,2500
"Washington",9,,,,,,,,,,,,1612.5,1675,1750,1800,1940,1995,1800,1795,1850,1800,1800,1785,1750,1695,1685,1700,1722.5,1745,1750,1795,1725,1695,1595,1695,1650,1695,1695,1800,1800,1795,1800,1830,1700,1775,1795,1800,1750,1700,1725,1725,1912.5,1895,1900,1995,1925,1900,1895,1850,1895,1895,1900,1975,2000,1995,1995,2095,2100,2100,1995,1895,1999,1975,2100,1999.5,2180,2095,2250,2200,2200,2195,2250,2145,2295,2400,2500,2499,2515,2750,2600,2595,2550,2450,2395,2295,2295,2495,2536.5,2575,2695,2650,2650,2672.5,2700,2600,2595,2595,2522.5,2600,2650,2800
"Massachusetts",10,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,3900,3800,3700,3600,3650,3500,3600,3700,3900,3850,3800,3800,3800,3800,3800,3650,3600,3672.5,3600,3900,4200,4000,4100,4150,4000,3950,3850,3800,3850,3900,3800,4000,4200,4200,4000,4000,3995,3800,3800,3750,3600,3500,3650,4000,4350,4395,4300,4200,4100,4000,4000,4000,3995,3800,3700,4000,4475,4500,4400,4300,4300,4250,4200,4100,4050,3900,4200,4500,4700,4750,4600,4500,4500,4350,4200,4200,4100,4000,4350,4800,5000,4900,4800,4699.5
"Tennessee",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1522.5,1595,1695,1595,1600,1495,1650,1550,1400,1445,1550,1422.5,1597.5,1595,1595,1555,1700,1695,1550,1597.5,1650,1650,1825,1775,1550,1650,1750,1695,1692.5,1837.5,1800,1875
"Missouri",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1195,1247.5,1100,1097.5,1200,1129,1197,1109,1100,1200,1200,1150,1129,1150,1200,1247,1175,1200,1200,1200,1175,1100,1150,1100,1100,1100,1100,1122.5,1100,1137.5,1150,1249.5
"Maryland",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2697.5,2775,2625,2650,2925,3200,3100,2800,3197.5,3137.5,3337.5,3200,3400,3499,3000,3000,2770,2850,2790,2724.5,2700,2550,2700,2995,3050,3176.5,2900,2995,3000
"Minnesota",14,,,,,,,,,,,,,,,,,,,,,1617,1625,1600,1645,1530,1650,1695,1685,1750,1995,1800,1892.5,1695,1695,1797.5,1750,1800,1725,1795,1995,1800,1890,1800,1795,1895,2000,1950,1950,1900,1865,1812.5,1900,1905,1797.5,1800,1800,1795,1995,2000,1995,1750,2000,1997.5,1995,1900,1875,1900,1900,1995,2072.5,2010,1975,2057.5,2000,2000,1995,2000,1850,2000,1995,1800,1900,1900,2100,2195,1950,1912.5,1875,1950,2000,1995,1900,2100,2295,2295,2150,2100,1995,2010,2195,2100,2095,2000,1895,1995,2300,2300,2195,2200,2200,2195
"Colorado",15,,,,,,,,,,,,,,,,1700,1785,1795,1850,1892.5,1797.5,1750,1700,1700,1750,1895,2050,1995,1992.5,1895,1800,1795,1800,1897.5,1850,2000,1975,1900,1950,1850,1795,1712.5,1795,1795,1750,1995,1895,1950,1962.5,1900,1950,1900,1995,1937.5,1950,1950,1925,1970,1962.5,1990,2100,2150,2100,2195,2150,2150,2200,2124.5,2095,2122.5,2200,2300,2299.5,2200,2197.5,2150,2285,2250,2450,2072.5,2150,2395,2172.5,2250,2300,2250,2300,2400,2312.5,2250,2282.5,2299,2395,2400,2395,2400,2400,2445,2485,2400,2400,2400,2350,2395,2500,2500,2495,2495,2500,2500,2600
"Alabama",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1672.5,1745,1600,1800,1812.5,1800,1800,1890,1850,1950,2000,1985,1950,2000,2000,1950,1700,1895,1700,1800,1750,1890,1825,1875,1812.5,1925,1900,1897.5
"South Carolina",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,1925,1900,1925,1945,1900,1895,1850,1900,1895,1900,1997.5,2100,2095,2100,2000,2000,2095,2000,2000,2200,2000,1995,2100
"Oklahoma",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,1000,1137.5,1200,1095,1095,1095,1097.5,1110,1095,997.5,1000,1100,1100,1200,1072.5,1197.5,1100,1050,1025,1000,1050,995,995,1000,1050,1075,1075
"Connecticut",19,,,,,,,,,,,,,,,,,,1600,1550,1500,1500,1550,1595,1725,1600,1650,1700,1950,2000,1800,1695,1600,1500,1400,1350,1400,1550,1600,1600,1595,1600,1650,1500,1400,1300,1250,1250,1250,1300,1300,1350,1350,1300,1450,1400,1350,1400,1347.5,1300,1350,1400,1400,1400,1400,1450,1475,1500,1400,1400,1350,1350,1350,1395,1400,1500,1500,1500,1650,1450,1375,1450,1350,1450,1400,1450,1500,1500,1575,1600,1700,1695,1600,1500,1500,1500,1500,1590,1550,1550,1650,1700,1700,1650,1550,1500,1600,1600,1600,1600,1700,1650
"Kansas",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1200,1150,1350,1412.5,1350,1297,1295,1300,1250,1200,1150,1200,1200,1300,1312.5,1397.5,1449,1350,1300,1300,1275,1275,1260,1300,1300,1350,1350,1395,1395,1395,1395
"Utah",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1649,1695,1695,1625,1600,1595,1600,1650,1695,1695,1695,1750,1795,1805,1800,1795,1750,1750,1750,1750,1795,1800,1895,1900,1850,1800,1925,1885,1850,1800,1800,1850,1812.5,1825,1850
"Nevada",22,,,,,,1900,2000,1937.5,2195,2097.5,2100,1850,1800,1800,1895,1800,1850,1850,1850,1825,1895,1950,1950,1900,1800,1850,1750,1699,1750,1795,1795,1795,1700,1700,1695,1697,1695,1700,1700,1700,1700,1775,1795,1800,1795,1750,1712.5,1700,1750,1750,1750,1795,1795,1795,1800,1800,1795,1795,1800,1795,1795,1800,1815,1850,1972.5,1895,1895,1900,1850,1840,1875,1895,1900,1920,1900,1950,2000,1895,1995,1950,1932.5,2000,1895,1900,1995,2000,2100,2195,2100,2095,2100,2000,2000,2080,2095,2100,2095,2195,2295,2250,2200,2200,2200,2200,2200,2222,2247.5,2295,2200,2221,2395
"Nebraska",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1385,1300,1300,1300,1300,1200,1200,1100,1095,1099.5,1200,1250,1400,1400
"Idaho",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195,1195,1250,1125,1100,1000,1097,1135,1200,1137.5,1225,1350,1312.5,1350,1350,1312.5,1297,1275,1300,1300,1300
"Hawaii",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300,3400,3250,3400,3450,3250,3350,3000,3100,3000,2925,2800,2800,2685,2550,2675,3000,2800,3225,3400,3275,3275,3000,3315,2961,3100,3000,2985,3000,2850,2550,2600,2850,2900,2500,2690,3000,2800,3000,2850,2682,2650,2700,2669.5,2675,2900,2850,2775,2800,2600,2700,2600,2595,2595,2500,2664,2650,2697.5,2665.5,2600,2600,2600,2500,2500,2600,2550,2667,2700,2700,2725
"Maine",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,1800,1875,1950,2300,2300,2195,1950,1800,1800,1800,1725,1900,2200,2050
"Rhode Island",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2275,2500,2300,2100,2000,2000,2000,2200,2200,2000,2200,2250,2500,2400,2400,2100,2000,1995,1900,2200,2250,2250,2300,2200,2400,2500,2400
