"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"California",1,2195,2085,2095,2000,2000,2150,2200,2150,2149.5,2100,2100,1975,1975,1900,1950,1950,1950,1950,1900,1875,1875,1850,1800,1800,1800,1800,1650,1600,1700,1695,1700,1750,1700,1700,1650,1695,1700,1695,1660,1675,1650,1600,1584,1772.5,1990,1950,1995,2000,1995,1950,1950,2020,2100,2100,2135,2200,2200,2195,2199,2200,2200,2200,2295,2295,2300,2300,2350,2350,2360,2395,2400,2400,2400,2400,2400,2350,2395,2350,2350,2400,2350,2450,2300,2400,2495,2500,2500,2595,2600,2600,2600,2600,2600,2550,2550,2550,2595,2600,2650,2650,2690,2650,2650,2650,2650,2695,2650,2650,2650,2650,2700
"Texas",2,1200,1195,1200,1200,1195,1150,1125,1097.5,1200,1150,1100,1112.5,1095,1100,1100,1050,1095,1095,1000,999,995,980,1000,999,1100,1050,875,840,900,840,850,925,925,975,956,900,925,950,922,944,980,1000,1000,1070,1150,1169.5,1165,1110,1111,1100,1120,1150,1150,1195.5,1200,1195,1174.5,1150,1099,1113,1150,1190,1292.5,1268.5,1250,1265,1263,1250,1268,1250,1250,1295,1295,1295,1250,1245,1215,1216,1250,1200,1200,1230,1200,1250,1250,1250,1295,1295,1300,1280,1265,1250,1250,1250,1250,1250,1250,1275,1300,1300,1300,1300,1300,1300,1299,1300,1300,1300,1300,1300,1304.5
"New York",3,,,,,,,,,,,,,2500,2650,2700,2748,2750,2850,2900,2900,2900,2650,2500,2395,2595,2500,2550,2650,2700,2700,2750,2795,2850,2832.5,2900,2900,2900,2895,2900,2900,2800,2700,2795,2800,2950,3000,3000,3050,3050,3000,3000,3050,3100,3000,3000,3000,3000,2995,3000,3000,3000,3000,3000,3100,3150,3100,3100,3100,3015,3000,3000,3000,3000,3000,3000,3000,2975,2995,3000,2950,2995,2995,2900,2995,3000,3000,3100,3150,3176.5,3150,3050,3100,3000,3000,3000,3000,3000,2995,2995,3000,3000,3000,3000,3000,2995,2995,2977.5,2995,2995,2999,3000
"Florida",4,,,,,,,,,,,,,1470,1450,1450,1450,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1425,1450,1450,1550,1500,1500,1600,1600,1650,1600,1575,1500,1500,1550,1550,1600,1600,1600,1600,1600,1595,1600,1600,1600,1650,1700,1750,1800,1800,1800,1800,1825,1850,1800,1850,1800,1800,1750,1700,1650,1650,1650,1650,1800,1600,1650,1650,1700,1700,1700,1700,1700,1775,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1825,1850,1840,1850,1850,1800,1800,1800,1800
"Illinois",5,1350,1350,1350,1375,1397,1372.5,1350,1450,1475,1497.5,1550,1500,1500,1500,1535,1537.5,1550,1560,1560,1585,1550,1500,1500,1550,1550,1599,1500,1500,1550,1550,1575,1579.5,1600,1550,1550,1550,1560,1550,1550,1550,1550,1567,1575,1600,1600,1600,1600,1600,1600,1595,1595,1650,1650,1650,1650,1650,1650,1550,1650,1600,1600,1650,1626,1625,1650,1650,1650,1625,1600,1613,1600,1625,1650,1650,1675,1650,1650,1650,1650,1600,1600,1600,1600,1600,1650,1650,1665,1700,1700,1700,1725,1700,1688,1663,1650,1650,1650,1700,1700,1700,1750,1750,1791.5,1700,1700,1700,1700,1695,1650,1700,1700
"Pennsylvania",6,,,,,,,,,,,,,1437.5,1400,1500,1500,1500,1450,1450,1450,1400,1400,1490,1350,1425,1375,1400,1450,1400,1400,1400,1350,1300,1325,1275,1250,1295,1300,1300,1275,1250,1200,1150,1250,1400,1415,1400,1375,1375,1395,1400,1475,1495,1350,1325,1450,1400,1400,1350,1400,1400,1475,1500,1500,1480,1495,1475,1400,1400,1400,1400,1400,1400,1450,1495,1500,1495,1450,1450,1450,1400,1400,1400,1450,1450,1500,1500,1550,1550,1525,1547.5,1550,1500,1500,1500,1500,1500,1500,1550,1575,1550,1550,1500,1500,1500,1500,1525,1500,1575,1600,1625
"Ohio",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,982.5,1050,1000,1000,1099.5,1100,1100,1050,1100,1100,1095,1000,1037.5,995,995,1000,998,1075,1100,1100,1100,1100,1150,1125,1100,1100,1100,1100,1150,1190,1200,1200,1240,1200,1200,1150,1198,1150,1195,1195,1200,1200,1225
"Michigan",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1300,1275,1250,1250,1250,1250,1250,1300,1295,1262.5,1250,1200,1250,1275,1250,1240,1250,1380,1400,1375,1350,1350,1350,1350,1350,1350,1400,1422.5,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1470
"Georgia",9,1095,1100,1100,1150,1150,1100,1000,1050,1050,1100,1175,1125,1100,1100,1100,1100,1100,1100,1100,1100,1022,1000,1015,1000,1000,950,925,975,1000,1000,1000,995,995,1000,1000,1000,1020,1087,1100,1050,1000,1000,975,1000,1050,1025.5,1050,1050,1050,1050,1050,1050,1025,1050,1095,1095,1100,1100,1000,1050,1050,1060,1150,1150,1200,1195,1195,1200,1200,1250,1200,1195,1200,1200,1200,1200,1199.5,1200,1200,1250,1250,1250,1250,1250,1250,1295,1316.5,1322.5,1325,1337,1300,1300,1299,1275,1275,1295,1300,1300,1306.5,1350,1400,1400,1350,1325,1300,1300,1300,1300,1350,1400,1400
"North Carolina",10,900,937.5,950,990,995,990,937.5,995,995,995,975,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,832,850,850,850,850,850,850,850,800,822.5,837.5,825,845,825,815,825,809,849,890,895,882.5,875,875,875,850,895,895,895,895,875,875,875,875,900,850,850,850,845,850,859,890,825,850,895,847.5,850,900,900,925,925,925,950,950,950,950,935,995,995,1000,1025,1050,1050,1050,1100,1050,1050,1099,1100,1075,1095,1075,1100,1125,1150,1100,1100,1100,1100,1125,1150,1150,1150,1150,1150,1175
