"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"California",1,,1550,1650,1595,1600,1600,1600,1500,1485,1490,1499.5,1250,1250,1250,1250,1277.5,1250,1250,1200,1195,1195,1185,1177.5,1250,1270,1275,1270,1265,1200,1150,1150,1100,1150,1150,1150,1150,1175,1200,1200,1200,1195,1199,1200,1225,1250,1275,1250,1250,1250,1250,1275,1350,1295,1350,1295,1295,1295,1295,1300,1350,1350,1395,1450,1447,1495,1450,1525,1495,1495,1650,1700,1775,1825,1895,1895,1929,1750,1800,1650,1695,1695,1675,1695,1766,1800,1825,1895,1895,1850,1850,1850,1850,1895,1875,1875,1850,1850,1877.5,1900,1945,1900,1900,1917,1900,1900,1900,1925,1975,1950,1975,1995
"Texas",2,,850,850,850,892.5,825,850,850,850,875,850,850,850,850,850,854.5,850,825,823.5,815,800,799,770,870,949,950,910,960,875,800,795,795,780,785,789,795,795,800,820,840,856,900,925,1015,1015,1040,995,1085,1025,1021,1035,990,945,935,1000,995,1004,1014,1000,1000,995,950,995,950,900,895,895,895,899,900,899,900,900,950,950,950,965,975,985,995,950,950,930,960,950,970,991.5,995,995,995,985,975,975,950,960,960,995,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1025,1050
"New York",3,,,,,,,,,,,,,,,,,,,,,2500,2575,2500,2590,2600,2600,2625,2650,2700,2700,2710,2700,2713,2700,2700,2695,2750,2750,2750,2800,2825,2800,2800,2850,2895,2795,2752,2700,2750,2795,2800,2850,2850,2500,2500,2500,2500,2500,2495,2495,2500,2500,2600,2645,2600,2550,2600,2600,2595,2500,2500,2500,2500,2500,2507,2550,2600,2600,2600,2600,2690,2600,2450,2500,2495,2475,2500,2500,2521,2553,2595,2517,2500,2450,2400,2400,2400,2449,2500,2520,2595,2600,2600,2550,2500,2492,2450,2450,2475,2500,2525
"Florida",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1550,1450,1400,1400,1450,1500,1450,1500,1450,1500,1500,1400,1400,1400,1400,1400,1400,1400,1455,1500,1550,1590,1650,1550,1590,1550,1525,1500,1550,1650,1650,1580,1600,1575,1600,1600,1625,1600,1600,1650,1627,1600,1600,1600,1650,1600,1650,1700,1650,1650,1600,1642,1650,1600,1600,1650,1650,1699,1675,1700
"Illinois",5,,1232.5,1297.5,1300,1150,1172.5,1207.5,1299,1325,1351,1350,1300,1300,1325,1395,1400,1450,1400,1390,1395,1375,1365,1370,1285,1251,1295,1350,1415,1450,1448.5,1450,1375,1395,1375,1420,1415,1495,1450,1460,1528,1526,1525,1550,1525,1500,1510,1585,1515,1464,1485,1499,1474,1500,1631,1561.5,1600,1600,1635,1450,1525,1739,1554,1560,1600,1600,1650,1550,1768,1850,2000,1785,1650,1795,1500,1441,1480,1495,1450,1450,1400,1395,1400,1450,1395,1400,1400,1425,1445,1450,1450,1495,1500,1538,1550,1550,1506,1550,1575,1595,1600,1650,1665,1650,1678,1595,1600,1575,1625,1590,1665.5,1595
"Pennsylvania",6,837.5,875,850,895,850,850,850,850,850,900,875,819,800,825,812.5,840,800,797.5,825,825,800,800,800,850,892.5,869,850,875,850,850,850,800,795,795,795,800,850,895,925,950,950,925,937.5,910,900,950,927.5,900,900,900,925,975,975,937.5,900,900,910,950,925,950,950,985,1000,1002.5,1000,1050,995,995,950,1000,975,975,975,995,1000,1050,1000,995,900,900,895,895,895,900,950,975,1000,1000,1000,1000,975,975,975,995,995,975,975,995,1025,1000,999.5,995,950,900,925,960,962.5,975,975,999.5,1000
"Ohio",7,,,,,,,,750,750,725,725,650,650,625,647.5,625,625,600,625,625,650,600,587,599,625,600,595,600,599,585,585,595,595,595,575,560,565,575,595,575,575,575,580,595,595,599,600,575,589,595,599,599,595,599,599,600,625,600,600,600,600,636,650,650,636,600,600,625,615,629,650,650,650,675,690,700,675,650,699,625,695,650,690,650,695,700,713,705,695,700,698.5,700,700,700,700,700,699,715,709,705,715,715,700,725,725,725,725,725,720,715,745
"Michigan",8,,,,,,,,,,,,700,700,675,695,685,740,715,720,650,635,600,600,625,630,645,650,650,625,625,625,625,625,625,600,600,625,625,625,625,625,625,625,650,675,695,662.5,675,700,700,700,725,725,705,750,750,725,700,700,700,700,725,725,725,725,730,725,750,750,750,775,750,750,770,795,725,750,850,800,750,765,817.5,760,745,775,800,815,800,795,775,775,800,795,795,800,879,800,795,800,820,775,795,795,800,800,800,800,795,795,795,800
"Georgia",9,,,,,,,,,,,,,,,,,,,,,,,,,914,854.5,864,884,799,700,700,688.5,695,690,694,689.5,689,695,700,700,725,750,795,850,875,875,927.5,930,925,950,950,925,850,860,880,900,895,854.5,850,850,850,850,850,850,850,795,795,774,775,785,800,800,850,850,885,1000,1000,1050,1050,1050,875,839.5,850,800,850,900,950,925,950,950,950,925,875,900,895,895,850,900,970,950,950,1009.5,1050,1050,995,950,947,920,975,995,950
"North Carolina",10,575,615,600,675,600,625,650,675,650,637.5,737.5,695,710,715,700,700,700,695,700,699.5,695,685,675,675,700,720,715,700,700,685,685,685,679,677.5,652,675,677.5,680,705,700,695,675,675,695,715,700,700,700,700,708.5,734.5,735,725,735,745,700,700,700,700,700,700,699,715,695,700,699,695,695,675,695,700,700,700,725,750,765,775,775,745,775,727,725,725,700,750,738.5,762.5,775,779,775,750,750,750,750,795,795,750,750,775,795,795,792.5,795,785,799,800,800,795,795,800,820
