"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"California",1,,,,,,,,,,1600,1600,1650,1500,1550,1550,1650,1650,1650,1650,1650,1600,1500,1400,1400,1425,1440,1486,1473,1465,1485,1475,1500,1532,1495,1495,1450,1435,1458,1495,1483,1495,1490,1495,1500,1600,1600,1500,1645,1650,1600,1595,1625,1750,1750,1760,1795,1810,1850,1850,1851,1865,1895,1895,1915,1930,1950,1955,1995,2000,2000,2000,2005,2069,2099,2110,2100,2100,2095,2137,2045,2100,2011,2055,2000,2100,2176.5,2200,2200,2200,2200,2224,2201,2200,2200,2195,2195,2190,2200,2200,2237,2260,2285,2300,2315,2295,2297,2300,2300,2300,2300,2300,2345
"Texas",2,,950,950,950,975,1050,950,895,860,899,900,895,887,895,895,895,899,899,875,750,765,790,800,825,848,899,920,892,900,905,900,920,936,930,943,955,1000,950,970,970,972,977,1009,975,1070,1090,1109,1099,1130,1085,1075,1100,1099,1100,1096,1095,1090,1099,1100,1095,1099,1100,1095,1129,1122,1139,1133,1140,1150,1145,1195,1180,1195,1189,1220,1204,1200,1200,1189,1188,1200,1150,1147,1125,1190,1200,1200,1225,1244,1242,1240,1245,1239,1225,1248,1249,1241,1274,1280,1286,1294,1295,1300,1300,1299,1306,1310,1300,1302,1315,1326,1325
"New York",3,,,1890,2100,2000,2200,2000,1950,1950,2150,2000,2200,2000,2000,2350,2450,2495,2473,2550,2600,2599,2500,2450,2400,2400,2500,2500,2550,2600,2625,2650,2695,2700,2700,2700,2700,2650,2725,2700,2750,2800,2825,2795,2795,2800,2850,2750,2750,2700,2700,2750,2750,2800,2895,2460,2420,2450,2400,2400,2400,2400,2400,2450,2500,2500,2500,2499,2500,2500,2475,2400,2400,2400,2400,2404,2495,2500,2500,2510,2500,2550,2600,2550,2350,2400,2350,2350,2400,2400,2450,2450,2450,2400,2350,2300,2300,2300,2300,2300,2395,2400,2450,2450,2450,2400,2350,2300,2300,2300,2300,2350,2400
"Florida",4,,,,,,,,,,,,,,1395,1375,1400,1399,1350,1325,1300,1350,1300,1250,1290.5,1250,1250,1250,1250,1250,1275,1250,1245,1200,1200,1200,1180,1115,1150,1175,1195,1200,1200,1315,1300,1350,1400,1400,1400,1395,1349,1300,1300,1350,1350,1350,1350,1395,1375,1350,1350,1325,1400,1400,1390,1425,1450,1550,1600,1550,1595,1590,1585,1600,1600,1614,1595,1550,1525,1500,1500,1500,1532,1625,1499,1514,1539,1550,1565,1559,1570,1578,1600,1600,1600,1600,1605,1600,1600,1620,1650,1647,1640,1649,1650,1650,1650,1650,1645,1635,1650,1650,1650
"Illinois",5,1550,1300,1295,1295,1275,1275,1250,1250,1295,1360,1365,1400,1350,1350,1350,1400,1430,1435,1400,1400,1400,1385,1350,1350,1350,1345,1329,1306,1350,1362.5,1380,1395,1409,1445,1395,1400,1395,1500,1455,1475,1500,1535,1550,1550,1549,1500,1502,1555,1504,1477,1493,1497,1525,1568.5,1631,1545,1629,1620,1550,1450,1495,1600,1509,1500,1550,1545,1545,1500,1580,1595,1645,1570,1525,1600,1520,1506,1545,1530,1515,1500,1495,1450,1475,1483,1475,1495,1495,1500,1550,1550,1550,1550,1550,1550,1550,1525,1519,1550,1575,1600,1600,1615,1620,1600,1600,1595,1595,1600,1620,1640,1675,1664
"Pennsylvania",6,,,1172.5,1195,1200,1225,1200,1200,1003,999.5,1009,999,995,992.5,995,1000,1050,1000,1000,1050,1025,969,965,970,999,1048,1055,1100,1120,1100,1100,1095,1054,1015,1049,1000,990,1030,1050,1070,1125,1100,1050,1000,1000,995,1000,1025,999,1000,1000,1050,1175,1150,1100,1100,1075,1075,1080,1050,1070,1095,1125,1195,1200,1179,1150,1125,1100,1095,1170,1100,1189,1195,1199,1200,1225,1195,1185,1150,1100,1140,1100,1100,1100,1150,1200,1200,1250,1250,1250,1230,1210,1200,1200,1200,1200,1200,1250,1285,1300,1295,1295,1275,1250,1275,1295,1295,1295,1295,1325,1345
"Ohio",7,,,,,,,,,,654,649,649,641,640,639.5,695,695,695,695,699,700,650,650,650,670,675,675,650,645,639,635,655,650,650,665,650,635,650,675,659,669,650,650,645,637.5,650,625,669,650,650,650,675,675,670,625,639,694,699.5,709,715,710,750,765,760.5,800,775,765,750,750,750,809,815,800,799,825,850,850,825,840,825,825,820,800,800,830,849,860,875,876,869,870,859,875,860,850,854,860,876,899,900,915,910,910,924,909,925,920,900,899,900,925,950
"Michigan",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,925,900,905,950,950,985,855,870,900,935,975,970,949,900,920,950,935,910,995,999,945,1000,1045,960,950,950,975,980,950,995,995,990,1013,1000,995,990,968.5,986,1000,1050,1039,1025,1025,1019,1050,1079,1076,1040,1024,1000,1020,1059
"Georgia",9,,1025,1000,1000,1050,1100,1000,950,900,900,915,999,900,925,950,950,950,950,925,924,925,825,815,830,820,869,855,850,860,850,855,895,865,867,866.5,850,849,867,879,885,886,900,905,900,950,950,925,975,1000,999,1000,1000,995,995,988,995,995,992,1000,995,1000,1000,1007,1049,1066,1100,1075,1098.5,1097.5,1095,1200,1192,1195,1179,1200,1200,1105,1156,1155,1168.5,1219,1145,1150,1145,1205,1210,1240,1250,1275,1274,1274,1282,1273,1269,1275,1278,1285,1300,1319,1332,1360,1363,1375,1400,1372,1430,1421,1412,1420,1431,1450,1455
"North Carolina",10,,,875,875,897.5,850,862.5,850,879.5,875,864.5,875,762,750,775,750,750,750,750,750,765,750,760,752,770,780,795,795,785,775,775,815,820,825,820,795,794,805,829,838,844,845,840,803,800,800,795,800,804,800,800,800,845,850,847.5,850,825,830,850,850,863,850,875,880,889,890,890,900,900,900,999,975,985,1000,1085,1047,1073,1075,1100,1080,1100,1060,1025,1005,1075,1043.5,1075,1097,1118,1124,1140,1140,1137,1133,1150,1139,1144,1179,1185,1200,1226,1223,1215,1231,1229,1235,1250,1249,1240,1254,1255,1270
"New Jersey",11,,,,,,,,,,,,,,,,,,,,,,,,1950,1850,1800,1850,1900,1892.5,1850,1850,1800,1750,1700,1750,1650,1650,1700,1800,1800,1800,1648,1650,1600,1575,1570,1600,1620,1600,1600,1600,1600,1700,1677.5,1750,1800,1850,1945,1800,1600,1600,1650,1625,1655,1700,1700,1700,1695,1650,1639,1650,1675,1722.5,1800,1800,1775,1756,1780,1781,1700,1748,1700,1725,1700,1745,1740,1780,1800,1815,1825,1850,1820,1810,1810,1800,1800,1825,1850,1850,1870,1900,1950,1925,1920,1900,1935,1950,1975,1950,1980,1971,2005
"Virginia",12,,,1199,1200,1250,1300,1300,1250,1260,1295,1300,1300,1200,1200,1225.5,1250,1250,1300,1300,1350,1350,1350,1395,1380,1395,1380,1435,1455,1500,1500,1500,1490,1469,1467,1500,1490,1475,1475,1485,1457,1410,1400,1400,1425,1464,1450,1395,1450,1464,1425,1409,1455,1500,1550,1550,1550,1500,1475,1465,1440,1410,1469,1445,1435,1445.5,1450,1453.5,1452,1450,1429,1430,1411,1408.5,1418,1450,1450,1430,1391.5,1440,1405,1400,1400,1400,1395,1457.5,1475,1490,1500,1509,1530,1550,1545,1515,1521.5,1539,1530,1529,1550,1540,1564,1591,1595,1600,1605,1595,1605,1593.5,1599,1590,1585,1599,1610
"Washington",13,975,900,950,975,950,1050,1095,1095,995,1000,995,965,925,950,930,950,995,995,975,995,995,995,990.5,970,975,995,1015,1023,1010,1010,1025,1054,1065,1075,1090,1066,1045,1075,1105,1102,1110,1100,1125,1137.5,1195,1195,1175,1200,1195,1175,1175,1210,1280,1300,1325,1300,1360,1302,1368,1350,1350,1400,1400,1400,1408,1440,1450,1480,1495,1465,1425,1475,1485,1495,1540,1530,1570,1558.5,1583,1521,1575,1521,1500,1520,1584,1595,1650,1650,1700,1721,1699,1680,1675,1650,1625,1626,1638,1643,1643,1665,1725,1745,1750,1756,1704,1725,1717,1725,1725,1705,1700,1717
