"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"California",1,,1425,1600,1750,1600,1695,1650,1650,1575,1550,1562.5,1350,1350,1345,1286,1325,1277,1300,1300,1250,1175,995,982.5,1050,1095,1145,1146,1150,1150,1143,1150,1175,1150,1150,1125,1121,1158,1200,1215,1227,1195,1195,1195,1200,1225,1050,1200,1225,1200,1150,1180,1262.5,1250,1287.5,1295,1359.5,1395,1400,1420,1445,1419,1495,1500,1475,1555,1545,1595,1600,1600,1575,1595,1695,1700,1745,1752,1772.5,1700,1795,1650,1722,1675,1695,1650,1710,1850,1855,1850,1845,1868,1902,1900,1915,1900,1864,1880,1878.5,1880,1885,1896,1935,1911,1933,1952.5,1955,1981,1982.5,1973,1974,1962,1990,2000
"Texas",2,,,,,,,,,,,,,,,,,,,,,,,,,,1195,1150,1200,1225,1200,1195,1150,1100,1100,1100,1000,1050,1050,1100,1050,1095,1100,1150,1200,1195,1175,1199.5,1195,1195,1200,1200,1295,1300,1350,1325,1300,1299,1299,1300,1300,1300,1325,1350,1375,1400,1395,1383,1350,1350,1300,1300,1300,1300,1325,1350,1350,1354,1400,1395,1359,1358,1350,1350,1350,1350,1350,1400,1400,1425,1450,1400,1400,1395,1395,1390,1350,1375,1395,1400,1450,1475,1495,1450,1450,1425,1418,1415,1400,1406,1425,1450
"New York",3,2000,2100,2300,2150,2300,2200,2000,2000,2100,2000,2250,2097,1975,2000,2092.5,2100,2100,2200,2200,2200,2100,2100,2075,2075,2100,2100,2150,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2225,2200,2241.5,2287,2275,2295,2300,2295,2295,2295,2295,2300,2340,2300,2275,2291,2300,2300,2300,2300,2300,2350,2400,2419,2450,2425,2495,2495,2400,2400,2400,2395,2380,2395,2400,2394,2375,2360,2350,2350,2350,2375,2200,2300,2400,2450,2475,2495,2500,2500,2495,2500,2450,2400,2400,2375,2400,2400,2450,2499,2500,2495,2480,2425,2400,2399,2400,2400,2400,2450,2500
"Florida",4,,1400,1350,1350,1350,1400,1450,1450,1400,1400,1400,1350,1300,1300,1300,1300,1200,1250,1250,1250,1250,1250,1227,1200,1200,1225,1232.5,1250,1250,1250,1250,1250,1250,1250,1250,1250,1255,1300,1300,1300,1300,1350,1350,1360,1450,1450,1498,1450,1400,1395,1350,1475,1475,1475,1450,1475,1450,1450,1450,1425,1425,1495,1500,1500,1500,1500,1500,1500,1520,1530,1550,1575,1595,1600,1600,1550,1500,1500,1450,1469.5,1500,1600,1450,1495,1500,1550,1595,1560,1599.5,1600,1650,1671,1650,1657,1690,1659,1650,1630,1700,1695,1695,1675,1675,1695,1665,1675,1699,1680,1700,1700,1700
"Illinois",5,1350,1400,1462.5,1475,1462.5,1475,1500,1510,1550,1550,1600,1460,1400,1350,1364,1382.5,1350,1340,1339,1350,1300.5,1275,1275,1254,1230,1241,1275,1295,1285,1325,1375,1359,1350,1350,1350,1355,1400,1395,1395,1409,1410,1421,1465,1475,1452,1419,1450,1439,1410.5,1400,1400,1455,1500,1541,1450,1553,1540,1400,1400,1450,1550,1495,1458,1491,1499,1475,1450,1490,1480,1492,1454,1450,1481,1450,1425.5,1450,1417,1414.5,1400,1400,1442,1450,1438,1425,1403,1400,1400,1409,1425,1450,1450,1487,1465,1450,1425,1425,1413.5,1400,1400,1400,1420,1435,1450,1400,1400,1400,1400,1405,1395,1472.5,1450
"Pennsylvania",6,,1270,1200,1225,1200,1200,1300,1200,1150,1262.5,1237.5,1025,1100,1075,1175,1100,1100,1200,1200,1195,1050,995,1000,950,960,995,975,1000,995,995,995,990,950,940,950,950,965,1050,1050,1000,1000,995,995,1090,1000,995,1000,995,975,995,1000,1100,1086,950,922.5,1070.5,1100,1050,950,1000,995,1000,1080,1100,1100,1045,1000,1000,1000,1050,1050,1095,1100,1100,1180,1100,1100,1050,1075,1032.5,1100,1000,1075,1035,1045,1075,1100,1100,1125,1115,1132,1150,1145,1150,1100,1100,1100,1190,1190,1195,1170,1170,1150,1100,1100,1150,1150,1125,1150,1195,1200
"Ohio",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699.5,650,699,725,650,695,699,700,700,719,699,750,825,749.5,718,725,750,750,800,850,860,850,867.5,900,875,893,817,800,875,825,850,850
"Michigan",8,950,995,1000,1050,1100,1000,1100,1100,997,1000,1000,875,850,875,900,950,950,950,950,900,800,780,775,795,800,800,800,800,795,795,800,800,800,800,775,750,780,800,795,795,785,800,800,800,800,800,800,800,800,800,800,800,820,800,830,850,850,775,825,825,800,825,850,850,850,850,850,850,850,850,850,850,850,850,895,895,875,900,900,900,925,925,875,895,875,895,899.5,900,935,950,950,955,950,950,900,920,900,925,950,950,950,950,950,1000,987.5,975,950,960,950,975,1000
"Georgia",9,,,1300,1300,1350,1200,1200,1162.5,1200,1100,1175,1000,1000,1000,1100,1150,1150,1100,1050,1075,1050,1000,975,975,950,950,950,975,995,995,1000,1000,995,995,950,940,916,950,950,1000,1000,1000,1005,1050,1050,1000,1050,1050,1030,1000,1000,1050,1080,1091,1100,1100,1100,1100,1000,980,975,995,1000,1000,1000,1025,995,995,995,1095,1100,1100,1134.5,1164,1200,1200,1156.5,1195,1200,1200,1175,1195,1200,1195,1200,1200,1218.5,1250,1289,1275,1250,1209.5,1200,1200,1231,1214,1250,1275,1289,1300,1300,1300,1305,1250,1345,1370,1350,1350,1375,1393,1389
"North Carolina",10,,,,,,,,,,,,,1175,1195,1250,1200,1200,1200,1195,1150,1100,1100,1100,1125,1100,1150,1180,1200,1200,1200,1195,1175,1175,1150,1100,1100,1095,1100,1150,1195,1200,1200,1175,1175,1195,1195,1195,1195,1192.5,1195,1195,1250,1250,1250,1250,1250,1237.5,1250,1225,1250,1195,1200,1225,1200,1210,1275,1250,1200,1200,1200,1200,1200,1250,1275,1295,1300,1300,1350,1300,1283,1275,1295,1275,1300,1300,1350,1395,1395,1395,1369,1350,1350,1350,1350,1350,1306,1350,1375,1375,1375,1395,1400,1395,1385,1365,1355,1380,1375,1375,1395,1395
