"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
9,"California",1,94300,94200,94000,93600,93300,93000,92700,92500,92400,92500,92400,92300,92200,92300,92500,92900,93500,94200,95100,96100,97400,98700,99800,100700,101500,102200,102900,103600,104300,105200,106000,107000,108000,109200,110400,111400,112500,113500,114600,115600,116700,117800,119000,120400,122000,123700,125500,127100,128700,130400,132100,133900,135600,137300,139100,140800,142600,144600,146600,148500,150400,152300,154100,155900,157800,159600,161600,163600,165700,168000,170400,172800,175300,177900,180500,183300,186100,189100,192100,195000,197800,200400,202800,205300,208000,210900,214000,217500,221200,225100,229100,233200,237600,242200,247100,252600,258600,264900,271400,277700,283500,288900,293900,298600,303100,307500,311600,315700,319700,323600,327400,331100,334600,337900,341100,343900,346200,348200,349900,351400,352600,353000,352700,351800,350100,348200,346200,344100,342200,340500,338500,336400,334100,331700,329000,326200,322900,319400,315600,311600,307100,302600,297500,292400,287200,282100,276800,272000,267400,263200,259300,255500,251700,248000,243900,239400,234900,230100,225700,222300,219700,217700,216400,215600,215200,215300,215400,213900,211900,210900,210500,208900,207100,205200,202800,200500,198200,195400,193300,192100,190500,188100,185900,184200,182900,181400,179600,178200,177200,176300,175600,175400,175900,176800,177600,178800,180200,181800,184200,186900,189200,191700,195400,200200,206000,212200,218300,224300,230000,235300,239800,243200,246100,249000,251800,254500,257200,259600,261700,263500,265100,266800,268700,270700,272900,275400,278000,280400,282500,284800,287700,289900,291800,294200,296600,299200,302400,305300,307200,309500,312300,314700,316800,319400,322300,325300,328000,330700,333400,335800,337500,338900,340600,342500,344500,346700,349400,352600,356000,359000,362000,366000,370000,372500,374600,377200,379300,380800,382500,384500,386200,387100,387500,387700,387600,387300,386600
54,"Texas",2,46500,46500,46500,46500,46500,46400,46400,46300,46200,46100,45900,45700,45500,45400,45300,45200,45000,44900,44800,44800,44900,45100,45400,45800,46300,46900,47600,48300,48900,49500,50000,50400,50900,51300,51500,51700,51900,52000,52200,52500,53000,53700,54400,55200,55800,56200,56400,56400,56300,56200,56100,55900,55700,55500,55200,54800,54400,54100,53800,53600,53400,53300,53300,53300,53300,53300,53300,53400,53500,53500,53500,53600,53700,53800,53900,54100,54300,54500,54700,54900,55100,55300,55500,55700,55800,55900,56000,56000,56100,56100,56100,56200,56400,56700,57300,57900,58500,59100,59600,60000,60300,60400,60500,60700,60800,61100,61400,61700,62000,62200,62300,62400,62500,62600,62700,62900,63100,63300,63400,63500,63600,63700,63800,63900,64000,64200,64400,64500,64600,64700,64700,64900,65000,65000,65000,64900,65000,65100,65300,65400,65300,64900,64500,64000,63600,63300,63200,63300,63400,63500,63700,63900,64100,64200,64400,64800,65000,65000,65000,65000,64900,64800,64600,64200,63800,63400,63300,63600,63600,63200,62600,62100,62100,62300,62100,62300,62100,61900,61600,61300,61200,61400,61600,62200,63100,63900,64800,64700,65100,66600,66200,64600,64500,64700,64600,65700,65800,65000,64000,64000,64500,64300,64800,66000,65800,65400,65900,65400,65100,64600,64100,64200,64500,64200,64100,64100,64300,64800,65000,64400,63800,64000,64300,64800,65100,65500,66700,67900,68600,69300,70000,70000,69900,70200,70800,71100,71400,72000,72100,72600,73500,74300,75800,78000,79900,80900,81800,82300,82400,82500,82800,83600,85400,87500,87700,86600,86000,87000,88200,88000,87100,87400,88400,89500,90100,90400,90700,91500,92400,93300,94200,95600,96800,97500,98400,97800,95700
43,"New York",3,60600,60500,60500,60400,60300,60200,60000,59900,59800,59800,59700,59500,59300,59200,59200,59100,59000,59000,59000,59100,59300,59600,59800,59900,60100,60200,60300,60500,60700,60800,60900,61000,61100,61100,61100,61100,61200,61300,61300,61400,61600,61700,61900,62000,62300,62500,62900,63200,63500,63900,64300,64600,64900,65200,65400,65500,65700,65900,66100,66300,66500,66800,67200,67500,67900,68300,68800,69200,69800,70300,70800,71300,71700,72200,72800,73200,73700,74100,74600,75100,75600,76300,77100,77900,78700,79600,80400,81200,82200,83100,83900,84700,85500,86200,87000,87900,88800,89700,90500,91300,92100,92900,93800,94900,96200,97500,98800,100100,101300,102400,103400,104600,105800,107100,108500,110000,111400,112600,113600,114500,115400,116400,117300,118000,118600,119100,119400,119700,119900,120100,120300,120400,120400,120500,120800,121200,121700,122200,122800,123100,123100,122900,122600,122300,122000,121500,120900,120200,119400,118500,117700,116800,116000,115200,114500,113800,113000,112200,111500,110900,110400,110000,109900,109800,109900,110100,110300,110500,110700,110900,111100,111200,111200,110700,109800,109200,108700,108000,107200,106600,106400,106200,105800,105600,105400,105100,104700,104300,104000,104100,104100,104100,103800,103500,103000,102500,102200,102200,102300,102300,102300,102500,102900,103400,103900,104700,105300,105800,106100,106700,107400,107900,108100,108200,108100,108100,108200,108100,108000,108100,108300,108500,108700,109000,109100,108900,109000,109100,109300,109500,109700,109900,110200,110400,110600,110800,110800,110700,110400,110300,110500,110500,110700,111000,111400,111900,112400,112700,113200,114100,114900,115700,116700,117700,118500,119300,119900,120200,120400,120800,121300,122000,122800,123800,124400,125200,126200,127400,128400,129300,130200,131300,132100,132800,133400,133200,132200
14,"Florida",4,42200,42300,42300,42300,42300,42300,42400,42300,42400,42400,42500,42500,42500,42500,42600,42700,42800,42900,43100,43200,43400,43600,43800,43900,43900,44000,44000,44100,44200,44400,44500,44800,45000,45200,45500,45700,45800,46000,46200,46400,46600,46800,47000,47200,47500,47900,48300,48600,48900,49300,49700,50000,50300,50600,51000,51500,52000,52700,53400,54300,55200,56100,57100,58000,59000,60000,61000,62000,62900,63800,64500,65100,65700,66100,66600,67200,67700,68200,68800,69400,70100,70800,71500,72300,73200,74100,75000,76100,77200,78300,79500,80700,81900,83200,84500,85800,87200,88800,90600,92600,94700,97000,99500,102300,105400,108700,112200,116000,120100,124200,128200,132100,135700,138900,141900,144400,146800,148800,150800,152900,155100,157000,158400,159400,160100,160400,160300,159900,159200,158400,157200,156100,155300,154300,153000,151500,150000,148300,146300,144000,141500,138800,135700,132700,130000,127000,123500,119800,115700,111500,107200,102800,98500,94300,90100,85900,81900,77800,73700,70400,67800,65700,64100,62700,61800,61400,61400,60100,57800,56100,55600,54800,53900,52900,52300,51700,51000,50200,49400,49000,49000,49000,49000,49000,49000,49100,49300,49600,49800,49900,50200,50800,51600,52200,52700,53200,53700,54300,54600,55000,55700,56500,57100,57900,59000,60200,61300,62100,63000,64000,65000,66000,66900,67600,68300,69100,70100,71000,71900,73000,74200,75000,75400,75900,76300,76600,77100,78000,78900,79700,80200,81000,81700,82500,83400,84300,84900,85500,86200,86900,87700,89000,90300,91400,92700,94000,95500,97100,98400,99700,100800,101800,103100,104500,105300,106300,107500,108800,109600,110100,110800,112000,113500,114600,115400,116100,116900,117600,118200,118800,119800,120600,121200,121700,122100,121900,121400
21,"Illinois",5,60000,60200,60400,60500,60400,60300,60100,59900,59600,59500,59200,58900,58600,58500,58400,58400,58400,58600,58900,59300,59800,60600,61200,61900,62500,63100,63500,63900,64200,64500,64600,64700,64800,65000,65000,65000,65000,65100,65200,65300,65500,65800,66000,66300,66700,67200,67700,68100,68600,69100,69600,70000,70600,71100,71500,72000,72400,72800,73200,73500,73800,74100,74500,74900,75400,75900,76500,77200,77800,78500,79100,79800,80400,81000,81500,82000,82500,83000,83500,84100,84900,85600,86400,87000,87400,87700,88000,88300,88600,88900,89300,89700,90200,90600,91100,91700,92400,93200,94100,94900,95700,96400,97000,97400,97700,97900,98100,98200,98600,99200,99800,100700,101600,102700,103600,104400,105000,105400,105700,106000,106400,106700,107000,107100,107200,107400,107600,107900,108200,108500,108900,109300,109700,109800,109400,109000,108800,108800,108900,108800,108600,108300,107700,107300,106900,106100,104900,103800,103100,102500,101900,101300,100600,99900,99100,98400,97900,96900,95400,94100,93000,91600,89900,88500,87700,87200,87300,86000,83700,82000,81000,80000,79700,79100,78300,78100,78100,77500,76600,76200,75800,75000,74100,73800,72500,70500,68900,68000,66700,65600,64600,64000,63500,63500,64400,64700,63100,62200,62200,61600,61000,60600,60200,60000,60700,61200,61500,61900,63500,64800,65300,65000,65100,65300,65500,65100,64500,65000,65800,65700,65400,66000,66500,66800,66500,66400,66600,67400,67900,68000,68000,68200,68400,68700,68900,69000,69200,69100,68700,68900,69500,69800,69700,69800,70500,70900,71200,71700,72800,74100,75600,76500,77400,78400,78900,79300,80700,82200,83600,85100,86100,86800,87700,88800,89300,89200,88800,88900,89200,89600,90300,91200,92200,92700,92800,92700,92500
47,"Pennsylvania",6,50600,50700,50700,50800,50800,50900,51000,51100,51300,51500,51700,51800,52000,52200,52300,52500,52600,52800,53000,53200,53500,53800,54200,54400,54600,54800,55000,55200,55400,55600,55800,56100,56300,56600,56900,57100,57300,57500,57500,57600,57700,57800,58000,58300,58500,58800,59100,59300,59500,59700,59800,59800,59800,59900,60000,60100,60300,60500,60900,61300,61700,62300,62900,63600,64200,64900,65600,66200,66900,67500,68100,68600,69100,69600,70000,70400,70700,71000,71400,71700,72100,72600,73100,73600,74100,74600,75100,75700,76300,76800,77200,77600,78000,78400,78800,79300,79900,80600,81400,82200,83100,84100,85100,86000,86800,87500,88000,88500,89000,89500,90000,90700,91300,91900,92500,93200,93800,94400,95100,95800,96500,97100,97700,98300,98700,99100,99400,99700,100100,100600,101100,101700,102200,102800,103400,103900,104400,104900,105300,105600,105700,105700,105400,105100,104700,104500,104200,103800,103400,103000,102600,102400,102200,102000,101900,101800,101600,101300,101000,100700,100500,100500,100600,100600,100700,100900,101200,101200,100900,100400,99900,99000,98000,97000,95800,94500,93600,92800,92200,91700,91400,90900,90300,89700,89200,88800,88600,88400,87600,86700,86000,85500,85100,85000,85000,85300,85500,85700,85700,86000,86200,86300,86000,85600,85400,85500,85400,85300,85400,85500,85400,85400,85500,85600,85700,85800,85800,85800,85800,86000,86200,86400,86900,87600,88100,88300,88500,88700,89000,89100,89100,89300,89600,89600,89200,88700,88900,89200,89300,89600,90100,90600,91500,92200,92100,92000,92200,92800,93300,93800,94700,95700,96600,97300,98100,98900,99600,100400,101300,102200,103000,103800,104700,105700,106400,107000,107600,107900,108500,109600,110300,110300,109900,109800,110300,110200,109300
44,"Ohio",7,46900,47000,47000,47100,47200,47300,47400,47600,47700,47800,47900,48000,48100,48200,48300,48500,48700,48900,49200,49500,49800,50200,50500,50900,51200,51500,51900,52400,52800,53100,53500,53900,54200,54500,54900,55100,55400,55600,55800,56000,56200,56400,56600,56900,57100,57300,57500,57800,58000,58200,58400,58600,58800,58900,59000,59200,59500,59800,60100,60500,60900,61200,61500,61700,61900,62100,62300,62400,62500,62600,62700,62900,63200,63400,63700,64000,64400,64700,65100,65400,65700,65900,66000,66100,66000,66000,66000,66100,66200,66400,66500,66700,66800,66900,67100,67300,67600,67800,68000,68300,68500,68600,68700,68900,69000,69200,69400,69500,69800,70000,70200,70300,70300,70500,70600,70900,71000,71200,71200,71200,71200,71200,71100,71100,71100,71100,71100,70900,70700,70500,70300,70000,69800,69500,69100,68700,68300,67900,67500,67100,66800,66600,66400,66300,66000,65800,65500,65200,64800,64500,64100,63800,63500,63100,62700,62300,61900,61500,61100,60700,60500,60500,60500,60500,60400,60300,60200,60100,60000,59800,59600,59600,59500,59100,58500,57700,57000,56500,55900,55200,54600,54000,53300,52600,52100,51700,51600,51400,51300,51200,50800,50500,50500,50600,50900,50900,50600,50500,50400,50300,50400,50500,50600,50800,51100,51400,51700,51700,51700,51600,51600,51800,52100,52200,52500,52600,52700,52800,52900,53400,54000,54300,54500,54800,55000,55100,55500,55800,56100,56300,56300,56300,56500,56800,57200,57400,57500,57500,57500,57600,57900,58100,58400,58700,58900,59100,59500,60000,60500,60700,60900,61600,62400,63200,63900,64700,65200,65700,66100,66000,65900,66400,67400,68500,69400,69900,70500,71100,71600,72200,72800,73300,74000,74700,74900,74100,72800
30,"Michigan",8,59200,59600,60100,60500,60900,61200,61600,61900,62200,62600,62900,63200,63600,63900,64400,64900,65400,65900,66500,67100,67800,68500,69200,69700,70300,70800,71200,71500,71800,72100,72400,72800,73300,73900,74500,75000,75600,76300,76900,77400,78000,78500,79000,79500,80000,80500,81100,81700,82300,82900,83500,84100,84600,85200,85700,86100,86600,87000,87400,87700,87900,88100,88300,88400,88600,88800,89000,89200,89400,89700,90000,90400,90800,91200,91600,92000,92400,92800,93200,93700,94100,94400,94500,94600,94700,94800,95100,95500,95900,96100,96400,96600,96700,97000,97200,97500,97900,98300,98800,99300,99800,100400,101100,101800,102500,103200,103700,104300,104900,105300,105600,105800,105800,105700,105700,105600,105500,105400,105200,105000,104900,104500,104100,103800,103400,103100,102800,102500,102100,101600,101100,100700,100300,99800,99200,98400,97600,96700,95700,94900,94100,93200,92300,91400,90300,89000,87400,85900,84500,83200,81900,80600,79400,78100,76800,75700,74600,73400,72100,71000,69900,68700,67600,66700,66200,65700,65700,65000,63600,63000,63000,62600,62300,62100,61900,61200,60100,59100,58300,57400,56900,56400,55800,55400,55300,55000,54800,54900,55200,55700,55900,55900,56200,56600,56900,57300,57600,57800,58100,58500,58700,59000,59500,60300,61300,62100,62800,63700,64600,65800,66800,67600,68200,68900,69600,70300,70900,71400,71900,72400,73000,73700,74000,74100,74500,75000,75300,76000,77100,77900,78600,79200,79800,80300,80700,81200,82000,82900,83600,84200,84800,85400,85900,86700,87500,88200,88700,89600,90500,90900,91200,92200,93500,94800,96000,96700,97000,97200,97700,98500,99000,99300,100200,101300,102200,103400,105100,106800,108000,109100,110600,112100,113500,114400,115100,115000,114400
16,"Georgia",9,61500,61600,61800,61900,62200,62500,62900,63400,64000,64600,65200,65800,66300,66800,67300,67800,68300,68800,69400,70000,70700,71500,72400,73200,74100,75100,76200,77400,78600,79900,81200,82500,84000,85500,87000,88600,90400,92200,94200,96300,98400,100500,102400,104300,106200,108100,109900,111600,113400,115100,116800,118400,119900,121200,122500,123700,124900,126200,127400,128500,129600,130500,131200,131800,132300,132500,132700,132900,133000,133100,133200,133200,133100,133000,132800,132700,132400,132200,132100,132100,132100,132200,132400,132500,132700,132700,132800,132700,132700,132600,132700,133100,133800,134800,135800,136700,137300,137700,137900,138200,138700,139500,140300,140600,140400,139900,139500,139500,140000,140600,141400,141900,142300,142500,142800,143200,143700,144100,144200,144000,143600,143200,143000,143300,143800,144300,144900,145400,145800,146100,146200,146300,146500,146500,146500,146900,147200,147500,147500,147300,146700,145900,145000,144400,143900,143200,142500,141600,140600,139400,138300,137100,136000,134800,133300,131700,130000,128100,126300,125500,125100,124500,123500,122500,121700,121100,120900,119200,116900,115200,113100,109800,107700,106200,104200,101900,99800,97600,95400,93700,92500,91400,90700,89100,85800,82100,79300,77300,75500,73900,72800,72300,71800,71100,70500,70600,70900,71700,72700,74100,75100,76200,77500,78800,80200,81800,83300,84500,85600,87000,88400,89400,90700,92300,93500,94600,95700,96900,98300,100300,102400,104500,106300,108000,109700,110900,111600,112400,113700,114900,116100,117000,117300,117100,116900,116600,116300,116300,117200,119000,121300,123200,124800,127100,129800,131900,133700,135200,136500,137600,138600,139500,140500,141400,142300,143400,144800,146400,147700,148800,150100,152200,154600,156100,156900,158200,159000,159600,161200,163600,166400,168900,170800,172000,172700,172500,171500
36,"North Carolina",10,47400,47500,47700,47900,48100,48200,48400,48600,48800,49100,49400,49600,49800,50000,50300,50500,50800,51200,51700,52300,53100,54000,54900,55700,56400,57000,57600,58100,58700,59100,59600,60100,60700,61100,61500,62000,62500,63000,63400,63800,64200,64500,64700,64800,65000,65100,65200,65400,65600,65900,66200,66700,67100,67500,67800,68100,68300,68400,68600,68700,68800,68900,69100,69200,69200,69200,69100,69100,69100,69100,69300,69500,69700,70000,70300,70500,70600,70800,71000,71200,71400,71700,72100,72500,72900,73300,73700,74100,74400,74700,75100,75600,76200,77100,78100,79100,80000,80600,81100,81500,82000,82700,83700,84700,85600,86100,86100,85700,85300,85000,85000,85300,85800,86500,87100,87700,88300,89000,89800,90800,92000,93200,94500,95600,96600,97400,98100,98600,99100,99700,100200,100700,101200,101700,102100,102700,103300,103900,104300,104400,104300,104000,103600,103400,103400,103400,103200,102900,102400,101700,101100,100500,99900,99400,98700,98200,97800,97200,96500,95800,95100,94600,94200,94000,93900,93800,93700,93400,92900,92600,92200,91300,90100,89000,88300,87400,86300,85500,84900,84300,83700,83300,83200,83000,82800,82400,81900,81400,81100,81000,81000,80900,80800,80500,80000,79700,79900,79900,80000,80200,80200,80000,79800,79700,79500,79100,78900,79000,79300,79700,79800,79900,80000,80100,80500,80900,81000,81300,81900,82400,82500,82600,82900,83100,83700,84200,84400,84400,84900,85100,85100,85400,85600,85800,86000,86400,86900,87400,87800,88300,88900,89600,90600,91700,92500,93200,93700,94100,94500,94800,95000,95600,96700,98000,98700,99300,99800,100200,100600,101100,101100,101500,102600,103900,104700,105700,106700,107700,108800,110200,111800,113100,114200,115000,115700,115800,115500
