"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
9,"California",1,162300,162200,162100,162000,161800,161700,161700,161800,162100,162500,162700,162600,162600,162700,162900,163300,163800,164500,165300,166400,167900,169500,171100,172400,173600,174700,175700,176600,177500,178400,179300,180300,181500,182800,184200,185400,186700,188100,189600,191100,192800,194600,196800,199100,201700,204600,207500,210100,212800,215600,218300,221100,223800,226300,228800,231300,233900,236500,239000,241400,243700,246000,248300,250500,252700,254900,257300,259700,262400,265200,268000,270900,273900,277100,280500,284100,288000,292000,296300,300700,305100,309300,313500,317900,322400,327100,332000,337200,342700,348500,354400,360400,366700,373500,380700,388700,397500,406900,416500,425900,434800,443100,450800,457800,464700,471300,477700,484200,490700,496900,503000,508600,513500,518000,522200,525700,528800,531600,534000,536300,538300,539500,540100,539500,537500,534800,532200,529500,526900,524600,522000,519000,515400,511500,507300,502100,495800,489000,481900,474600,466700,458500,449500,439500,428500,417500,407100,398400,391500,385800,380200,374900,369800,365000,360100,354600,348700,342500,337400,334500,333100,332600,332900,333400,334200,334900,335400,335000,335100,335900,335800,334300,332900,331200,329000,326500,323900,321000,318600,316800,314900,313000,311200,309300,307300,305300,303600,302300,301400,300800,300800,301900,303800,306200,308500,310800,313000,315700,318900,322800,326800,330500,335100,341300,348400,355700,363200,370300,376400,381200,384900,387800,390600,393400,396700,399900,402800,405100,407300,409400,411300,413100,415100,416800,418800,421300,424000,426500,428800,431300,434100,436600,438900,442000,444800,447200,449900,452800,454800,456600,458800,461100,463300,466100,469600,473500,477300,480700,483900,487200,490000,492700,495600,498700,502200,505600,508900,512400,515900,519200,522700,527100,532000,535000,536400,538400,540400,541900,543900,546000,548000,549300,550000,550200,549900,549100,548000
54,"Texas",2,92800,92800,93000,93200,93300,93400,93500,93600,93500,93500,93400,93400,93300,93400,93500,93700,93900,94100,94500,94900,95400,96000,96500,97000,97300,97700,97900,98100,98300,98400,98600,98900,99300,99800,100400,100900,101400,102000,102600,103600,104900,106500,108200,109700,111100,112100,112900,113300,113600,113700,113600,113200,112500,111400,110300,109500,108900,108600,108400,108500,108800,109200,109600,109900,110000,110200,110300,110500,110700,110900,111200,111400,111700,112000,112500,112900,113400,113900,114400,114800,115100,115300,115400,115500,115600,115800,115900,116100,116400,116700,116900,117300,117800,118600,119500,120500,121500,122200,122900,123500,124100,124700,125400,126000,126500,126900,127300,127600,127900,128200,128500,128800,129000,129200,129300,129500,129800,130000,130300,130700,131100,131500,131900,132400,132900,133400,133800,134300,134800,135200,135500,135800,136200,136600,137100,137500,137900,138300,138700,138900,138900,138600,138100,137500,136800,136100,135400,134700,134200,133800,133400,133000,132700,132500,132300,132000,131700,131300,130900,130700,130700,130700,130700,130700,130900,131000,131100,131100,130800,130600,130500,130400,130100,129900,129600,129300,128900,128500,128100,127800,127700,127600,127500,127300,127100,126700,126300,126200,125900,125700,125700,125900,126300,126500,126500,126700,127000,127200,127200,127300,127600,128000,128400,128700,129000,129400,130000,130600,131100,131600,132200,132800,133300,133800,134300,134800,135400,136100,136800,137300,138000,138600,139300,140100,141000,141600,142200,142900,143900,145000,145900,146700,147600,148600,149400,150100,150900,151700,152700,153700,155000,156400,158100,160000,161600,163300,165000,166300,167400,168600,169700,171000,172200,173300,174300,175200,176100,177000,177800,178600,179400,180300,181600,182800,183900,185100,186300,187400,188300,189500,190900,192400,193800,195200,196400,197000,196700
43,"New York",3,122500,122600,122700,122800,122900,123000,123100,123200,123400,123700,123800,123800,123700,123600,123500,123400,123400,123400,123600,123900,124400,125000,125600,126000,126400,126900,127300,127800,128300,128800,129500,130100,130800,131500,132200,132900,133700,134500,135400,136300,137200,137900,138600,139400,140300,141400,142500,143700,144800,146000,147200,148200,149300,150300,151400,152600,153800,155000,156300,157500,158700,159900,161200,162500,163900,165200,166600,168100,169800,171400,173100,174600,176200,177900,179600,181400,183200,185200,187200,189300,191600,194000,196600,199500,202400,205300,208100,210900,213600,216200,218800,221300,223700,226100,228300,230600,233000,235500,238300,241400,244600,248000,251400,254800,258200,261400,264500,267600,270800,273800,276800,279600,282300,284900,287400,289800,291900,293900,295500,297200,298700,300000,301100,301900,302500,303000,303300,303400,303600,303900,304200,304600,305100,305200,305000,304500,303900,303100,302100,301000,299600,298000,296200,294400,292400,290100,287600,285100,282600,280100,277600,275300,273100,271000,269000,267300,265400,263300,261100,259500,258500,257900,257400,257200,257200,257300,257700,257100,255300,253600,253200,252500,251300,249700,248500,247100,245400,243800,242100,240500,239600,239600,239400,238500,237700,236800,235600,234500,233800,233300,232400,232000,231900,232000,231600,231100,230700,230800,230900,231000,231000,231100,231300,231900,232400,233200,233900,234900,235800,236400,236800,237500,238100,238600,239200,239800,240500,241100,241300,241600,242200,242800,243400,243800,243900,244100,244300,244400,244500,245100,245800,246600,247800,249100,250200,250900,251300,251600,252400,253500,254600,255500,256400,257600,258900,259400,259800,260600,261800,262700,263300,264400,265900,267600,269600,271500,272600,273200,274200,275500,277100,278600,279800,280700,281100,280700,280700,281400,282400,284200,286400,288300,290000,292100,294700,297000,298100
14,"Florida",4,84400,84500,84500,84600,84600,84700,84900,85200,85500,85900,86200,86500,86700,86800,87000,87200,87400,87600,87800,88100,88500,88900,89200,89400,89600,89800,90000,90300,90700,91200,91700,92200,92800,93300,93700,94000,94400,94800,95300,95900,96500,97100,97700,98300,98900,99600,100100,100600,101200,101800,102500,103200,104100,105000,106000,106900,108000,109100,110300,111400,112600,113700,114900,116100,117200,118400,119500,120600,121600,122700,123600,124600,125500,126400,127200,128100,128900,129800,130900,132000,133100,134300,135600,137000,138400,139900,141300,142700,144100,145700,147300,148900,150700,152500,154500,156600,158900,161300,164100,167100,170300,173700,177100,180500,184200,188000,192100,196600,201500,206600,211800,217100,222300,227200,231800,236000,240000,243700,247000,250200,253300,255700,257600,258600,258900,258500,257700,256400,254900,253400,251600,249700,247600,245300,242500,239400,236000,232400,228800,225100,221300,217400,213400,209300,205200,201200,197200,193100,189200,185300,181400,177600,173900,170300,166600,162800,159000,155100,151400,148600,146600,145100,144000,143200,142700,142600,142600,141800,140400,139400,138800,137700,136100,134500,133200,132000,130500,129000,127700,126900,126300,125800,125100,124700,124400,124200,123900,123800,123600,123600,123800,124200,124600,125200,125700,126000,126300,126900,127400,127800,128700,129600,130400,131500,132700,134100,135700,137400,139000,140500,142000,143500,144700,145500,146600,147800,149200,150400,151500,152800,154300,155300,156000,156900,158000,158900,160000,161200,162600,164000,165400,166800,168300,169900,171400,172500,173600,175000,176300,177800,179600,181400,183000,184700,186700,188700,190900,193100,195400,197400,199000,200500,202300,204100,205700,207200,208800,210400,211900,213000,214000,215700,217900,219700,221100,222800,224400,225600,226700,228100,229500,230600,231800,233100,234000,233900,233300
21,"Illinois",5,115100,115700,116100,116300,116200,115900,115300,114700,114100,113500,112900,112000,111200,110500,109800,108900,108100,107400,107100,107300,108100,109400,110900,112300,113800,115200,116700,118200,119600,120800,121900,122700,123400,123900,124000,123900,123800,123800,123900,124200,124700,125200,126000,126800,127900,129100,130200,131200,132100,133000,133800,134700,135500,136300,137100,137800,138600,139400,140100,140800,141400,142100,142800,143600,144500,145400,146500,147600,148700,149700,150700,151700,152700,153600,154400,155200,155900,156700,157300,157900,158400,158900,159400,160000,160600,161400,162200,163100,164000,165000,165900,166800,167700,168800,169800,170900,172100,173300,174400,175500,176500,177500,178600,179600,180600,181500,182300,183100,184100,185200,186300,187600,189100,190600,192000,193300,194600,195700,196600,197700,198700,199500,200200,200900,201400,202000,202400,202800,203200,203600,203800,203900,203900,203600,203100,202700,202200,201600,201000,200300,199400,198300,196900,195600,194400,193000,191600,189900,188000,186100,184500,182800,181200,179600,177900,176200,174400,172200,170000,168000,166300,164900,163800,163100,162700,162600,162900,162000,160200,159200,158800,157800,156500,155200,153700,152200,150500,149100,148000,147000,146100,144700,143000,141800,141000,140300,139200,138000,137000,136100,134800,134100,134000,134300,134700,134700,134400,134300,134400,134800,135300,135400,135700,136200,136600,137000,137700,138800,139900,140700,141300,141800,142000,142400,142900,143300,144000,144900,146000,147000,147800,148300,148700,149000,149300,149500,149900,150600,151500,152100,152600,153200,153800,154200,154800,155400,155700,155900,156200,156800,157700,158700,159300,159600,160400,161100,161800,162400,163100,163600,164000,164700,165500,166200,166900,167700,168300,168900,169700,170500,171300,172400,173400,173900,174200,174800,175400,175600,176000,176600,177300,178300,179300,180100,180700,181100,180900
47,"Pennsylvania",6,76900,76900,76800,76700,76700,76800,77000,77200,77500,77800,78000,78300,78600,79000,79400,79800,80200,80500,80800,81100,81500,82000,82500,82900,83200,83600,83900,84300,84700,85200,85700,86200,86700,87100,87400,87700,87900,88100,88400,88700,88900,89100,89400,89600,89800,90100,90400,90600,90800,91000,91200,91400,91500,91700,92000,92500,93100,93700,94500,95200,96000,96600,97300,98000,98700,99400,100000,100700,101400,102000,102600,103200,103800,104400,105000,105600,106300,107000,107700,108500,109300,110200,111000,112000,113000,114100,115200,116200,117300,118400,119400,120200,121100,122000,123000,123900,125000,126100,127300,128500,129600,130800,131900,133000,134000,134900,135800,136700,137600,138600,139700,140900,142200,143400,144500,145600,146600,147600,148500,149300,150200,151100,151900,152700,153300,153700,154100,154500,154900,155400,155900,156300,156600,156900,157000,157200,157200,157100,157100,157000,156900,156800,156500,156300,156000,155600,155000,154500,154000,153600,153200,152800,152500,152300,152100,151800,151600,151200,150700,150300,150100,149900,149800,149800,149900,150100,150200,150100,149800,149800,149800,149400,148900,148300,147600,147000,146300,145500,144800,144300,143700,143100,142500,141800,141200,140900,140700,140600,140100,139600,139200,139100,138900,138800,138600,138700,138900,139200,139300,139500,139700,139900,140100,140300,140600,140800,141000,141300,141600,141700,141700,141600,141800,142300,142500,142600,142800,143100,143600,143800,143900,144100,144400,144500,144700,144900,145000,145300,145800,146300,146600,147000,147300,147500,147800,148100,148100,148500,148900,149300,149700,150200,150600,151400,152200,152800,153300,153900,154400,154800,155200,156000,157000,157900,158600,159300,160200,161000,161900,162500,163200,164000,165200,166100,166800,167600,168600,169400,170000,170700,171300,172100,173000,173600,174000,173800,173200
44,"Ohio",7,82800,83000,83300,83600,84000,84400,84800,85100,85400,85600,85900,86100,86400,86700,87000,87300,87600,87900,88200,88500,88800,89100,89500,89900,90400,90700,91100,91500,92000,92400,92800,93300,93700,94100,94500,94800,95100,95400,95700,96000,96300,96700,97100,97600,98200,98700,99300,99800,100300,100600,101000,101500,101900,102300,102800,103200,103700,104200,104700,105100,105500,105900,106300,106700,107200,107700,108100,108500,108900,109300,109700,110000,110300,110700,111100,111500,111800,112200,112600,113000,113500,113900,114300,114800,115300,115700,116000,116300,116600,117000,117400,117800,118100,118400,118700,119100,119400,119800,120100,120400,120700,121000,121300,121500,121800,122100,122300,122500,122700,123000,123300,123600,123900,124100,124300,124400,124600,124700,124800,125000,125100,125200,125200,125200,125100,125000,124900,124800,124600,124500,124400,124200,124000,123800,123400,123000,122500,122000,121600,121100,120500,119900,119300,118700,118100,117400,116800,116200,115600,115100,114600,114300,113900,113500,113200,112800,112400,112000,111400,111000,110700,110500,110300,110200,110100,110100,110100,110000,109800,109700,109800,109800,109600,109300,108700,108100,107400,106500,105700,105000,104600,104200,103800,103400,103100,103000,102800,102500,102400,102400,102400,102500,102700,102600,102500,102400,102300,102200,102300,102500,102900,103300,103500,103600,103700,104000,104300,104700,105000,105300,105600,105800,106000,106200,106600,106900,107200,107800,108300,108800,109000,109300,109600,110000,110200,110500,111000,111500,111700,111900,112400,113000,113400,113600,113900,114200,114400,114900,115300,115700,116200,116800,117400,118000,118700,119300,119800,120200,120600,121100,121800,122800,123900,124800,125600,126200,126800,127400,128000,128500,129000,129500,129900,130500,131100,132000,132700,133400,134300,135500,136500,137500,138500,139100,139400,139400,139100
30,"Michigan",8,75800,76600,77300,78000,78700,79200,79800,80300,80800,81400,81900,82400,82800,83300,83800,84400,85000,85600,86300,87000,87900,88900,89900,90800,91600,92300,92800,93300,93800,94200,94600,95000,95500,96100,96700,97200,97800,98500,99200,99900,100600,101400,102300,103000,103900,104800,105600,106300,107000,107700,108400,109100,109800,110500,111200,111700,112300,112800,113300,113600,113900,114300,114800,115200,115600,115900,116300,116700,117100,117700,118300,119000,119600,120100,120600,121000,121400,121800,122200,122700,123100,123600,123900,124000,124100,124300,124600,125000,125500,126000,126400,126900,127300,127700,128100,128500,129000,129600,130200,130800,131300,131800,132300,132800,133400,133900,134300,134800,135300,135700,136100,136400,136700,137000,137200,137300,137300,137200,137000,136900,136900,136700,136400,136100,135900,135600,135300,134900,134400,133900,133200,132700,132200,131500,130500,129600,128600,127500,126500,125400,124200,123000,121700,120500,119300,117900,116300,114800,113200,111600,110100,108600,107000,105500,104000,102600,101300,99800,98100,96700,95400,94200,93200,92500,92000,91800,91900,91300,90100,89400,89400,89200,88800,88300,87800,87100,86500,85800,85100,84500,84000,83600,83100,82700,82300,82200,82000,81800,81600,81600,81700,81900,82200,83000,83600,84000,84400,85000,85600,86300,87000,87700,88300,89100,90100,91100,91800,92800,93800,94700,95700,96700,97500,98200,99000,99900,100800,101700,102500,103300,104200,105100,105900,106500,107300,108300,109100,109700,110400,111100,112000,112900,113600,114200,115000,115800,116600,117000,117400,118200,119400,120200,121000,122200,123600,124500,125300,126100,127000,127700,128500,129800,131000,131900,132800,133600,134400,135200,135900,136600,137300,138200,139100,139700,140500,141700,143000,144200,145400,146700,148100,149200,149900,150700,151400,151700,151700
16,"Georgia",9,87000,87400,87900,88500,89000,89400,89900,90300,90700,91200,91600,92000,92300,92800,93300,93800,94400,94900,95400,96000,96500,97100,97500,97900,98400,98900,99500,100300,101100,102000,102900,103800,104600,105500,106200,106900,107500,108200,109100,110000,110800,111700,112600,113300,114100,115000,115800,116600,117400,118200,118900,119700,120500,121200,122000,122900,123700,124600,125400,126000,126600,127200,127700,128200,128700,129200,129700,130400,131100,131900,132600,133400,134100,134800,135400,135900,136300,136700,137000,137400,137900,138400,138900,139300,139700,140100,140400,140700,140800,141000,141200,141500,141900,142600,143400,144200,144900,145400,145900,146400,147100,148000,148800,149400,149600,149500,149500,149600,149900,150400,151100,151800,152500,153200,153900,154600,155300,155900,156600,157200,158000,158600,159200,159900,160500,161000,161500,161900,162200,162600,162800,163100,163500,163600,163600,163500,163300,163100,162800,162300,161800,161300,160500,159800,159000,158100,156900,155600,154200,152900,151600,150400,149100,148000,146800,145600,144400,143000,141400,140100,139000,138200,137400,136700,136300,136100,136200,135300,133700,132700,132300,131700,130900,129700,128500,127400,126300,125000,123600,122300,121200,120200,119200,118100,116900,115700,114400,113200,112200,111200,110400,110100,109900,109800,109900,110100,110300,110800,111500,112200,112800,113500,114200,115000,115900,116900,117800,118700,119700,120700,121600,122600,123700,124800,125700,126800,127900,129000,130000,131100,132100,132700,133400,134200,134800,135200,135600,136400,137400,138400,139200,140000,140900,141500,141900,142300,142700,143300,144300,145400,146700,148000,149000,150000,151100,152100,153100,154100,154800,155600,156600,157600,158600,159700,160500,161400,162400,163600,164500,165300,166400,168000,169600,170900,172000,173500,174900,176300,177400,179200,181800,184200,185700,187100,188100,188500,188300
36,"North Carolina",10,88600,88500,88500,88700,89000,89400,89900,90500,91200,91900,92700,93400,94000,94600,95000,95300,95500,95600,95600,95400,95000,94500,94100,93800,93800,94200,94900,95800,96800,98000,99100,100100,100900,101400,101900,102300,102800,103400,104200,104900,105700,106400,107100,107800,108400,108900,109300,109800,110200,110600,111100,111600,112200,112800,113300,113700,114100,114400,114600,114800,114900,115100,115200,115300,115400,115500,115700,116000,116300,116700,117200,117600,118000,118300,118500,118700,118900,119200,119600,120000,120500,120900,121200,121500,121900,122400,123000,123600,124100,124600,125000,125500,126100,127000,127900,128900,129900,130700,131300,131900,132400,132900,133400,133700,134000,134100,134200,134500,134900,135400,136100,136800,137600,138400,139200,140100,140900,141800,142600,143500,144400,145300,146100,147000,147800,148500,149200,149900,150500,151100,151600,152200,152700,153100,153400,153600,153800,154000,154000,154100,154000,154000,153900,153800,153700,153400,152800,152200,151500,150800,150300,149800,149400,149100,148800,148500,148200,147600,146900,146300,145800,145300,144800,144600,144500,144600,144700,144400,143800,143300,143200,142900,142400,141600,141200,140800,140000,139100,138400,137700,137100,136600,136100,135500,135200,135400,135400,135000,134700,134600,134600,134600,134600,134600,135000,135400,135400,135300,135200,135100,134900,135000,135100,135300,135800,136200,136500,136800,137300,137700,137900,138400,138900,139200,139300,139400,139800,140200,140500,140800,140800,140900,141200,141500,141800,142300,142700,143400,143700,143900,144400,144900,145400,145900,146200,146500,147000,147500,147900,148700,149800,150600,151400,152400,153500,154400,155100,156100,157100,158000,158700,159600,160800,162000,162900,163600,164100,164500,165300,166200,166700,167700,168900,170000,170900,172000,173300,174500,175800,177300,179000,180500,181800,182900,183700,184200,184200
