"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
9,"California",1,103000,102700,102400,102100,101700,101400,101100,100700,100400,100100,99700,99200,98700,98400,98200,98100,98200,98400,98800,99300,100200,101200,102000,102800,103400,104000,104400,104800,105200,105600,106000,106500,107100,107800,108500,109100,109700,110300,111000,111700,112500,113400,114400,115400,116700,118000,119300,120300,121400,122400,123300,124200,125100,126000,126900,127900,129000,130200,131500,132700,133900,135200,136500,137800,139100,140400,141700,143100,144700,146300,148000,149800,151600,153400,155400,157500,159800,162200,164800,167400,170000,172300,174600,177100,179700,182400,185300,188400,191500,194900,198400,202000,205800,209900,214200,219000,224300,230100,236300,242700,248900,254900,260800,266300,271800,277400,282700,288200,293900,299500,305000,310300,315000,319200,323100,326500,329500,332100,334400,336600,338600,340200,341200,341100,339900,337900,335700,333100,330500,328200,325900,323300,320500,317300,313600,309300,304100,298600,293000,287200,281200,274900,268000,260400,252300,243900,235700,228500,222300,216700,211200,205800,200400,195300,190300,185100,179600,174100,169100,165600,163100,161300,160200,159600,159200,159200,159400,159200,159000,159500,159700,159300,158900,158300,157400,156700,155700,154200,152900,151900,151000,150200,149200,148200,147200,146300,145400,144600,144200,143800,144000,144600,145300,146300,147500,148600,149500,150700,152100,153800,155700,157700,159900,162700,166200,169800,173400,177200,181100,184600,187400,189800,192400,194900,197200,199700,202100,204400,206700,208900,211000,212800,214600,216200,217900,219600,221400,223100,224700,226200,227800,229400,231000,232800,234400,236000,237500,239100,240400,241700,243400,245300,246900,248800,250700,252800,255200,257300,258900,260500,262400,264300,266100,268100,270700,273000,275000,277200,279300,280900,282400,284800,287500,289300,290300,292100,294000,295700,297200,298900,300400,301700,302900,304000,304800,305700,306100
54,"Texas",2,49300,49400,49400,49500,49600,49700,49800,49900,49900,50000,50100,50200,50300,50400,50500,50700,50900,51000,51300,51500,51900,52300,52800,53100,53400,53700,54000,54300,54400,54600,54700,55000,55200,55500,55800,56200,56500,56900,57200,57600,57900,58400,58800,59100,59500,59700,59900,59900,59900,59900,59800,59700,59600,59500,59400,59400,59400,59400,59400,59400,59400,59400,59400,59400,59400,59300,59300,59200,59200,59200,59300,59400,59500,59800,60000,60400,60700,61000,61300,61600,61800,62100,62300,62400,62600,62800,63000,63200,63300,63400,63500,63600,63800,64200,64700,65200,65800,66400,66900,67400,68000,68500,69000,69500,69900,70200,70400,70500,70500,70500,70500,70600,70700,70800,71000,71200,71300,71500,71800,72100,72400,72600,72900,73300,73600,73900,74200,74400,74700,74800,75000,75200,75400,75600,75900,76000,76100,76200,76300,76300,76300,76100,75900,75500,75100,74600,74200,73900,73500,73300,73100,72900,72700,72500,72400,72200,72000,71800,71500,71200,70900,70700,70600,70500,70400,70400,70400,70400,70200,70100,70000,69900,69800,69700,69400,69000,68900,68500,68200,67900,67700,67500,67500,67300,67200,67300,67300,67100,67000,67100,66900,66800,66900,67100,67000,67300,67500,67400,67300,67500,67600,67500,67700,68000,68100,68100,68400,68700,68700,68800,68900,69000,69000,69200,69500,69700,69900,70100,70400,70700,70700,70900,71200,71600,71900,72200,72500,73000,73600,74000,74400,74800,75200,75500,75700,76100,76500,77100,77500,78000,78500,79100,79900,80800,81700,82300,83000,83700,84200,84600,85300,86100,87000,88100,88800,89300,89800,90500,91200,91600,92000,92800,93700,94600,95700,97000,97800,98400,99100,100200,101600,103000,104100,105000,105800,105700,104700
43,"New York",3,62000,62000,61900,61800,61700,61700,61600,61600,61600,61600,61500,61300,61100,60900,60800,60800,60800,60800,60900,60900,61100,61200,61300,61400,61500,61600,61600,61700,61700,61800,61900,62100,62200,62300,62400,62400,62500,62600,62800,63000,63200,63400,63600,63900,64100,64400,64700,65000,65400,65800,66000,66100,66200,66300,66400,66600,66700,66900,67100,67400,67600,67900,68300,68600,68900,69200,69500,69900,70200,70600,71000,71300,71600,71900,72200,72500,72700,72900,73200,73500,73800,74200,74500,74900,75300,75600,76100,76600,77200,77800,78200,78600,79000,79400,79800,80300,80700,81100,81600,82000,82300,82700,83000,83400,83900,84500,84900,85400,85800,86100,86400,86800,87100,87400,87800,88200,88500,88800,89000,89300,89600,90000,90300,90700,91100,91500,91900,92400,92700,93000,93200,93500,93800,94000,94300,94500,94800,94900,95100,95200,95300,95400,95400,95500,95500,95500,95400,95300,95200,95000,94800,94700,94600,94600,94600,94700,94600,94500,94400,94400,94500,94700,94800,94900,95000,95100,95300,95300,95400,95600,95700,95600,95600,95400,95300,95100,94800,94500,94200,93800,93700,93700,93600,93300,93200,93200,93200,92900,92800,92800,92700,92600,92500,92400,92300,92300,92300,92300,92300,92700,92900,93000,93200,93400,93700,94100,94600,94900,95000,95300,95600,95900,96200,96400,96600,96800,96900,96800,96800,97000,97200,97300,97300,97400,97400,97500,97600,97900,98100,98200,98600,98900,99200,99300,99600,99900,100100,100200,100300,100800,101500,102100,102500,102900,103400,103800,104200,104700,105200,105800,106400,106900,107500,108000,108600,109400,110400,111300,111900,112400,112800,113400,114000,114300,114600,115200,115800,116500,117100,117400,117700,118200,118700,119500,120300,120400,119900
14,"Florida",4,48300,48400,48500,48500,48500,48500,48600,48700,48900,49100,49300,49400,49500,49600,49700,49800,49900,50100,50300,50600,50800,51100,51200,51300,51300,51400,51500,51800,52200,52600,53000,53400,53800,54100,54300,54500,54700,54800,55000,55300,55600,55800,56100,56400,56700,57100,57300,57400,57600,57800,58100,58400,58700,59200,59700,60200,60800,61500,62200,62800,63400,63900,64500,65100,65700,66300,66800,67400,67800,68100,68500,68900,69400,69900,70400,71000,71600,72300,72900,73600,74200,74700,75200,75800,76600,77500,78400,79400,80400,81400,82400,83400,84400,85600,86800,88000,89300,90700,92300,94000,95800,97800,99900,102100,104600,107200,110100,113300,116800,120200,123600,127000,130200,133200,135900,138500,141000,143300,145500,147600,149700,151400,152800,153800,154300,154300,154100,153600,152900,152200,151300,150400,149500,148400,146800,145100,143200,141200,139100,136900,134500,132000,129300,126700,124300,121600,118600,115400,112000,108500,105100,101800,98400,95000,91500,88100,84700,81300,77800,75000,72800,71100,69700,68900,68300,68000,67900,67100,65500,64400,64300,63700,62900,62100,61200,60300,59200,58200,57400,56900,56400,55900,55500,55100,54900,54800,54700,54600,54500,54500,54600,55000,55500,55800,56100,56400,56700,57000,57200,57400,58000,58600,59000,59400,60100,60900,61600,62300,63100,63800,64500,65100,65600,65800,66300,67000,67700,68300,69000,69700,70300,70800,71200,71600,72000,72600,73100,73600,74500,75400,76000,76800,77700,78400,79400,80400,81200,82000,82800,83900,85100,86400,87800,89200,90700,92400,94300,96400,98400,100000,101400,103300,105500,107600,109200,110700,112400,114200,115800,117000,118000,119300,120800,122100,123200,124300,125300,126400,127500,128400,129500,130600,131600,132500,133300,133200,132400
21,"Illinois",5,52900,53400,53900,54200,54300,54400,54400,54200,54100,53900,53700,53400,53100,53000,52800,52700,52700,52700,52900,53400,54200,55200,56300,57300,58200,59000,59700,60300,60800,61200,61600,61900,62100,62400,62600,62600,62600,62700,62900,63100,63400,63800,64300,64900,65600,66400,67100,67700,68200,68700,69200,69700,70100,70500,70900,71200,71300,71400,71500,71500,71500,71500,71600,71800,72100,72300,72600,72900,73300,73600,73900,74300,74600,75000,75300,75500,75800,75900,76000,76100,76100,76200,76300,76300,76400,76600,76800,77000,77400,77800,78200,78500,78700,79000,79300,79800,80300,80900,81500,82000,82400,82800,83100,83400,83800,84100,84200,84300,84400,84400,84500,84700,85000,85400,85800,86200,86600,87000,87300,87600,87900,88100,88100,88200,88300,88500,88600,88800,88900,89100,89200,89400,89400,89400,89300,89200,89100,89000,89000,88900,88800,88500,88200,88000,87700,87300,86900,86400,85900,85400,85000,84600,84200,83700,83300,82900,82400,81800,81100,80600,80100,79500,78900,78400,77900,77500,77600,77200,76500,76100,75900,75400,74900,74300,73400,72600,71900,71000,69900,69200,68800,68100,66800,65900,65200,64500,63900,63300,62800,62500,62100,61500,60800,60700,61100,61200,61000,60900,60800,60500,60500,60800,60800,60700,60600,60500,60600,61100,61500,61700,61900,61900,61900,61900,61900,62200,62600,63000,63300,63600,63800,64100,64400,64700,64800,64900,65100,65800,66300,66600,66800,67000,67000,67100,67500,68100,68300,68400,68700,68900,69400,70200,70600,70500,70600,70900,71000,71200,71600,71800,72100,72400,72700,73000,73400,73800,74200,74400,74800,75400,76000,76800,77300,77600,77800,77800,77800,78100,78400,78600,79400,80000,80000,79700,79900,80000,79600
47,"Pennsylvania",6,32800,32800,32800,32900,33000,33100,33300,33400,33500,33700,33800,33900,34100,34200,34400,34600,34800,35000,35200,35500,35900,36400,36900,37400,38000,38400,38800,39200,39700,40100,40600,41200,41800,42400,42900,43400,43700,44000,44200,44300,44300,44300,44300,44300,44200,44300,44400,44500,44600,44700,44900,45100,45300,45600,45900,46300,46700,47100,47600,48000,48400,48800,49100,49400,49700,49900,50200,50400,50700,50900,51200,51400,51700,51900,52100,52300,52500,52700,52900,53100,53300,53500,53800,54100,54500,54700,55100,55400,55800,56200,56600,57000,57400,57700,58100,58500,58900,59400,60000,60700,61300,61800,62300,62700,63000,63100,63200,63200,63300,63600,63900,64200,64600,65000,65300,65600,65800,66100,66400,66800,67200,67500,67700,68000,68200,68500,68800,69100,69300,69600,69800,70000,70200,70400,70400,70400,70400,70400,70400,70400,70500,70400,70400,70300,70100,69900,69600,69300,69000,68800,68600,68400,68300,68100,68000,67800,67600,67300,67000,66900,66800,66600,66600,66600,66600,66600,66700,66600,66500,66700,67000,67100,66900,66500,65900,65500,64900,64400,63900,63500,63200,62700,62100,61500,61100,60900,60700,60600,60400,60200,60000,59800,59600,59300,59100,59000,58700,58700,58600,58500,58500,58600,58700,58700,58800,59100,59400,59400,59500,59800,59900,59900,60000,60000,60200,60500,60700,60600,60900,61200,61300,61400,61700,61900,61900,62000,62200,62200,62400,62500,62700,62900,63000,63100,63300,63200,63200,63300,63300,63500,63800,64000,64200,64800,65200,65200,65300,65600,65800,65800,66000,66400,67200,67900,68300,68800,69500,70200,70800,71600,72400,73200,74100,75000,75900,76600,77000,77200,77600,78100,78500,79000,79500,79700,79900,79200,77900
44,"Ohio",7,45400,45400,45400,45500,45600,45800,45900,46100,46300,46500,46700,46800,47000,47100,47300,47500,47800,48100,48400,48800,49300,49800,50300,50700,51200,51600,52000,52400,52900,53300,53700,54100,54500,54900,55200,55600,55900,56200,56500,56800,57200,57500,57800,58200,58500,58800,59100,59400,59700,59900,60100,60300,60500,60800,61000,61200,61500,61700,62000,62200,62500,62800,63100,63400,63700,63900,64100,64300,64500,64700,64900,65100,65300,65500,65700,65800,66000,66200,66300,66500,66700,66900,67100,67300,67600,67900,68100,68300,68500,68600,68800,68900,69100,69300,69400,69600,69800,70000,70200,70600,70800,71100,71400,71600,71900,72000,72100,72100,72100,72100,72100,72300,72500,72700,72900,73100,73200,73400,73500,73600,73700,73700,73700,73700,73600,73600,73600,73500,73500,73400,73400,73300,73200,73000,72700,72300,71900,71400,70900,70500,69900,69400,68900,68400,67900,67300,66800,66200,65600,65000,64500,64000,63500,62900,62400,61900,61400,60800,60200,59700,59200,58800,58500,58300,58200,58100,58100,58100,57900,57800,57800,57800,57700,57500,56900,56200,55600,54900,54100,53400,53000,52700,52200,51600,51200,50700,50400,50000,49800,49700,49400,49100,48900,48700,48400,48200,47900,47700,47500,47500,47400,47500,47500,47600,47600,47400,47500,47700,47900,48100,48300,48400,48500,48600,48600,48700,49100,49400,49500,49800,50200,50300,50300,50300,50400,50400,50600,50900,51000,51000,51200,51400,51500,51700,51800,51900,52000,52100,52100,52100,52200,52600,52900,53100,53200,53500,53800,54000,54000,54200,54700,55200,55800,56500,57200,57800,58300,58700,59200,59800,60100,60500,61400,62300,63000,63600,64000,64500,65100,65700,66300,67200,67900,68300,68500,68000,67200
30,"Michigan",8,33500,33700,33900,34100,34200,34300,34300,34300,34300,34400,34400,34500,34600,34700,34900,35200,35500,35900,36300,36800,37300,37900,38500,39000,39400,39800,40200,40500,40900,41300,41700,42200,42700,43200,43700,44100,44500,44900,45400,45900,46300,46700,47100,47600,48000,48500,49100,49600,50100,50600,51100,51500,52000,52500,53100,53600,54100,54600,54900,55200,55400,55600,55800,55900,56000,56200,56200,56300,56500,56700,57000,57300,57700,58000,58400,58700,59100,59400,59700,60000,60300,60700,61100,61400,61700,62000,62200,62400,62800,63100,63500,63900,64300,64600,64800,65100,65400,65700,66100,66600,67100,67600,68000,68500,68900,69400,69800,70100,70500,70800,71000,71300,71600,71900,72100,72300,72400,72400,72400,72500,72600,72800,72900,73100,73300,73400,73500,73600,73600,73500,73200,73000,73000,72700,72200,71800,71300,70800,70300,69700,68900,67900,66700,65600,64500,63200,61700,60100,58500,57000,55500,53900,52400,50800,49100,47600,46000,44400,42600,40900,39400,38000,36800,35700,35100,34800,34800,34200,33200,32600,32600,32500,32400,32000,31500,31000,30500,29900,29400,29300,29100,28800,28400,28100,27800,27800,27700,27600,27400,27300,27200,27400,27400,27600,28000,28300,28300,28300,28500,28800,28900,29000,28900,29000,29600,30200,30400,30700,31000,31400,31600,32000,32300,32600,32900,33000,33100,33300,33700,34100,34600,35100,35600,36100,36400,36900,37400,37800,38400,38700,38800,38800,39100,39400,39500,39500,39700,39700,39900,40200,40300,40400,40700,41000,41100,41200,41500,41700,42000,42300,42500,43000,43600,44000,44400,44700,45200,45600,46200,47000,47700,48400,49500,50500,51200,52000,52900,53600,54500,55600,56700,57300,57600,58000,58200,57800,57000
16,"Georgia",9,46700,47200,47600,48100,48600,48900,49200,49500,49800,50100,50500,50700,51000,51300,51600,51900,52300,52800,53200,53700,54300,55000,55600,56000,56400,56700,57100,57400,57800,58200,58700,59100,59500,60000,60400,60800,61100,61500,62000,62400,62800,63100,63400,63700,64000,64300,64700,65000,65500,65900,66400,66900,67300,67700,68100,68400,68900,69300,69800,70100,70500,70800,71100,71500,72000,72400,72700,73000,73300,73700,74100,74500,74900,75300,75600,75900,76100,76400,76700,77000,77400,77800,78300,78800,79200,79500,79700,79800,80000,80100,80200,80500,81000,81700,82500,83400,84300,85200,86000,86800,87700,88700,89800,90700,91100,90800,90000,89100,88400,88000,88000,88300,88600,89000,89400,89800,90300,90700,91200,91700,92200,92600,93000,93400,93800,94100,94300,94500,94700,95000,95300,95700,96100,96400,96500,96500,96400,96100,95800,95500,95100,94500,93800,93100,92300,91300,90100,88900,87600,86200,84900,83600,82400,81200,80000,79000,77900,76700,75400,74200,73000,71900,70800,69800,69100,68700,68700,68000,66900,66200,65900,65300,64700,64200,63600,62700,61700,61000,60100,59000,58000,57000,56000,55300,54200,53000,52000,51100,50100,49200,48500,48200,48000,47800,47600,47300,47400,47800,48200,48700,49500,49800,50200,50700,51500,52200,52700,53200,53900,54300,54600,55300,55900,56500,57000,57500,57900,58500,59100,59800,60400,60800,61100,61500,61800,62000,62300,62600,63100,63600,64200,64900,65200,65500,65800,66000,66200,66600,67100,67800,68600,69300,70000,70600,71000,71700,72500,73000,73300,73600,74200,75000,75700,76500,77200,77900,78700,79600,80100,80700,81500,82600,84000,85400,86300,87400,88700,89900,91000,92400,94400,96300,97700,98900,99700,99900,99700
36,"North Carolina",10,43100,43100,43200,43300,43600,44000,44300,44700,45100,45500,45800,46100,46400,46700,47000,47400,47700,48000,48500,49000,49600,50000,50300,50500,50600,50800,51200,51700,52400,53000,53700,54300,54800,55100,55300,55500,55800,56100,56400,56800,57200,57600,57900,58100,58200,58400,58500,58700,59100,59400,59800,60100,60400,60700,60900,61000,61100,61200,61300,61400,61400,61300,61300,61300,61300,61200,61200,61300,61500,61600,61800,62000,62200,62400,62700,62900,63200,63400,63600,63800,63900,64100,64200,64500,64800,65100,65300,65500,65700,66000,66200,66500,67000,67500,68100,68800,69500,70100,70700,71200,71600,71900,72300,72700,73100,73500,73700,73800,73700,73700,73800,73900,74200,74600,75100,75500,75800,76100,76400,76800,77300,77800,78200,78600,79000,79300,79600,79900,80100,80400,80600,80800,80900,81100,81200,81300,81300,81200,81100,81000,81000,80900,80800,80600,80500,80300,80100,79800,79500,79200,78900,78600,78500,78300,78100,77900,77800,77600,77200,76800,76400,76000,75600,75300,75200,75200,75100,75000,74600,74200,74000,73800,73500,73100,72700,72000,71300,70600,70200,70000,69700,69200,68500,68100,67800,67700,67400,67200,66900,66600,66200,65800,65500,65500,65500,65400,65100,65000,65000,64700,64400,64400,64500,64600,64500,64400,64400,64500,64500,64400,64500,64800,65100,65100,65200,65200,65300,65700,66000,66000,66100,66300,66400,66400,66500,66600,66700,66600,66800,66900,67100,67400,67900,68200,68300,68400,68800,69000,69100,69500,70100,70500,71000,71500,72100,72800,73400,74000,74600,75100,75500,76100,77000,77700,78200,78600,78900,79000,79300,79800,80100,80700,81800,82900,83600,84600,85100,85500,86100,87000,87900,88800,89500,89900,90200,90100,89800
