"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
9,"California",1,138900,138600,138300,138100,137800,137600,137500,137600,137900,138300,138600,138700,138800,139000,139300,139600,140100,140700,141600,142600,144000,145500,147000,148300,149500,150700,152000,153100,154300,155600,156800,158100,159600,161200,162700,163900,165100,166500,167900,169200,170700,172300,174100,176100,178400,180900,183400,185800,188400,191000,193700,196500,199300,202100,204900,207700,210600,213500,216300,219100,221700,224300,226600,228900,231100,233200,235200,237300,239400,241500,243800,246300,248900,251800,254900,258300,261800,265300,269000,272700,276400,279900,283200,286600,290100,293700,297500,301600,305900,310600,315700,321100,326700,332800,339400,346700,354600,362900,371400,379800,387600,394900,401400,407400,413000,418500,423600,428600,433400,437600,441400,445000,448200,451100,453800,456000,458000,459700,461000,462100,462800,462900,462400,461200,459200,456800,454400,451700,449200,446900,444300,441500,438400,435000,431300,427000,422100,417000,411800,406300,400700,394900,388300,381500,374500,367800,361600,356500,352400,349000,345800,342700,339900,337400,334300,330700,326800,322600,319000,316900,315900,315500,315500,315700,315700,316100,316900,316300,315200,315200,314800,312800,311100,308900,306500,304100,301500,298300,295600,293400,291000,288200,285800,283500,281000,278400,276300,274800,273600,272300,271800,272400,273600,275000,276500,278400,280300,282700,285500,288900,292500,296100,300400,306400,313600,321300,329100,336200,342400,347900,352400,355600,358500,361600,364700,367500,370000,372300,374500,376400,377900,379600,381500,383100,384800,386900,389500,392100,394600,397100,399500,401900,404400,407300,409900,412200,415100,417900,419600,421200,423300,425200,426900,429100,431600,434300,437200,439900,442800,445400,447700,449900,452200,454500,456900,459700,463100,466700,469900,472900,476400,481400,486700,489600,491300,493600,495500,496800,499100,501800,503800,504800,505500,505600,504800,503700,502500
54,"Texas",2,69200,69300,69400,69500,69600,69700,69800,70000,70200,70400,70600,70900,71100,71300,71400,71500,71500,71500,71600,71800,72200,72600,73100,73600,74000,74500,74900,75400,75800,76200,76600,76900,77200,77400,77600,77800,78000,78200,78400,78700,78900,79200,79500,79800,79900,80000,80000,80100,80100,80000,80000,80000,80100,80100,80200,80400,80500,80700,80700,80700,80700,80600,80500,80400,80400,80500,80500,80600,80800,80900,81200,81400,81600,81800,82000,82200,82400,82500,82700,82900,83200,83500,83700,84000,84200,84500,84800,85200,85500,85700,85900,86200,86500,87000,87600,88200,88800,89400,90000,90500,91000,91400,91800,92000,92200,92400,92500,92600,92700,92900,93100,93200,93300,93400,93500,93700,94000,94300,94700,95200,95800,96300,96700,97100,97500,97900,98400,98900,99300,99500,99700,99900,100000,100100,100300,100500,100800,101000,101200,101200,101100,100800,100500,100200,99900,99400,99000,98500,98100,97800,97500,97300,97100,96900,96800,96700,96500,96200,95900,95700,95700,95700,95700,95600,95500,95400,95500,95400,95000,94500,94000,93600,93500,93400,93300,93200,93000,92800,92500,92200,92300,92700,92900,92900,92800,92600,92400,92200,92000,92000,92000,91800,91900,92100,92600,93300,93600,93200,92800,92800,93100,93400,93600,93700,93700,93900,94000,93900,93800,94000,94400,94900,95400,95900,96300,96500,96700,97100,97300,97600,98300,99200,100300,100900,101100,101100,101600,102600,103700,104600,105700,107000,108400,109700,110700,111200,112100,113000,113700,115000,116700,118100,119200,120600,122100,123500,124700,125600,126000,126400,126900,127600,128400,129600,130500,130400,130000,130300,131300,132100,132700,133700,134900,136000,136800,137600,138600,139400,139800,139800,139900,140700,142300,144100,145800,146300,145400
43,"New York",3,149900,150200,150400,150600,150700,150700,150800,150800,151000,151500,152000,152200,152400,152700,152900,153200,153700,154200,154900,155700,156800,158000,159100,160100,161000,161900,162700,163600,164500,165400,166400,167400,168800,170300,171900,173400,175100,176900,178800,180700,182500,184100,185600,187000,188700,190800,193100,195600,198400,201400,204600,207900,211500,215100,218900,222900,227000,231200,235600,240000,244400,248600,252400,255700,258700,261500,264100,266200,267500,267800,266800,264500,261800,259500,258200,257900,258700,260500,263000,266000,269700,274000,279400,285800,292500,298800,304600,309700,313600,316600,319300,321900,324500,327100,329700,332700,336100,340200,345200,350900,357300,364000,370700,377200,383600,390000,396400,403300,410700,417900,424800,431700,438700,445800,452700,459200,465200,470400,474400,477900,481500,484500,486100,486100,484300,481100,477600,474900,473800,473900,474400,475500,477100,477700,477600,478900,482100,486600,491500,495800,499500,502300,503600,505200,507200,507800,506600,505400,504500,503600,502400,500900,499600,498300,496400,495300,495600,495200,492900,489500,485700,482100,479100,477400,475900,475200,477100,472400,461000,454300,455900,456900,455900,453700,452500,451700,450600,449300,450300,453600,457200,459700,461800,463300,464600,466700,468800,470100,470700,470800,470600,471700,473600,474100,473000,473300,474900,476900,479200,482600,486000,488600,489700,492000,496800,502100,506400,510900,516700,522900,527400,530600,535000,540000,543400,547000,552300,557300,561100,565700,570500,574200,577800,581100,583200,585200,587500,590200,594500,600300,605800,610300,614400,619100,623900,627800,631100,635200,639900,644200,647200,649000,651100,654100,658000,659900,660100,661500,665900,670600,673700,676300,679200,682000,684800,688100,691800,697200,702100,703900,705200,709300,713000,715300,717700,721100,723000,721600,719300,719300,720000,720200,717800,712800,711200,711700,710000
14,"Florida",4,71100,71200,71300,71300,71400,71400,71500,71600,71800,72000,72200,72400,72500,72700,72900,73000,73200,73500,73800,74000,74400,74800,75100,75200,75300,75400,75400,75400,75500,75600,75800,76000,76400,76700,77100,77400,77600,77900,78100,78400,78700,79000,79300,79600,80100,80600,81000,81500,81900,82400,82800,83200,83700,84200,84700,85400,86100,86900,87800,88800,89900,91200,92500,94000,95500,97000,98600,100100,101500,102900,104200,105400,106400,107400,108400,109300,110100,111000,112000,113000,114100,115300,116600,118100,119600,121100,122700,124200,125800,127300,128900,130500,132000,133600,135300,137100,139000,141100,143600,146400,149300,152500,155800,159200,163000,166800,170700,174800,179300,183900,188700,193400,197900,202100,206000,209500,213000,216200,219200,222400,225500,228000,229800,230900,231200,230900,230100,228700,227200,225400,223000,220500,218100,215300,212200,209100,205900,202600,199200,195600,191900,187900,183600,179500,175700,171900,168000,164300,160600,156900,153100,149300,145700,142100,138200,134400,130900,127200,123600,120500,118100,116000,114300,112900,111500,110700,111100,110200,107600,105700,104700,103100,101300,99800,98700,97700,96400,95200,94100,93100,92500,92000,91400,91000,90800,90600,90500,90600,90600,90700,90800,91300,92100,92800,93300,93900,94500,95200,95700,96600,97700,98700,99700,100900,102600,104400,106000,107600,109500,111100,112200,113300,114500,115500,116500,117700,118900,120000,121300,122700,124000,125000,125900,126700,127500,128300,129000,130100,131500,132900,134200,135200,136100,137400,138500,139200,140200,141200,142100,143100,144500,145700,146900,148100,149300,150600,152300,153900,155300,156300,157000,157600,158500,159400,160000,160700,161800,163100,164000,164300,164600,165800,167000,167800,168500,169200,170000,170600,171200,171800,172600,173600,174400,174900,175400,175300,174800
21,"Illinois",5,106600,107600,108400,109000,109300,109400,109200,108800,108500,108300,107700,106900,106000,105000,103900,102800,101500,100500,100000,100000,100800,102300,103800,105400,107200,109100,111100,113000,114800,116600,118000,119200,120200,121000,121500,121800,122100,122500,123000,123600,124200,124900,125700,126500,127600,128800,130000,131100,132400,133700,135100,136500,138100,139700,141200,142700,144100,145400,146600,147500,148400,149200,150100,151100,152300,153700,155100,156600,158100,159500,161000,162400,163600,164600,165500,166400,167200,167900,168500,168900,169200,169500,169800,170100,170400,170800,171400,172100,172800,173500,174200,174800,175500,176200,177200,178300,179700,181100,182400,183600,184600,185700,186900,188200,189600,191000,192200,193300,194700,196200,197600,199200,200900,202600,204300,205800,207300,208400,209200,210100,210900,211400,211700,212000,212100,212300,212400,212500,212600,212800,212600,212300,212100,211400,210500,209700,209000,208400,207900,207100,206200,204900,203500,202300,201500,200300,198800,197200,195400,193700,192400,191000,189500,187900,186200,184500,182800,180600,178400,176800,175500,174300,173400,172700,171500,170800,171500,170900,168200,166600,165700,163900,162100,160000,157300,155100,153400,151900,150300,148500,146100,143300,140400,138400,136700,135300,133700,131900,130700,129600,128000,126400,125800,126100,126800,126500,125700,125100,124700,124700,125000,125100,125300,125800,126500,127600,128700,130200,131900,133400,134400,134500,134400,134600,135000,135800,137100,138200,138900,140300,141800,142500,143000,144000,145300,145800,146100,147200,148900,150200,151200,151600,151300,151900,153700,154700,154800,154800,155100,155600,156600,158100,159200,159700,160400,161200,161800,162700,163500,163800,164300,165000,165600,166000,166400,167100,167700,168200,168500,169000,169800,171000,171600,171700,171500,171400,171500,171800,171900,172000,172200,172600,173000,173400,174100,175000,175300
47,"Pennsylvania",6,87100,87000,86900,86700,86600,86600,86500,86400,86300,86300,86300,86200,86100,86000,86000,86100,86200,86400,86600,87000,87400,87900,88400,88700,89000,89300,89500,89600,89700,89900,90300,90700,91200,91800,92300,92900,93400,93900,94400,94800,95200,95600,96000,96400,96900,97500,98100,98700,99300,100000,100700,101400,102100,102900,103800,104600,105600,106700,107700,108700,109700,110700,111600,112500,113400,114300,115300,116200,117200,118100,118900,119800,120700,121600,122600,123700,124800,126000,127200,128400,129600,130800,132000,133300,134600,135900,137100,138300,139500,140700,141900,143100,144300,145700,147000,148500,150000,151600,153400,155200,156800,158400,159900,161400,162900,164400,165700,167100,168600,170300,172000,173800,175700,177500,179200,180800,182100,183300,184300,185200,186100,187000,187800,188500,189200,189700,190000,190100,190100,190200,190400,190600,190700,190800,190600,190400,190300,190100,189800,189500,189100,188600,188100,187600,187100,186500,185600,184700,183900,183200,182500,181800,181100,180600,180000,179400,178800,178000,177200,176500,176000,175600,175300,174900,174800,174700,174800,174400,173400,172400,172200,171700,170600,169400,168500,167600,166500,165300,164300,163400,162700,162000,161200,160300,159200,158500,157900,157700,157600,157400,156900,156500,156200,155900,155600,155200,154900,154900,155200,155300,155400,155700,156200,156600,157100,157700,158000,158500,159200,159500,159500,159800,159900,159800,159600,159500,159500,159800,160000,160200,160400,160600,160700,160700,160600,160500,160500,160700,161200,161500,161700,162100,162600,163100,163300,163400,163500,163800,164500,165100,165200,165500,166200,166900,167500,168100,168500,168800,168900,168800,168900,169400,170200,171100,171800,172600,173300,173400,173500,173900,174500,175100,175500,175800,176000,176500,177200,177600,177900,178400,179100,179800,180500,181200,181800,182400,182600
44,"Ohio",7,85600,85700,85900,86200,86500,86900,87300,87600,88000,88300,88700,89000,89500,89900,90400,90900,91400,91700,92000,92200,92300,92400,92500,92600,92900,93300,93700,94200,94800,95300,95800,96300,96700,97000,97300,97600,97900,98200,98500,98800,99200,99600,100100,100700,101300,101900,102500,103100,103700,104100,104400,104700,105100,105400,105900,106400,106900,107500,108000,108500,108900,109300,109700,110100,110600,111100,111600,112000,112400,112900,113400,113900,114500,115000,115500,116000,116400,116700,117100,117400,117700,118000,118300,118600,118800,119000,119200,119400,119600,119800,120000,120200,120500,120800,121200,121500,121700,121900,122100,122300,122500,122600,122900,123200,123500,123900,124100,124400,124600,124800,125000,125200,125500,125800,126000,126100,126100,126100,126000,125900,125800,125800,125700,125500,125400,125200,125000,124800,124400,124000,123600,123200,122900,122600,122200,121700,121100,120500,119900,119400,118800,118300,117700,117200,116900,116400,116000,115500,114900,114300,113900,113500,113000,112600,112000,111500,111000,110400,109800,109300,108800,108400,108100,107900,107300,106800,106900,107100,106700,106500,106300,106200,106100,105900,105300,104500,104000,103400,102700,101900,101300,100600,100000,99600,99300,98700,98100,97700,97500,97400,97100,96600,96200,95800,95200,94400,93900,93700,93600,93700,94100,94400,94700,95000,95100,95400,96200,96700,96800,97100,97300,97500,97800,98100,98200,98500,99200,99800,100500,101200,101600,102200,102900,103300,103400,104100,104900,105700,106200,106500,106500,106700,107100,107400,107500,107500,107500,107600,107700,107800,107900,108300,109100,110000,110900,111700,112400,112900,113200,113300,113900,114800,115900,116800,117600,118500,119600,120400,121100,122000,122700,122700,122300,122000,122300,123000,123300,123700,124100,124400,124900,125800,126800,127800,128600,129300,129500
30,"Michigan",8,105000,106000,106900,107800,108600,109400,110200,110800,111600,112400,113200,113900,114500,115200,115800,116300,116800,117300,117900,118600,119400,120500,121500,122300,123100,123600,124100,124400,124800,125100,125500,125700,126000,126300,126600,126900,127500,128100,128900,129700,130500,131100,131800,132500,133400,134400,135400,136400,137300,138200,139000,139700,140300,140900,141400,141700,141900,142000,142000,141900,141700,141500,141300,141100,140900,140800,140800,141000,141600,142500,143600,144900,146200,147300,148300,149300,150300,151100,151800,152300,152600,152500,151800,151100,150300,149800,149600,149700,150000,150500,151100,151700,152300,152900,153500,154100,154900,155700,156500,157100,157700,158400,158900,159500,159900,160400,160800,161000,161300,161500,161700,161900,162100,162400,162600,162900,163100,163200,163100,163100,163000,162800,162500,162300,161900,161500,161100,160500,159800,159200,158500,157900,157300,156400,155400,154200,152800,151400,150100,148900,147600,146300,145000,143800,142500,141200,139900,138500,137000,135600,134200,132900,131600,130300,129000,127800,126600,125200,123900,122500,121200,119900,118900,118200,117600,117400,117500,117300,116600,115900,115300,114900,114400,113700,113000,112300,111700,110800,110000,109400,108900,108600,108400,108200,108500,109000,109300,109200,109100,109300,109600,110300,111300,112400,113200,113600,114200,115000,115800,116500,117600,118800,120000,120900,121900,123000,124300,125700,127200,128600,130200,131700,132900,133800,134400,135400,136700,137800,139200,140600,142000,143000,143800,144500,145500,146500,147600,148600,149300,150200,151100,152000,152900,153800,155000,156300,157400,158200,158800,159700,160700,161600,163000,165000,166600,167900,169100,170200,171200,172700,174100,175500,176900,178300,179600,180600,181600,182800,184300,185600,186500,187300,188400,189500,190700,192300,194000,195500,196600,197400,198100,199300,200800,202100,202900,203500,203800
16,"Georgia",9,73800,74100,74600,75000,75500,76000,76500,77100,77700,78300,78900,79300,79800,80200,80700,81000,81500,82000,82500,83100,83800,84600,85500,86400,87300,88300,89200,90100,91000,91800,92700,93600,94700,95800,97000,98300,99700,101300,102900,104600,106300,108000,109600,111100,112500,113800,115100,116400,117600,119000,120400,121800,123200,124500,125700,126900,127900,128900,129800,130600,131300,132000,132700,133300,133800,134400,135000,135500,135900,136300,136600,137000,137200,137400,137600,137700,137800,137800,137800,137800,137800,137900,138100,138300,138400,138600,138800,139000,139200,139600,140200,141100,142400,143900,145200,146200,146600,146800,146900,147100,147400,147700,148100,148300,148400,148300,148400,148700,149300,149900,150400,150900,151300,151600,152000,152300,152700,153100,153300,153600,154100,154600,155000,155300,155700,156000,156200,156300,156300,156300,156200,156100,156300,156400,156600,156700,156800,156700,156500,156100,155600,154900,154000,153200,152600,151800,150900,150000,149000,147900,146900,145900,144900,143800,142600,141500,140300,138800,137500,136700,136300,136000,135600,135200,134400,133900,134100,133500,131500,130100,129200,127900,126700,125400,123500,121400,119300,117100,115200,113500,112400,111300,109700,107500,104500,101600,99500,97900,96700,95800,94700,93600,92700,91900,91100,90800,90900,91800,92800,93900,95100,96200,97100,98200,99600,101000,102400,103800,105400,107100,108500,109400,110400,111300,112400,113600,114700,115800,117200,118900,120500,121600,122500,123500,124400,124900,125200,125700,126600,127900,129000,129800,130200,130100,129800,129700,130000,130700,131700,133300,135100,136900,138800,140600,142300,144000,145500,146600,147600,148800,150100,151300,152400,153400,154400,155600,157200,158600,159600,160500,161900,163600,165200,166400,167500,168600,169600,170500,171500,173200,175900,178600,180300,181300,182300,182900,182800
36,"North Carolina",10,74300,74300,74400,74500,74600,74800,75000,75300,75600,76100,76500,76900,77300,77700,78100,78500,78900,79300,79700,80200,80600,81100,81500,81900,82300,82800,83400,84100,84900,85700,86600,87300,88000,88500,88900,89300,89600,89900,90000,90100,90100,90100,90200,90300,90500,90900,91300,91800,92300,92800,93400,93900,94400,94900,95400,95700,95900,96000,96100,96000,95900,95700,95500,95500,95600,95600,95800,96000,96200,96500,96800,97200,97700,98200,98700,99200,99700,100100,100600,101100,101500,101700,101800,101900,102100,102300,102600,102700,102900,103000,103000,103200,103700,104700,106100,107500,108900,110100,111100,112000,112900,113800,114700,115600,116300,116600,116700,116700,116900,117300,117900,118600,119300,120100,121000,121900,122800,123700,124500,125500,126600,127600,128800,130100,131300,132400,133400,134300,135100,135700,136200,136800,137400,138000,138400,138700,139000,139300,139500,139700,139700,139600,139200,138900,138400,137900,137200,136500,135800,135200,134600,134000,133500,133000,132500,132000,131500,130900,130000,129100,128200,127500,126700,126100,125700,125400,125600,125200,124100,123400,123100,122600,122200,121700,121200,120500,119700,119100,118400,117600,117000,116300,115200,114000,113100,112300,111700,111100,110500,109800,109500,109500,109300,109400,109700,110100,110300,110500,110800,111200,111300,111300,111300,111400,111800,112300,112800,113300,113400,113100,112800,112700,112700,112700,112800,113100,113400,113700,113800,113800,114000,114100,114300,114600,114900,115300,115500,115400,115400,115300,115200,115500,116000,116700,117100,117100,117300,117600,117900,118200,118800,119600,120500,121500,122500,123300,123900,124300,124600,124900,125300,126100,127100,128100,128900,129700,130000,129900,130000,130900,132200,133200,133900,134500,135100,135700,136200,136400,136900,138100,139800,141300,142600,143700,144600,145400,145600
