"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
9,"California",1,274300,274500,274600,274900,275300,275800,276400,277000,277800,278800,279700,280400,281400,282800,284600,286800,289100,291600,294300,297200,300600,304300,307700,310800,314000,317300,320700,324100,327500,330800,334000,337300,340800,344400,347700,350700,353800,356800,359900,363200,366600,370300,374600,379300,384800,390800,396800,402700,408700,414800,421000,427200,433300,439400,445600,451900,458500,464900,470900,476400,481200,485200,488500,491100,493200,495000,496400,497800,499300,501000,503200,505800,509000,512900,517600,522800,528200,533800,539500,545200,550700,555900,560700,565400,570100,574800,579900,585700,592000,599100,606900,615200,624500,634600,645600,657700,670800,684300,697800,710800,722800,733800,744000,753300,762200,770800,779100,787200,795100,802200,808900,815100,820500,825500,829800,833200,835800,837800,839200,840100,840200,839300,837700,835000,831400,827500,823800,820400,817500,814900,811900,808200,803700,798800,793700,788100,781700,775000,767900,760400,752300,744000,735000,725400,715500,706300,698200,691500,686000,681700,677700,674100,671000,668400,664900,660100,654300,648200,643300,641100,641300,642600,644500,646500,648700,651000,651900,650800,651000,652400,651600,648000,644700,641100,637200,632900,628100,622600,618300,615300,611900,608100,605600,604100,602100,599200,596900,596200,595800,594900,595900,599400,603900,609100,615000,621400,627700,634500,641800,649500,656700,663600,672000,683300,696300,709000,720500,729900,737100,743100,747500,750500,753800,758000,761900,765300,768400,771400,774100,777000,780400,783800,787700,791700,796200,801400,807600,814100,820400,826600,833400,839800,846000,852600,857900,862200,866900,872100,876100,879700,883100,885900,887900,891000,895100,900000,904700,909500,914900,920300,924200,928100,932300,936400,941000,946000,952100,959400,967400,975700,983400,994800,1009900,1021400,1028800,1037900,1046400,1051300,1056100,1062500,1068300,1070300,1070500,1070000,1067000,1061800,1056500
54,"Texas",2,187100,187300,187800,188500,189100,189500,189400,188900,188100,187200,186400,185900,185900,186200,187000,188000,189000,190000,190900,191900,193000,194200,195300,196200,196800,197100,197300,197500,197700,197800,198100,198500,199300,200400,201600,202700,203700,204600,205700,207100,209200,212000,215800,220500,225500,230200,233900,236300,237000,235400,231700,226600,221400,217200,214000,211800,210300,209300,208600,208200,207900,207900,208000,208200,208300,208300,208000,207400,206700,205900,205000,204400,204100,204300,204900,205800,206500,206900,207000,206800,206300,205700,205300,204900,204700,204600,204800,205000,205200,205200,205100,205100,205300,206000,207100,208500,210100,211700,213100,214600,216000,217300,218500,219400,220200,220700,221100,221700,222400,223200,224100,225000,225800,226700,227600,228300,229100,229900,230700,231500,232400,233300,234400,235400,236300,237400,238400,239500,240600,241600,242600,243500,244600,245800,247200,248800,250200,251600,252900,253800,254200,254200,253500,252600,251400,250200,249100,248200,247700,247300,246900,246500,246200,246000,245800,245600,245200,244800,244400,244200,244200,244200,244200,244300,244400,244500,244600,244800,244800,244700,244400,244000,243500,243100,242700,242300,241900,241600,241300,241000,240900,241100,241300,241200,240900,240600,240500,240400,240400,240700,241100,241500,242000,242400,242900,243500,244300,244800,245200,245900,246600,247300,248100,249000,249900,251100,252500,253900,255300,256800,258100,259100,260100,261000,261700,262800,264200,265500,267000,268800,270600,272400,274200,276000,277800,279600,281100,282700,284700,286900,288900,290800,292500,294000,295300,296600,297900,299100,300200,301500,303300,305200,306900,308600,310100,311500,312800,314000,315000,315800,316800,317900,319300,320600,321900,323000,324200,325300,326500,327500,328300,329900,333400,336800,338900,340700,342200,343100,344000,345500,347300,349200,351100,352900,354400,354700,354000
43,"New York",3,212100,212400,212600,212700,212800,212900,213000,213100,213500,214100,214500,214700,215000,215300,215700,216200,216700,217400,218200,219200,220400,221800,223100,224200,225200,226400,227600,229000,230400,232000,233600,235300,237100,239100,241000,243000,245200,247600,250200,252900,255600,258200,260900,263600,266700,270000,273300,276500,279700,282900,286000,288900,291700,294600,297600,300800,304200,307700,311200,314700,318200,321800,325200,328600,332000,335400,338800,342100,345200,348100,350800,353300,355900,358900,362300,366100,370200,374500,379100,384000,389300,394800,400700,406800,412700,418000,422800,427300,431400,435300,439200,443200,447200,451200,455300,459400,463800,468500,473800,479800,486200,492800,499500,505900,512300,518500,524600,530800,537200,543400,549300,554900,560200,565200,569900,574100,578000,581300,583800,586100,588200,589900,590800,591100,590600,589400,587600,585400,583300,581700,580400,579700,579200,578300,576700,574700,572700,571100,569500,567900,566200,564300,561900,559500,556900,553400,549200,545000,540900,536900,533200,529500,525900,522400,519000,515900,513200,509600,505600,502300,500100,498900,498500,498600,499200,499800,500800,499200,495100,492300,492800,492800,491300,488400,486100,484600,483100,481400,480100,479200,479100,479700,479800,479100,478600,479000,478700,477700,476000,474200,472400,471700,471800,472200,472400,472700,472600,473000,473200,473500,473800,474700,476000,477900,479500,481100,483000,485500,488000,489800,491800,494400,497500,500100,501800,503100,505500,508100,510400,513100,516500,519300,521300,523000,524700,526200,527800,529600,531600,533700,535500,537800,541400,545700,549200,551100,552800,554900,557000,559400,562200,564200,566000,568100,570700,572800,574700,577200,580900,584000,585800,587700,590400,594000,598100,602400,606100,609700,612000,612900,613900,617500,622300,626500,630000,633200,635600,636900,636900,637700,640100,643400,645000,645100,646900,649300,649600
14,"Florida",4,156400,156600,156700,156900,157200,157600,158000,158400,158900,159300,159700,159900,160100,160200,160400,160700,161000,161500,162100,162800,163800,164800,165600,166000,166400,166600,166800,167100,167700,168400,169200,170000,170800,171700,172500,173200,174000,174900,175900,177000,178000,179100,180200,181500,182900,184300,185700,187000,188300,189600,191000,192400,193900,195500,197200,199000,201100,203400,206000,208800,211900,215200,218600,222100,225500,228700,231700,234600,237200,239500,241400,243000,244300,245600,246600,247600,248600,249800,251200,253000,255000,257400,260000,262800,265600,268400,271100,273900,276800,279700,282800,286000,289400,292900,296600,300600,305000,309800,315200,321300,327800,334600,341600,348700,356200,363900,371700,380000,389000,398200,407500,416500,424900,432400,439000,444800,450100,455000,459400,463800,467900,471200,473400,474400,474100,472900,471100,468700,466100,463500,460500,457100,453300,449100,444200,438700,432800,426700,420400,413900,407100,400100,392900,385600,378400,371500,364700,358400,352400,346800,341400,336000,330700,325600,320500,315100,309700,304000,298900,295200,292900,291300,290200,289300,288800,288700,289000,287600,285000,282800,281500,279400,276800,274400,272300,270400,268300,266200,264400,263700,263700,263700,263400,263100,262800,262500,262400,262600,262800,263100,263500,264400,265200,266000,266700,267500,268300,269300,270000,271000,272700,274300,275900,277800,280400,283300,286200,289000,291900,294600,297300,299900,302100,303900,306000,308500,310900,313100,315400,317900,320300,322200,323600,324800,326300,327600,329200,331100,333500,336000,338200,340300,342400,344700,346900,348900,350500,352100,353700,355600,357900,360100,362100,363900,365900,368500,371400,374100,376300,378100,379400,380300,381400,382600,383700,384700,385900,387300,388400,388700,389000,391100,394400,397000,398700,400300,401900,403300,404500,405800,407200,408700,410500,412100,413200,412700,411300
21,"Illinois",5,195700,196800,197500,197800,197600,197100,196100,194800,193700,192900,192000,190800,189800,188900,187900,186600,185200,184000,183400,183700,185300,187600,190000,192200,194600,197000,199500,202200,205100,207900,210500,212600,214400,215800,216600,216800,217000,217400,218000,218900,220100,221500,223100,224900,227000,229500,231700,233700,235800,238000,240100,242200,244300,246400,248400,250200,252100,253700,255100,256300,257600,258800,260100,261600,263100,264800,266500,268300,269900,271700,273400,275200,276900,278600,280200,281700,283200,284700,286200,287700,289200,290700,292200,293800,295300,296900,298500,300100,301700,303400,305200,307100,309000,311200,313400,315600,317800,320200,322600,325200,327700,330200,332600,335000,337400,339900,342300,344900,347600,350300,353100,355900,358800,361600,364300,366700,368900,370800,372500,374200,375900,377200,378100,378900,379400,379700,380000,380000,380000,379900,379700,379300,378600,377500,376100,374600,373000,371700,370400,369000,367100,364900,362300,359900,357400,354700,351700,348400,344900,341700,338900,336100,333300,330700,328000,325000,321500,317500,313500,310600,308800,307700,307100,306800,306700,307100,307900,306700,304100,302600,301800,299700,297100,293900,290500,287800,285500,283800,282400,281300,280000,278500,276700,275700,275100,274100,273000,271800,270800,269200,266800,265400,265800,266800,267900,268600,269300,270000,270500,271100,271800,272400,273300,275200,277200,279500,282300,285400,288100,290300,291800,292600,293400,294200,294800,295600,296800,298200,299700,301300,302700,303500,304000,304400,304700,304900,305100,305800,306900,307600,308300,308800,309200,310200,311500,312300,312600,313100,313800,314800,316000,317200,318200,318900,319600,320300,321200,322500,323500,323800,324500,325500,326400,326800,327100,327500,327800,328200,329300,330800,331800,333400,335600,337000,337500,338200,338200,337400,337100,337300,337600,337800,338300,338800,339500,339800,339400
47,"Pennsylvania",6,146500,146400,146400,146500,146600,146800,147100,147600,148200,148800,149400,149700,150000,150300,150500,150700,151000,151200,151500,151600,151600,151500,151400,151200,151200,151300,151500,151900,152400,153000,153700,154400,155200,156100,156900,157800,158600,159500,160300,161000,161600,162200,162800,163400,164100,164900,165700,166600,167500,168500,169500,170500,171400,172400,173500,174700,176000,177400,178800,180100,181200,182100,183000,183800,184600,185600,186600,187800,189100,190500,192000,193500,195000,196600,198200,200000,201800,203900,206100,208300,210500,212400,214200,216000,218000,220200,222500,225000,227400,229700,232000,234100,236200,238300,240600,242900,245300,247800,250300,252900,255300,257700,260100,262500,264900,267400,269800,272200,274600,277100,279500,282000,284400,286700,288800,290800,292500,294100,295600,297000,298400,299600,300800,301800,302700,303300,303700,303900,304100,304300,304400,304600,304800,304800,304600,304300,304000,303500,302900,302100,301200,300300,299300,298300,297200,295900,294600,293500,292500,291500,290600,289700,289000,288500,287900,287200,286400,285300,284000,282800,282000,281200,280700,280400,280300,280500,280800,280600,280100,279800,279600,278700,277400,276500,275500,274200,273000,271800,270700,269500,268500,267800,267300,266500,265700,264900,264200,264000,263800,263200,262800,262800,262800,262600,262400,262400,262600,263100,263800,264300,264700,265200,265600,266200,266900,267700,268600,269500,270200,270800,271400,271900,272500,273200,273600,273800,274500,275400,276100,276600,277200,277800,278300,278800,279200,279200,279300,279600,280200,280700,281400,282400,283300,283800,284200,284500,284700,285300,286200,287000,287500,288100,289100,290500,291900,293000,293600,294400,295500,296400,297000,298100,299500,300900,302100,303700,305300,306700,307700,308500,309000,310000,311500,313100,314500,315800,317000,317600,318200,318900,319800,320700,321900,323000,323900,324300,324100
44,"Ohio",7,140200,140600,141100,141700,142400,143000,143600,144200,144600,145000,145300,145600,146000,146500,147100,147800,148500,149300,150000,150700,151300,151800,152200,152600,152900,153300,153900,154500,155200,156000,156700,157400,157900,158200,158400,158700,159000,159500,160000,160600,161200,161900,162600,163400,164300,165200,166200,167000,167900,168500,169100,169700,170200,170700,171200,171900,172600,173400,174300,175100,175800,176400,176800,177200,177500,177800,178100,178400,178900,179500,180100,180800,181600,182300,183000,183700,184400,185000,185700,186500,187200,187900,188500,189000,189500,190000,190600,191300,192000,192800,193700,194500,195200,195900,196500,197200,197800,198500,199200,199900,200500,201100,201800,202500,203200,203800,204300,204800,205300,206000,206700,207500,208200,208800,209300,209800,210200,210500,210700,211000,211400,211600,211700,211800,211700,211600,211500,211300,211200,211100,211000,210900,210600,210200,209600,209100,208400,207700,206900,206000,205200,204400,203700,202900,202200,201300,200400,199600,198700,198000,197300,196600,196000,195500,195100,194800,194400,193700,192900,192400,192000,191800,191700,191700,191700,191800,192100,191800,191400,191700,192000,191700,191300,190800,190200,189600,188900,187900,186900,186100,185500,184700,183900,183600,183800,183900,183900,184100,184300,184600,185100,185600,186100,186600,187000,187300,187200,187200,187400,187700,188300,188800,189500,190100,190800,191400,192300,193400,194500,195300,196100,196900,197700,198500,199100,199900,200600,201600,202700,203600,204500,205300,205900,206500,207000,207500,207900,208700,209700,210800,211900,213000,214000,215200,216100,216600,216700,217200,218100,218800,219300,220200,221500,222500,223300,224100,225100,225900,226600,227400,228500,230000,231800,233300,234400,235400,236400,237100,238200,239500,240800,241900,242800,243500,244600,245800,246900,248100,249400,250800,252400,253800,255000,256300,257500,258100,257900
30,"Michigan",8,143400,144700,145900,147200,148300,149300,150400,151300,152400,153500,154500,155300,156100,156800,157600,158400,159200,160000,160800,161400,162100,162900,163700,164400,165200,166100,167100,168200,169400,170500,171500,172400,173200,174100,174800,175500,176200,176900,177700,178600,179600,180600,181800,183000,184400,185900,187300,188500,189700,190800,192000,193300,194400,195500,196600,197500,198400,199100,199600,200000,200300,200600,201000,201400,202000,202700,203500,204400,205400,206600,207800,209200,210500,211700,212700,213600,214300,214900,215500,216100,216500,216900,217400,217800,218300,218900,219500,220100,220700,221500,222300,223000,223900,224700,225500,226400,227400,228400,229500,230600,231600,232500,233500,234500,235400,236500,237400,238300,239100,239800,240400,240900,241200,241400,241500,241700,241900,241900,241900,241900,241700,241400,240800,240100,239200,238200,237300,236200,235100,234000,232700,231500,230400,229300,227900,226300,224700,223000,221100,219200,217300,215300,213200,211200,209100,206800,204400,202200,200000,197900,195900,193900,192000,190100,188300,186600,184900,182900,180800,179100,177600,176400,175500,174900,174600,174500,174700,174500,173600,172900,172800,172800,172600,172100,171500,170700,170000,169200,168500,167900,167600,167500,167400,167300,167500,167800,168300,168800,169100,169500,170000,170600,171500,172900,174300,175400,176500,178100,180100,181900,183600,185400,187200,188800,190600,192600,194500,196500,198600,200600,202600,204200,205600,206900,208100,209300,210800,212500,214100,215700,217300,218600,219300,220200,221300,222500,223700,225100,226100,227100,228100,229100,230300,231500,232600,233700,234700,235600,236600,238100,239800,241200,242700,244500,246000,247200,248200,249600,251200,252600,254100,256200,258700,260700,262100,263200,264500,266100,267200,268200,269100,269700,270700,271600,272500,274100,276400,278500,280000,281100,282200,283300,284400,285900,287200,287800,288000
16,"Georgia",9,158700,159300,160000,160700,161300,161900,162500,163000,163700,164300,164800,165300,165900,166600,167300,168100,168900,169600,170400,171200,172100,173000,173900,174700,175500,176300,177200,178200,179400,180600,181900,183300,184700,186300,187700,189000,190200,191500,192900,194300,195700,197000,198400,199800,201300,202900,204400,205900,207400,208900,210500,212100,213800,215300,216900,218400,219800,221200,222400,223500,224600,225600,226600,227400,228200,229100,230000,231000,232100,233100,234100,235000,235900,236600,237200,237700,238200,238800,239500,240400,241400,242400,243300,243900,244400,244900,245400,245900,246600,247300,248100,248900,249800,250800,252000,253300,254700,256200,257800,259300,260900,262400,263700,264700,265500,266300,267300,268600,270200,272000,274000,275900,277900,279800,281700,283600,285400,287200,288800,290400,292100,293700,295400,297000,298600,300100,301500,302700,303800,304800,305700,306600,307500,308000,308000,307900,307800,307600,307200,306600,305700,304800,303500,302200,300900,299100,296800,294300,291800,289500,287400,285400,283400,281500,279600,277700,275600,273000,270200,268000,266300,265000,264000,263000,262500,262300,262700,261400,258700,257200,256900,255900,254500,252800,250900,248700,246800,244600,242300,240100,238500,237300,236200,235000,233400,231700,230300,229100,228200,227400,227000,227000,227200,227600,228200,229100,230500,232000,233500,234900,236200,237400,238600,240300,242300,244200,245700,247400,249200,251000,252700,254500,256200,257700,259100,261100,263400,265400,267100,268700,270200,271600,272600,273800,274800,275600,276300,277400,279100,280900,282600,284000,285100,285700,286200,286900,287600,288700,290300,292300,294500,296800,299200,301800,304300,306700,308800,310500,312100,313900,315800,317600,319400,320900,321800,322500,323700,325300,326700,328100,329800,332400,335300,337300,338900,340700,342400,343600,344500,346200,349500,352600,354900,356500,357700,358100,357500
36,"North Carolina",10,166500,166300,166000,165600,165200,165000,165100,165600,166800,168400,170200,171900,173200,174000,174500,174500,174100,173200,172000,170200,168000,165600,163400,161600,160700,160800,161600,163100,164800,166500,168300,169800,171100,172000,172800,173800,174900,176200,177600,178900,180000,181000,181900,182900,183800,184700,185400,186000,186500,187100,187900,188900,190000,191300,192500,193600,194500,195400,196100,196500,196800,197100,197400,197600,198000,198600,199200,199900,200600,201400,202300,203000,203500,204000,204400,204800,205400,206000,206800,207900,209000,209900,210700,211600,212600,213800,215200,216700,218300,219900,221600,223100,224500,225800,227200,228500,229900,231200,232600,233900,235300,236600,237900,239000,240000,241000,242300,244000,246300,248900,251700,254600,257400,260100,262700,265400,268100,270900,273400,275900,278400,280600,282600,284600,286500,288300,289900,291500,293100,294700,296200,297600,298900,299800,300400,300900,301300,301600,301800,301800,301800,301800,301600,301400,301100,300400,299100,297700,296200,294700,293300,292000,291000,290200,289500,288800,288000,286700,285000,283100,281500,280100,278800,277700,277000,276900,277300,276500,274400,273000,272700,272100,271100,269900,268900,267800,266400,264700,262900,261500,260600,259800,258900,258000,257500,257300,257300,257400,257400,257500,257800,258100,258300,258500,259000,259600,259400,259000,259100,259800,260400,260500,260500,261000,262200,263500,264700,265700,266800,267800,268500,269100,269800,270600,271300,271800,272500,273300,274000,274700,275600,276400,277000,277600,278300,279200,280200,281300,282200,283000,283900,285000,286200,287200,287900,288500,289200,290100,291000,292300,294000,295700,297000,298500,300500,302300,303900,305200,306400,307300,308500,310000,311900,313500,314700,315700,316500,317200,318000,318800,319700,321500,323800,325600,326800,328100,329400,330800,332400,334300,336500,338600,340100,341300,342400,343300,343500
