"RegionID","RegionName","SizeRank","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
9,"California",1,1845,1836,1817,1796,1776,1765,1760,1762,1768,1775,1784,1786,1783,1776,1769,1766,1763,1763,1763,1766,1769,1774,1780,1786,1789,1790,1791,1793,1798,1806,1816,1825,1833,1842,1855,1869,1876,1874,1869,1867,1865,1866,1866,1874,1899,1938,1982,2015,2038,2055,2068,2078,2088,2100,2119,2140,2161,2179,2193,2200,2204,2208,2220,2233,2251,2267,2283,2297,2308,2317,2326,2334,2341,2345,2347,2350,2353,2359,2367,2380,2393,2407,2420,2430,2433,2432,2428,2423,2420,2418,2415,2411,2408,2409,2410,2417,2436,2460,2480,2487,2489,2489
54,"Texas",2,1076,1065,1060,1055,1049,1047,1046,1048,1051,1053,1053,1046,1036,1027,1019,1015,1014,1014,1016,1018,1025,1033,1040,1042,1040,1038,1041,1045,1051,1060,1076,1092,1106,1117,1125,1135,1145,1156,1163,1164,1164,1167,1173,1181,1195,1213,1230,1240,1244,1244,1243,1243,1245,1251,1261,1273,1284,1291,1293,1290,1286,1283,1286,1290,1295,1299,1304,1308,1310,1311,1310,1308,1304,1299,1294,1291,1289,1289,1291,1294,1300,1305,1308,1309,1308,1306,1303,1302,1302,1302,1301,1300,1299,1299,1299,1303,1314,1327,1336,1337,1337,1335
43,"New York",3,1737,1728,1720,1705,1692,1686,1684,1684,1691,1702,1717,1725,1726,1723,1724,1726,1736,1745,1758,1769,1780,1788,1792,1793,1798,1801,1809,1812,1821,1826,1841,1866,1900,1928,1953,1968,1983,1997,2009,2017,2017,2019,2027,2032,2054,2082,2125,2154,2172,2177,2179,2185,2194,2198,2200,2198,2202,2229,2263,2301,2319,2327,2323,2309,2301,2298,2299,2298,2296,2292,2291,2292,2293,2289,2282,2274,2266,2258,2253,2253,2262,2278,2295,2302,2295,2279,2262,2249,2243,2240,2239,2237,2236,2235,2234,2236,2244,2257,2269,2273,2273,2272
14,"Florida",4,1203,1207,1210,1211,1211,1210,1207,1208,1211,1213,1214,1213,1215,1215,1216,1216,1218,1220,1225,1229,1233,1236,1238,1241,1244,1248,1252,1253,1252,1252,1254,1260,1267,1278,1290,1303,1318,1334,1346,1354,1358,1358,1360,1362,1367,1373,1379,1385,1390,1395,1401,1408,1414,1419,1424,1430,1439,1446,1451,1450,1452,1457,1469,1479,1487,1491,1495,1498,1500,1500,1500,1503,1507,1512,1515,1516,1515,1511,1508,1505,1505,1506,1508,1510,1514,1521,1528,1535,1538,1538,1536,1535,1534,1534,1535,1535,1540,1548,1557,1563,1567,1571
21,"Illinois",5,1499,1495,1481,1463,1451,1447,1448,1446,1448,1452,1456,1455,1451,1445,1436,1429,1428,1430,1436,1436,1442,1449,1459,1468,1468,1462,1450,1441,1441,1453,1469,1481,1484,1490,1496,1504,1507,1507,1508,1507,1505,1502,1506,1513,1530,1544,1561,1569,1573,1565,1552,1539,1531,1529,1531,1538,1548,1555,1554,1548,1541,1537,1538,1540,1548,1553,1556,1555,1555,1553,1550,1543,1530,1514,1499,1491,1490,1493,1504,1520,1536,1546,1548,1546,1540,1529,1517,1508,1504,1503,1503,1501,1500,1500,1500,1507,1527,1547,1560,1560,1560,1564
47,"Pennsylvania",6,1054,1050,1037,1020,1009,1005,1006,1008,1015,1023,1029,1026,1017,1004,996,996,1003,1014,1026,1036,1044,1046,1049,1046,1039,1027,1017,1012,1016,1026,1039,1049,1055,1056,1054,1052,1050,1047,1045,1045,1050,1058,1065,1071,1082,1096,1110,1117,1120,1118,1113,1109,1106,1108,1116,1130,1144,1154,1157,1155,1148,1141,1138,1136,1139,1145,1157,1169,1177,1181,1181,1177,1170,1163,1156,1153,1152,1153,1156,1162,1172,1182,1188,1189,1187,1184,1182,1182,1185,1187,1189,1190,1190,1191,1191,1191,1194,1198,1201,1204,1208,1213
44,"Ohio",7,817,821,827,831,836,836,837,839,843,850,855,856,853,849,847,847,849,850,847,842,839,838,841,844,848,849,848,844,841,841,842,845,850,854,859,863,865,865,864,865,866,869,872,877,886,895,903,905,904,901,899,900,905,913,923,934,943,950,951,947,942,936,934,933,934,935,939,943,947,947,945,942,939,934,930,926,925,926,929,937,947,957,962,960,955,950,947,946,945,945,944,942,941,940,940,943,954,968,981,987,990,994
30,"Michigan",8,1179,1168,1160,1147,1131,1125,1130,1143,1156,1169,1179,1175,1156,1131,1113,1108,1111,1120,1131,1142,1150,1157,1159,1164,1165,1169,1168,1164,1157,1157,1158,1166,1173,1185,1197,1206,1209,1206,1202,1199,1197,1197,1197,1198,1202,1208,1216,1222,1224,1222,1220,1223,1228,1236,1244,1258,1269,1275,1269,1259,1251,1248,1253,1259,1268,1273,1279,1285,1288,1289,1289,1288,1286,1281,1277,1276,1278,1281,1285,1294,1309,1326,1337,1342,1341,1339,1336,1334,1333,1333,1332,1331,1330,1331,1330,1332,1338,1346,1351,1354,1355,1359
16,"Georgia",9,1086,1080,1080,1079,1075,1072,1072,1075,1078,1079,1078,1075,1071,1067,1062,1058,1055,1054,1054,1055,1057,1059,1059,1057,1054,1051,1047,1044,1044,1050,1060,1072,1082,1093,1101,1109,1113,1116,1115,1113,1110,1112,1117,1124,1134,1146,1159,1169,1177,1183,1189,1192,1194,1195,1198,1205,1213,1223,1227,1228,1225,1224,1228,1234,1240,1244,1247,1251,1254,1256,1258,1260,1261,1260,1258,1256,1254,1256,1264,1276,1289,1300,1308,1313,1316,1317,1320,1325,1330,1333,1334,1335,1335,1335,1335,1338,1347,1359,1369,1374,1379,1386
36,"North Carolina",10,912,918,918,915,912,909,909,913,919,926,931,932,932,930,929,930,931,932,935,939,944,949,951,954,955,956,954,952,951,951,955,963,973,979,984,987,990,991,992,989,987,986,989,992,997,1003,1010,1012,1013,1012,1011,1012,1017,1025,1034,1044,1054,1064,1068,1064,1057,1052,1053,1058,1068,1076,1084,1089,1092,1093,1093,1093,1093,1093,1092,1092,1093,1095,1101,1110,1123,1133,1139,1140,1140,1140,1140,1140,1140,1140,1141,1141,1141,1141,1141,1145,1155,1170,1183,1189,1192,1194
40,"New Jersey",11,1615,1627,1629,1622,1611,1605,1608,1614,1626,1648,1671,1687,1702,1719,1735,1735,1730,1734,1749,1767,1782,1791,1799,1801,1800,1796,1792,1790,1786,1786,1793,1814,1838,1855,1853,1836,1805,1774,1746,1729,1719,1723,1733,1744,1761,1781,1803,1814,1807,1789,1767,1757,1760,1774,1793,1814,1842,1861,1869,1856,1835,1817,1810,1814,1835,1859,1885,1897,1900,1895,1874,1846,1815,1794,1782,1780,1783,1791,1802,1823,1852,1872,1875,1857,1835,1816,1805,1798,1801,1809,1818,1825,1828,1830,1828,1820,1820,1818,1820,1814,1816,1824
56,"Virginia",12,1553,1553,1551,1550,1550,1550,1554,1562,1572,1582,1589,1593,1596,1599,1602,1605,1609,1615,1623,1634,1644,1654,1659,1661,1663,1664,1666,1666,1668,1671,1676,1683,1690,1695,1698,1697,1695,1692,1689,1688,1689,1690,1693,1697,1702,1707,1712,1712,1709,1706,1703,1700,1701,1702,1703,1710,1719,1727,1730,1725,1714,1704,1698,1698,1701,1707,1712,1714,1715,1715,1716,1716,1713,1707,1702,1699,1698,1698,1700,1705,1716,1727,1736,1740,1740,1738,1737,1735,1735,1737,1738,1738,1739,1739,1739,1741,1747,1755,1762,1767,1769,1773
59,"Washington",13,1224,1226,1229,1226,1219,1212,1206,1203,1204,1207,1213,1215,1214,1211,1208,1205,1203,1203,1207,1213,1223,1232,1243,1248,1254,1258,1263,1262,1259,1256,1261,1269,1283,1296,1309,1316,1322,1326,1330,1330,1332,1335,1345,1353,1366,1381,1398,1409,1414,1413,1410,1410,1413,1423,1434,1448,1463,1477,1488,1492,1492,1491,1492,1498,1508,1523,1540,1556,1568,1582,1595,1609,1616,1618,1613,1608,1605,1609,1619,1636,1658,1679,1694,1700,1699,1697,1691,1686,1682,1679,1677,1675,1674,1674,1674,1678,1696,1717,1734,1737,1737,1737
26,"Massachusetts",14,1584,1570,1559,1544,1525,1511,1502,1507,1519,1533,1546,1552,1555,1554,1556,1560,1572,1590,1622,1656,1690,1708,1714,1705,1692,1684,1682,1684,1686,1689,1696,1707,1725,1749,1770,1781,1785,1784,1781,1774,1765,1762,1765,1777,1800,1830,1863,1878,1882,1878,1877,1883,1891,1905,1925,1952,1981,2004,2013,2006,1993,1978,1972,1969,1977,1986,2007,2031,2058,2079,2094,2102,2101,2091,2073,2058,2052,2054,2060,2073,2095,2118,2134,2139,2132,2115,2091,2071,2061,2057,2054,2049,2046,2043,2042,2050,2070,2090,2099,2102,2109,2121
22,"Indiana",15,955,961,965,958,944,928,915,909,906,904,903,900,899,899,899,899,900,900,898,891,886,879,878,878,882,882,877,869,858,852,855,863,875,883,893,900,908,914,917,917,914,914,914,916,921,926,935,939,942,944,947,946,944,938,941,951,965,970,967,959,951,944,944,949,961,968,974,976,979,980,981,981,979,975,973,972,972,974,979,987,999,1009,1016,1016,1009,1001,994,991,989,988,988,988,988,987,986,988,993,1000,1003,1003,1002,1002
8,"Arizona",16,978,967,962,957,955,953,952,953,953,951,946,941,936,933,933,932,931,931,932,935,937,939,939,940,942,943,943,942,942,944,949,958,966,971,972,970,970,972,974,972,971,969,969,970,976,985,994,999,1002,1003,1002,1004,1012,1023,1034,1044,1054,1064,1067,1063,1054,1047,1051,1062,1079,1096,1114,1129,1138,1140,1139,1137,1135,1134,1134,1135,1136,1138,1143,1150,1161,1172,1181,1185,1187,1188,1189,1190,1192,1194,1195,1195,1195,1195,1195,1198,1213,1232,1248,1253,1254,1255
53,"Tennessee",17,984,977,972,964,954,943,937,938,945,952,960,965,968,966,965,964,964,964,969,976,985,994,1002,1006,1004,999,993,987,982,980,983,992,1003,1014,1023,1026,1023,1016,1014,1014,1012,1014,1020,1030,1043,1057,1069,1074,1076,1074,1070,1065,1065,1070,1080,1089,1102,1117,1128,1131,1127,1122,1124,1131,1142,1151,1160,1167,1168,1174,1177,1180,1175,1170,1166,1165,1167,1173,1181,1189,1194,1197,1199,1202,1202,1202,1199,1198,1198,1199,1198,1198,1198,1198,1198,1200,1203,1205,1204,1204,1206,1211
32,"Missouri",18,854,856,859,863,866,867,871,877,882,883,883,881,880,879,879,884,888,893,893,892,892,891,887,880,872,865,859,856,854,854,859,864,869,871,872,872,870,869,868,869,869,871,871,873,878,884,890,890,888,885,883,883,884,886,891,898,905,912,914,911,904,897,894,895,899,904,907,908,908,905,905,907,909,908,906,907,909,912,914,916,920,924,928,930,929,927,924,921,919,917,916,913,911,909,907,910,922,935,944,946,946,948
27,"Maryland",19,1593,1588,1587,1590,1596,1599,1602,1606,1611,1616,1619,1620,1618,1617,1617,1619,1620,1621,1623,1625,1627,1627,1627,1624,1623,1621,1623,1626,1631,1637,1644,1650,1657,1664,1665,1664,1661,1659,1657,1656,1655,1655,1653,1653,1655,1662,1669,1673,1673,1672,1671,1671,1673,1678,1686,1691,1697,1702,1702,1694,1685,1679,1679,1685,1691,1695,1696,1697,1698,1698,1698,1696,1691,1684,1676,1672,1671,1674,1680,1686,1691,1694,1696,1696,1694,1693,1691,1691,1692,1695,1697,1698,1698,1698,1698,1699,1703,1710,1716,1717,1716,1714
60,"Wisconsin",20,831,862,870,873,881,893,910,930,951,966,973,971,965,961,961,965,970,978,985,993,995,999,999,1007,1005,1002,986,971,954,944,942,947,963,981,1000,1008,1007,999,989,981,975,969,964,960,964,981,1003,1025,1035,1042,1044,1049,1057,1065,1072,1076,1077,1070,1054,1040,1032,1031,1037,1048,1059,1063,1063,1063,1059,1054,1047,1044,1043,1042,1043,1047,1052,1057,1058,1060,1062,1066,1073,1076,1075,1068,1063,1059,1059,1060,1060,1058,1056,1054,1052,1054,1063,1076,1085,1086,1085,1084
31,"Minnesota",21,1148,1156,1163,1161,1158,1162,1172,1185,1200,1210,1216,1214,1212,1208,1205,1202,1201,1200,1202,1205,1211,1217,1223,1227,1231,1236,1241,1245,1247,1249,1253,1258,1266,1274,1280,1282,1282,1281,1281,1281,1281,1283,1286,1289,1291,1294,1297,1299,1299,1296,1294,1293,1297,1302,1308,1313,1319,1326,1327,1323,1317,1313,1315,1323,1334,1343,1348,1350,1349,1348,1348,1348,1349,1349,1349,1349,1349,1352,1357,1364,1371,1377,1383,1386,1387,1388,1390,1393,1397,1401,1404,1405,1406,1407,1408,1413,1425,1442,1455,1461,1465,1469
10,"Colorado",22,1097,1099,1107,1117,1123,1125,1131,1139,1149,1156,1161,1163,1165,1165,1162,1159,1155,1155,1158,1165,1173,1181,1188,1193,1197,1200,1205,1209,1212,1218,1226,1237,1247,1255,1259,1262,1266,1273,1281,1289,1294,1299,1306,1314,1323,1336,1350,1366,1381,1396,1409,1422,1436,1450,1463,1474,1486,1499,1508,1514,1518,1522,1528,1535,1546,1556,1566,1574,1579,1582,1585,1586,1582,1575,1568,1565,1567,1573,1583,1598,1612,1625,1633,1636,1636,1634,1632,1632,1635,1637,1638,1638,1638,1638,1638,1641,1650,1663,1675,1680,1681,1682
4,"Alabama",23,967,960,957,937,907,874,859,860,866,875,881,882,879,876,872,867,865,866,865,862,854,861,882,918,944,956,958,956,950,946,946,951,956,961,964,967,970,971,971,966,963,960,961,963,968,979,990,999,1004,1005,1003,1001,1008,1021,1042,1056,1070,1077,1079,1071,1062,1055,1057,1058,1061,1065,1073,1079,1078,1071,1060,1051,1043,1038,1035,1034,1037,1038,1040,1043,1048,1056,1063,1069,1071,1069,1066,1065,1066,1066,1064,1060,1057,1054,1053,1058,1072,1089,1102,1106,1108,1111
51,"South Carolina",24,960,966,966,950,931,912,911,917,937,942,940,925,920,917,922,918,915,905,908,914,932,941,943,934,928,924,933,932,931,922,926,933,951,959,967,966,971,977,989,988,986,975,978,985,1001,1020,1040,1051,1050,1042,1029,1021,1019,1022,1034,1045,1059,1071,1083,1090,1092,1091,1092,1094,1101,1114,1127,1137,1140,1140,1140,1140,1139,1137,1134,1135,1137,1143,1150,1161,1176,1190,1199,1200,1198,1192,1186,1183,1184,1187,1189,1190,1190,1190,1190,1193,1201,1207,1209,1205,1204,1205
25,"Louisiana",25,1156,1153,1137,1120,1113,1120,1130,1140,1156,1174,1190,1199,1202,1200,1196,1189,1177,1157,1140,1134,1146,1157,1168,1171,1177,1178,1174,1173,1181,1191,1197,1202,1205,1210,1213,1215,1213,1211,1211,1217,1227,1235,1242,1248,1269,1295,1319,1334,1346,1351,1362,1374,1385,1386,1383,1377,1374,1384,1405,1422,1416,1395,1381,1387,1397,1404,1402,1400,1388,1368,1351,1343,1336,1324,1307,1295,1292,1302,1315,1327,1333,1324,1311,1297,1291,1281,1267,1253,1247,1244,1242,1240,1239,1238,1237,1238,1258,1278,1296,1296,1294,1290
24,"Kentucky",26,902,903,904,900,895,890,887,894,905,919,925,924,920,912,903,895,889,887,889,893,899,904,907,907,905,901,898,895,893,894,899,906,913,920,923,925,923,924,922,920,916,914,913,915,921,927,932,931,932,936,947,958,968,975,980,986,995,1005,1007,1003,993,982,975,975,978,982,983,984,983,987,990,995,997,996,994,994,994,994,994,998,1010,1025,1037,1039,1033,1023,1012,1006,1009,1016,1020,1022,1023,1022,1021,1024,1031,1037,1040,1039,1038,1039
46,"Oregon",27,995,996,987,992,995,1006,1002,1002,988,997,1006,1029,1032,1037,1024,1025,1024,1043,1052,1061,1051,1056,1061,1081,1082,1082,1064,1063,1062,1081,1084,1090,1080,1089,1098,1128,1140,1152,1138,1136,1133,1152,1157,1161,1171,1188,1212,1232,1245,1253,1259,1263,1268,1273,1286,1304,1329,1353,1370,1380,1381,1381,1380,1386,1398,1413,1428,1441,1450,1459,1469,1480,1486,1485,1476,1469,1466,1472,1481,1488,1495,1502,1507,1507,1502,1492,1480,1465,1452,1442,1436,1434,1434,1433,1433,1439,1462,1487,1507,1509,1509,1509
11,"Connecticut",28,1254,1253,1246,1241,1235,1230,1227,1233,1244,1257,1269,1277,1280,1277,1270,1261,1257,1260,1267,1276,1284,1290,1294,1295,1295,1292,1289,1285,1282,1281,1280,1281,1285,1290,1294,1294,1293,1286,1279,1275,1275,1278,1280,1285,1292,1302,1311,1317,1320,1321,1321,1322,1325,1334,1344,1356,1367,1378,1385,1386,1381,1375,1369,1365,1365,1369,1377,1383,1386,1388,1387,1385,1378,1371,1365,1363,1365,1367,1372,1378,1383,1384,1384,1384,1383,1380,1373,1366,1360,1354,1350,1348,1347,1345,1344,1347,1359,1372,1381,1382,1384,1387
19,"Iowa",29,961,966,968,968,969,965,963,961,961,958,958,955,952,944,946,945,944,940,934,930,931,938,946,950,950,947,941,937,936,938,941,949,960,973,978,982,983,987,985,977,966,960,962,969,978,990,1002,1006,1003,996,988,987,994,1008,1024,1040,1053,1054,1033,1009,988,981,982,993,1009,1022,1031,1033,1027,1015,1004,999,998,996,994,993,994,994,995,997,1000,1000,998,995,992,991,991,988,984,979,974,971,968,967,965,964,964,962,960,959,960,962
34,"Mississippi",30,851,852,851,849,843,839,835,838,842,847,851,854,851,848,843,845,847,849,850,850,847,844,837,831,824,822,822,823,821,824,830,837,843,847,852,854,859,867,874,872,862,853,847,845,851,862,880,893,900,895,887,882,884,888,896,908,920,924,917,906,898,895,899,913,924,928,922,918,915,909,902,894,891,888,886,883,880,878,877,877,882,888,893,893,892,889,884,879,875,873,870,867,865,863,861,865,876,889,896,898,898,899
6,"Arkansas",31,797,793,789,776,761,744,736,729,721,718,720,727,735,743,750,753,754,753,752,752,760,772,784,788,783,777,778,784,790,796,802,810,807,803,794,794,796,800,797,792,789,789,790,793,799,814,824,829,822,815,810,809,810,814,819,830,838,840,836,828,817,805,798,795,805,821,843,857,861,862,857,853,846,841,838,839,841,843,845,850,853,851,845,837,830,825,818,810,803,798,796,795,794,794,793,795,801,808,814,815,816,817
23,"Kansas",32,892,886,875,859,845,843,858,888,919,942,956,961,957,948,931,916,910,917,937,970,1003,1026,1017,1008,986,984,967,959,951,950,956,961,969,972,976,978,975,966,950,939,930,928,924,919,923,929,937,939,942,944,947,946,942,940,945,957,973,987,991,981,963,947,948,956,968,971,972,970,969,969,969,969,963,953,944,941,945,954,965,971,975,976,977,976,972,966,958,953,950,947,944,942,941,941,940,944,954,967,977,983,983,984
55,"Utah",33,,,,1091,1085,1074,1066,1060,1066,1078,1088,1093,1093,1094,1093,1094,1095,1097,1100,1105,1110,1114,1116,1119,1123,1129,1134,1141,1149,1158,1167,1174,1181,1189,1199,1206,1209,1208,1202,1194,1188,1187,1189,1191,1193,1195,1197,1199,1202,1203,1203,1203,1205,1211,1222,1235,1244,1249,1250,1247,1243,1241,1243,1249,1259,1266,1270,1272,1273,1276,1281,1286,1290,1293,1294,1294,1294,1295,1300,1311,1324,1334,1339,1342,1343,1344,1342,1341,1341,1341,1340,1340,1340,1341,1341,1346,1359,1376,1390,1395,1398,1401
42,"Nevada",34,909,912,913,910,906,901,896,893,891,892,895,898,899,898,894,890,886,885,886,887,888,887,884,883,880,877,875,872,870,869,871,874,878,882,886,887,886,885,887,889,892,895,897,898,900,903,908,912,913,912,909,909,912,918,925,935,945,952,954,953,950,948,949,952,957,961,962,963,964,964,965,967,974,981,985,989,992,997,1004,1014,1028,1041,1057,1072,1084,1089,1092,1094,1098,1100,1102,1103,1104,1104,1104,1110,1129,1155,1176,1183,1185,1187
41,"New Mexico",35,1022,1033,1040,1045,1046,1052,1060,1074,1089,1098,1091,1069,1036,1006,985,978,977,980,980,982,980,987,990,1000,995,993,979,974,970,975,982,998,1009,1015,1017,1025,1036,1035,1028,1025,1023,1025,1021,1015,1011,1017,1027,1037,1035,1038,1039,1044,1047,1050,1054,1064,1081,1091,1088,1071,1051,1031,1035,1042,1057,1051,1051,1045,1050,1046,1042,1037,1037,1041,1049,1062,1070,1069,1062,1059,1059,1059,1060,1062,1069,1077,1081,1080,1075,1073,1071,1069,1068,1067,1066,1068,1073,1080,1085,1086,1086,1088
61,"West Virginia",36,1013,1041,1062,1072,1044,988,945,935,946,973,1007,1020,1008,983,958,936,913,908,919,937,953,972,977,961,930,914,919,932,942,956,969,979,978,976,970,963,950,950,946,942,926,918,913,914,914,923,938,954,956,955,950,949,944,940,944,948,955,954,949,949,947,941,938,935,936,925,916,906,894,884,880,883,884,880,875,873,871,867,866,869,873,873,869,860,851,845,843,843,844,846,847,847,847,847,847,848,849,850,850,851,854,857
38,"Nebraska",37,979,985,972,960,946,945,958,963,970,969,969,968,971,974,977,979,976,975,969,964,952,938,931,935,949,962,968,976,992,1008,1020,1022,1022,1019,1018,1021,1026,1025,1017,1010,1010,1021,1034,1044,1056,1067,1076,1076,1079,1081,1085,1083,1083,1086,1091,1103,1111,1115,1110,1101,1090,1082,1079,1082,1094,1105,1123,1136,1146,1148,1145,1141,1133,1120,1105,1097,1097,1105,1119,1134,1143,1144,1145,1142,1137,1127,1113,1103,1101,1104,1107,1109,1112,1115,1117,1121,1126,1129,1130,1128,1128,1128
20,"Idaho",38,,,,,852,846,836,828,822,814,811,812,817,817,811,801,794,790,787,788,794,802,807,809,813,814,806,795,789,790,794,799,800,799,796,795,798,802,808,815,822,827,828,831,835,842,852,864,878,891,899,903,902,899,897,895,900,902,901,895,892,892,900,913,930,939,945,942,937,932,934,943,959,970,973,969,963,960,960,966,975,982,988,990,993,995,1000,1008,1021,1031,1037,1038,1039,1039,1039,1041,1053,1070,1086,1092,1093,1092
18,"Hawaii",39,1855,1842,1836,1845,1823,1784,1755,1725,1707,1690,1678,1669,1665,1667,1669,1665,1657,1653,1659,1669,1677,1681,1679,1681,1689,1707,1728,1739,1748,1757,1772,1788,1809,1829,1841,1832,1822,1814,1807,1775,1735,1718,1727,1751,1772,1802,1836,1867,1887,1902,1913,1929,1942,1955,1964,1969,1978,1988,1998,1999,1991,1980,1981,1991,2010,2018,2020,2025,2037,2055,2064,2062,2053,2048,2047,2051,2055,2062,2070,2081,2089,2091,2090,2086,2082,2075,2069,2064,2064,2063,2062,2060,2058,2056,2054,2059,2077,2098,2116,2123,2124,2124
28,"Maine",40,,,,852,817,788,783,807,821,839,843,853,857,856,853,861,864,870,874,889,903,916,935,950,955,945,934,923,915,911,912,917,922,927,928,931,931,931,929,928,930,928,926,927,938,958,979,1011,1043,1078,1098,1107,1111,1111,1117,1125,1140,1157,1170,1178,1180,1180,1168,1148,1128,1125,1134,1149,1163,1176,1187,1193,1196,1195,1190,1185,1184,1188,1195,1205,1218,1230,1233,1225,1213,1200,1194,1193,1208,1222,1233,1228,1224,1223,1222,1224,1237,1251,1261,1260,1257,1250
39,"New Hampshire",41,1200,1204,1208,1211,1212,1218,1229,1240,1253,1266,1276,1275,1275,1276,1284,1289,1292,1292,1294,1297,1298,1295,1293,1296,1304,1309,1310,1308,1306,1303,1306,1318,1329,1339,1352,1364,1367,1360,1351,1344,1337,1335,1334,1333,1337,1344,1362,1378,1391,1395,1392,1391,1391,1392,1396,1403,1417,1431,1440,1442,1442,1441,1437,1429,1425,1426,1430,1434,1439,1442,1446,1459,1471,1480,1479,1476,1472,1469,1469,1475,1488,1500,1508,1507,1500,1491,1487,1489,1493,1498,1499,1499,1499,1499,1499,1505,1526,1547,1559,1556,1554,1556
35,"Montana",42,,,,,,1025,1055,1054,1022,1014,1013,1012,1000,977,956,941,932,926,921,917,916,914,925,942,964,978,977,978,976,980,980,980,980,978,978,980,980,979,977,981,983,986,987,990,992,994,1002,1013,1026,1034,1046,1056,1064,1066,1067,1071,1081,1094,1103,1106,1113,1121,1132,1136,1141,1147,1158,1170,1177,1182,1185,1184,1178,1172,1173,1180,1182,1181,1178,1182,1193,1204,1209,1206,1199,1193,1188,1182,1177,1170,1165,1161,1158,1156,1154,1161,1182,1205,1219,1217,1215,1212
13,"Delaware",43,1279,1265,1258,1243,1236,1235,1242,1258,1279,1297,1292,1268,1233,1208,1197,1190,1182,1170,1165,1178,1201,1229,1244,1248,1239,1223,1195,1168,1153,1161,1177,1194,1209,1213,1213,1212,1210,1214,1206,1198,1180,1163,1154,1148,1169,1202,1250,1277,1293,1297,1311,1324,1335,1331,1323,1313,1308,1316,1330,1341,1343,1345,1350,1349,1352,1351,1356,1353,1349,1345,1343,1341,1335,1322,1305,1292,1287,1288,1293,1301,1308,1312,1315,1318,1326,1333,1343,1354,1363,1369,1370,1372,1373,1372,1371,1372,1364,1357,1351,1354,1357,1358
52,"South Dakota",44,,,,,,,903,906,901,909,915,917,914,910,912,909,900,887,874,873,873,902,928,939,922,898,895,895,901,904,906,909,917,930,939,932,923,920,923,914,902,891,887,884,906,936,978,996,1004,1010,1019,1041,1059,1083,1097,1109,1118,1110,1085,1047,1026,1028,1038,1044,1041,1042,1043,1043,1031,1029,1038,1055,1063,1056,1040,1016,994,976,964,959,962,970,980,986,989,988,982,974,965,961,961,963,964,965,966,967,972,976,981,980,981,981
