"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"10025","New York","NY","New York-Newark-Jersey City","New York County",1,,,,,,,,,,,,,,,2750,2775,2650,2800,2912.5,2850,2900,2895,2837.5,2695,2900,2762.5,2800,2800,2900,2900,3100,3115,3175,3200,3099,3100,3209,3250,3200,3200,3100,2925,3200,3300,3350,3450,3500,3397.5,3380,3350,3350,3400,3400,3400,3350,3362.5,3450,3385,3400,3400,3375,3400,3400,3375,3350,3400,3465,3500,3500,3500,3500,3500,3495,3450,3500,3500,3380,3362.5,3445,3490,3500,3500,3500,3490,3445,3400,3500,3445,3500,3490,3450,3490,3385,3445,3450,3362.5,3400,3380,3300,3350,3400,3400,3350,3380,3325,3400,3450,3400,3385,3392.5,3287.5
"60657","Chicago","IL","Chicago-Naperville-Elgin","Cook County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2000,1900,1925,1900,1925,1995,2172.5,2100,2200,2000,1950,1995,1995,1937.5,1950,1900,1962.5,1900,1950,2100,2150,1995,1722.5,1850,1795,1897.5,1850,1900,1897.5,2000,2100,2100,2100,2000,1850,1850,1795,1750,1762.5,1750,1947.5,1850,1900,1900,2000,1910,1850,1800,1882.5,1750,1850,1750,1825,1900
"10023","New York","NY","New York-Newark-Jersey City","New York County",3,,,,,,,,,,4750,4600,4297.5,3900,3650,3500,3395,3300,3400,3485,3563,3555,3500,3400,3300,3400,3300,3295,3444.5,3500,3495,3408,3408,3450,3400,3400,3400,3400,3450,3355,3300,3400,3400,3399,3500,3762.5,3850,3950,3900,3900,3950,4000,3810,4225,3950,3900,3950,3972.5,3875,3825,3950,3850,3897.5,3885,3897.5,3870,3950,3885,3950,3897.5,3875,3950,3997.5,3950,3975,3950,3882.5,3860,3795,3782.5,3697.5,3750,3695,3750,3835,3800,3800,3850,3950,3950,3950,3795,3775,3800,3850,3834.5,3800,3697.5,3600,3795,3792.5,3797,3800,3799,3800,3895,3870,3800,3870,3790,3795,3762.5
"60614","Chicago","IL","Chicago-Naperville-Elgin","Cook County",4,,,,,,,,,1995,2000,2150,1950,1825,1708,1675,1900,1800,1800,1800,1912.5,1880,1900,1850,1842,1950,1950,2000,1837.5,1900,1970,2100,2100,2177.5,2175,1955,1895,1865,1800,1750,1750,1755,1725,1700,1795,2047.5,2100,2195,2190,2200,2195,2100,1850,2100,2200,2125,2125,2021.5,2200,2272.5,2300,2300,2192.5,2085,2045,2195,2099,2045,2040,2020,1997.5,1970,2000,2100,2100,2047.5,2152.5,2195,2297.5,2195,2180,1900,1990,2020,2095,2000,2142,2150,2200,2200,2350,2300,2250,2100,2100,2100,2192.5,2100,2000,1900,1850,1950,1950,1995,2040,1900,1900,1995,1950,1950,1995,2150
"10002","New York","NY","New York-Newark-Jersey City","New York County",5,,,,,,,,,,,,,,,,,,,,,,,2575,2650,2775,2700,2550,2750,2795,2750,2600,2600,2650,2800,2850,2800,2800,2800,2800,2800,2818,2900,3000,2800,2700,2800,2850,2800,2700,2800,2995,2950,2900,3000,2995,3200,3000,3200,3200,3300,3000,3000,2700,2725,3097.5,3000,3200,2975,2875,2700,2700,2900,2850,2950,2750,2775,2700,2725,2800,2700,2695,2700,2695,2900,3250,3147.5,3097.5,3150,3075,3000,2899,2699,2700,2700,2700,2847.5,3000,3050,3000,3000,3000,3000,2925,3000,2950,2950,2975,2700,2925,2725,2750
"11226","New York","NY","New York-Newark-Jersey City","Kings County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1522.5,1550,1550,1545,1612.5,1575,1545,1574.5,1550,1650,1650,1600,1650,1662.5,1650,1675,1662.5,1700,1775,1800,1762.5,1675,1650,1650
"60640","Chicago","IL","Chicago-Naperville-Elgin","Cook County",7,,,,,,,,,,,,1425,1395,1295,1250,1162.5,1125,1200,1295,1395,1300,1305,1300,1305,1350,1300,1297.5,1250,1200,1300,1350,1350,1350,1350,1275,1300,1275,1247.5,1200,1200,1200,1195,1247.5,1350,1400,1400,1400,1450,1425,1450,1462.5,1482.5,1595,1650,1550,1500,1455,1500,1500,1510,1550,1500,1425,1482.5,1550,1625,1650,1500,1475,1500,1500,1595,1550,1550,1500,1495,1545,1532.5,1500,1510,1547.5,1495,1500,1550,1590,1650,1575,1550,1557.5,1510,1500,1500,1475,1500,1500,1500,1495,1450,1500,1550,1600,1550,1500,1495,1450,1450,1450,1445,1450,1450,1547.5
"94109","San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4200,3800,3500,4000,3700,3497.5,3972.5,4049.5,4195,4295,4000,3850,3850,3962.5,4200,4075,3700,3500,3900,3995,4195,4250,4297.5,4295,4150,4200,4175,4275,4047.5,3972.5,3925,4122.5,4200,4300,4200
"10016","New York","NY","New York-Newark-Jersey City","New York County",9,,,,,,,,,3250,3325,2850,3200,2899.5,2885.5,2895,2850,2900,3000,3000,2972.5,2950,2950,2919,2900,2995,3000,3017.5,3137.5,3200,3195,3195,3195,3195,3200,3100,3050,3082.5,3100,3125,3200,3200,3200,3200,3200,3307,3300,3395,3412.5,3437.5,3400,3307,3300,3295,3300,3395,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3450,3450,3497.5,3500,3500,3499,3497,3450,3500,3450,3400,3400,3425,3400,3400,3390,3300,3400,3400,3475,3465,3412.5,3500,3400,3400,3400,3400,3400,3400,3437.5,3360,3397.5,3425,3400,3412.5,3500,3450,3400,3400,3400,3350,3307,3295,3397.5,3400
"37013","Nashville","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1275,1285,1285,1295,1330,1315,1295,1312,1295,1275,1295,1295,1285,1295
"11235","New York","NY","New York-Newark-Jersey City","Kings County",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750,2400,2350,2300,2450,2300,2325,2400,2500,2512.5,2500,2400,2450,2400,2300,2150,2195,2025,2112.5,2100,2199,2300,2362.5,2100,2000,2000,1950,1972.5,1945
"11375","New York","NY","New York-Newark-Jersey City","Queens County",12,,,,,,,,,,,,,,1400,1475,1500,1497.5,1525,1562.5,1700,1700,1450,1525,1675,1625,1562.5,1675,1700,1700,1737.5,1750,1700,1700,1650,1750,1737.5,1725,1650,1650,1765,1750,1875,1912.5,1950,1800,1850,1800,1800,1750,1780,1750,1775,1712.5,1850,1850,1812.5,1800,1800,1850,1800,1900,1850,1800,1800,1825,1850,1900,1950,1875,1850,1900,1897.5,1875,1850,1897.5,1897.5,1950,1900,1950,1950,1872.5,1950,1950,1895,1875,1895,1895,1950,1950,1895,1897.5,1900,1895,1825,1800,1800,1850,1850,1900,1900,1900,1850,1950,1950,1922.5,1900,1897,1900,1950,1950,1950
"37211","Nashville","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1300,1395,1397.5,1325,1250,1250,1285,1362.5,1312.5,1350,1350,1325,1350,1350,1350,1375,1395,1350,1350,1275,1275,1322.5,1375,1395,1350,1399,1350
"10029","New York","NY","New York-Newark-Jersey City","New York County",14,,,,,,,,,,,,,,,,,,,,2550,2395,2585,2495,2600,2600,2350,2495,2497,2500,2600,2550,2595,2597.5,2562.5,2725,2700,2895,2900,2800,2750,2450,2400,2635,2800,2995,2950,2900,2900,2900,2900,2900,3000,3100,3095,3295,3297.5,3295,3300,3295,3300,3247.5,3095,2995,3095,2995,2997.5,3095,3045,3250,3200,3100,3100,3200,3297.5,3200,3100,3200,3200,3150,3095,3200,2995,3100,3095,3095,2900,2972.5,2995,3158,3200,3295,3300,3247.5,3295,3095,3200,3200,3200,3175,3247.5,3095,3150,3150,3095,3097.5,3200,3200,3247.5,3150,3295,3247.5
