"RegionName","City","State","Metro","CountyName","SizeRank","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"10025","New York","NY","New York-Newark-Jersey City","New York County",1,,,,,2600,2617.5,2600,2750,2775,2762.5,2750,2800,2785,2762.5,2700,2695,2795,2800,2895,2800,2895,2825,3000,3109,3297.5,3116.5,2967.5,2985,3000,3100,3195,3200,3250,3200,3200,3200,3250,3200,3200,3250,3222.5,3250,3295,3250,3200,3194.5,3000,3182.5,3150,3100,3145,3105,3195,3195,3195,3145,3100,3095,3100,3175,3195,3195,3190,3150,3175,3182,3025,3050,3200,3200,3095,3224,3295,3200,3000,3200,3095,3100,3100,3100,3070,3200,3250,3295,3200,3100,3106,3150,3100,3050,3050,3133,3200,3241.5,3175,3195,3200,3241.5,3200,3250,3295,3295,3350
"60657","Chicago","IL","Chicago-Naperville-Elgin","Cook County",2,,,,,,1195,1175,1250,1350,1295,1275,1275,1295,1260,1275,1345,1475,1400,1450,1475,1595,1600,1485,1560,1525,1562.5,1500,1500,1535,1500,1535,1505,1450,1400,1465,1395,1350,1415,1400,1473.5,1495,1450,1495,1525,1500,1495,1425,1400,1500,1525,1525,1595,1552.5,1550,1635,1675,1745,1695,1500,1540,1475,1495,1495,1480,1525,1595,1575,1595,1650,1550,1466,1450,1495,1420,1450,1466,1525,1575,1570,1625,1625,1595,1562.5,1550,1550,1495,1500,1595,1585,1595,1595,1675,1675,1650,1530,1450,1495,1495,1495,1575,1425,1535,1595
"10023","New York","NY","New York-Newark-Jersey City","New York County",3,,,3000,2880,2835,2950,3000,3100,3075,3400,3167.5,3300,3147,3195,3295,3197.5,3200,3195,3200,3250,3295,3200,3350,3300,3327,3325,3200,3200,3100,3250,3200,3200,3300,3300,3399,3495,3500,3400,3400,3400,3400,3450,3450,3450,3495,3418,3500,3434.5,3400,3450,3400,3375,3450,3485,3500,3300,3300,3400,3450,3455,3300,3300,3300,3275,3295,3300,3350,3300,3250,3300,3250,3300,3350,3300,3213,3165.5,3250,3200,3200,3250,3300,3400,3324,3300,3410,3376,3350,3390,3350,3200,3200,3299.5,3299,3250,3200,3395,3325,3295,3275,3295,3300,3300,3434.5
"60614","Chicago","IL","Chicago-Naperville-Elgin","Cook County",4,,,,1400,1300,1425,1500,1500,1585,1522,1412.5,1550,1550,1650,1650,1600,1585,1600,1600,1700,1800,1775,1665,1597.5,1683,1600,1595,1659,1675,1700,1700,1847.5,1800,1800,1695,1666,1595,1665,1665.5,1730,1695,1650,1670,1650,1800,1739,1750,1800,1895,1951,1895,1945,1850,1697.5,1775,1885.5,1995,1895,1895,1800,1800,1945,1975,1902.5,1970,1900,1900,1902.5,1950,1840,1670,1725,1557.5,1650,1600,1677.5,1700,1750,1750,1850,1895,1950,1897.5,1875,1800,1800,1895,1850,1800,1800,1900,1950,1950,1895,1800,1700,1750,1793,1800,1995,1740,1950,1975
"10002","New York","NY","New York-Newark-Jersey City","New York County",5,,,,,,2375,2297,2300,2350,2395,2595,2495,2512.5,2525,2495,2500,2500,2547.5,2625,2600,2600,2600,2595,2600,2750,2850,2650,2595,2600,2695,2700,2750,2795,2780,2750,2750,2800,2795,2750,2750,2707.5,2795,2795,2795,2895,2950,3095,3075,3000,3075,3125,2995,3000,2995,2995,2950,3150,3150,3199,3300,3100,3099,3000,3100,3100,3092,2995,2997.5,3389,3150,3200,3274.5,3000,3200,2995,2900,3200,3050,3075,3200,3200,3200,3199,3100,2995,2950,2895,2861,2900,3000,3100,3200,3195,3208,3275,3295,3295,3275,3250,3183,3106,3250,3400
"10467","New York","NY","New York-Newark-Jersey City","Bronx County",6,,,,,,,,,,,,,,,,,,,,,,,1200,1200,1175,1150,1262.5,1300,1287.5,1225,1285,1283.5,1250,1250,1262.5,1250,1250,1200,1200,1249.5,1250,1250,1250,1200,1225,1250,1300,1300,1250,1280,1300,1300,1300,1300,1300,1313.5,1350,1400,1400,1400,1400,1400,1400,1400,1400,1450,1450,1400,1450,1450,1400,1450,1495,1485,1475,1450,1500,1495,1500,1500,1500,1500,1550,1525,1550,1525,1525,1550,1625,1600,1587.5,1600,1675,1700,1662.5,1600,1700,1675,1700,1675,1650,1700,1625
"11226","New York","NY","New York-Newark-Jersey City","Kings County",7,,,,,,,,,,,,,,1487.5,1400,1385,1300,1297.5,1350,1295,1400,1400,1400,1350,1399.5,1375,1517,1550,1500,1500,1474.5,1600,1700,1700,1750,1700,1600,1550,1600,1650,1650,1650,1675,1750,1772.5,1775,1750,1750,1800,1800,1795,1750,1750,1800,1850,1950,1850,1825,1895,1875,1949.5,1900,1900,1900,1900,1900,1900,1950,1995,1999,1950,2100,1900,2000,1847.5,1900,1900,1937.5,1950,1950,2000,2050,2000,2000,2000,1950,1950,1999,2000,1998,2000,2016.5,2150,2199,2250,2159.5,2100,2077,2099,2100,2165,2150,2200
"60640","Chicago","IL","Chicago-Naperville-Elgin","Cook County",8,,,,800,825,895,850,835,833,845,820,800,800,899.5,895,985,985,995,1050,1050,995,1007,1052.5,995,1147.5,1175,1138,1110,1125,1150,1100,1100,1100,1141.5,1130,1175,1150,1157.5,1150,1175,1150,1175,1175,1175,1175,1195,1195,1200,1195,1250,1200,1195,1200,1195,1195,1197.5,1207.5,1295,1275,1225,1275,1295,1250,1250,1280,1350,1337.5,1300,1300,1285,1195,1250,1245,1195,1150,1200,1295,1295,1350,1350,1350,1325,1350,1300,1320,1300,1367.5,1395,1450,1427,1450,1450,1495,1450,1350,1350,1300,1325,1395,1425,1380,1395,1424
"94109","San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3750,3600,3350,3200,3400,3600,3625,3625,3800,3725,3900,3900,3950,4100,3900,3750,3800,3850,3800,3950,4000,3860,3772.5,3725,3600,3947.5,3850,3603,3995,4200,3695,4000,3550,3600,3495,3552.5,3600,3495,3495,3450,3300,3550,3500,3300,3350,3295,3199,3172.5,3450,3350,3450,3495,3500,3495,3495,3450,3600,3495,3500,3495,3500,3650,3595,3500,3555
"10016","New York","NY","New York-Newark-Jersey City","New York County",10,,,,2500,2550,2700,2750,2800,2850,2900,2900,2900,2900,2995,2900,2900,2900,2897.5,2900,3070.5,3076.5,3075,3150,3150,3150,3125,3050,3000,3000,3000,3000,3100,3100,3150,3195,3195,3175,3100,3100,3075,3100,3122.5,3150,3200,3200,3450,3421,3395,3375,3400,3426,3395,3395,3492.5,3450,3400,3400,3400,3395,3350,3328.5,3325,3295,3250,3295,3295,3300,3350,3300,3300,3300,3325,3400,3300,3300,3220,3295,3300,3372.5,3400,3395,3400,3425,3424.5,3400,3300,3300,3300,3300,3300,3388.5,3450,3495,3470,3472,3407.5,3495,3460.5,3495,3492.5,3495,3457,3462
