"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-04-30,"10025","NY","New York-Newark-Jersey City","New York County","New York",0,3592,0,0.0087054198258916,0.0312948607522251,22563
2019-04-30,"60657","IL","Chicago-Naperville-Elgin","Cook County","Chicago",1,1898,0.00105485232067511,0,0.0445789763346175,32530
2019-04-30,"10023","NY","New York-Newark-Jersey City","New York County","New York",2,3982,-0.00275482093663912,0.00606366851945427,0.068993288590604,29247
2019-04-30,"77494","TX","Houston-The Woodlands-Sugar Land","Harris County","Katy",3,2132,0.00518623290900519,0.00471253534401508,-0.0255941499085923,31733
2019-04-30,"60614","IL","Chicago-Naperville-Elgin","Cook County","Chicago",4,2101,0.013996138996139,0.0243783520234032,0.054718875502008,33465
2019-04-30,"77449","TX","Houston-The Woodlands-Sugar Land","Harris County","Katy",5,1485,0.00202429149797571,0.00746268656716418,0.0291060291060291,31997
2019-04-30,"79936","TX","El Paso","El Paso County","El Paso",6,1020,0.00294985250737463,0.00890207715133531,0.027190332326284,31535
2019-04-30,"77084","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",7,1478,0.00203389830508475,0.00612661674608577,0.0249653259361997,26765
2019-04-30,"10002","NY","New York-Newark-Jersey City","New York County","New York",8,3764,-0.010515247108307,-0.0144016758313695,0.0239390642002176,9248
2019-04-30,"10467","NY","New York-Newark-Jersey City","Bronx County","New York",9,1890,0.00318471337579618,0.0134048257372654,0.052924791086351,7574
2019-04-30,"11226","NY","New York-Newark-Jersey City","Kings County","New York",10,2199,-0.00856627592425609,-0.0152261531571876,-0.021797153024911,11209
2019-04-30,"60640","IL","Chicago-Naperville-Elgin","Cook County","Chicago",11,1612,-0.000619962802231866,-0.0061652281134402,0.0131992457573853,22637
2019-04-30,"94109","CA","San Francisco-Oakland-Hayward","San Francisco County","San Francisco",12,4460,-0.00111982082866741,-0.000448229493500672,0.0111085921559737,9585
2019-04-30,"10016","NY","New York-Newark-Jersey City","New York County","New York",13,3739,-0.00637788998139782,-0.0116309807031457,0.0280450921088809,27061
2019-04-30,"78660","TX","Austin-Round Rock","Travis County","Pflugerville",14,1654,0.00303214069132808,0.00669506999391357,0.0222496909765142,23332
2019-04-30,"37013","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County","Nashville",15,1509,0.00332446808510638,0.00734312416555407,0.0321477428180575,22729
2019-04-30,"11235","NY","New York-Newark-Jersey City","Kings County","New York",16,2187,-0.00228102189781022,-0.00409836065573771,-0.0219141323792487,17283
2019-04-30,"11375","NY","New York-Newark-Jersey City","Queens County","New York",17,2195,-0.00272603362108133,-0.00453514739229025,0.0252218589444185,22764
2019-04-30,"60647","IL","Chicago-Naperville-Elgin","Cook County","Chicago",18,1833,0.00493421052631579,0.00658978583196046,0.0391156462585034,20342
2019-04-30,"90250","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Hawthorne",19,2786,0.00143781452192667,0.00613940050559769,0.0303254437869823,14888
2019-04-30,"37211","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County","Nashville",20,1560,0.0025706940874036,0.00645161290322581,0.01364522417154,20530
