#
# File created on 2019-05-18 23:23:12 EDT
# Refresh Date: 2018-06
#
# U.S. Geological Survey
#
# This file contains selected WaterUse data 
#
# The data you have secured from the USGS NWISWeb database may include data that have 
# not received Director's approval and as such are provisional and subject to revision. 
# The data are released on the condition that neither the USGS nor the United States 
# Government may be held liable for any damages resulting from its authorized or 
# unauthorized use.
#
#  * References to sources of water-use data can be found here. - https://water.usgs.gov/watuse
#
#  Search Criteria:
#  Year(s)          - ALL
#  Area             - County
#  County Codes(s)  - ALL
#  County Name(s)   - --ALL Counties--
#  Category Code(s) - TP
#  Category Name(s) - Total Population
#
#  Columns:
#  state_cd    - State Code
#  state_name  - State Name
#  county_cd   - County Code
#  county_nm   - County Name
#  year        - Year
#
#  The following categories are included: 
#  Total Population total population of area, in thousands 
#
state_cd	state_name	county_cd	county_nm	year	Total Population total population of area, in thousands
2s	40s	3s	40s	4s	16s
01	Alabama	001	Autauga County	1985	34.300
01	Alabama	001	Autauga County	1990	34.220
01	Alabama	001	Autauga County	1995	39.380
01	Alabama	001	Autauga County	2000	43.671
01	Alabama	001	Autauga County	2005	48.612
01	Alabama	001	Autauga County	2010	54.571
01	Alabama	001	Autauga County	2015	55.347
01	Alabama	003	Baldwin County	1985	88.900
01	Alabama	003	Baldwin County	1990	98.280
01	Alabama	003	Baldwin County	1995	120.200
01	Alabama	003	Baldwin County	2000	140.415
01	Alabama	003	Baldwin County	2005	162.586
01	Alabama	003	Baldwin County	2010	182.265
01	Alabama	003	Baldwin County	2015	203.709
01	Alabama	005	Barbour County	1985	25.500
01	Alabama	005	Barbour County	1990	25.420
01	Alabama	005	Barbour County	1995	26.470
01	Alabama	005	Barbour County	2000	29.038
01	Alabama	005	Barbour County	2005	28.414
01	Alabama	005	Barbour County	2010	27.457
01	Alabama	005	Barbour County	2015	26.489
01	Alabama	007	Bibb County	1985	16.800
01	Alabama	007	Bibb County	1990	16.580
01	Alabama	007	Bibb County	1995	17.940
01	Alabama	007	Bibb County	2000	20.826
01	Alabama	007	Bibb County	2005	21.516
01	Alabama	007	Bibb County	2010	22.915
01	Alabama	007	Bibb County	2015	22.583
01	Alabama	009	Blount County	1985	37.000
01	Alabama	009	Blount County	1990	39.250
01	Alabama	009	Blount County	1995	42.720
01	Alabama	009	Blount County	2000	51.024
01	Alabama	009	Blount County	2005	55.725
01	Alabama	009	Blount County	2010	57.322
01	Alabama	009	Blount County	2015	57.673
01	Alabama	011	Bullock County	1985	10.700
01	Alabama	011	Bullock County	1990	11.040
01	Alabama	011	Bullock County	1995	11.150
01	Alabama	011	Bullock County	2000	11.714
01	Alabama	011	Bullock County	2005	11.055
01	Alabama	011	Bullock County	2010	10.914
01	Alabama	011	Bullock County	2015	10.696
01	Alabama	013	Butler County	1985	22.200
01	Alabama	013	Butler County	1990	21.890
01	Alabama	013	Butler County	1995	21.800
01	Alabama	013	Butler County	2000	21.399
01	Alabama	013	Butler County	2005	20.766
01	Alabama	013	Butler County	2010	20.947
01	Alabama	013	Butler County	2015	20.154
01	Alabama	015	Calhoun County	1985	124.600
01	Alabama	015	Calhoun County	1990	116.030
01	Alabama	015	Calhoun County	1995	117.260
01	Alabama	015	Calhoun County	2000	112.249
01	Alabama	015	Calhoun County	2005	112.141
01	Alabama	015	Calhoun County	2010	118.572
01	Alabama	015	Calhoun County	2015	115.620
01	Alabama	017	Chambers County	1985	40.400
01	Alabama	017	Chambers County	1990	36.880
01	Alabama	017	Chambers County	1995	37.260
01	Alabama	017	Chambers County	2000	36.583
01	Alabama	017	Chambers County	2005	35.460
01	Alabama	017	Chambers County	2010	34.215
01	Alabama	017	Chambers County	2015	34.123
01	Alabama	019	Cherokee County	1985	20.100
01	Alabama	019	Cherokee County	1990	19.540
01	Alabama	019	Cherokee County	1995	21.040
01	Alabama	019	Cherokee County	2000	23.988
01	Alabama	019	Cherokee County	2005	24.522
01	Alabama	019	Cherokee County	2010	25.989
01	Alabama	019	Cherokee County	2015	25.859
01	Alabama	021	Chilton County	1985	31.400
01	Alabama	021	Chilton County	1990	32.460
01	Alabama	021	Chilton County	1995	34.910
01	Alabama	021	Chilton County	2000	39.593
01	Alabama	021	Chilton County	2005	41.744
01	Alabama	021	Chilton County	2010	43.643
01	Alabama	021	Chilton County	2015	43.943
