#
# File created on 2019-05-18 23:23:13 EDT
# Refresh Date: 2018-06
#
# U.S. Geological Survey
#
# This file contains selected WaterUse data 
#
# The data you have secured from the USGS NWISWeb database may include data that have 
# not received Director's approval and as such are provisional and subject to revision. 
# The data are released on the condition that neither the USGS nor the United States 
# Government may be held liable for any damages resulting from its authorized or 
# unauthorized use.
#
#  * References to sources of water-use data can be found here. - https://water.usgs.gov/watuse
#
#  Search Criteria:
#  Year(s)          - ALL
#  Area             - County
#  County Codes(s)  - ALL
#  County Name(s)   - --ALL Counties--
#  Category Code(s) - TP
#  Category Name(s) - Total Population
#
#  Columns:
#  state_cd    - State Code
#  state_name  - State Name
#  county_cd   - County Code
#  county_nm   - County Name
#  year        - Year
#
#  The following categories are included: 
#  Total Population total population of area, in thousands 
#
state_cd	state_name	county_cd	county_nm	year	Total Population total population of area, in thousands
2s	40s	3s	40s	4s	16s
05	Arkansas	001	Arkansas County	1985	23.600
05	Arkansas	001	Arkansas County	1990	21.650
05	Arkansas	001	Arkansas County	1995	21.030
05	Arkansas	001	Arkansas County	2000	20.750
05	Arkansas	001	Arkansas County	2005	20.073
05	Arkansas	001	Arkansas County	2010	19.019
05	Arkansas	001	Arkansas County	2015	18.433
05	Arkansas	003	Ashley County	1985	26.700
05	Arkansas	003	Ashley County	1990	24.320
05	Arkansas	003	Ashley County	1995	24.650
05	Arkansas	003	Ashley County	2000	24.210
05	Arkansas	003	Ashley County	2005	23.178
05	Arkansas	003	Ashley County	2010	21.853
05	Arkansas	003	Ashley County	2015	20.838
05	Arkansas	005	Baxter County	1985	29.900
05	Arkansas	005	Baxter County	1990	31.190
05	Arkansas	005	Baxter County	1995	35.670
05	Arkansas	005	Baxter County	2000	38.390
05	Arkansas	005	Baxter County	2005	40.330
05	Arkansas	005	Baxter County	2010	41.513
05	Arkansas	005	Baxter County	2015	41.053
05	Arkansas	007	Benton County	1985	86.700
05	Arkansas	007	Benton County	1990	110.500
05	Arkansas	007	Benton County	1995	120.930
05	Arkansas	007	Benton County	2000	153.410
05	Arkansas	007	Benton County	2005	186.938
05	Arkansas	007	Benton County	2010	221.339
05	Arkansas	007	Benton County	2015	249.672
05	Arkansas	009	Boone County	1985	27.800
05	Arkansas	009	Boone County	1990	28.300
05	Arkansas	009	Boone County	1995	31.360
05	Arkansas	009	Boone County	2000	33.950
05	Arkansas	009	Boone County	2005	35.793
05	Arkansas	009	Boone County	2010	36.903
05	Arkansas	009	Boone County	2015	37.222
05	Arkansas	011	Bradley County	1985	13.300
05	Arkansas	011	Bradley County	1990	11.790
05	Arkansas	011	Bradley County	1995	11.650
05	Arkansas	011	Bradley County	2000	12.600
05	Arkansas	011	Bradley County	2005	12.192
05	Arkansas	011	Bradley County	2010	11.508
05	Arkansas	011	Bradley County	2015	11.094
05	Arkansas	013	Calhoun County	1985	6.100
05	Arkansas	013	Calhoun County	1990	5.870
05	Arkansas	013	Calhoun County	1995	5.800
05	Arkansas	013	Calhoun County	2000	5.740
05	Arkansas	013	Calhoun County	2005	5.589
05	Arkansas	013	Calhoun County	2010	5.368
05	Arkansas	013	Calhoun County	2015	5.229
05	Arkansas	015	Carroll County	1985	17.700
05	Arkansas	015	Carroll County	1990	18.650
05	Arkansas	015	Carroll County	1995	21.930
05	Arkansas	015	Carroll County	2000	25.360
05	Arkansas	015	Carroll County	2005	26.999
05	Arkansas	015	Carroll County	2010	27.446
05	Arkansas	015	Carroll County	2015	27.704
05	Arkansas	017	Chicot County	1985	17.600
05	Arkansas	017	Chicot County	1990	15.710
05	Arkansas	017	Chicot County	1995	15.290
05	Arkansas	017	Chicot County	2000	14.120
05	Arkansas	017	Chicot County	2005	13.027
05	Arkansas	017	Chicot County	2010	11.800
05	Arkansas	017	Chicot County	2015	11.027
05	Arkansas	019	Clark County	1985	22.900
05	Arkansas	019	Clark County	1990	21.440
05	Arkansas	019	Clark County	1995	22.100
05	Arkansas	019	Clark County	2000	23.550
05	Arkansas	019	Clark County	2005	22.916
05	Arkansas	019	Clark County	2010	22.995
05	Arkansas	019	Clark County	2015	22.633
05	Arkansas	021	Clay County	1985	19.700
05	Arkansas	021	Clay County	1990	18.110
05	Arkansas	021	Clay County	1995	17.600
05	Arkansas	021	Clay County	2000	17.610
05	Arkansas	021	Clay County	2005	16.578
05	Arkansas	021	Clay County	2010	16.083
05	Arkansas	021	Clay County	2015	15.109
05	Arkansas	023	Cleburne County	1985	19.200
05	Arkansas	023	Cleburne County	1990	19.410
05	Arkansas	023	Cleburne County	1995	21.860
05	Arkansas	023	Cleburne County	2000	24.050
05	Arkansas	023	Cleburne County	2005	25.391
05	Arkansas	023	Cleburne County	2010	25.970
05	Arkansas	023	Cleburne County	2015	25.467
05	Arkansas	025	Cleveland County	1985	8.100
05	Arkansas	025	Cleveland County	1990	7.780
05	Arkansas	025	Cleveland County	1995	8.080
05	Arkansas	025	Cleveland County	2000	8.570
05	Arkansas	025	Cleveland County	2005	8.903
05	Arkansas	025	Cleveland County	2010	8.689
05	Arkansas	025	Cleveland County	2015	8.311
05	Arkansas	027	Columbia County	1985	27.400
05	Arkansas	027	Columbia County	1990	25.690
05	Arkansas	027	Columbia County	1995	25.670
05	Arkansas	027	Columbia County	2000	25.600
05	Arkansas	027	Columbia County	2005	24.695
05	Arkansas	027	Columbia County	2010	24.552
05	Arkansas	027	Columbia County	2015	24.114
05	Arkansas	029	Conway County	1985	19.300
05	Arkansas	029	Conway County	1990	19.150
05	Arkansas	029	Conway County	1995	19.670
05	Arkansas	029	Conway County	2000	20.340
05	Arkansas	029	Conway County	2005	20.739
05	Arkansas	029	Conway County	2010	21.273
05	Arkansas	029	Conway County	2015	21.019
05	Arkansas	031	Craighead County	1985	62.900
05	Arkansas	031	Craighead County	1990	68.960
05	Arkansas	031	Craighead County	1995	74.790
05	Arkansas	031	Craighead County	2000	82.150
05	Arkansas	031	Craighead County	2005	86.735
05	Arkansas	031	Craighead County	2010	96.443
05	Arkansas	031	Craighead County	2015	104.354
05	Arkansas	033	Crawford County	1985	40.500
05	Arkansas	033	Crawford County	1990	42.490
05	Arkansas	033	Crawford County	1995	48.100
05	Arkansas	033	Crawford County	2000	53.250
05	Arkansas	033	Crawford County	2005	57.630
05	Arkansas	033	Crawford County	2010	61.948
05	Arkansas	033	Crawford County	2015	61.703
05	Arkansas	035	Crittenden County	1985	50.200
05	Arkansas	035	Crittenden County	1990	49.940
05	Arkansas	035	Crittenden County	1995	49.890
05	Arkansas	035	Crittenden County	2000	50.870
05	Arkansas	035	Crittenden County	2005	51.882
05	Arkansas	035	Crittenden County	2010	50.902
05	Arkansas	035	Crittenden County	2015	48.963
05	Arkansas	037	Cross County	1985	20.600
05	Arkansas	037	Cross County	1990	19.220
05	Arkansas	037	Cross County	1995	19.370
05	Arkansas	037	Cross County	2000	19.530
05	Arkansas	037	Cross County	2005	19.237
05	Arkansas	037	Cross County	2010	17.870
05	Arkansas	037	Cross County	2015	17.284
05	Arkansas	039	Dallas County	1985	10.500
05	Arkansas	039	Dallas County	1990	9.610
05	Arkansas	039	Dallas County	1995	9.490
05	Arkansas	039	Dallas County	2000	9.210
05	Arkansas	039	Dallas County	2005	8.524
05	Arkansas	039	Dallas County	2010	8.116
05	Arkansas	039	Dallas County	2015	7.604
05	Arkansas	041	Desha County	1985	19.500
05	Arkansas	041	Desha County	1990	16.800
05	Arkansas	041	Desha County	1995	15.490
05	Arkansas	041	Desha County	2000	15.340
05	Arkansas	041	Desha County	2005	14.358
05	Arkansas	041	Desha County	2010	13.008
05	Arkansas	041	Desha County	2015	11.965
05	Arkansas	043	Drew County	1985	18.100
05	Arkansas	043	Drew County	1990	17.370
05	Arkansas	043	Drew County	1995	17.850
05	Arkansas	043	Drew County	2000	18.720
05	Arkansas	043	Drew County	2005	18.693
05	Arkansas	043	Drew County	2010	18.509
05	Arkansas	043	Drew County	2015	18.778
05	Arkansas	045	Faulkner County	1985	51.200
05	Arkansas	045	Faulkner County	1990	60.010
05	Arkansas	045	Faulkner County	1995	71.760
05	Arkansas	045	Faulkner County	2000	86.010
05	Arkansas	045	Faulkner County	2005	97.147
05	Arkansas	045	Faulkner County	2010	113.237
05	Arkansas	045	Faulkner County	2015	121.552
05	Arkansas	047	Franklin County	1985	15.400
05	Arkansas	047	Franklin County	1990	14.900
05	Arkansas	047	Franklin County	1995	16.120
05	Arkansas	047	Franklin County	2000	17.770
05	Arkansas	047	Franklin County	2005	18.218
05	Arkansas	047	Franklin County	2010	18.125
05	Arkansas	047	Franklin County	2015	17.702
05	Arkansas	049	Fulton County	1985	10.300
05	Arkansas	049	Fulton County	1990	10.040
05	Arkansas	049	Fulton County	1995	10.730
05	Arkansas	049	Fulton County	2000	11.640
05	Arkansas	049	Fulton County	2005	11.934
05	Arkansas	049	Fulton County	2010	12.245
05	Arkansas	049	Fulton County	2015	12.204
05	Arkansas	051	Garland County	1985	74.500
05	Arkansas	051	Garland County	1990	73.400
05	Arkansas	051	Garland County	1995	81.050
05	Arkansas	051	Garland County	2000	88.070
05	Arkansas	051	Garland County	2005	93.551
05	Arkansas	051	Garland County	2010	96.024
05	Arkansas	051	Garland County	2015	97.177
05	Arkansas	053	Grant County	1985	13.300
05	Arkansas	053	Grant County	1990	13.950
05	Arkansas	053	Grant County	1995	15.020
05	Arkansas	053	Grant County	2000	16.460
05	Arkansas	053	Grant County	2005	17.348
05	Arkansas	053	Grant County	2010	17.853
05	Arkansas	053	Grant County	2015	18.102
05	Arkansas	055	Greene County	1985	31.500
05	Arkansas	055	Greene County	1990	31.800
05	Arkansas	055	Greene County	1995	34.620
05	Arkansas	055	Greene County	2000	37.330
05	Arkansas	055	Greene County	2005	39.401
05	Arkansas	055	Greene County	2010	42.090
05	Arkansas	055	Greene County	2015	44.196
05	Arkansas	057	Hempstead County	1985	23.300
05	Arkansas	057	Hempstead County	1990	21.620
05	Arkansas	057	Hempstead County	1995	22.190
05	Arkansas	057	Hempstead County	2000	23.590
05	Arkansas	057	Hempstead County	2005	23.383
05	Arkansas	057	Hempstead County	2010	22.609
05	Arkansas	057	Hempstead County	2015	22.084
05	Arkansas	059	Hot Spring County	1985	27.200
05	Arkansas	059	Hot Spring County	1990	26.120
05	Arkansas	059	Hot Spring County	1995	27.880
05	Arkansas	059	Hot Spring County	2000	30.350
05	Arkansas	059	Hot Spring County	2005	31.264
05	Arkansas	059	Hot Spring County	2010	32.923
05	Arkansas	059	Hot Spring County	2015	33.426
05	Arkansas	061	Howard County	1985	13.500
05	Arkansas	061	Howard County	1990	13.570
05	Arkansas	061	Howard County	1995	13.660
05	Arkansas	061	Howard County	2000	14.300
05	Arkansas	061	Howard County	2005	14.552
05	Arkansas	061	Howard County	2010	13.789
05	Arkansas	061	Howard County	2015	13.300
