#
# File created on 2019-05-18 23:23:15 EDT
# Refresh Date: 2018-06
#
# U.S. Geological Survey
#
# This file contains selected WaterUse data 
#
# The data you have secured from the USGS NWISWeb database may include data that have 
# not received Director's approval and as such are provisional and subject to revision. 
# The data are released on the condition that neither the USGS nor the United States 
# Government may be held liable for any damages resulting from its authorized or 
# unauthorized use.
#
#  * References to sources of water-use data can be found here. - https://water.usgs.gov/watuse
#
#  Search Criteria:
#  Year(s)          - ALL
#  Area             - County
#  County Codes(s)  - ALL
#  County Name(s)   - --ALL Counties--
#  Category Code(s) - TP
#  Category Name(s) - Total Population
#
#  Columns:
#  state_cd    - State Code
#  state_name  - State Name
#  county_cd   - County Code
#  county_nm   - County Name
#  year        - Year
#
#  The following categories are included: 
#  Total Population total population of area, in thousands 
#
state_cd	state_name	county_cd	county_nm	year	Total Population total population of area, in thousands
2s	40s	3s	40s	4s	16s
08	Colorado	001	Adams County	1985	276.470
08	Colorado	001	Adams County	1990	265.040
08	Colorado	001	Adams County	1995	303.300
08	Colorado	001	Adams County	2000	363.860
08	Colorado	001	Adams County	2005	399.426
08	Colorado	001	Adams County	2010	441.603
08	Colorado	001	Adams County	2015	491.337
08	Colorado	003	Alamosa County	1985	12.500
08	Colorado	003	Alamosa County	1990	13.620
08	Colorado	003	Alamosa County	1995	14.220
08	Colorado	003	Alamosa County	2000	14.970
08	Colorado	003	Alamosa County	2005	15.282
08	Colorado	003	Alamosa County	2010	15.445
08	Colorado	003	Alamosa County	2015	16.496
08	Colorado	005	Arapahoe County	1985	371.590
08	Colorado	005	Arapahoe County	1990	391.510
08	Colorado	005	Arapahoe County	1995	449.100
08	Colorado	005	Arapahoe County	2000	487.970
08	Colorado	005	Arapahoe County	2005	529.090
08	Colorado	005	Arapahoe County	2010	572.003
08	Colorado	005	Arapahoe County	2015	631.096
08	Colorado	007	Archuleta County	1985	5.230
08	Colorado	007	Archuleta County	1990	5.350
08	Colorado	007	Archuleta County	1995	7.100
08	Colorado	007	Archuleta County	2000	9.900
08	Colorado	007	Archuleta County	2005	11.886
08	Colorado	007	Archuleta County	2010	12.084
08	Colorado	007	Archuleta County	2015	12.352
08	Colorado	009	Baca County	1985	4.820
08	Colorado	009	Baca County	1990	4.560
08	Colorado	009	Baca County	1995	4.380
08	Colorado	009	Baca County	2000	4.520
08	Colorado	009	Baca County	2005	4.069
08	Colorado	009	Baca County	2010	3.788
08	Colorado	009	Baca County	2015	3.615
08	Colorado	011	Bent County	1985	5.740
08	Colorado	011	Bent County	1990	5.050
08	Colorado	011	Bent County	1995	5.520
08	Colorado	011	Bent County	2000	6.000
08	Colorado	011	Bent County	2005	5.558
08	Colorado	011	Bent County	2010	6.499
08	Colorado	011	Bent County	2015	5.830
08	Colorado	013	Boulder County	1985	210.640
08	Colorado	013	Boulder County	1990	225.340
08	Colorado	013	Boulder County	1995	253.850
08	Colorado	013	Boulder County	2000	291.290
