#
# File created on 2019-05-18 23:23:18 EDT
# Refresh Date: 2018-06
#
# U.S. Geological Survey
#
# This file contains selected WaterUse data 
#
# The data you have secured from the USGS NWISWeb database may include data that have 
# not received Director's approval and as such are provisional and subject to revision. 
# The data are released on the condition that neither the USGS nor the United States 
# Government may be held liable for any damages resulting from its authorized or 
# unauthorized use.
#
#  * References to sources of water-use data can be found here. - https://water.usgs.gov/watuse
#
#  Search Criteria:
#  Year(s)          - ALL
#  Area             - County
#  County Codes(s)  - ALL
#  County Name(s)   - --ALL Counties--
#  Category Code(s) - TP
#  Category Name(s) - Total Population
#
#  Columns:
#  state_cd    - State Code
#  state_name  - State Name
#  county_cd   - County Code
#  county_nm   - County Name
#  year        - Year
#
#  The following categories are included: 
#  Total Population total population of area, in thousands 
#
state_cd	state_name	county_cd	county_nm	year	Total Population total population of area, in thousands
2s	40s	3s	40s	4s	16s
12	Florida	001	Alachua County	1985	172.900
12	Florida	001	Alachua County	1990	181.600
12	Florida	001	Alachua County	1995	196.110
12	Florida	001	Alachua County	2000	217.960
12	Florida	001	Alachua County	2005	240.764
12	Florida	001	Alachua County	2010	247.336
12	Florida	001	Alachua County	2015	259.964
12	Florida	003	Baker County	1985	17.310
12	Florida	003	Baker County	1990	18.490
12	Florida	003	Baker County	1995	20.150
12	Florida	003	Baker County	2000	22.260
12	Florida	003	Baker County	2005	23.953
12	Florida	003	Baker County	2010	27.115
12	Florida	003	Baker County	2015	27.420
12	Florida	005	Bay County	1985	119.500
12	Florida	005	Bay County	1990	126.990
12	Florida	005	Bay County	1995	142.690
12	Florida	005	Bay County	2000	148.220
12	Florida	005	Bay County	2005	161.721
12	Florida	005	Bay County	2010	168.852
12	Florida	005	Bay County	2015	181.635
12	Florida	007	Bradford County	1985	23.400
12	Florida	007	Bradford County	1990	22.520
12	Florida	007	Bradford County	1995	24.180
12	Florida	007	Bradford County	2000	26.090
12	Florida	007	Bradford County	2005	28.118
12	Florida	007	Bradford County	2010	28.520
12	Florida	007	Bradford County	2015	26.928
12	Florida	009	Brevard County	1985	339.470
12	Florida	009	Brevard County	1990	398.980
12	Florida	009	Brevard County	1995	450.650
