#
# File created on 2019-05-18 23:23:19 EDT
# Refresh Date: 2018-06
#
# U.S. Geological Survey
#
# This file contains selected WaterUse data 
#
# The data you have secured from the USGS NWISWeb database may include data that have 
# not received Director's approval and as such are provisional and subject to revision. 
# The data are released on the condition that neither the USGS nor the United States 
# Government may be held liable for any damages resulting from its authorized or 
# unauthorized use.
#
#  * References to sources of water-use data can be found here. - https://water.usgs.gov/watuse
#
#  Search Criteria:
#  Year(s)          - ALL
#  Area             - County
#  County Codes(s)  - ALL
#  County Name(s)   - --ALL Counties--
#  Category Code(s) - TP
#  Category Name(s) - Total Population
#
#  Columns:
#  state_cd    - State Code
#  state_name  - State Name
#  county_cd   - County Code
#  county_nm   - County Name
#  year        - Year
#
#  The following categories are included: 
#  Total Population total population of area, in thousands 
#
state_cd	state_name	county_cd	county_nm	year	Total Population total population of area, in thousands
2s	40s	3s	40s	4s	16s
13	Georgia	001	Appling County	1985	16.300
13	Georgia	001	Appling County	1990	15.740
13	Georgia	001	Appling County	1995	16.360
13	Georgia	001	Appling County	2000	17.419
13	Georgia	001	Appling County	2005	17.954
13	Georgia	001	Appling County	2010	18.236
13	Georgia	001	Appling County	2015	18.454
13	Georgia	003	Atkinson County	1985	6.400
13	Georgia	003	Atkinson County	1990	6.210
13	Georgia	003	Atkinson County	1995	6.750
13	Georgia	003	Atkinson County	2000	7.609
13	Georgia	003	Atkinson County	2005	8.030
13	Georgia	003	Atkinson County	2010	8.375
13	Georgia	003	Atkinson County	2015	8.398
13	Georgia	005	Bacon County	1985	9.400
13	Georgia	005	Bacon County	1990	9.570
13	Georgia	005	Bacon County	1995	10.440
13	Georgia	005	Bacon County	2000	10.103
13	Georgia	005	Bacon County	2005	10.379
13	Georgia	005	Bacon County	2010	11.096
13	Georgia	005	Bacon County	2015	11.299
13	Georgia	007	Baker County	1985	3.700
13	Georgia	007	Baker County	1990	3.620
13	Georgia	007	Baker County	1995	3.770
13	Georgia	007	Baker County	2000	4.074
13	Georgia	007	Baker County	2005	4.154
13	Georgia	007	Baker County	2010	3.451
13	Georgia	007	Baker County	2015	3.180
13	Georgia	009	Baldwin County	1985	38.000
13	Georgia	009	Baldwin County	1990	39.530
13	Georgia	009	Baldwin County	1995	41.850
13	Georgia	009	Baldwin County	2000	44.700
13	Georgia	009	Baldwin County	2005	45.230
13	Georgia	009	Baldwin County	2010	45.720
13	Georgia	009	Baldwin County	2015	45.459
13	Georgia	011	Banks County	1985	9.900
13	Georgia	011	Banks County	1990	10.310
13	Georgia	011	Banks County	1995	11.620
13	Georgia	011	Banks County	2000	14.422
13	Georgia	011	Banks County	2005	16.055
13	Georgia	011	Banks County	2010	18.395
13	Georgia	011	Banks County	2015	18.495
13	Georgia	013	Barrow County	1985	24.900
13	Georgia	013	Barrow County	1990	29.720
13	Georgia	013	Barrow County	1995	35.700
13	Georgia	013	Barrow County	2000	46.144
13	Georgia	013	Barrow County	2005	59.954
13	Georgia	013	Barrow County	2010	69.367
13	Georgia	013	Barrow County	2015	75.370
13	Georgia	015	Bartow County	1985	45.500
13	Georgia	015	Bartow County	1990	55.910
13	Georgia	015	Bartow County	1995	63.730
13	Georgia	015	Bartow County	2000	76.019
13	Georgia	015	Bartow County	2005	89.229
13	Georgia	015	Bartow County	2010	100.157
13	Georgia	015	Bartow County	2015	102.747
13	Georgia	017	Ben Hill County	1985	17.300
13	Georgia	017	Ben Hill County	1990	16.250
13	Georgia	017	Ben Hill County	1995	17.260
13	Georgia	017	Ben Hill County	2000	17.484
13	Georgia	017	Ben Hill County	2005	17.316
13	Georgia	017	Ben Hill County	2010	17.634
13	Georgia	017	Ben Hill County	2015	17.403
