#
# File created on 2019-05-18 23:23:23 EDT
# Refresh Date: 2018-06
#
# U.S. Geological Survey
#
# This file contains selected WaterUse data 
#
# The data you have secured from the USGS NWISWeb database may include data that have 
# not received Director's approval and as such are provisional and subject to revision. 
# The data are released on the condition that neither the USGS nor the United States 
# Government may be held liable for any damages resulting from its authorized or 
# unauthorized use.
#
#  * References to sources of water-use data can be found here. - https://water.usgs.gov/watuse
#
#  Search Criteria:
#  Year(s)          - ALL
#  Area             - County
#  County Codes(s)  - ALL
#  County Name(s)   - --ALL Counties--
#  Category Code(s) - TP
#  Category Name(s) - Total Population
#
#  Columns:
#  state_cd    - State Code
#  state_name  - State Name
#  county_cd   - County Code
#  county_nm   - County Name
#  year        - Year
#
#  The following categories are included: 
#  Total Population total population of area, in thousands 
#
state_cd	state_name	county_cd	county_nm	year	Total Population total population of area, in thousands
2s	40s	3s	40s	4s	16s
19	Iowa	001	Adair County	1985	9.080
19	Iowa	001	Adair County	1990	8.410
19	Iowa	001	Adair County	1995	8.290
19	Iowa	001	Adair County	2000	8.240
19	Iowa	001	Adair County	2005	7.859
19	Iowa	001	Adair County	2010	7.682
19	Iowa	001	Adair County	2015	7.228
19	Iowa	003	Adams County	1985	5.490
19	Iowa	003	Adams County	1990	4.870
19	Iowa	003	Adams County	1995	4.500
19	Iowa	003	Adams County	2000	4.480
19	Iowa	003	Adams County	2005	4.264
19	Iowa	003	Adams County	2010	4.029
19	Iowa	003	Adams County	2015	3.796
19	Iowa	005	Allamakee County	1985	15.590
19	Iowa	005	Allamakee County	1990	13.850
19	Iowa	005	Allamakee County	1995	14.080
19	Iowa	005	Allamakee County	2000	14.680
19	Iowa	005	Allamakee County	2005	14.709
19	Iowa	005	Allamakee County	2010	14.330
19	Iowa	005	Allamakee County	2015	13.886
19	Iowa	007	Appanoose County	1985	14.780
19	Iowa	007	Appanoose County	1990	13.740
19	Iowa	007	Appanoose County	1995	13.670
19	Iowa	007	Appanoose County	2000	13.720
19	Iowa	007	Appanoose County	2005	13.666
19	Iowa	007	Appanoose County	2010	12.887
19	Iowa	007	Appanoose County	2015	12.529
19	Iowa	009	Audubon County	1985	8.190
19	Iowa	009	Audubon County	1990	7.330
19	Iowa	009	Audubon County	1995	6.880
19	Iowa	009	Audubon County	2000	6.830
19	Iowa	009	Audubon County	2005	6.457
19	Iowa	009	Audubon County	2010	6.119
19	Iowa	009	Audubon County	2015	5.773
19	Iowa	011	Benton County	1985	23.280
19	Iowa	011	Benton County	1990	22.430
19	Iowa	011	Benton County	1995	24.140
19	Iowa	011	Benton County	2000	25.310
19	Iowa	011	Benton County	2005	27.000
19	Iowa	011	Benton County	2010	26.076
19	Iowa	011	Benton County	2015	25.658
19	Iowa	013	Black Hawk County	1985	132.210
19	Iowa	013	Black Hawk County	1990	123.800
19	Iowa	013	Black Hawk County	1995	123.080
19	Iowa	013	Black Hawk County	2000	128.010
19	Iowa	013	Black Hawk County	2005	125.891
19	Iowa	013	Black Hawk County	2010	131.090
19	Iowa	013	Black Hawk County	2015	133.455
19	Iowa	015	Boone County	1985	25.570
19	Iowa	015	Boone County	1990	25.190
19	Iowa	015	Boone County	1995	25.500
19	Iowa	015	Boone County	2000	26.220
19	Iowa	015	Boone County	2005	26.602
19	Iowa	015	Boone County	2010	26.306
19	Iowa	015	Boone County	2015	26.643
19	Iowa	017	Bremer County	1985	25.190
19	Iowa	017	Bremer County	1990	22.810
19	Iowa	017	Bremer County	1995	23.220
19	Iowa	017	Bremer County	2000	23.330
19	Iowa	017	Bremer County	2005	23.677
19	Iowa	017	Bremer County	2010	24.276
19	Iowa	017	Bremer County	2015	24.722
19	Iowa	019	Buchanan County	1985	23.480
19	Iowa	019	Buchanan County	1990	20.840
19	Iowa	019	Buchanan County	1995	21.290
19	Iowa	019	Buchanan County	2000	21.090
19	Iowa	019	Buchanan County	2005	21.019
19	Iowa	019	Buchanan County	2010	20.958
19	Iowa	019	Buchanan County	2015	21.062
19	Iowa	021	Buena Vista County	1985	20.480
19	Iowa	021	Buena Vista County	1990	19.960
19	Iowa	021	Buena Vista County	1995	20.060
19	Iowa	021	Buena Vista County	2000	20.410
19	Iowa	021	Buena Vista County	2005	20.151
19	Iowa	021	Buena Vista County	2010	20.260
19	Iowa	021	Buena Vista County	2015	20.493
19	Iowa	023	Butler County	1985	17.580
19	Iowa	023	Butler County	1990	15.730
19	Iowa	023	Butler County	1995	15.740
19	Iowa	023	Butler County	2000	15.310
19	Iowa	023	Butler County	2005	15.072
19	Iowa	023	Butler County	2010	14.867
19	Iowa	023	Butler County	2015	14.915
19	Iowa	025	Calhoun County	1985	12.790
19	Iowa	025	Calhoun County	1990	11.510
19	Iowa	025	Calhoun County	1995	11.430
19	Iowa	025	Calhoun County	2000	11.120
19	Iowa	025	Calhoun County	2005	10.443
19	Iowa	025	Calhoun County	2010	9.670
19	Iowa	025	Calhoun County	2015	9.818
19	Iowa	027	Carroll County	1985	23.080
19	Iowa	027	Carroll County	1990	21.420
19	Iowa	027	Carroll County	1995	21.600
19	Iowa	027	Carroll County	2000	21.420
19	Iowa	027	Carroll County	2005	21.034
19	Iowa	027	Carroll County	2010	20.816
19	Iowa	027	Carroll County	2015	20.498
19	Iowa	029	Cass County	1985	16.580
19	Iowa	029	Cass County	1990	15.130
19	Iowa	029	Cass County	1995	15.050
19	Iowa	029	Cass County	2000	14.680
19	Iowa	029	Cass County	2005	14.219
19	Iowa	029	Cass County	2010	13.956
19	Iowa	029	Cass County	2015	13.427
19	Iowa	031	Cedar County	1985	18.890
19	Iowa	031	Cedar County	1990	17.380
19	Iowa	031	Cedar County	1995	17.680
19	Iowa	031	Cedar County	2000	18.190
19	Iowa	031	Cedar County	2005	18.254
19	Iowa	031	Cedar County	2010	18.499
19	Iowa	031	Cedar County	2015	18.340
19	Iowa	033	Cerro Gordo County	1985	47.770
19	Iowa	033	Cerro Gordo County	1990	46.730
19	Iowa	033	Cerro Gordo County	1995	46.630
19	Iowa	033	Cerro Gordo County	2000	46.450
19	Iowa	033	Cerro Gordo County	2005	44.645
19	Iowa	033	Cerro Gordo County	2010	44.151
19	Iowa	033	Cerro Gordo County	2015	43.017
19	Iowa	035	Cherokee County	1985	15.680
19	Iowa	035	Cherokee County	1990	14.100
19	Iowa	035	Cherokee County	1995	13.590
19	Iowa	035	Cherokee County	2000	13.040
19	Iowa	035	Cherokee County	2005	12.237
19	Iowa	035	Cherokee County	2010	12.072
19	Iowa	035	Cherokee County	2015	11.574
19	Iowa	037	Chickasaw County	1985	15.590
19	Iowa	037	Chickasaw County	1990	13.290
19	Iowa	037	Chickasaw County	1995	13.430
19	Iowa	037	Chickasaw County	2000	13.100
19	Iowa	037	Chickasaw County	2005	12.563
19	Iowa	037	Chickasaw County	2010	12.439
19	Iowa	037	Chickasaw County	2015	12.097
19	Iowa	039	Clarke County	1985	8.690
19	Iowa	039	Clarke County	1990	8.290
19	Iowa	039	Clarke County	1995	8.140
19	Iowa	039	Clarke County	2000	9.130
19	Iowa	039	Clarke County	2005	9.161
19	Iowa	039	Clarke County	2010	9.286
19	Iowa	039	Clarke County	2015	9.259
19	Iowa	041	Clay County	1985	18.690
19	Iowa	041	Clay County	1990	17.580
19	Iowa	041	Clay County	1995	17.410
19	Iowa	041	Clay County	2000	17.370
19	Iowa	041	Clay County	2005	16.897
19	Iowa	041	Clay County	2010	16.667
19	Iowa	041	Clay County	2015	16.507
19	Iowa	043	Clayton County	1985	21.480
19	Iowa	043	Clayton County	1990	19.050
19	Iowa	043	Clayton County	1995	18.830
19	Iowa	043	Clayton County	2000	18.680
19	Iowa	043	Clayton County	2005	18.337
19	Iowa	043	Clayton County	2010	18.129
19	Iowa	043	Clayton County	2015	17.644
19	Iowa	045	Clinton County	1985	54.970
19	Iowa	045	Clinton County	1990	51.040
19	Iowa	045	Clinton County	1995	50.890
19	Iowa	045	Clinton County	2000	50.150
19	Iowa	045	Clinton County	2005	49.717
19	Iowa	045	Clinton County	2010	49.116
19	Iowa	045	Clinton County	2015	47.768
19	Iowa	047	Crawford County	1985	19.380
19	Iowa	047	Crawford County	1990	16.770
19	Iowa	047	Crawford County	1995	16.460
19	Iowa	047	Crawford County	2000	16.940
19	Iowa	047	Crawford County	2005	16.889
19	Iowa	047	Crawford County	2010	17.096
19	Iowa	047	Crawford County	2015	17.094
19	Iowa	049	Dallas County	1985	30.170
19	Iowa	049	Dallas County	1990	29.750
19	Iowa	049	Dallas County	1995	32.950
19	Iowa	049	Dallas County	2000	40.750
19	Iowa	049	Dallas County	2005	51.762
19	Iowa	049	Dallas County	2010	66.135
19	Iowa	049	Dallas County	2015	80.133
19	Iowa	051	Davis County	1985	9.290
19	Iowa	051	Davis County	1990	8.310
19	Iowa	051	Davis County	1995	8.540
19	Iowa	051	Davis County	2000	8.540
19	Iowa	051	Davis County	2005	8.659
19	Iowa	051	Davis County	2010	8.753
19	Iowa	051	Davis County	2015	8.769
19	Iowa	053	Decatur County	1985	9.080
19	Iowa	053	Decatur County	1990	8.340
19	Iowa	053	Decatur County	1995	8.180
19	Iowa	053	Decatur County	2000	8.690
19	Iowa	053	Decatur County	2005	8.605
19	Iowa	053	Decatur County	2010	8.457
19	Iowa	053	Decatur County	2015	8.220
19	Iowa	055	Delaware County	1985	19.980
19	Iowa	055	Delaware County	1990	18.030
19	Iowa	055	Delaware County	1995	18.390
19	Iowa	055	Delaware County	2000	18.400
19	Iowa	055	Delaware County	2005	18.025
19	Iowa	055	Delaware County	2010	17.764
19	Iowa	055	Delaware County	2015	17.403
19	Iowa	057	Des Moines County	1985	44.560
19	Iowa	057	Des Moines County	1990	42.610
19	Iowa	057	Des Moines County	1995	42.680
19	Iowa	057	Des Moines County	2000	42.350
19	Iowa	057	Des Moines County	2005	40.810
19	Iowa	057	Des Moines County	2010	40.325
19	Iowa	057	Des Moines County	2015	40.055
19	Iowa	059	Dickinson County	1985	15.380
19	Iowa	059	Dickinson County	1990	14.910
19	Iowa	059	Dickinson County	1995	15.660
19	Iowa	059	Dickinson County	2000	16.420
19	Iowa	059	Dickinson County	2005	16.687
19	Iowa	059	Dickinson County	2010	16.667
19	Iowa	059	Dickinson County	2015	17.111
19	Iowa	061	Dubuque County	1985	92.920
19	Iowa	061	Dubuque County	1990	86.400
19	Iowa	061	Dubuque County	1995	88.570
19	Iowa	061	Dubuque County	2000	89.140
19	Iowa	061	Dubuque County	2005	91.631
19	Iowa	061	Dubuque County	2010	93.653
19	Iowa	061	Dubuque County	2015	97.125
19	Iowa	063	Emmet County	1985	12.490
19	Iowa	063	Emmet County	1990	11.570
19	Iowa	063	Emmet County	1995	11.150
19	Iowa	063	Emmet County	2000	11.030
19	Iowa	063	Emmet County	2005	10.534
19	Iowa	063	Emmet County	2010	10.302
19	Iowa	063	Emmet County	2015	9.769
19	Iowa	065	Fayette County	1985	24.680
19	Iowa	065	Fayette County	1990	21.840
19	Iowa	065	Fayette County	1995	21.800
19	Iowa	065	Fayette County	2000	22.010
19	Iowa	065	Fayette County	2005	21.298
19	Iowa	065	Fayette County	2010	20.880
19	Iowa	065	Fayette County	2015	20.257
19	Iowa	067	Floyd County	1985	19.190
19	Iowa	067	Floyd County	1990	17.060
19	Iowa	067	Floyd County	1995	16.600
19	Iowa	067	Floyd County	2000	16.900
19	Iowa	067	Floyd County	2005	16.443
19	Iowa	067	Floyd County	2010	16.303
19	Iowa	067	Floyd County	2015	15.960
19	Iowa	069	Franklin County	1985	12.690
19	Iowa	069	Franklin County	1990	11.360
19	Iowa	069	Franklin County	1995	11.110
19	Iowa	069	Franklin County	2000	10.700
19	Iowa	069	Franklin County	2005	10.732
19	Iowa	069	Franklin County	2010	10.680
19	Iowa	069	Franklin County	2015	10.295
19	Iowa	071	Fremont County	1985	8.990
19	Iowa	071	Fremont County	1990	8.230
19	Iowa	071	Fremont County	1995	8.100
19	Iowa	071	Fremont County	2000	8.010
19	Iowa	071	Fremont County	2005	7.759
19	Iowa	071	Fremont County	2010	7.441
19	Iowa	071	Fremont County	2015	6.906
19	Iowa	073	Greene County	1985	11.490
19	Iowa	073	Greene County	1990	10.040
19	Iowa	073	Greene County	1995	10.080
19	Iowa	073	Greene County	2000	10.370
19	Iowa	073	Greene County	2005	9.963
19	Iowa	073	Greene County	2010	9.336
19	Iowa	073	Greene County	2015	9.027
19	Iowa	075	Grundy County	1985	13.590
19	Iowa	075	Grundy County	1990	12.030
19	Iowa	075	Grundy County	1995	12.300
