#
# File created on 2019-05-18 23:23:22 EDT
# Refresh Date: 2018-06
#
# U.S. Geological Survey
#
# This file contains selected WaterUse data 
#
# The data you have secured from the USGS NWISWeb database may include data that have 
# not received Director's approval and as such are provisional and subject to revision. 
# The data are released on the condition that neither the USGS nor the United States 
# Government may be held liable for any damages resulting from its authorized or 
# unauthorized use.
#
#  * References to sources of water-use data can be found here. - https://water.usgs.gov/watuse
#
#  Search Criteria:
#  Year(s)          - ALL
#  Area             - County
#  County Codes(s)  - ALL
#  County Name(s)   - --ALL Counties--
#  Category Code(s) - TP
#  Category Name(s) - Total Population
#
#  Columns:
#  state_cd    - State Code
#  state_name  - State Name
#  county_cd   - County Code
#  county_nm   - County Name
#  year        - Year
#
#  The following categories are included: 
#  Total Population total population of area, in thousands 
#
state_cd	state_name	county_cd	county_nm	year	Total Population total population of area, in thousands
2s	40s	3s	40s	4s	16s
17	Illinois	001	Adams County	1985	71.700
17	Illinois	001	Adams County	1990	66.090
17	Illinois	001	Adams County	1995	68.040
17	Illinois	001	Adams County	2000	68.280
17	Illinois	001	Adams County	2005	67.040
17	Illinois	001	Adams County	2010	67.103
17	Illinois	001	Adams County	2015	67.013
17	Illinois	003	Alexander County	1985	12.370
17	Illinois	003	Alexander County	1990	10.630
17	Illinois	003	Alexander County	1995	10.180
17	Illinois	003	Alexander County	2000	9.590
17	Illinois	003	Alexander County	2005	8.927
17	Illinois	003	Alexander County	2010	8.238
17	Illinois	003	Alexander County	2015	6.780
17	Illinois	005	Bond County	1985	16.420
17	Illinois	005	Bond County	1990	14.990
17	Illinois	005	Bond County	1995	15.740
17	Illinois	005	Bond County	2000	17.630
17	Illinois	005	Bond County	2005	18.027
17	Illinois	005	Bond County	2010	17.768
17	Illinois	005	Bond County	2015	16.950
17	Illinois	007	Boone County	1985	28.670
17	Illinois	007	Boone County	1990	30.810
17	Illinois	007	Boone County	1995	36.180
17	Illinois	007	Boone County	2000	41.790
17	Illinois	007	Boone County	2005	50.483
17	Illinois	007	Boone County	2010	54.165
17	Illinois	007	Boone County	2015	53.585
17	Illinois	009	Brown County	1985	5.440
17	Illinois	009	Brown County	1990	5.840
17	Illinois	009	Brown County	1995	6.250
17	Illinois	009	Brown County	2000	6.950
17	Illinois	009	Brown County	2005	6.835
17	Illinois	009	Brown County	2010	6.937
17	Illinois	009	Brown County	2015	6.829
17	Illinois	011	Bureau County	1985	39.290
17	Illinois	011	Bureau County	1990	35.690
17	Illinois	011	Bureau County	1995	36.050
17	Illinois	011	Bureau County	2000	35.500
17	Illinois	011	Bureau County	2005	35.330
17	Illinois	011	Bureau County	2010	34.978
17	Illinois	011	Bureau County	2015	33.587
