#
# File created on 2019-05-18 23:23:23 EDT
# Refresh Date: 2018-06
#
# U.S. Geological Survey
#
# This file contains selected WaterUse data 
#
# The data you have secured from the USGS NWISWeb database may include data that have 
# not received Director's approval and as such are provisional and subject to revision. 
# The data are released on the condition that neither the USGS nor the United States 
# Government may be held liable for any damages resulting from its authorized or 
# unauthorized use.
#
#  * References to sources of water-use data can be found here. - https://water.usgs.gov/watuse
#
#  Search Criteria:
#  Year(s)          - ALL
#  Area             - County
#  County Codes(s)  - ALL
#  County Name(s)   - --ALL Counties--
#  Category Code(s) - TP
#  Category Name(s) - Total Population
#
#  Columns:
#  state_cd    - State Code
#  state_name  - State Name
#  county_cd   - County Code
#  county_nm   - County Name
#  year        - Year
#
#  The following categories are included: 
#  Total Population total population of area, in thousands 
#
state_cd	state_name	county_cd	county_nm	year	Total Population total population of area, in thousands
2s	40s	3s	40s	4s	16s
18	Indiana	001	Adams County	1985	30.170
18	Indiana	001	Adams County	1990	31.090
18	Indiana	001	Adams County	1995	32.310
18	Indiana	001	Adams County	2000	33.620
18	Indiana	001	Adams County	2005	33.849
18	Indiana	001	Adams County	2010	34.387
18	Indiana	001	Adams County	2015	34.980
18	Indiana	003	Allen County	1985	290.730
18	Indiana	003	Allen County	1990	300.840
18	Indiana	003	Allen County	1995	308.500
18	Indiana	003	Allen County	2000	331.850
18	Indiana	003	Allen County	2005	344.006
18	Indiana	003	Allen County	2010	355.329
18	Indiana	003	Allen County	2015	368.450
18	Indiana	005	Bartholomew County	1985	64.970
18	Indiana	005	Bartholomew County	1990	63.660
18	Indiana	005	Bartholomew County	1995	68.060
18	Indiana	005	Bartholomew County	2000	71.440
18	Indiana	005	Bartholomew County	2005	73.540
18	Indiana	005	Bartholomew County	2010	76.794
18	Indiana	005	Bartholomew County	2015	81.162
18	Indiana	007	Benton County	1985	6.920
18	Indiana	007	Benton County	1990	9.440
18	Indiana	007	Benton County	1995	9.700
18	Indiana	007	Benton County	2000	9.420
18	Indiana	007	Benton County	2005	9.039
18	Indiana	007	Benton County	2010	8.854
18	Indiana	007	Benton County	2015	8.681
18	Indiana	009	Blackford County	1985	15.090
18	Indiana	009	Blackford County	1990	14.070
18	Indiana	009	Blackford County	1995	14.160
18	Indiana	009	Blackford County	2000	14.050
18	Indiana	009	Blackford County	2005	13.849
18	Indiana	009	Blackford County	2010	12.766
18	Indiana	009	Blackford County	2015	12.298
18	Indiana	011	Boone County	1985	38.090
18	Indiana	011	Boone County	1990	38.150
18	Indiana	011	Boone County	1995	41.810
18	Indiana	011	Boone County	2000	46.110
18	Indiana	011	Boone County	2005	52.061
18	Indiana	011	Boone County	2010	56.640
18	Indiana	011	Boone County	2015	63.344
18	Indiana	013	Brown County	1985	12.600
18	Indiana	013	Brown County	1990	14.080
18	Indiana	013	Brown County	1995	15.100
18	Indiana	013	Brown County	2000	14.960
18	Indiana	013	Brown County	2005	15.154
18	Indiana	013	Brown County	2010	15.242
18	Indiana	013	Brown County	2015	14.977
18	Indiana	015	Carroll County	1985	19.290
18	Indiana	015	Carroll County	1990	18.810
18	Indiana	015	Carroll County	1995	19.500
18	Indiana	015	Carroll County	2000	20.160
18	Indiana	015	Carroll County	2005	20.426
18	Indiana	015	Carroll County	2010	20.155
18	Indiana	015	Carroll County	2015	19.856
18	Indiana	017	Cass County	1985	40.070
18	Indiana	017	Cass County	1990	38.410
18	Indiana	017	Cass County	1995	38.580
18	Indiana	017	Cass County	2000	40.930
18	Indiana	017	Cass County	2005	40.130
18	Indiana	017	Cass County	2010	38.966
18	Indiana	017	Cass County	2015	37.979
18	Indiana	019	Clark County	1985	89.750
18	Indiana	019	Clark County	1990	87.780
18	Indiana	019	Clark County	1995	91.830
18	Indiana	019	Clark County	2000	96.470
18	Indiana	019	Clark County	2005	101.592
18	Indiana	019	Clark County	2010	110.232
18	Indiana	019	Clark County	2015	115.371
18	Indiana	021	Clay County	1985	24.770
18	Indiana	021	Clay County	1990	24.700
18	Indiana	021	Clay County	1995	26.310
18	Indiana	021	Clay County	2000	26.560
18	Indiana	021	Clay County	2005	27.142
18	Indiana	021	Clay County	2010	26.890
18	Indiana	021	Clay County	2015	26.503
18	Indiana	023	Clinton County	1985	31.280
18	Indiana	023	Clinton County	1990	30.970
18	Indiana	023	Clinton County	1995	32.590
18	Indiana	023	Clinton County	2000	33.870
18	Indiana	023	Clinton County	2005	34.091
18	Indiana	023	Clinton County	2010	33.224
18	Indiana	023	Clinton County	2015	32.609
18	Indiana	025	Crawford County	1985	10.090
18	Indiana	025	Crawford County	1990	9.910
18	Indiana	025	Crawford County	1995	10.440
18	Indiana	025	Crawford County	2000	10.740
18	Indiana	025	Crawford County	2005	11.216
18	Indiana	025	Crawford County	2010	10.713
18	Indiana	025	Crawford County	2015	10.483
18	Indiana	027	Daviess County	1985	28.790
18	Indiana	027	Daviess County	1990	27.530
18	Indiana	027	Daviess County	1995	28.600
18	Indiana	027	Daviess County	2000	29.820
18	Indiana	027	Daviess County	2005	30.466
18	Indiana	027	Daviess County	2010	31.648
18	Indiana	027	Daviess County	2015	32.906
18	Indiana	029	Dearborn County	1985	36.770
18	Indiana	029	Dearborn County	1990	38.830
18	Indiana	029	Dearborn County	1995	44.370
18	Indiana	029	Dearborn County	2000	46.110
18	Indiana	029	Dearborn County	2005	49.082
18	Indiana	029	Dearborn County	2010	50.047
18	Indiana	029	Dearborn County	2015	49.455
18	Indiana	031	Decatur County	1985	23.680
18	Indiana	031	Decatur County	1990	23.640
18	Indiana	031	Decatur County	1995	25.000
18	Indiana	031	Decatur County	2000	24.550
18	Indiana	031	Decatur County	2005	25.184
18	Indiana	031	Decatur County	2010	25.740
18	Indiana	031	Decatur County	2015	26.521
18	Indiana	033	DeKalb County	1985	33.670
18	Indiana	033	DeKalb County	1990	35.320
18	Indiana	033	DeKalb County	1995	37.960
18	Indiana	033	DeKalb County	2000	40.280
18	Indiana	033	DeKalb County	2005	41.659
18	Indiana	033	DeKalb County	2010	42.223
18	Indiana	033	DeKalb County	2015	42.589
18	Indiana	035	Delaware County	1985	122.310
18	Indiana	035	Delaware County	1990	119.660
18	Indiana	035	Delaware County	1995	118.580
18	Indiana	035	Delaware County	2000	118.770
18	Indiana	035	Delaware County	2005	116.362
18	Indiana	035	Delaware County	2010	117.671
18	Indiana	035	Delaware County	2015	116.852
18	Indiana	037	Dubois County	1985	35.680
18	Indiana	037	Dubois County	1990	36.610
18	Indiana	037	Dubois County	1995	38.730
18	Indiana	037	Dubois County	2000	39.670
18	Indiana	037	Dubois County	2005	40.858
18	Indiana	037	Dubois County	2010	41.889
18	Indiana	037	Dubois County	2015	42.461
18	Indiana	039	Elkhart County	1985	145.110
18	Indiana	039	Elkhart County	1990	156.200
18	Indiana	039	Elkhart County	1995	166.990
18	Indiana	039	Elkhart County	2000	182.790
18	Indiana	039	Elkhart County	2005	195.362
18	Indiana	039	Elkhart County	2010	197.559
18	Indiana	039	Elkhart County	2015	203.474
18	Indiana	041	Fayette County	1985	27.680
18	Indiana	041	Fayette County	1990	26.010
18	Indiana	041	Fayette County	1995	26.430
18	Indiana	041	Fayette County	2000	25.590
18	Indiana	041	Fayette County	2005	24.885
18	Indiana	041	Fayette County	2010	24.277
18	Indiana	041	Fayette County	2015	23.434
18	Indiana	043	Floyd County	1985	62.860
18	Indiana	043	Floyd County	1990	64.400
18	Indiana	043	Floyd County	1995	70.060
18	Indiana	043	Floyd County	2000	70.820
18	Indiana	043	Floyd County	2005	71.997
18	Indiana	043	Floyd County	2010	74.578
18	Indiana	043	Floyd County	2015	76.778
18	Indiana	045	Fountain County	1985	18.690
18	Indiana	045	Fountain County	1990	17.810
18	Indiana	045	Fountain County	1995	18.060
18	Indiana	045	Fountain County	2000	17.950
18	Indiana	045	Fountain County	2005	17.462
18	Indiana	045	Fountain County	2010	17.240
18	Indiana	045	Fountain County	2015	16.591
18	Indiana	047	Franklin County	1985	20.390
18	Indiana	047	Franklin County	1990	19.580
18	Indiana	047	Franklin County	1995	20.960
18	Indiana	047	Franklin County	2000	22.150
18	Indiana	047	Franklin County	2005	23.085
18	Indiana	047	Franklin County	2010	23.087
18	Indiana	047	Franklin County	2015	22.872
18	Indiana	049	Fulton County	1985	18.890
18	Indiana	049	Fulton County	1990	18.840
18	Indiana	049	Fulton County	1995	19.920
18	Indiana	049	Fulton County	2000	20.510
18	Indiana	049	Fulton County	2005	20.665
18	Indiana	049	Fulton County	2010	20.836
18	Indiana	049	Fulton County	2015	20.315
18	Indiana	051	Gibson County	1985	33.780
18	Indiana	051	Gibson County	1990	31.910
18	Indiana	051	Gibson County	1995	32.160
18	Indiana	051	Gibson County	2000	32.500
18	Indiana	051	Gibson County	2005	33.408
18	Indiana	051	Gibson County	2010	33.503
18	Indiana	051	Gibson County	2015	33.775
18	Indiana	053	Grant County	1985	77.430
18	Indiana	053	Grant County	1990	74.170
18	Indiana	053	Grant County	1995	73.720
18	Indiana	053	Grant County	2000	73.400
18	Indiana	053	Grant County	2005	70.557
18	Indiana	053	Grant County	2010	70.061
18	Indiana	053	Grant County	2015	67.979
