#
# File created on 2019-05-18 23:23:24 EDT
# Refresh Date: 2018-06
#
# U.S. Geological Survey
#
# This file contains selected WaterUse data 
#
# The data you have secured from the USGS NWISWeb database may include data that have 
# not received Director's approval and as such are provisional and subject to revision. 
# The data are released on the condition that neither the USGS nor the United States 
# Government may be held liable for any damages resulting from its authorized or 
# unauthorized use.
#
#  * References to sources of water-use data can be found here. - https://water.usgs.gov/watuse
#
#  Search Criteria:
#  Year(s)          - ALL
#  Area             - County
#  County Codes(s)  - ALL
#  County Name(s)   - --ALL Counties--
#  Category Code(s) - TP
#  Category Name(s) - Total Population
#
#  Columns:
#  state_cd    - State Code
#  state_name  - State Name
#  county_cd   - County Code
#  county_nm   - County Name
#  year        - Year
#
#  The following categories are included: 
#  Total Population total population of area, in thousands 
#
state_cd	state_name	county_cd	county_nm	year	Total Population total population of area, in thousands
2s	40s	3s	40s	4s	16s
20	Kansas	001	Allen County	1985	15.900
20	Kansas	001	Allen County	1990	14.640
20	Kansas	001	Allen County	1995	14.740
20	Kansas	001	Allen County	2000	14.390
20	Kansas	001	Allen County	2005	13.787
20	Kansas	001	Allen County	2010	13.371
20	Kansas	001	Allen County	2015	12.717
20	Kansas	003	Anderson County	1985	8.500
20	Kansas	003	Anderson County	1990	7.800
20	Kansas	003	Anderson County	1995	8.000
20	Kansas	003	Anderson County	2000	8.110
20	Kansas	003	Anderson County	2005	8.182
20	Kansas	003	Anderson County	2010	8.102
20	Kansas	003	Anderson County	2015	7.808
20	Kansas	005	Atchison County	1985	18.000
20	Kansas	005	Atchison County	1990	16.930
20	Kansas	005	Atchison County	1995	16.260
20	Kansas	005	Atchison County	2000	16.770
20	Kansas	005	Atchison County	2005	16.804
20	Kansas	005	Atchison County	2010	16.924
20	Kansas	005	Atchison County	2015	16.398
20	Kansas	007	Barber County	1985	7.000
20	Kansas	007	Barber County	1990	5.870
20	Kansas	007	Barber County	1995	5.600
20	Kansas	007	Barber County	2000	5.310
20	Kansas	007	Barber County	2005	4.958
20	Kansas	007	Barber County	2010	4.861
20	Kansas	007	Barber County	2015	4.823
20	Kansas	009	Barton County	1985	33.100
20	Kansas	009	Barton County	1990	29.380
20	Kansas	009	Barton County	1995	28.610
20	Kansas	009	Barton County	2000	28.210
20	Kansas	009	Barton County	2005	28.105
20	Kansas	009	Barton County	2010	27.674
20	Kansas	009	Barton County	2015	27.103
20	Kansas	011	Bourbon County	1985	15.700
20	Kansas	011	Bourbon County	1990	14.970
20	Kansas	011	Bourbon County	1995	15.010
20	Kansas	011	Bourbon County	2000	15.380
20	Kansas	011	Bourbon County	2005	14.997
20	Kansas	011	Bourbon County	2010	15.173
20	Kansas	011	Bourbon County	2015	14.712
20	Kansas	013	Brown County	1985	11.500
20	Kansas	013	Brown County	1990	11.130
20	Kansas	013	Brown County	1995	11.080
20	Kansas	013	Brown County	2000	10.720
20	Kansas	013	Brown County	2005	10.239
20	Kansas	013	Brown County	2010	9.984
20	Kansas	013	Brown County	2015	9.776
20	Kansas	015	Butler County	1985	47.600
20	Kansas	015	Butler County	1990	50.580
20	Kansas	015	Butler County	1995	57.750
20	Kansas	015	Butler County	2000	59.480
20	Kansas	015	Butler County	2005	62.354
20	Kansas	015	Butler County	2010	65.880
20	Kansas	015	Butler County	2015	66.741
20	Kansas	017	Chase County	1985	3.300
20	Kansas	017	Chase County	1990	3.020
20	Kansas	017	Chase County	1995	2.880
20	Kansas	017	Chase County	2000	3.030
20	Kansas	017	Chase County	2005	3.081
20	Kansas	017	Chase County	2010	2.790
20	Kansas	017	Chase County	2015	2.679
20	Kansas	019	Chautauqua County	1985	4.800
20	Kansas	019	Chautauqua County	1990	4.410
20	Kansas	019	Chautauqua County	1995	4.440
20	Kansas	019	Chautauqua County	2000	4.360
20	Kansas	019	Chautauqua County	2005	4.109
20	Kansas	019	Chautauqua County	2010	3.669
20	Kansas	019	Chautauqua County	2015	3.402
20	Kansas	021	Cherokee County	1985	22.300
20	Kansas	021	Cherokee County	1990	21.370
20	Kansas	021	Cherokee County	1995	22.440
20	Kansas	021	Cherokee County	2000	22.610
20	Kansas	021	Cherokee County	2005	21.555
20	Kansas	021	Cherokee County	2010	21.603
20	Kansas	021	Cherokee County	2015	20.533
20	Kansas	023	Cheyenne County	1985	3.600
20	Kansas	023	Cheyenne County	1990	3.240
20	Kansas	023	Cheyenne County	1995	3.230
20	Kansas	023	Cheyenne County	2000	3.170
20	Kansas	023	Cheyenne County	2005	2.946
