#
# File created on 2019-05-18 23:23:25 EDT
# Refresh Date: 2018-06
#
# U.S. Geological Survey
#
# This file contains selected WaterUse data 
#
# The data you have secured from the USGS NWISWeb database may include data that have 
# not received Director's approval and as such are provisional and subject to revision. 
# The data are released on the condition that neither the USGS nor the United States 
# Government may be held liable for any damages resulting from its authorized or 
# unauthorized use.
#
#  * References to sources of water-use data can be found here. - https://water.usgs.gov/watuse
#
#  Search Criteria:
#  Year(s)          - ALL
#  Area             - County
#  County Codes(s)  - ALL
#  County Name(s)   - --ALL Counties--
#  Category Code(s) - TP
#  Category Name(s) - Total Population
#
#  Columns:
#  state_cd    - State Code
#  state_name  - State Name
#  county_cd   - County Code
#  county_nm   - County Name
#  year        - Year
#
#  The following categories are included: 
#  Total Population total population of area, in thousands 
#
state_cd	state_name	county_cd	county_nm	year	Total Population total population of area, in thousands
2s	40s	3s	40s	4s	16s
21	Kentucky	001	Adair County	1985	15.900
21	Kentucky	001	Adair County	1990	15.360
21	Kentucky	001	Adair County	1995	16.290
21	Kentucky	001	Adair County	2000	17.240
21	Kentucky	001	Adair County	2005	17.573
21	Kentucky	001	Adair County	2010	18.656
21	Kentucky	001	Adair County	2015	19.027
21	Kentucky	003	Allen County	1985	14.600
21	Kentucky	003	Allen County	1990	14.630
21	Kentucky	003	Allen County	1995	15.710
21	Kentucky	003	Allen County	2000	17.800
21	Kentucky	003	Allen County	2005	18.706
21	Kentucky	003	Allen County	2010	19.956
21	Kentucky	003	Allen County	2015	20.640
21	Kentucky	005	Anderson County	1985	13.500
21	Kentucky	005	Anderson County	1990	14.570
21	Kentucky	005	Anderson County	1995	17.150
21	Kentucky	005	Anderson County	2000	19.110
21	Kentucky	005	Anderson County	2005	20.394
21	Kentucky	005	Anderson County	2010	21.421
21	Kentucky	005	Anderson County	2015	21.979
21	Kentucky	007	Ballard County	1985	8.200
21	Kentucky	007	Ballard County	1990	7.900
21	Kentucky	007	Ballard County	1995	8.230
21	Kentucky	007	Ballard County	2000	8.290
21	Kentucky	007	Ballard County	2005	8.277
21	Kentucky	007	Ballard County	2010	8.249
21	Kentucky	007	Ballard County	2015	8.212
21	Kentucky	009	Barren County	1985	34.200
21	Kentucky	009	Barren County	1990	34.000
21	Kentucky	009	Barren County	1995	35.770
21	Kentucky	009	Barren County	2000	38.030
21	Kentucky	009	Barren County	2005	40.073
21	Kentucky	009	Barren County	2010	42.173
21	Kentucky	009	Barren County	2015	43.570
21	Kentucky	011	Bath County	1985	10.200
21	Kentucky	011	Bath County	1990	9.690
21	Kentucky	011	Bath County	1995	10.160
21	Kentucky	011	Bath County	2000	11.090
21	Kentucky	011	Bath County	2005	11.626
21	Kentucky	011	Bath County	2010	11.591
21	Kentucky	011	Bath County	2015	12.228
21	Kentucky	013	Bell County	1985	34.300
21	Kentucky	013	Bell County	1990	31.500
21	Kentucky	013	Bell County	1995	30.490
21	Kentucky	013	Bell County	2000	30.060
21	Kentucky	013	Bell County	2005	29.665
21	Kentucky	013	Bell County	2010	28.691
21	Kentucky	013	Bell County	2015	27.337
21	Kentucky	015	Boone County	1985	51.200
21	Kentucky	015	Boone County	1990	57.590
21	Kentucky	015	Boone County	1995	70.100
21	Kentucky	015	Boone County	2000	85.990
21	Kentucky	015	Boone County	2005	106.272
21	Kentucky	015	Boone County	2010	118.811
21	Kentucky	015	Boone County	2015	127.712
21	Kentucky	017	Bourbon County	1985	19.300
21	Kentucky	017	Bourbon County	1990	19.240
21	Kentucky	017	Bourbon County	1995	19.260
21	Kentucky	017	Bourbon County	2000	19.360
21	Kentucky	017	Bourbon County	2005	19.833
21	Kentucky	017	Bourbon County	2010	19.985
21	Kentucky	017	Bourbon County	2015	20.116
21	Kentucky	019	Boyd County	1985	53.600
21	Kentucky	019	Boyd County	1990	51.150
21	Kentucky	019	Boyd County	1995	50.610
21	Kentucky	019	Boyd County	2000	49.750
21	Kentucky	019	Boyd County	2005	49.594
21	Kentucky	019	Boyd County	2010	49.542
21	Kentucky	019	Boyd County	2015	48.325
21	Kentucky	021	Boyle County	1985	25.300
21	Kentucky	021	Boyle County	1990	25.640
21	Kentucky	021	Boyle County	1995	26.700
21	Kentucky	021	Boyle County	2000	27.700
21	Kentucky	021	Boyle County	2005	28.363
21	Kentucky	021	Boyle County	2010	28.432
21	Kentucky	021	Boyle County	2015	29.809
21	Kentucky	023	Bracken County	1985	7.600
21	Kentucky	023	Bracken County	1990	7.760
21	Kentucky	023	Bracken County	1995	8.210
21	Kentucky	023	Bracken County	2000	8.280
21	Kentucky	023	Bracken County	2005	8.670
21	Kentucky	023	Bracken County	2010	8.488
21	Kentucky	023	Bracken County	2015	8.321
21	Kentucky	025	Breathitt County	1985	16.500
21	Kentucky	025	Breathitt County	1990	15.700
21	Kentucky	025	Breathitt County	1995	15.540
21	Kentucky	025	Breathitt County	2000	16.100
21	Kentucky	025	Breathitt County	2005	15.957
21	Kentucky	025	Breathitt County	2010	13.878
21	Kentucky	025	Breathitt County	2015	13.484
21	Kentucky	027	Breckinridge County	1985	16.900
21	Kentucky	027	Breckinridge County	1990	16.310
21	Kentucky	027	Breckinridge County	1995	16.720
21	Kentucky	027	Breckinridge County	2000	18.650
21	Kentucky	027	Breckinridge County	2005	19.293
21	Kentucky	027	Breckinridge County	2010	20.059
21	Kentucky	027	Breckinridge County	2015	20.018
21	Kentucky	029	Bullitt County	1985	45.700
21	Kentucky	029	Bullitt County	1990	47.570
21	Kentucky	029	Bullitt County	1995	56.130
21	Kentucky	029	Bullitt County	2000	61.240
21	Kentucky	029	Bullitt County	2005	68.474
21	Kentucky	029	Bullitt County	2010	74.319
21	Kentucky	029	Bullitt County	2015	78.702
21	Kentucky	031	Butler County	1985	11.200
21	Kentucky	031	Butler County	1990	11.240
21	Kentucky	031	Butler County	1995	11.630
21	Kentucky	031	Butler County	2000	13.010
21	Kentucky	031	Butler County	2005	13.414
21	Kentucky	031	Butler County	2010	12.690
21	Kentucky	031	Butler County	2015	12.938
