#
# File created on 2019-05-18 23:23:26 EDT
# Refresh Date: 2018-06
#
# U.S. Geological Survey
#
# This file contains selected WaterUse data 
#
# The data you have secured from the USGS NWISWeb database may include data that have 
# not received Director's approval and as such are provisional and subject to revision. 
# The data are released on the condition that neither the USGS nor the United States 
# Government may be held liable for any damages resulting from its authorized or 
# unauthorized use.
#
#  * References to sources of water-use data can be found here. - https://water.usgs.gov/watuse
#
#  Search Criteria:
#  Year(s)          - ALL
#  Area             - County
#  County Codes(s)  - ALL
#  County Name(s)   - --ALL Counties--
#  Category Code(s) - TP
#  Category Name(s) - Total Population
#
#  Columns:
#  state_cd    - State Code
#  state_name  - State Name
#  county_cd   - County Code
#  county_nm   - County Name
#  year        - Year
#
#  The following categories are included: 
#  Total Population total population of area, in thousands 
#
state_cd	state_name	county_cd	county_nm	year	Total Population total population of area, in thousands
2s	40s	3s	40s	4s	16s
22	Louisiana	001	Acadia Parish	1985	59.500
22	Louisiana	001	Acadia Parish	1990	55.880
22	Louisiana	001	Acadia Parish	1995	57.380
22	Louisiana	001	Acadia Parish	2000	58.860
22	Louisiana	001	Acadia Parish	2005	59.552
22	Louisiana	001	Acadia Parish	2010	61.773
22	Louisiana	001	Acadia Parish	2015	62.577
22	Louisiana	003	Allen Parish	1985	21.600
22	Louisiana	003	Allen Parish	1990	21.230
22	Louisiana	003	Allen Parish	1995	23.620
22	Louisiana	003	Allen Parish	2000	25.440
22	Louisiana	003	Allen Parish	2005	25.270
22	Louisiana	003	Allen Parish	2010	25.764
22	Louisiana	003	Allen Parish	2015	25.683
22	Louisiana	005	Ascension Parish	1985	58.000
22	Louisiana	005	Ascension Parish	1990	58.210
22	Louisiana	005	Ascension Parish	1995	65.850
22	Louisiana	005	Ascension Parish	2000	76.630
22	Louisiana	005	Ascension Parish	2005	90.501
22	Louisiana	005	Ascension Parish	2010	107.215
22	Louisiana	005	Ascension Parish	2015	119.455
22	Louisiana	007	Assumption Parish	1985	23.300
22	Louisiana	007	Assumption Parish	1990	22.750
22	Louisiana	007	Assumption Parish	1995	22.860
22	Louisiana	007	Assumption Parish	2000	23.390
22	Louisiana	007	Assumption Parish	2005	23.196
22	Louisiana	007	Assumption Parish	2010	23.421
22	Louisiana	007	Assumption Parish	2015	22.842
22	Louisiana	009	Avoyelles Parish	1985	43.300
22	Louisiana	009	Avoyelles Parish	1990	39.160
22	Louisiana	009	Avoyelles Parish	1995	40.120
22	Louisiana	009	Avoyelles Parish	2000	41.480
22	Louisiana	009	Avoyelles Parish	2005	42.098
22	Louisiana	009	Avoyelles Parish	2010	42.073
22	Louisiana	009	Avoyelles Parish	2015	41.103
22	Louisiana	011	Beauregard Parish	1985	32.300
22	Louisiana	011	Beauregard Parish	1990	30.080
22	Louisiana	011	Beauregard Parish	1995	31.790
22	Louisiana	011	Beauregard Parish	2000	32.990
22	Louisiana	011	Beauregard Parish	2005	34.562
22	Louisiana	011	Beauregard Parish	2010	35.654
22	Louisiana	011	Beauregard Parish	2015	36.462
22	Louisiana	013	Bienville Parish	1985	16.600
22	Louisiana	013	Bienville Parish	1990	15.980
22	Louisiana	013	Bienville Parish	1995	15.810
22	Louisiana	013	Bienville Parish	2000	15.750
22	Louisiana	013	Bienville Parish	2005	15.176
22	Louisiana	013	Bienville Parish	2010	14.353
22	Louisiana	013	Bienville Parish	2015	13.786
22	Louisiana	015	Bossier Parish	1985	90.000
22	Louisiana	015	Bossier Parish	1990	86.090
22	Louisiana	015	Bossier Parish	1995	90.890
22	Louisiana	015	Bossier Parish	2000	98.310
22	Louisiana	015	Bossier Parish	2005	105.541
22	Louisiana	015	Bossier Parish	2010	116.979
22	Louisiana	015	Bossier Parish	2015	125.175
22	Louisiana	017	Caddo Parish	1985	272.500
22	Louisiana	017	Caddo Parish	1990	248.250
