#
# File created on 2019-05-18 23:23:30 EDT
# Refresh Date: 2018-06
#
# U.S. Geological Survey
#
# This file contains selected WaterUse data 
#
# The data you have secured from the USGS NWISWeb database may include data that have 
# not received Director's approval and as such are provisional and subject to revision. 
# The data are released on the condition that neither the USGS nor the United States 
# Government may be held liable for any damages resulting from its authorized or 
# unauthorized use.
#
#  * References to sources of water-use data can be found here. - https://water.usgs.gov/watuse
#
#  Search Criteria:
#  Year(s)          - ALL
#  Area             - County
#  County Codes(s)  - ALL
#  County Name(s)   - --ALL Counties--
#  Category Code(s) - TP
#  Category Name(s) - Total Population
#
#  Columns:
#  state_cd    - State Code
#  state_name  - State Name
#  county_cd   - County Code
#  county_nm   - County Name
#  year        - Year
#
#  The following categories are included: 
#  Total Population total population of area, in thousands 
#
state_cd	state_name	county_cd	county_nm	year	Total Population total population of area, in thousands
2s	40s	3s	40s	4s	16s
26	Michigan	001	Alcona County	1985	9.560
26	Michigan	001	Alcona County	1990	10.140
26	Michigan	001	Alcona County	1995	10.590
26	Michigan	001	Alcona County	2000	11.719
26	Michigan	001	Alcona County	2005	11.653
26	Michigan	001	Alcona County	2010	10.942
26	Michigan	001	Alcona County	2015	10.349
26	Michigan	003	Alger County	1985	8.810
26	Michigan	003	Alger County	1990	8.970
26	Michigan	003	Alger County	1995	9.850
26	Michigan	003	Alger County	2000	9.862
26	Michigan	003	Alger County	2005	9.662
26	Michigan	003	Alger County	2010	9.601
26	Michigan	003	Alger County	2015	9.383
26	Michigan	005	Allegan County	1985	84.180
26	Michigan	005	Allegan County	1990	90.510
26	Michigan	005	Allegan County	1995	97.690
26	Michigan	005	Allegan County	2000	105.665
26	Michigan	005	Allegan County	2005	113.174
26	Michigan	005	Allegan County	2010	111.408
26	Michigan	005	Allegan County	2015	114.625
26	Michigan	007	Alpena County	1985	30.190
26	Michigan	007	Alpena County	1990	30.600
26	Michigan	007	Alpena County	1995	30.840
26	Michigan	007	Alpena County	2000	31.314
26	Michigan	007	Alpena County	2005	30.428
26	Michigan	007	Alpena County	2010	29.598
26	Michigan	007	Alpena County	2015	28.803
26	Michigan	009	Antrim County	1985	16.770
26	Michigan	009	Antrim County	1990	18.180
26	Michigan	009	Antrim County	1995	20.260
26	Michigan	009	Antrim County	2000	23.110
26	Michigan	009	Antrim County	2005	24.422
26	Michigan	009	Antrim County	2010	23.580
26	Michigan	009	Antrim County	2015	23.154
26	Michigan	011	Arenac County	1985	15.150
26	Michigan	011	Arenac County	1990	14.930
26	Michigan	011	Arenac County	1995	16.150
26	Michigan	011	Arenac County	2000	17.269
26	Michigan	011	Arenac County	2005	17.154
26	Michigan	011	Arenac County	2010	15.899
