#
# File created on 2019-05-18 23:23:31 EDT
# Refresh Date: 2018-06
#
# U.S. Geological Survey
#
# This file contains selected WaterUse data 
#
# The data you have secured from the USGS NWISWeb database may include data that have 
# not received Director's approval and as such are provisional and subject to revision. 
# The data are released on the condition that neither the USGS nor the United States 
# Government may be held liable for any damages resulting from its authorized or 
# unauthorized use.
#
#  * References to sources of water-use data can be found here. - https://water.usgs.gov/watuse
#
#  Search Criteria:
#  Year(s)          - ALL
#  Area             - County
#  County Codes(s)  - ALL
#  County Name(s)   - --ALL Counties--
#  Category Code(s) - TP
#  Category Name(s) - Total Population
#
#  Columns:
#  state_cd    - State Code
#  state_name  - State Name
#  county_cd   - County Code
#  county_nm   - County Name
#  year        - Year
#
#  The following categories are included: 
#  Total Population total population of area, in thousands 
#
state_cd	state_name	county_cd	county_nm	year	Total Population total population of area, in thousands
2s	40s	3s	40s	4s	16s
27	Minnesota	001	Aitkin County	1985	13.390
27	Minnesota	001	Aitkin County	1990	12.430
27	Minnesota	001	Aitkin County	1995	13.440
27	Minnesota	001	Aitkin County	2000	15.300
27	Minnesota	001	Aitkin County	2005	16.174
27	Minnesota	001	Aitkin County	2010	16.202
27	Minnesota	001	Aitkin County	2015	15.702
27	Minnesota	003	Anoka County	1985	215.570
27	Minnesota	003	Anoka County	1990	243.640
27	Minnesota	003	Anoka County	1995	275.760
27	Minnesota	003	Anoka County	2000	298.080
27	Minnesota	003	Anoka County	2005	323.996
27	Minnesota	003	Anoka County	2010	330.844
27	Minnesota	003	Anoka County	2015	344.151
27	Minnesota	005	Becker County	1985	31.130
27	Minnesota	005	Becker County	1990	27.880
27	Minnesota	005	Becker County	1995	29.120
27	Minnesota	005	Becker County	2000	30.000
27	Minnesota	005	Becker County	2005	31.868
27	Minnesota	005	Becker County	2010	32.504
27	Minnesota	005	Becker County	2015	33.386
27	Minnesota	007	Beltrami County	1985	33.940
27	Minnesota	007	Beltrami County	1990	34.380
27	Minnesota	007	Beltrami County	1995	37.930
27	Minnesota	007	Beltrami County	2000	39.650
27	Minnesota	007	Beltrami County	2005	42.871
27	Minnesota	007	Beltrami County	2010	44.442
27	Minnesota	007	Beltrami County	2015	45.672
27	Minnesota	009	Benton County	1985	27.030
27	Minnesota	009	Benton County	1990	30.190
27	Minnesota	009	Benton County	1995	32.950
27	Minnesota	009	Benton County	2000	34.230
27	Minnesota	009	Benton County	2005	38.505
27	Minnesota	009	Benton County	2010	38.451
27	Minnesota	009	Benton County	2015	39.710
27	Minnesota	011	Big Stone County	1985	7.930
27	Minnesota	011	Big Stone County	1990	6.290
27	Minnesota	011	Big Stone County	1995	5.900
27	Minnesota	011	Big Stone County	2000	5.820
27	Minnesota	011	Big Stone County	2005	5.481
27	Minnesota	011	Big Stone County	2010	5.269
27	Minnesota	011	Big Stone County	2015	5.040
27	Minnesota	013	Blue Earth County	1985	53.280
27	Minnesota	013	Blue Earth County	1990	54.040
27	Minnesota	013	Blue Earth County	1995	54.130
27	Minnesota	013	Blue Earth County	2000	55.940
27	Minnesota	013	Blue Earth County	2005	58.030
27	Minnesota	013	Blue Earth County	2010	64.013
27	Minnesota	013	Blue Earth County	2015	65.787
27	Minnesota	015	Brown County	1985	28.260
27	Minnesota	015	Brown County	1990	26.980
27	Minnesota	015	Brown County	1995	27.130
27	Minnesota	015	Brown County	2000	26.910
27	Minnesota	015	Brown County	2005	26.534
27	Minnesota	015	Brown County	2010	25.893
27	Minnesota	015	Brown County	2015	25.313
27	Minnesota	017	Carlton County	1985	28.530
27	Minnesota	017	Carlton County	1990	29.260
27	Minnesota	017	Carlton County	1995	30.420
27	Minnesota	017	Carlton County	2000	31.670
27	Minnesota	017	Carlton County	2005	34.026
27	Minnesota	017	Carlton County	2010	35.386
27	Minnesota	017	Carlton County	2015	35.569
27	Minnesota	019	Carver County	1985	40.660
27	Minnesota	019	Carver County	1990	47.920
27	Minnesota	019	Carver County	1995	59.220
27	Minnesota	019	Carver County	2000	70.210
27	Minnesota	019	Carver County	2005	84.864
27	Minnesota	019	Carver County	2010	91.042
27	Minnesota	019	Carver County	2015	98.741
27	Minnesota	021	Cass County	1985	21.350
27	Minnesota	021	Cass County	1990	21.790
27	Minnesota	021	Cass County	1995	24.740
27	Minnesota	021	Cass County	2000	27.150
27	Minnesota	021	Cass County	2005	28.910
27	Minnesota	021	Cass County	2010	28.567
27	Minnesota	021	Cass County	2015	28.706
27	Minnesota	023	Chippewa County	1985	14.820
27	Minnesota	023	Chippewa County	1990	13.230
27	Minnesota	023	Chippewa County	1995	13.110
27	Minnesota	023	Chippewa County	2000	13.090
27	Minnesota	023	Chippewa County	2005	12.802
27	Minnesota	023	Chippewa County	2010	12.441
27	Minnesota	023	Chippewa County	2015	12.109
27	Minnesota	025	Chisago County	1985	28.380
27	Minnesota	025	Chisago County	1990	30.520
27	Minnesota	025	Chisago County	1995	37.020
27	Minnesota	025	Chisago County	2000	41.100
27	Minnesota	025	Chisago County	2005	49.400
27	Minnesota	025	Chisago County	2010	53.887
27	Minnesota	025	Chisago County	2015	54.293
27	Minnesota	027	Clay County	1985	49.770
27	Minnesota	027	Clay County	1990	50.420
27	Minnesota	027	Clay County	1995	52.180
27	Minnesota	027	Clay County	2000	51.230
27	Minnesota	027	Clay County	2005	53.838
27	Minnesota	027	Clay County	2010	58.999
27	Minnesota	027	Clay County	2015	62.324
27	Minnesota	029	Clearwater County	1985	9.110
27	Minnesota	029	Clearwater County	1990	8.310
27	Minnesota	029	Clearwater County	1995	8.370
27	Minnesota	029	Clearwater County	2000	8.420
27	Minnesota	029	Clearwater County	2005	8.476
27	Minnesota	029	Clearwater County	2010	8.695
27	Minnesota	029	Clearwater County	2015	8.803
27	Minnesota	031	Cook County	1985	4.340
27	Minnesota	031	Cook County	1990	3.870
27	Minnesota	031	Cook County	1995	4.480
27	Minnesota	031	Cook County	2000	5.170
27	Minnesota	031	Cook County	2005	5.367
27	Minnesota	031	Cook County	2010	5.176
27	Minnesota	031	Cook County	2015	5.194
27	Minnesota	033	Cottonwood County	1985	13.830
27	Minnesota	033	Cottonwood County	1990	12.690
27	Minnesota	033	Cottonwood County	1995	12.370
27	Minnesota	033	Cottonwood County	2000	12.170
27	Minnesota	033	Cottonwood County	2005	11.834
27	Minnesota	033	Cottonwood County	2010	11.687
27	Minnesota	033	Cottonwood County	2015	11.549
27	Minnesota	035	Crow Wing County	1985	42.900
27	Minnesota	035	Crow Wing County	1990	44.250
27	Minnesota	035	Crow Wing County	1995	49.780
27	Minnesota	035	Crow Wing County	2000	55.100
27	Minnesota	035	Crow Wing County	2005	59.917
27	Minnesota	035	Crow Wing County	2010	62.500
27	Minnesota	035	Crow Wing County	2015	63.428
27	Minnesota	037	Dakota County	1985	220.830
