#
# File created on 2019-05-18 23:23:33 EDT
# Refresh Date: 2018-06
#
# U.S. Geological Survey
#
# This file contains selected WaterUse data 
#
# The data you have secured from the USGS NWISWeb database may include data that have 
# not received Director's approval and as such are provisional and subject to revision. 
# The data are released on the condition that neither the USGS nor the United States 
# Government may be held liable for any damages resulting from its authorized or 
# unauthorized use.
#
#  * References to sources of water-use data can be found here. - https://water.usgs.gov/watuse
#
#  Search Criteria:
#  Year(s)          - ALL
#  Area             - County
#  County Codes(s)  - ALL
#  County Name(s)   - --ALL Counties--
#  Category Code(s) - TP
#  Category Name(s) - Total Population
#
#  Columns:
#  state_cd    - State Code
#  state_name  - State Name
#  county_cd   - County Code
#  county_nm   - County Name
#  year        - Year
#
#  The following categories are included: 
#  Total Population total population of area, in thousands 
#
state_cd	state_name	county_cd	county_nm	year	Total Population total population of area, in thousands
2s	40s	3s	40s	4s	16s
29	Missouri	001	Adair County	1985	24.700
29	Missouri	001	Adair County	1990	24.580
29	Missouri	001	Adair County	1995	24.760
29	Missouri	001	Adair County	2000	24.980
29	Missouri	001	Adair County	2005	24.509
29	Missouri	001	Adair County	2010	25.607
29	Missouri	001	Adair County	2015	25.378
29	Missouri	003	Andrew County	1985	14.900
29	Missouri	003	Andrew County	1990	14.630
29	Missouri	003	Andrew County	1995	15.200
29	Missouri	003	Andrew County	2000	16.490
29	Missouri	003	Andrew County	2005	16.899
29	Missouri	003	Andrew County	2010	17.291
29	Missouri	003	Andrew County	2015	17.296
29	Missouri	005	Atchison County	1985	8.200
29	Missouri	005	Atchison County	1990	7.460
29	Missouri	005	Atchison County	1995	7.140
29	Missouri	005	Atchison County	2000	6.430
29	Missouri	005	Atchison County	2005	6.246
29	Missouri	005	Atchison County	2010	5.685
29	Missouri	005	Atchison County	2015	5.306
29	Missouri	007	Audrain County	1985	25.600
29	Missouri	007	Audrain County	1990	23.600
29	Missouri	007	Audrain County	1995	23.590
29	Missouri	007	Audrain County	2000	25.850
29	Missouri	007	Audrain County	2005	25.759
29	Missouri	007	Audrain County	2010	25.529
29	Missouri	007	Audrain County	2015	26.096
29	Missouri	009	Barry County	1985	26.000
29	Missouri	009	Barry County	1990	27.550
29	Missouri	009	Barry County	1995	31.380
29	Missouri	009	Barry County	2000	34.010
29	Missouri	009	Barry County	2005	35.599
29	Missouri	009	Barry County	2010	35.597
29	Missouri	009	Barry County	2015	35.829
29	Missouri	011	Barton County	1985	11.500
29	Missouri	011	Barton County	1990	11.310
29	Missouri	011	Barton County	1995	11.740
29	Missouri	011	Barton County	2000	12.540
29	Missouri	011	Barton County	2005	13.057
29	Missouri	011	Barton County	2010	12.402
29	Missouri	011	Barton County	2015	11.880
29	Missouri	013	Bates County	1985	15.900
29	Missouri	013	Bates County	1990	15.020
29	Missouri	013	Bates County	1995	15.420
29	Missouri	013	Bates County	2000	16.650
29	Missouri	013	Bates County	2005	17.027
29	Missouri	013	Bates County	2010	17.049
29	Missouri	013	Bates County	2015	16.446
29	Missouri	015	Benton County	1985	12.800
