#
# File created on 2019-05-18 23:23:32 EDT
# Refresh Date: 2018-06
#
# U.S. Geological Survey
#
# This file contains selected WaterUse data 
#
# The data you have secured from the USGS NWISWeb database may include data that have 
# not received Director's approval and as such are provisional and subject to revision. 
# The data are released on the condition that neither the USGS nor the United States 
# Government may be held liable for any damages resulting from its authorized or 
# unauthorized use.
#
#  * References to sources of water-use data can be found here. - https://water.usgs.gov/watuse
#
#  Search Criteria:
#  Year(s)          - ALL
#  Area             - County
#  County Codes(s)  - ALL
#  County Name(s)   - --ALL Counties--
#  Category Code(s) - TP
#  Category Name(s) - Total Population
#
#  Columns:
#  state_cd    - State Code
#  state_name  - State Name
#  county_cd   - County Code
#  county_nm   - County Name
#  year        - Year
#
#  The following categories are included: 
#  Total Population total population of area, in thousands 
#
state_cd	state_name	county_cd	county_nm	year	Total Population total population of area, in thousands
2s	40s	3s	40s	4s	16s
28	Mississippi	001	Adams County	1985	39.500
28	Mississippi	001	Adams County	1990	35.360
28	Mississippi	001	Adams County	1995	34.640
28	Mississippi	001	Adams County	2000	34.340
28	Mississippi	001	Adams County	2005	32.099
28	Mississippi	001	Adams County	2010	32.297
28	Mississippi	001	Adams County	2015	31.254
28	Mississippi	003	Alcorn County	1985	33.000
28	Mississippi	003	Alcorn County	1990	31.720
28	Mississippi	003	Alcorn County	1995	32.780
28	Mississippi	003	Alcorn County	2000	34.560
28	Mississippi	003	Alcorn County	2005	35.306
28	Mississippi	003	Alcorn County	2010	37.057
28	Mississippi	003	Alcorn County	2015	37.388
28	Mississippi	005	Amite County	1985	13.400
28	Mississippi	005	Amite County	1990	13.330
28	Mississippi	005	Amite County	1995	13.580
28	Mississippi	005	Amite County	2000	13.600
28	Mississippi	005	Amite County	2005	13.435
28	Mississippi	005	Amite County	2010	13.131
28	Mississippi	005	Amite County	2015	12.574
28	Mississippi	007	Attala County	1985	19.300
28	Mississippi	007	Attala County	1990	18.480
28	Mississippi	007	Attala County	1995	18.430
28	Mississippi	007	Attala County	2000	19.660
28	Mississippi	007	Attala County	2005	19.552
28	Mississippi	007	Attala County	2010	19.564
28	Mississippi	007	Attala County	2015	19.043
28	Mississippi	009	Benton County	1985	8.600
28	Mississippi	009	Benton County	1990	8.050
28	Mississippi	009	Benton County	1995	7.940
28	Mississippi	009	Benton County	2000	8.030
28	Mississippi	009	Benton County	2005	7.852
28	Mississippi	009	Benton County	2010	8.729
28	Mississippi	009	Benton County	2015	8.182
28	Mississippi	011	Bolivar County	1985	45.100
28	Mississippi	011	Bolivar County	1990	41.880
28	Mississippi	011	Bolivar County	1995	41.430
28	Mississippi	011	Bolivar County	2000	40.630
28	Mississippi	011	Bolivar County	2005	38.641
28	Mississippi	011	Bolivar County	2010	34.145
28	Mississippi	011	Bolivar County	2015	33.322
28	Mississippi	013	Calhoun County	1985	15.500
28	Mississippi	013	Calhoun County	1990	14.910
28	Mississippi	013	Calhoun County	1995	14.860
28	Mississippi	013	Calhoun County	2000	15.070
28	Mississippi	013	Calhoun County	2005	14.652
28	Mississippi	013	Calhoun County	2010	14.962
28	Mississippi	013	Calhoun County	2015	14.717
28	Mississippi	015	Carroll County	1985	9.500
28	Mississippi	015	Carroll County	1990	9.240
28	Mississippi	015	Carroll County	1995	9.900
28	Mississippi	015	Carroll County	2000	10.770
28	Mississippi	015	Carroll County	2005	10.397
28	Mississippi	015	Carroll County	2010	10.597
28	Mississippi	015	Carroll County	2015	10.243
28	Mississippi	017	Chickasaw County	1985	18.100
28	Mississippi	017	Chickasaw County	1990	18.090
28	Mississippi	017	Chickasaw County	1995	18.360
28	Mississippi	017	Chickasaw County	2000	19.440
28	Mississippi	017	Chickasaw County	2005	19.184
28	Mississippi	017	Chickasaw County	2010	17.392
28	Mississippi	017	Chickasaw County	2015	17.328
28	Mississippi	019	Choctaw County	1985	9.000
28	Mississippi	019	Choctaw County	1990	9.070
28	Mississippi	019	Choctaw County	1995	9.120
28	Mississippi	019	Choctaw County	2000	9.760
28	Mississippi	019	Choctaw County	2005	9.572
28	Mississippi	019	Choctaw County	2010	8.547
28	Mississippi	019	Choctaw County	2015	8.299
28	Mississippi	021	Claiborne County	1985	12.200
28	Mississippi	021	Claiborne County	1990	11.370
28	Mississippi	021	Claiborne County	1995	11.570
28	Mississippi	021	Claiborne County	2000	11.830
28	Mississippi	021	Claiborne County	2005	11.492
28	Mississippi	021	Claiborne County	2010	9.604
28	Mississippi	021	Claiborne County	2015	9.150
28	Mississippi	023	Clarke County	1985	17.000
28	Mississippi	023	Clarke County	1990	17.310
28	Mississippi	023	Clarke County	1995	17.740
28	Mississippi	023	Clarke County	2000	17.950
28	Mississippi	023	Clarke County	2005	17.670
28	Mississippi	023	Clarke County	2010	16.732
28	Mississippi	023	Clarke County	2015	16.006
28	Mississippi	025	Clay County	1985	21.900
28	Mississippi	025	Clay County	1990	21.120
28	Mississippi	025	Clay County	1995	21.760
28	Mississippi	025	Clay County	2000	21.980
28	Mississippi	025	Clay County	2005	21.223
28	Mississippi	025	Clay County	2010	20.634
28	Mississippi	025	Clay County	2015	20.048
28	Mississippi	027	Coahoma County	1985	35.700
28	Mississippi	027	Coahoma County	1990	31.660
