#
# File created on 2019-05-18 23:23:40 EDT
# Refresh Date: 2018-06
#
# U.S. Geological Survey
#
# This file contains selected WaterUse data 
#
# The data you have secured from the USGS NWISWeb database may include data that have 
# not received Director's approval and as such are provisional and subject to revision. 
# The data are released on the condition that neither the USGS nor the United States 
# Government may be held liable for any damages resulting from its authorized or 
# unauthorized use.
#
#  * References to sources of water-use data can be found here. - https://water.usgs.gov/watuse
#
#  Search Criteria:
#  Year(s)          - ALL
#  Area             - County
#  County Codes(s)  - ALL
#  County Name(s)   - --ALL Counties--
#  Category Code(s) - TP
#  Category Name(s) - Total Population
#
#  Columns:
#  state_cd    - State Code
#  state_name  - State Name
#  county_cd   - County Code
#  county_nm   - County Name
#  year        - Year
#
#  The following categories are included: 
#  Total Population total population of area, in thousands 
#
state_cd	state_name	county_cd	county_nm	year	Total Population total population of area, in thousands
2s	40s	3s	40s	4s	16s
37	North Carolina	001	Alamance County	1985	101.700
37	North Carolina	001	Alamance County	1990	108.210
37	North Carolina	001	Alamance County	1995	115.060
37	North Carolina	001	Alamance County	2000	130.800
37	North Carolina	001	Alamance County	2005	140.533
37	North Carolina	001	Alamance County	2010	151.131
37	North Carolina	001	Alamance County	2015	158.276
37	North Carolina	003	Alexander County	1985	26.800
37	North Carolina	003	Alexander County	1990	27.540
37	North Carolina	003	Alexander County	1995	29.890
37	North Carolina	003	Alexander County	2000	33.600
37	North Carolina	003	Alexander County	2005	35.492
37	North Carolina	003	Alexander County	2010	37.198
37	North Carolina	003	Alexander County	2015	37.325
37	North Carolina	005	Alleghany County	1985	9.700
37	North Carolina	005	Alleghany County	1990	9.590
37	North Carolina	005	Alleghany County	1995	9.890
37	North Carolina	005	Alleghany County	2000	10.680
37	North Carolina	005	Alleghany County	2005	10.900
37	North Carolina	005	Alleghany County	2010	11.155
37	North Carolina	005	Alleghany County	2015	10.837
37	North Carolina	007	Anson County	1985	26.200
37	North Carolina	007	Anson County	1990	23.470
37	North Carolina	007	Anson County	1995	24.180
37	North Carolina	007	Anson County	2000	25.280
37	North Carolina	007	Anson County	2005	25.499
37	North Carolina	007	Anson County	2010	26.948
37	North Carolina	007	Anson County	2015	25.759
37	North Carolina	009	Ashe County	1985	23.600
37	North Carolina	009	Ashe County	1990	22.210
37	North Carolina	009	Ashe County	1995	23.370
37	North Carolina	009	Ashe County	2000	24.380
37	North Carolina	009	Ashe County	2005	25.347
37	North Carolina	009	Ashe County	2010	27.281
37	North Carolina	009	Ashe County	2015	27.020
37	North Carolina	011	Avery County	1985	15.000
37	North Carolina	011	Avery County	1990	14.870
37	North Carolina	011	Avery County	1995	15.320
37	North Carolina	011	Avery County	2000	17.170
37	North Carolina	011	Avery County	2005	17.641
37	North Carolina	011	Avery County	2010	17.797
37	North Carolina	011	Avery County	2015	17.689
37	North Carolina	013	Beaufort County	1985	43.500
37	North Carolina	013	Beaufort County	1990	42.280
37	North Carolina	013	Beaufort County	1995	44.120
37	North Carolina	013	Beaufort County	2000	44.960
37	North Carolina	013	Beaufort County	2005	46.018
