#
# File created on 2019-05-18 23:23:41 EDT
# Refresh Date: 2018-06
#
# U.S. Geological Survey
#
# This file contains selected WaterUse data 
#
# The data you have secured from the USGS NWISWeb database may include data that have 
# not received Director's approval and as such are provisional and subject to revision. 
# The data are released on the condition that neither the USGS nor the United States 
# Government may be held liable for any damages resulting from its authorized or 
# unauthorized use.
#
#  * References to sources of water-use data can be found here. - https://water.usgs.gov/watuse
#
#  Search Criteria:
#  Year(s)          - ALL
#  Area             - County
#  County Codes(s)  - ALL
#  County Name(s)   - --ALL Counties--
#  Category Code(s) - TP
#  Category Name(s) - Total Population
#
#  Columns:
#  state_cd    - State Code
#  state_name  - State Name
#  county_cd   - County Code
#  county_nm   - County Name
#  year        - Year
#
#  The following categories are included: 
#  Total Population total population of area, in thousands 
#
state_cd	state_name	county_cd	county_nm	year	Total Population total population of area, in thousands
2s	40s	3s	40s	4s	16s
38	North Dakota	001	Adams County	1985	3.510
38	North Dakota	001	Adams County	1990	3.170
38	North Dakota	001	Adams County	1995	2.590
38	North Dakota	001	Adams County	2000	2.590
38	North Dakota	001	Adams County	2005	2.433
38	North Dakota	001	Adams County	2010	2.343
38	North Dakota	001	Adams County	2015	2.359
38	North Dakota	003	Barnes County	1985	13.710
38	North Dakota	003	Barnes County	1990	12.540
38	North Dakota	003	Barnes County	1995	12.040
38	North Dakota	003	Barnes County	2000	11.780
38	North Dakota	003	Barnes County	2005	11.075
38	North Dakota	003	Barnes County	2010	11.066
38	North Dakota	003	Barnes County	2015	11.099
38	North Dakota	005	Benson County	1985	8.050
38	North Dakota	005	Benson County	1990	7.200
38	North Dakota	005	Benson County	1995	6.990
38	North Dakota	005	Benson County	2000	6.960
38	North Dakota	005	Benson County	2005	6.999
38	North Dakota	005	Benson County	2010	6.660
38	North Dakota	005	Benson County	2015	6.753
38	North Dakota	007	Billings County	1985	1.290
38	North Dakota	007	Billings County	1990	1.110
38	North Dakota	007	Billings County	1995	1.160
38	North Dakota	007	Billings County	2000	0.890
38	North Dakota	007	Billings County	2005	0.813
38	North Dakota	007	Billings County	2010	0.783
38	North Dakota	007	Billings County	2015	0.936
38	North Dakota	009	Bottineau County	1985	9.140
38	North Dakota	009	Bottineau County	1990	8.010
38	North Dakota	009	Bottineau County	1995	7.710
38	North Dakota	009	Bottineau County	2000	7.150
38	North Dakota	009	Bottineau County	2005	6.741
38	North Dakota	009	Bottineau County	2010	6.429
38	North Dakota	009	Bottineau County	2015	6.716
38	North Dakota	011	Bowman County	1985	4.310
38	North Dakota	011	Bowman County	1990	3.600
38	North Dakota	011	Bowman County	1995	3.230
38	North Dakota	011	Bowman County	2000	3.240
38	North Dakota	011	Bowman County	2005	3.048
38	North Dakota	011	Bowman County	2010	3.151
38	North Dakota	011	Bowman County	2015	3.294
38	North Dakota	013	Burke County	1985	3.690
38	North Dakota	013	Burke County	1990	3.000
38	North Dakota	013	Burke County	1995	2.500
38	North Dakota	013	Burke County	2000	2.240
38	North Dakota	013	Burke County	2005	2.032
38	North Dakota	013	Burke County	2010	1.968
38	North Dakota	013	Burke County	2015	2.308
38	North Dakota	015	Burleigh County	1985	59.000
38	North Dakota	015	Burleigh County	1990	60.130
38	North Dakota	015	Burleigh County	1995	64.810
38	North Dakota	015	Burleigh County	2000	69.420
38	North Dakota	015	Burleigh County	2005	73.818
38	North Dakota	015	Burleigh County	2010	81.308
38	North Dakota	015	Burleigh County	2015	92.991
38	North Dakota	017	Cass County	1985	95.280
38	North Dakota	017	Cass County	1990	102.870
38	North Dakota	017	Cass County	1995	111.440
38	North Dakota	017	Cass County	2000	123.140
38	North Dakota	017	Cass County	2005	131.019
38	North Dakota	017	Cass County	2010	149.778
38	North Dakota	017	Cass County	2015	171.512
38	North Dakota	019	Cavalier County	1985	7.140
38	North Dakota	019	Cavalier County	1990	6.060
38	North Dakota	019	Cavalier County	1995	5.470
38	North Dakota	019	Cavalier County	2000	4.830
38	North Dakota	019	Cavalier County	2005	4.330
38	North Dakota	019	Cavalier County	2010	3.993
38	North Dakota	019	Cavalier County	2015	3.828
38	North Dakota	021	Dickey County	1985	6.940
38	North Dakota	021	Dickey County	1990	6.110
38	North Dakota	021	Dickey County	1995	5.780
38	North Dakota	021	Dickey County	2000	5.760
