#
# File created on 2019-05-18 23:23:35 EDT
# Refresh Date: 2018-06
#
# U.S. Geological Survey
#
# This file contains selected WaterUse data 
#
# The data you have secured from the USGS NWISWeb database may include data that have 
# not received Director's approval and as such are provisional and subject to revision. 
# The data are released on the condition that neither the USGS nor the United States 
# Government may be held liable for any damages resulting from its authorized or 
# unauthorized use.
#
#  * References to sources of water-use data can be found here. - https://water.usgs.gov/watuse
#
#  Search Criteria:
#  Year(s)          - ALL
#  Area             - County
#  County Codes(s)  - ALL
#  County Name(s)   - --ALL Counties--
#  Category Code(s) - TP
#  Category Name(s) - Total Population
#
#  Columns:
#  state_cd    - State Code
#  state_name  - State Name
#  county_cd   - County Code
#  county_nm   - County Name
#  year        - Year
#
#  The following categories are included: 
#  Total Population total population of area, in thousands 
#
state_cd	state_name	county_cd	county_nm	year	Total Population total population of area, in thousands
2s	40s	3s	40s	4s	16s
31	Nebraska	001	Adams County	1985	31.100
31	Nebraska	001	Adams County	1990	29.620
31	Nebraska	001	Adams County	1995	29.730
31	Nebraska	001	Adams County	2000	31.150
31	Nebraska	001	Adams County	2005	33.070
31	Nebraska	001	Adams County	2010	31.364
31	Nebraska	001	Adams County	2015	31.587
31	Nebraska	003	Antelope County	1985	8.600
31	Nebraska	003	Antelope County	1990	7.960
31	Nebraska	003	Antelope County	1995	7.500
31	Nebraska	003	Antelope County	2000	7.450
31	Nebraska	003	Antelope County	2005	7.004
31	Nebraska	003	Antelope County	2010	6.685
31	Nebraska	003	Antelope County	2015	6.414
31	Nebraska	005	Arthur County	1985	0.500
31	Nebraska	005	Arthur County	1990	0.460
31	Nebraska	005	Arthur County	1995	0.440
31	Nebraska	005	Arthur County	2000	0.440
31	Nebraska	005	Arthur County	2005	0.378
31	Nebraska	005	Arthur County	2010	0.460
31	Nebraska	005	Arthur County	2015	0.456
31	Nebraska	007	Banner County	1985	1.000
31	Nebraska	007	Banner County	1990	0.850
31	Nebraska	007	Banner County	1995	0.850
31	Nebraska	007	Banner County	2000	0.820
31	Nebraska	007	Banner County	2005	0.733
31	Nebraska	007	Banner County	2010	0.690
31	Nebraska	007	Banner County	2015	0.788
31	Nebraska	009	Blaine County	1985	0.700
31	Nebraska	009	Blaine County	1990	0.680
31	Nebraska	009	Blaine County	1995	0.670
31	Nebraska	009	Blaine County	2000	0.580
31	Nebraska	009	Blaine County	2005	0.484
31	Nebraska	009	Blaine County	2010	0.478
31	Nebraska	009	Blaine County	2015	0.487
31	Nebraska	011	Boone County	1985	7.200
31	Nebraska	011	Boone County	1990	6.670
31	Nebraska	011	Boone County	1995	6.520
31	Nebraska	011	Boone County	2000	6.260
31	Nebraska	011	Boone County	2005	5.772
31	Nebraska	011	Boone County	2010	5.505
31	Nebraska	011	Boone County	2015	5.315
31	Nebraska	013	Box Butte County	1985	14.400
31	Nebraska	013	Box Butte County	1990	13.130
31	Nebraska	013	Box Butte County	1995	13.010
31	Nebraska	013	Box Butte County	2000	12.160
31	Nebraska	013	Box Butte County	2005	11.374
31	Nebraska	013	Box Butte County	2010	11.308
31	Nebraska	013	Box Butte County	2015	11.337
31	Nebraska	015	Boyd County	1985	3.100
31	Nebraska	015	Boyd County	1990	2.840
31	Nebraska	015	Boyd County	1995	2.760
31	Nebraska	015	Boyd County	2000	2.440
31	Nebraska	015	Boyd County	2005	2.261
31	Nebraska	015	Boyd County	2010	2.099
31	Nebraska	015	Boyd County	2015	2.006
31	Nebraska	017	Brown County	1985	4.200
31	Nebraska	017	Brown County	1990	3.660
31	Nebraska	017	Brown County	1995	3.650
31	Nebraska	017	Brown County	2000	3.530
