#
# File created on 2019-05-18 23:23:39 EDT
# Refresh Date: 2018-06
#
# U.S. Geological Survey
#
# This file contains selected WaterUse data 
#
# The data you have secured from the USGS NWISWeb database may include data that have 
# not received Director's approval and as such are provisional and subject to revision. 
# The data are released on the condition that neither the USGS nor the United States 
# Government may be held liable for any damages resulting from its authorized or 
# unauthorized use.
#
#  * References to sources of water-use data can be found here. - https://water.usgs.gov/watuse
#
#  Search Criteria:
#  Year(s)          - ALL
#  Area             - County
#  County Codes(s)  - ALL
#  County Name(s)   - --ALL Counties--
#  Category Code(s) - TP
#  Category Name(s) - Total Population
#
#  Columns:
#  state_cd    - State Code
#  state_name  - State Name
#  county_cd   - County Code
#  county_nm   - County Name
#  year        - Year
#
#  The following categories are included: 
#  Total Population total population of area, in thousands 
#
state_cd	state_name	county_cd	county_nm	year	Total Population total population of area, in thousands
2s	40s	3s	40s	4s	16s
36	New York	001	Albany County	1985	283.900
36	New York	001	Albany County	1990	292.590
36	New York	001	Albany County	1995	289.550
36	New York	001	Albany County	2000	294.570
36	New York	001	Albany County	2005	297.414
36	New York	001	Albany County	2010	304.204
36	New York	001	Albany County	2015	309.381
36	New York	003	Allegany County	1985	50.900
36	New York	003	Allegany County	1990	50.470
36	New York	003	Allegany County	1995	51.390
36	New York	003	Allegany County	2000	49.930
36	New York	003	Allegany County	2005	50.602
36	New York	003	Allegany County	2010	48.946
36	New York	003	Allegany County	2015	47.462
36	New York	005	Bronx County	1985	1184.200
36	New York	005	Bronx County	1990	1203.790
36	New York	005	Bronx County	1995	1187.800
36	New York	005	Bronx County	2000	1332.650
36	New York	005	Bronx County	2005	1357.589
36	New York	005	Bronx County	2010	1385.108
36	New York	005	Bronx County	2015	1455.444
36	New York	007	Broome County	1985	212.400
36	New York	007	Broome County	1990	212.160
36	New York	007	Broome County	1995	204.440
36	New York	007	Broome County	2000	200.540
36	New York	007	Broome County	2005	196.947
36	New York	007	Broome County	2010	200.600
36	New York	007	Broome County	2015	196.567
36	New York	009	Cattaraugus County	1985	85.300
36	New York	009	Cattaraugus County	1990	84.230
36	New York	009	Cattaraugus County	1995	85.600
36	New York	009	Cattaraugus County	2000	83.960
36	New York	009	Cattaraugus County	2005	82.502
36	New York	009	Cattaraugus County	2010	80.317
36	New York	009	Cattaraugus County	2015	77.922
36	New York	011	Cayuga County	1985	79.900
36	New York	011	Cayuga County	1990	82.310
36	New York	011	Cayuga County	1995	82.990
36	New York	011	Cayuga County	2000	81.960
36	New York	011	Cayuga County	2005	81.454
36	New York	011	Cayuga County	2010	80.026
36	New York	011	Cayuga County	2015	78.288
36	New York	013	Chautauqua County	1985	144.200
36	New York	013	Chautauqua County	1990	141.900
36	New York	013	Chautauqua County	1995	141.680
36	New York	013	Chautauqua County	2000	139.750
36	New York	013	Chautauqua County	2005	136.409
36	New York	013	Chautauqua County	2010	134.905
36	New York	013	Chautauqua County	2015	130.779
36	New York	015	Chemung County	1985	92.000
36	New York	015	Chemung County	1990	95.200
36	New York	015	Chemung County	1995	94.080
36	New York	015	Chemung County	2000	91.070
36	New York	015	Chemung County	2005	89.512
36	New York	015	Chemung County	2010	88.830
36	New York	015	Chemung County	2015	87.071
36	New York	017	Chenango County	1985	50.000
36	New York	017	Chenango County	1990	51.770
36	New York	017	Chenango County	1995	51.980
36	New York	017	Chenango County	2000	51.400
36	New York	017	Chenango County	2005	51.755
36	New York	017	Chenango County	2010	50.477
36	New York	017	Chenango County	2015	48.844
36	New York	019	Clinton County	1985	81.600
36	New York	019	Clinton County	1990	85.970
36	New York	019	Clinton County	1995	83.370
36	New York	019	Clinton County	2000	79.890
36	New York	019	Clinton County	2005	82.047
36	New York	019	Clinton County	2010	82.128
36	New York	019	Clinton County	2015	81.251
36	New York	021	Columbia County	1985	60.600
36	New York	021	Columbia County	1990	62.980
36	New York	021	Columbia County	1995	63.700
36	New York	021	Columbia County	2000	63.090
36	New York	021	Columbia County	2005	63.622
36	New York	021	Columbia County	2010	63.096
36	New York	021	Columbia County	2015	61.509
36	New York	023	Cortland County	1985	47.400
36	New York	023	Cortland County	1990	48.960
