#
# File created on 2019-05-18 23:23:42 EDT
# Refresh Date: 2018-06
#
# U.S. Geological Survey
#
# This file contains selected WaterUse data 
#
# The data you have secured from the USGS NWISWeb database may include data that have 
# not received Director's approval and as such are provisional and subject to revision. 
# The data are released on the condition that neither the USGS nor the United States 
# Government may be held liable for any damages resulting from its authorized or 
# unauthorized use.
#
#  * References to sources of water-use data can be found here. - https://water.usgs.gov/watuse
#
#  Search Criteria:
#  Year(s)          - ALL
#  Area             - County
#  County Codes(s)  - ALL
#  County Name(s)   - --ALL Counties--
#  Category Code(s) - TP
#  Category Name(s) - Total Population
#
#  Columns:
#  state_cd    - State Code
#  state_name  - State Name
#  county_cd   - County Code
#  county_nm   - County Name
#  year        - Year
#
#  The following categories are included: 
#  Total Population total population of area, in thousands 
#
state_cd	state_name	county_cd	county_nm	year	Total Population total population of area, in thousands
2s	40s	3s	40s	4s	16s
39	Ohio	001	Adams County	1985	24.700
39	Ohio	001	Adams County	1990	25.370
39	Ohio	001	Adams County	1995	27.670
39	Ohio	001	Adams County	2000	27.330
39	Ohio	001	Adams County	2005	28.454
39	Ohio	001	Adams County	2010	28.550
39	Ohio	001	Adams County	2015	28.024
39	Ohio	003	Allen County	1985	109.100
39	Ohio	003	Allen County	1990	109.760
39	Ohio	003	Allen County	1995	109.400
39	Ohio	003	Allen County	2000	108.473
39	Ohio	003	Allen County	2005	106.234
39	Ohio	003	Allen County	2010	106.331
39	Ohio	003	Allen County	2015	104.425
39	Ohio	005	Ashland County	1985	46.400
39	Ohio	005	Ashland County	1990	47.510
39	Ohio	005	Ashland County	1995	51.240
39	Ohio	005	Ashland County	2000	52.523
39	Ohio	005	Ashland County	2005	54.123
39	Ohio	005	Ashland County	2010	53.139
39	Ohio	005	Ashland County	2015	53.213
39	Ohio	007	Ashtabula County	1985	101.700
39	Ohio	007	Ashtabula County	1990	99.820
39	Ohio	007	Ashtabula County	1995	102.360
39	Ohio	007	Ashtabula County	2000	102.728
39	Ohio	007	Ashtabula County	2005	103.221
39	Ohio	007	Ashtabula County	2010	101.497
39	Ohio	007	Ashtabula County	2015	98.632
39	Ohio	009	Athens County	1985	58.000
39	Ohio	009	Athens County	1990	59.550
39	Ohio	009	Athens County	1995	60.690
39	Ohio	009	Athens County	2000	62.223
39	Ohio	009	Athens County	2005	62.062
39	Ohio	009	Athens County	2010	64.757
39	Ohio	009	Athens County	2015	65.886
39	Ohio	011	Auglaize County	1985	43.100
39	Ohio	011	Auglaize County	1990	44.580
39	Ohio	011	Auglaize County	1995	46.880
39	Ohio	011	Auglaize County	2000	46.611
39	Ohio	011	Auglaize County	2005	47.242
39	Ohio	011	Auglaize County	2010	45.949
39	Ohio	011	Auglaize County	2015	45.876
39	Ohio	013	Belmont County	1985	81.800
39	Ohio	013	Belmont County	1990	71.070
39	Ohio	013	Belmont County	1995	70.380
39	Ohio	013	Belmont County	2000	70.230
39	Ohio	013	Belmont County	2005	69.228
39	Ohio	013	Belmont County	2010	70.400
39	Ohio	013	Belmont County	2015	69.154
39	Ohio	015	Brown County	1985	33.500
39	Ohio	015	Brown County	1990	34.970
39	Ohio	015	Brown County	1995	38.850
39	Ohio	015	Brown County	2000	42.285
39	Ohio	015	Brown County	2005	44.398
39	Ohio	015	Brown County	2010	44.846
39	Ohio	015	Brown County	2015	43.839
39	Ohio	017	Butler County	1985	265.500
39	Ohio	017	Butler County	1990	291.480
39	Ohio	017	Butler County	1995	315.600
39	Ohio	017	Butler County	2000	332.807
39	Ohio	017	Butler County	2005	350.412
39	Ohio	017	Butler County	2010	368.130
39	Ohio	017	Butler County	2015	376.353
39	Ohio	019	Carroll County	1985	26.900
39	Ohio	019	Carroll County	1990	26.520
39	Ohio	019	Carroll County	1995	28.140
39	Ohio	019	Carroll County	2000	28.836
39	Ohio	019	Carroll County	2005	29.388
39	Ohio	019	Carroll County	2010	28.836
39	Ohio	019	Carroll County	2015	27.811
39	Ohio	021	Champaign County	1985	33.500
39	Ohio	021	Champaign County	1990	36.020
39	Ohio	021	Champaign County	1995	37.690
39	Ohio	021	Champaign County	2000	38.890
39	Ohio	021	Champaign County	2005	39.698
39	Ohio	021	Champaign County	2010	40.097
39	Ohio	021	Champaign County	2015	38.987
39	Ohio	023	Clark County	1985	147.600
39	Ohio	023	Clark County	1990	147.550
39	Ohio	023	Clark County	1995	147.730
39	Ohio	023	Clark County	2000	144.742
39	Ohio	023	Clark County	2005	142.376
39	Ohio	023	Clark County	2010	138.333
39	Ohio	023	Clark County	2015	135.959
39	Ohio	025	Clermont County	1985	136.500
39	Ohio	025	Clermont County	1990	150.190
39	Ohio	025	Clermont County	1995	166.940
39	Ohio	025	Clermont County	2000	177.977
39	Ohio	025	Clermont County	2005	190.589
39	Ohio	025	Clermont County	2010	197.363
39	Ohio	025	Clermont County	2015	201.973
39	Ohio	027	Clinton County	1985	34.800
39	Ohio	027	Clinton County	1990	35.420
39	Ohio	027	Clinton County	1995	38.020
39	Ohio	027	Clinton County	2000	40.543
39	Ohio	027	Clinton County	2005	42.570
39	Ohio	027	Clinton County	2010	42.040
39	Ohio	027	Clinton County	2015	41.917
39	Ohio	029	Columbiana County	1985	112.000
39	Ohio	029	Columbiana County	1990	108.280
39	Ohio	029	Columbiana County	1995	111.850
39	Ohio	029	Columbiana County	2000	112.075
39	Ohio	029	Columbiana County	2005	110.928
39	Ohio	029	Columbiana County	2010	107.841
39	Ohio	029	Columbiana County	2015	104.806
39	Ohio	031	Coshocton County	1985	36.400
39	Ohio	031	Coshocton County	1990	35.420
39	Ohio	031	Coshocton County	1995	36.240
39	Ohio	031	Coshocton County	2000	36.655
39	Ohio	031	Coshocton County	2005	36.945
39	Ohio	031	Coshocton County	2010	36.901
39	Ohio	031	Coshocton County	2015	36.569
39	Ohio	033	Crawford County	1985	49.000
39	Ohio	033	Crawford County	1990	47.870
39	Ohio	033	Crawford County	1995	47.730
39	Ohio	033	Crawford County	2000	46.966
39	Ohio	033	Crawford County	2005	45.774
39	Ohio	033	Crawford County	2010	43.784
39	Ohio	033	Crawford County	2015	42.306
39	Ohio	035	Cuyahoga County	1985	1460.600
39	Ohio	035	Cuyahoga County	1990	1412.140
39	Ohio	035	Cuyahoga County	1995	1398.170
39	Ohio	035	Cuyahoga County	2000	1393.978
39	Ohio	035	Cuyahoga County	2005	1335.317
39	Ohio	035	Cuyahoga County	2010	1280.122
39	Ohio	035	Cuyahoga County	2015	1255.921
39	Ohio	037	Darke County	1985	53.900
39	Ohio	037	Darke County	1990	53.620
39	Ohio	037	Darke County	1995	54.320
39	Ohio	037	Darke County	2000	53.309
39	Ohio	037	Darke County	2005	52.983
39	Ohio	037	Darke County	2010	52.959
39	Ohio	037	Darke County	2015	52.076
39	Ohio	039	Defiance County	1985	38.400
39	Ohio	039	Defiance County	1990	39.350
39	Ohio	039	Defiance County	1995	40.120
39	Ohio	039	Defiance County	2000	39.500
39	Ohio	039	Defiance County	2005	39.112
39	Ohio	039	Defiance County	2010	39.037
39	Ohio	039	Defiance County	2015	38.352
39	Ohio	041	Delaware County	1985	57.300
39	Ohio	041	Delaware County	1990	66.930
39	Ohio	041	Delaware County	1995	78.960
39	Ohio	041	Delaware County	2000	109.989
39	Ohio	041	Delaware County	2005	150.268
39	Ohio	041	Delaware County	2010	174.214
39	Ohio	041	Delaware County	2015	193.013
39	Ohio	043	Erie County	1985	77.900
39	Ohio	043	Erie County	1990	76.780
39	Ohio	043	Erie County	1995	78.800
39	Ohio	043	Erie County	2000	83.251
39	Ohio	043	Erie County	2005	78.665
39	Ohio	043	Erie County	2010	77.079
39	Ohio	043	Erie County	2015	75.550
39	Ohio	045	Fairfield County	1985	95.800
39	Ohio	045	Fairfield County	1990	103.460
39	Ohio	045	Fairfield County	1995	117.560
39	Ohio	045	Fairfield County	2000	122.759
39	Ohio	045	Fairfield County	2005	138.423
39	Ohio	045	Fairfield County	2010	146.156
39	Ohio	045	Fairfield County	2015	151.408
39	Ohio	047	Fayette County	1985	27.400
39	Ohio	047	Fayette County	1990	27.470
39	Ohio	047	Fayette County	1995	28.430
39	Ohio	047	Fayette County	2000	28.433
39	Ohio	047	Fayette County	2005	28.199
39	Ohio	047	Fayette County	2010	29.030
39	Ohio	047	Fayette County	2015	28.679
39	Ohio	049	Franklin County	1985	893.800
39	Ohio	049	Franklin County	1990	961.440
39	Ohio	049	Franklin County	1995	1011.020
39	Ohio	049	Franklin County	2000	1068.978
39	Ohio	049	Franklin County	2005	1090.771
39	Ohio	049	Franklin County	2010	1163.414
39	Ohio	049	Franklin County	2015	1251.722
39	Ohio	051	Fulton County	1985	38.400
39	Ohio	051	Fulton County	1990	38.500
39	Ohio	051	Fulton County	1995	40.850
39	Ohio	051	Fulton County	2000	42.084
39	Ohio	051	Fulton County	2005	42.955
39	Ohio	051	Fulton County	2010	42.698
39	Ohio	051	Fulton County	2015	42.537
39	Ohio	053	Gallia County	1985	30.100
39	Ohio	053	Gallia County	1990	30.950
39	Ohio	053	Gallia County	1995	32.580
39	Ohio	053	Gallia County	2000	32.991
39	Ohio	053	Gallia County	2005	31.362
39	Ohio	053	Gallia County	2010	30.934
39	Ohio	053	Gallia County	2015	30.142
39	Ohio	055	Geauga County	1985	74.900
39	Ohio	055	Geauga County	1990	81.130
39	Ohio	055	Geauga County	1995	84.260
