#
# File created on 2019-05-18 23:23:43 EDT
# Refresh Date: 2018-06
#
# U.S. Geological Survey
#
# This file contains selected WaterUse data 
#
# The data you have secured from the USGS NWISWeb database may include data that have 
# not received Director's approval and as such are provisional and subject to revision. 
# The data are released on the condition that neither the USGS nor the United States 
# Government may be held liable for any damages resulting from its authorized or 
# unauthorized use.
#
#  * References to sources of water-use data can be found here. - https://water.usgs.gov/watuse
#
#  Search Criteria:
#  Year(s)          - ALL
#  Area             - County
#  County Codes(s)  - ALL
#  County Name(s)   - --ALL Counties--
#  Category Code(s) - TP
#  Category Name(s) - Total Population
#
#  Columns:
#  state_cd    - State Code
#  state_name  - State Name
#  county_cd   - County Code
#  county_nm   - County Name
#  year        - Year
#
#  The following categories are included: 
#  Total Population total population of area, in thousands 
#
state_cd	state_name	county_cd	county_nm	year	Total Population total population of area, in thousands
2s	40s	3s	40s	4s	16s
40	Oklahoma	001	Adair County	1985	19.400
40	Oklahoma	001	Adair County	1990	18.430
40	Oklahoma	001	Adair County	1995	19.900
40	Oklahoma	001	Adair County	2000	21.040
40	Oklahoma	001	Adair County	2005	21.960
40	Oklahoma	001	Adair County	2010	22.680
40	Oklahoma	001	Adair County	2015	22.004
40	Oklahoma	003	Alfalfa County	1985	6.800
40	Oklahoma	003	Alfalfa County	1990	6.420
40	Oklahoma	003	Alfalfa County	1995	6.110
40	Oklahoma	003	Alfalfa County	2000	6.110
40	Oklahoma	003	Alfalfa County	2005	5.730
40	Oklahoma	003	Alfalfa County	2010	5.640
40	Oklahoma	003	Alfalfa County	2015	5.868
40	Oklahoma	005	Atoka County	1985	13.800
40	Oklahoma	005	Atoka County	1990	12.770
40	Oklahoma	005	Atoka County	1995	13.260
40	Oklahoma	005	Atoka County	2000	13.880
40	Oklahoma	005	Atoka County	2005	14.340
40	Oklahoma	005	Atoka County	2010	14.180
40	Oklahoma	005	Atoka County	2015	13.793
40	Oklahoma	007	Beaver County	1985	7.500
40	Oklahoma	007	Beaver County	1990	6.030
40	Oklahoma	007	Beaver County	1995	5.880
40	Oklahoma	007	Beaver County	2000	5.860
40	Oklahoma	007	Beaver County	2005	5.400
40	Oklahoma	007	Beaver County	2010	5.640
40	Oklahoma	007	Beaver County	2015	5.427
40	Oklahoma	009	Beckham County	1985	23.000
40	Oklahoma	009	Beckham County	1990	18.820
40	Oklahoma	009	Beckham County	1995	18.570
40	Oklahoma	009	Beckham County	2000	19.800
40	Oklahoma	009	Beckham County	2005	18.810
40	Oklahoma	009	Beckham County	2010	22.120
40	Oklahoma	009	Beckham County	2015	23.768
