#
# File created on 2019-05-18 23:23:44 EDT
# Refresh Date: 2018-06
#
# U.S. Geological Survey
#
# This file contains selected WaterUse data 
#
# The data you have secured from the USGS NWISWeb database may include data that have 
# not received Director's approval and as such are provisional and subject to revision. 
# The data are released on the condition that neither the USGS nor the United States 
# Government may be held liable for any damages resulting from its authorized or 
# unauthorized use.
#
#  * References to sources of water-use data can be found here. - https://water.usgs.gov/watuse
#
#  Search Criteria:
#  Year(s)          - ALL
#  Area             - County
#  County Codes(s)  - ALL
#  County Name(s)   - --ALL Counties--
#  Category Code(s) - TP
#  Category Name(s) - Total Population
#
#  Columns:
#  state_cd    - State Code
#  state_name  - State Name
#  county_cd   - County Code
#  county_nm   - County Name
#  year        - Year
#
#  The following categories are included: 
#  Total Population total population of area, in thousands 
#
state_cd	state_name	county_cd	county_nm	year	Total Population total population of area, in thousands
2s	40s	3s	40s	4s	16s
41	Oregon	001	Baker County	1985	15.600
41	Oregon	001	Baker County	1990	15.320
41	Oregon	001	Baker County	1995	16.470
41	Oregon	001	Baker County	2000	16.740
41	Oregon	001	Baker County	2005	16.287
41	Oregon	001	Baker County	2010	16.134
41	Oregon	001	Baker County	2015	16.005
41	Oregon	003	Benton County	1985	69.100
41	Oregon	003	Benton County	1990	70.810
41	Oregon	003	Benton County	1995	75.230
41	Oregon	003	Benton County	2000	78.150
41	Oregon	003	Benton County	2005	78.640
41	Oregon	003	Benton County	2010	85.579
41	Oregon	003	Benton County	2015	87.572
41	Oregon	005	Clackamas County	1985	248.200
41	Oregon	005	Clackamas County	1990	278.850
41	Oregon	005	Clackamas County	1995	316.420
41	Oregon	005	Clackamas County	2000	338.390
41	Oregon	005	Clackamas County	2005	368.470
41	Oregon	005	Clackamas County	2010	375.992
41	Oregon	005	Clackamas County	2015	401.515
41	Oregon	007	Clatsop County	1985	32.900
41	Oregon	007	Clatsop County	1990	33.300
41	Oregon	007	Clatsop County	1995	35.370
41	Oregon	007	Clatsop County	2000	35.630
41	Oregon	007	Clatsop County	2005	36.798
41	Oregon	007	Clatsop County	2010	37.039
41	Oregon	007	Clatsop County	2015	37.831
41	Oregon	009	Columbia County	1985	36.100
41	Oregon	009	Columbia County	1990	37.560
41	Oregon	009	Columbia County	1995	41.810
41	Oregon	009	Columbia County	2000	43.560
41	Oregon	009	Columbia County	2005	48.065
41	Oregon	009	Columbia County	2010	49.351
41	Oregon	009	Columbia County	2015	49.600
41	Oregon	011	Coos County	1985	60.150
41	Oregon	011	Coos County	1990	60.270
41	Oregon	011	Coos County	1995	62.820
41	Oregon	011	Coos County	2000	62.780
41	Oregon	011	Coos County	2005	64.711
41	Oregon	011	Coos County	2010	63.043
41	Oregon	011	Coos County	2015	63.121
41	Oregon	013	Crook County	1985	13.400
41	Oregon	013	Crook County	1990	14.110
41	Oregon	013	Crook County	1995	16.380
41	Oregon	013	Crook County	2000	19.180
41	Oregon	013	Crook County	2005	22.067
41	Oregon	013	Crook County	2010	20.978
41	Oregon	013	Crook County	2015	21.630
41	Oregon	015	Curry County	1985	16.900
41	Oregon	015	Curry County	1990	19.330
41	Oregon	015	Curry County	1995	21.240
41	Oregon	015	Curry County	2000	21.140
41	Oregon	015	Curry County	2005	22.427
41	Oregon	015	Curry County	2010	22.364
41	Oregon	015	Curry County	2015	22.483
41	Oregon	017	Deschutes County	1985	65.400
41	Oregon	017	Deschutes County	1990	74.960
41	Oregon	017	Deschutes County	1995	94.970
41	Oregon	017	Deschutes County	2000	115.370
41	Oregon	017	Deschutes County	2005	141.382
41	Oregon	017	Deschutes County	2010	157.733
41	Oregon	017	Deschutes County	2015	175.268
41	Oregon	019	Douglas County	1985	92.150
41	Oregon	019	Douglas County	1990	94.650
41	Oregon	019	Douglas County	1995	99.900
41	Oregon	019	Douglas County	2000	100.400
41	Oregon	019	Douglas County	2005	104.202
41	Oregon	019	Douglas County	2010	107.667
41	Oregon	019	Douglas County	2015	107.685
41	Oregon	021	Gilliam County	1985	1.900
41	Oregon	021	Gilliam County	1990	1.710
41	Oregon	021	Gilliam County	1995	1.860
41	Oregon	021	Gilliam County	2000	1.920
41	Oregon	021	Gilliam County	2005	1.794
41	Oregon	021	Gilliam County	2010	1.871
41	Oregon	021	Gilliam County	2015	1.859
41	Oregon	023	Grant County	1985	8.230
41	Oregon	023	Grant County	1990	7.850
41	Oregon	023	Grant County	1995	7.970
41	Oregon	023	Grant County	2000	7.940
41	Oregon	023	Grant County	2005	7.297
41	Oregon	023	Grant County	2010	7.445
41	Oregon	023	Grant County	2015	7.185
41	Oregon	025	Harney County	1985	7.350
41	Oregon	025	Harney County	1990	7.060
41	Oregon	025	Harney County	1995	7.070
41	Oregon	025	Harney County	2000	7.610
41	Oregon	025	Harney County	2005	6.898
41	Oregon	025	Harney County	2010	7.422
41	Oregon	025	Harney County	2015	7.200
41	Oregon	027	Hood River County	1985	16.350
41	Oregon	027	Hood River County	1990	16.900
41	Oregon	027	Hood River County	1995	18.590
41	Oregon	027	Hood River County	2000	20.410
41	Oregon	027	Hood River County	2005	21.284
41	Oregon	027	Hood River County	2010	22.346
41	Oregon	027	Hood River County	2015	23.137
41	Oregon	029	Jackson County	1985	137.900
41	Oregon	029	Jackson County	1990	146.390
41	Oregon	029	Jackson County	1995	166.060
41	Oregon	029	Jackson County	2000	181.270
41	Oregon	029	Jackson County	2005	195.322
41	Oregon	029	Jackson County	2010	203.206
41	Oregon	029	Jackson County	2015	212.567
41	Oregon	031	Jefferson County	1985	12.150
41	Oregon	031	Jefferson County	1990	13.680
41	Oregon	031	Jefferson County	1995	15.970
41	Oregon	031	Jefferson County	2000	19.010
41	Oregon	031	Jefferson County	2005	20.100
41	Oregon	031	Jefferson County	2010	21.720
41	Oregon	031	Jefferson County	2015	22.666
41	Oregon	033	Josephine County	1985	61.500
41	Oregon	033	Josephine County	1990	62.650
41	Oregon	033	Josephine County	1995	71.330
41	Oregon	033	Josephine County	2000	75.730
41	Oregon	033	Josephine County	2005	80.761
41	Oregon	033	Josephine County	2010	82.713
41	Oregon	033	Josephine County	2015	84.745
41	Oregon	035	Klamath County	1985	57.550
41	Oregon	035	Klamath County	1990	57.700
41	Oregon	035	Klamath County	1995	61.040
41	Oregon	035	Klamath County	2000	63.780
41	Oregon	035	Klamath County	2005	66.192
41	Oregon	035	Klamath County	2010	66.380
41	Oregon	035	Klamath County	2015	66.016
41	Oregon	037	Lake County	1985	7.450
41	Oregon	037	Lake County	1990	7.190
41	Oregon	037	Lake County	1995	7.420
41	Oregon	037	Lake County	2000	7.420
41	Oregon	037	Lake County	2005	7.313
41	Oregon	037	Lake County	2010	7.895
41	Oregon	037	Lake County	2015	7.829
41	Oregon	039	Lane County	1985	269.500
41	Oregon	039	Lane County	1990	282.910
41	Oregon	039	Lane County	1995	303.420
41	Oregon	039	Lane County	2000	322.960
41	Oregon	039	Lane County	2005	335.180
41	Oregon	039	Lane County	2010	351.715
41	Oregon	039	Lane County	2015	362.895
41	Oregon	041	Lincoln County	1985	37.230
41	Oregon	041	Lincoln County	1990	38.890
41	Oregon	041	Lincoln County	1995	44.340
41	Oregon	041	Lincoln County	2000	44.480
41	Oregon	041	Lincoln County	2005	45.994
41	Oregon	041	Lincoln County	2010	46.034
41	Oregon	041	Lincoln County	2015	47.038
41	Oregon	043	Linn County	1985	89.000
41	Oregon	043	Linn County	1990	91.230
41	Oregon	043	Linn County	1995	100.130
41	Oregon	043	Linn County	2000	103.070
41	Oregon	043	Linn County	2005	108.914
41	Oregon	043	Linn County	2010	116.672
41	Oregon	043	Linn County	2015	120.547
41	Oregon	045	Malheur County	1985	28.000
41	Oregon	045	Malheur County	1990	26.040
41	Oregon	045	Malheur County	1995	27.860
41	Oregon	045	Malheur County	2000	31.620
41	Oregon	045	Malheur County	2005	31.330
41	Oregon	045	Malheur County	2010	31.313
41	Oregon	045	Malheur County	2015	30.380
41	Oregon	047	Marion County	1985	213.750
41	Oregon	047	Marion County	1990	228.480
41	Oregon	047	Marion County	1995	255.040
41	Oregon	047	Marion County	2000	284.830
