#
# File created on 2019-05-18 23:23:45 EDT
# Refresh Date: 2018-06
#
# U.S. Geological Survey
#
# This file contains selected WaterUse data 
#
# The data you have secured from the USGS NWISWeb database may include data that have 
# not received Director's approval and as such are provisional and subject to revision. 
# The data are released on the condition that neither the USGS nor the United States 
# Government may be held liable for any damages resulting from its authorized or 
# unauthorized use.
#
#  * References to sources of water-use data can be found here. - https://water.usgs.gov/watuse
#
#  Search Criteria:
#  Year(s)          - ALL
#  Area             - County
#  County Codes(s)  - ALL
#  County Name(s)   - --ALL Counties--
#  Category Code(s) - TP
#  Category Name(s) - Total Population
#
#  Columns:
#  state_cd    - State Code
#  state_name  - State Name
#  county_cd   - County Code
#  county_nm   - County Name
#  year        - Year
#
#  The following categories are included: 
#  Total Population total population of area, in thousands 
#
state_cd	state_name	county_cd	county_nm	year	Total Population total population of area, in thousands
2s	40s	3s	40s	4s	16s
42	Pennsylvania	001	Adams County	1985	70.000
42	Pennsylvania	001	Adams County	1990	78.270
42	Pennsylvania	001	Adams County	1995	84.000
42	Pennsylvania	001	Adams County	2000	91.290
42	Pennsylvania	001	Adams County	2005	99.749
42	Pennsylvania	001	Adams County	2010	101.407
42	Pennsylvania	001	Adams County	2015	102.295
42	Pennsylvania	003	Allegheny County	1985	1388.300
42	Pennsylvania	003	Allegheny County	1990	1336.450
42	Pennsylvania	003	Allegheny County	1995	1309.820
42	Pennsylvania	003	Allegheny County	2000	1281.670
42	Pennsylvania	003	Allegheny County	2005	1235.841
42	Pennsylvania	003	Allegheny County	2010	1223.348
42	Pennsylvania	003	Allegheny County	2015	1230.459
42	Pennsylvania	005	Armstrong County	1985	78.700
42	Pennsylvania	005	Armstrong County	1990	73.480
42	Pennsylvania	005	Armstrong County	1995	74.570
42	Pennsylvania	005	Armstrong County	2000	72.390
42	Pennsylvania	005	Armstrong County	2005	70.586
42	Pennsylvania	005	Armstrong County	2010	68.941
42	Pennsylvania	005	Armstrong County	2015	67.052
42	Pennsylvania	007	Beaver County	1985	194.700
42	Pennsylvania	007	Beaver County	1990	186.090
42	Pennsylvania	007	Beaver County	1995	187.980
42	Pennsylvania	007	Beaver County	2000	181.410
