#
# File created on 2019-05-18 23:23:48 EDT
# Refresh Date: 2018-06
#
# U.S. Geological Survey
#
# This file contains selected WaterUse data 
#
# The data you have secured from the USGS NWISWeb database may include data that have 
# not received Director's approval and as such are provisional and subject to revision. 
# The data are released on the condition that neither the USGS nor the United States 
# Government may be held liable for any damages resulting from its authorized or 
# unauthorized use.
#
#  * References to sources of water-use data can be found here. - https://water.usgs.gov/watuse
#
#  Search Criteria:
#  Year(s)          - ALL
#  Area             - County
#  County Codes(s)  - ALL
#  County Name(s)   - --ALL Counties--
#  Category Code(s) - TP
#  Category Name(s) - Total Population
#
#  Columns:
#  state_cd    - State Code
#  state_name  - State Name
#  county_cd   - County Code
#  county_nm   - County Name
#  year        - Year
#
#  The following categories are included: 
#  Total Population total population of area, in thousands 
#
state_cd	state_name	county_cd	county_nm	year	Total Population total population of area, in thousands
2s	40s	3s	40s	4s	16s
46	South Dakota	003	Aurora County	1985	3.480
46	South Dakota	003	Aurora County	1990	3.140
46	South Dakota	003	Aurora County	1995	3.090
46	South Dakota	003	Aurora County	2000	3.060
46	South Dakota	003	Aurora County	2005	2.901
46	South Dakota	003	Aurora County	2010	2.710
46	South Dakota	003	Aurora County	2015	-
46	South Dakota	005	Beadle County	1985	18.370
46	South Dakota	005	Beadle County	1990	18.250
46	South Dakota	005	Beadle County	1995	18.140
46	South Dakota	005	Beadle County	2000	17.020
46	South Dakota	005	Beadle County	2005	15.896
46	South Dakota	005	Beadle County	2010	17.398
46	South Dakota	005	Beadle County	2015	-
46	South Dakota	007	Bennett County	1985	3.260
46	South Dakota	007	Bennett County	1990	3.210
46	South Dakota	007	Bennett County	1995	3.310
46	South Dakota	007	Bennett County	2000	3.570
46	South Dakota	007	Bennett County	2005	3.585
46	South Dakota	007	Bennett County	2010	3.431
46	South Dakota	007	Bennett County	2015	-
46	South Dakota	009	Bon Homme County	1985	7.870
46	South Dakota	009	Bon Homme County	1990	7.090
46	South Dakota	009	Bon Homme County	1995	7.010
46	South Dakota	009	Bon Homme County	2000	7.260
46	South Dakota	009	Bon Homme County	2005	7.087
46	South Dakota	009	Bon Homme County	2010	7.070
46	South Dakota	009	Bon Homme County	2015	-
46	South Dakota	011	Brookings County	1985	25.010
46	South Dakota	011	Brookings County	1990	25.210
46	South Dakota	011	Brookings County	1995	26.450
46	South Dakota	011	Brookings County	2000	28.220
46	South Dakota	011	Brookings County	2005	28.121
46	South Dakota	011	Brookings County	2010	31.965
46	South Dakota	011	Brookings County	2015	-
46	South Dakota	013	Brown County	1985	36.780
46	South Dakota	013	Brown County	1990	35.580
46	South Dakota	013	Brown County	1995	35.730
46	South Dakota	013	Brown County	2000	35.460
46	South Dakota	013	Brown County	2005	34.706
46	South Dakota	013	Brown County	2010	36.531
46	South Dakota	013	Brown County	2015	-
46	South Dakota	015	Brule County	1985	5.390
46	South Dakota	015	Brule County	1990	5.480
46	South Dakota	015	Brule County	1995	5.630
46	South Dakota	015	Brule County	2000	5.360
46	South Dakota	015	Brule County	2005	5.187
46	South Dakota	015	Brule County	2010	5.255
46	South Dakota	015	Brule County	2015	-
46	South Dakota	017	Buffalo County	1985	1.710
46	South Dakota	017	Buffalo County	1990	1.760
46	South Dakota	017	Buffalo County	1995	1.830
46	South Dakota	017	Buffalo County	2000	2.030
46	South Dakota	017	Buffalo County	2005	2.100
46	South Dakota	017	Buffalo County	2010	1.912
46	South Dakota	017	Buffalo County	2015	-
46	South Dakota	019	Butte County	1985	8.250
46	South Dakota	019	Butte County	1990	7.910
46	South Dakota	019	Butte County	1995	8.900
46	South Dakota	019	Butte County	2000	9.090
46	South Dakota	019	Butte County	2005	9.326
46	South Dakota	019	Butte County	2010	10.110
46	South Dakota	019	Butte County	2015	-
46	South Dakota	021	Campbell County	1985	2.270
46	South Dakota	021	Campbell County	1990	1.960
46	South Dakota	021	Campbell County	1995	1.880
46	South Dakota	021	Campbell County	2000	1.780
46	South Dakota	021	Campbell County	2005	1.565
46	South Dakota	021	Campbell County	2010	1.466
46	South Dakota	021	Campbell County	2015	-
46	South Dakota	023	Charles Mix County	1985	9.720
46	South Dakota	023	Charles Mix County	1990	9.130
46	South Dakota	023	Charles Mix County	1995	9.480
46	South Dakota	023	Charles Mix County	2000	9.350
46	South Dakota	023	Charles Mix County	2005	9.194
46	South Dakota	023	Charles Mix County	2010	9.129
46	South Dakota	023	Charles Mix County	2015	-
46	South Dakota	025	Clark County	1985	4.950
46	South Dakota	025	Clark County	1990	4.400
46	South Dakota	025	Clark County	1995	4.380
46	South Dakota	025	Clark County	2000	4.140
46	South Dakota	025	Clark County	2005	3.799
46	South Dakota	025	Clark County	2010	3.691
