#
# File created on 2019-05-18 23:23:49 EDT
# Refresh Date: 2018-06
#
# U.S. Geological Survey
#
# This file contains selected WaterUse data 
#
# The data you have secured from the USGS NWISWeb database may include data that have 
# not received Director's approval and as such are provisional and subject to revision. 
# The data are released on the condition that neither the USGS nor the United States 
# Government may be held liable for any damages resulting from its authorized or 
# unauthorized use.
#
#  * References to sources of water-use data can be found here. - https://water.usgs.gov/watuse
#
#  Search Criteria:
#  Year(s)          - ALL
#  Area             - County
#  County Codes(s)  - ALL
#  County Name(s)   - --ALL Counties--
#  Category Code(s) - TP
#  Category Name(s) - Total Population
#
#  Columns:
#  state_cd    - State Code
#  state_name  - State Name
#  county_cd   - County Code
#  county_nm   - County Name
#  year        - Year
#
#  The following categories are included: 
#  Total Population total population of area, in thousands 
#
state_cd	state_name	county_cd	county_nm	year	Total Population total population of area, in thousands
2s	40s	3s	40s	4s	16s
47	Tennessee	001	Anderson County	1985	69.200
47	Tennessee	001	Anderson County	1990	68.250
47	Tennessee	001	Anderson County	1995	71.660
47	Tennessee	001	Anderson County	2000	71.330
47	Tennessee	001	Anderson County	2005	72.430
47	Tennessee	001	Anderson County	2010	75.129
47	Tennessee	001	Anderson County	2015	75.749
47	Tennessee	003	Bedford County	1985	28.700
47	Tennessee	003	Bedford County	1990	30.410
47	Tennessee	003	Bedford County	1995	33.130
47	Tennessee	003	Bedford County	2000	37.590
47	Tennessee	003	Bedford County	2005	42.204
47	Tennessee	003	Bedford County	2010	45.058
47	Tennessee	003	Bedford County	2015	47.183
47	Tennessee	005	Benton County	1985	15.100
47	Tennessee	005	Benton County	1990	14.520
47	Tennessee	005	Benton County	1995	15.770
47	Tennessee	005	Benton County	2000	16.540
47	Tennessee	005	Benton County	2005	16.467
47	Tennessee	005	Benton County	2010	16.489
47	Tennessee	005	Benton County	2015	16.129
47	Tennessee	007	Bledsoe County	1985	9.600
47	Tennessee	007	Bledsoe County	1990	9.670
47	Tennessee	007	Bledsoe County	1995	10.170
47	Tennessee	007	Bledsoe County	2000	12.370
47	Tennessee	007	Bledsoe County	2005	12.928
47	Tennessee	007	Bledsoe County	2010	12.876
47	Tennessee	007	Bledsoe County	2015	14.502
47	Tennessee	009	Blount County	1985	81.600
47	Tennessee	009	Blount County	1990	85.970
47	Tennessee	009	Blount County	1995	97.010
47	Tennessee	009	Blount County	2000	105.820
