#
# File created on 2019-05-18 23:23:50 EDT
# Refresh Date: 2018-06
#
# U.S. Geological Survey
#
# This file contains selected WaterUse data 
#
# The data you have secured from the USGS NWISWeb database may include data that have 
# not received Director's approval and as such are provisional and subject to revision. 
# The data are released on the condition that neither the USGS nor the United States 
# Government may be held liable for any damages resulting from its authorized or 
# unauthorized use.
#
#  * References to sources of water-use data can be found here. - https://water.usgs.gov/watuse
#
#  Search Criteria:
#  Year(s)          - ALL
#  Area             - County
#  County Codes(s)  - ALL
#  County Name(s)   - --ALL Counties--
#  Category Code(s) - TP
#  Category Name(s) - Total Population
#
#  Columns:
#  state_cd    - State Code
#  state_name  - State Name
#  county_cd   - County Code
#  county_nm   - County Name
#  year        - Year
#
#  The following categories are included: 
#  Total Population total population of area, in thousands 
#
state_cd	state_name	county_cd	county_nm	year	Total Population total population of area, in thousands
2s	40s	3s	40s	4s	16s
48	Texas	001	Anderson County	1985	46.390
48	Texas	001	Anderson County	1990	48.020
48	Texas	001	Anderson County	1995	50.710
48	Texas	001	Anderson County	2000	55.110
48	Texas	001	Anderson County	2005	56.408
48	Texas	001	Anderson County	2010	58.458
48	Texas	001	Anderson County	2015	57.580
48	Texas	003	Andrews County	1985	16.490
48	Texas	003	Andrews County	1990	14.340
48	Texas	003	Andrews County	1995	14.230
48	Texas	003	Andrews County	2000	13.000
48	Texas	003	Andrews County	2005	12.748
48	Texas	003	Andrews County	2010	14.786
48	Texas	003	Andrews County	2015	18.105
48	Texas	005	Angelina County	1985	68.870
48	Texas	005	Angelina County	1990	69.880
48	Texas	005	Angelina County	1995	75.490
48	Texas	005	Angelina County	2000	80.130
48	Texas	005	Angelina County	2005	81.557
48	Texas	005	Angelina County	2010	86.771
48	Texas	005	Angelina County	2015	88.255
48	Texas	007	Aransas County	1985	17.490
48	Texas	007	Aransas County	1990	17.890
48	Texas	007	Aransas County	1995	21.180
48	Texas	007	Aransas County	2000	22.500
48	Texas	007	Aransas County	2005	24.640
48	Texas	007	Aransas County	2010	23.158
48	Texas	007	Aransas County	2015	25.350
48	Texas	009	Archer County	1985	7.890
48	Texas	009	Archer County	1990	7.970
48	Texas	009	Archer County	1995	8.150
48	Texas	009	Archer County	2000	8.850
48	Texas	009	Archer County	2005	9.095
48	Texas	009	Archer County	2010	9.054
48	Texas	009	Archer County	2015	8.715
48	Texas	011	Armstrong County	1985	1.890
48	Texas	011	Armstrong County	1990	2.020
48	Texas	011	Armstrong County	1995	2.110
48	Texas	011	Armstrong County	2000	2.150
48	Texas	011	Armstrong County	2005	2.173
48	Texas	011	Armstrong County	2010	1.901
48	Texas	011	Armstrong County	2015	1.947
48	Texas	013	Atascosa County	1985	28.490
48	Texas	013	Atascosa County	1990	30.530
48	Texas	013	Atascosa County	1995	33.810
