#
# File created on 2019-05-18 23:23:52 EDT
# Refresh Date: 2018-06
#
# U.S. Geological Survey
#
# This file contains selected WaterUse data 
#
# The data you have secured from the USGS NWISWeb database may include data that have 
# not received Director's approval and as such are provisional and subject to revision. 
# The data are released on the condition that neither the USGS nor the United States 
# Government may be held liable for any damages resulting from its authorized or 
# unauthorized use.
#
#  * References to sources of water-use data can be found here. - https://water.usgs.gov/watuse
#
#  Search Criteria:
#  Year(s)          - ALL
#  Area             - County
#  County Codes(s)  - ALL
#  County Name(s)   - --ALL Counties--
#  Category Code(s) - TP
#  Category Name(s) - Total Population
#
#  Columns:
#  state_cd    - State Code
#  state_name  - State Name
#  county_cd   - County Code
#  county_nm   - County Name
#  year        - Year
#
#  The following categories are included: 
#  Total Population total population of area, in thousands 
#
state_cd	state_name	county_cd	county_nm	year	Total Population total population of area, in thousands
2s	40s	3s	40s	4s	16s
51	Virginia	001	Accomack County	1985	31.200
51	Virginia	001	Accomack County	1990	31.700
51	Virginia	001	Accomack County	1995	32.270
51	Virginia	001	Accomack County	2000	38.305
51	Virginia	001	Accomack County	2005	39.424
51	Virginia	001	Accomack County	2010	33.164
51	Virginia	001	Accomack County	2015	32.973
51	Virginia	003	Albemarle County	1985	60.200
51	Virginia	003	Albemarle County	1990	68.040
51	Virginia	003	Albemarle County	1995	73.200
51	Virginia	003	Albemarle County	2000	79.236
51	Virginia	003	Albemarle County	2005	90.717
51	Virginia	003	Albemarle County	2010	98.970
51	Virginia	003	Albemarle County	2015	105.703
51	Virginia	005	Alleghany County	1985	13.900
51	Virginia	005	Alleghany County	1990	13.180
51	Virginia	005	Alleghany County	1995	12.600
51	Virginia	005	Alleghany County	2000	12.926
51	Virginia	005	Alleghany County	2005	16.715
51	Virginia	005	Alleghany County	2010	16.250
51	Virginia	005	Alleghany County	2015	15.677
51	Virginia	007	Amelia County	1985	8.400
51	Virginia	007	Amelia County	1990	8.790
51	Virginia	007	Amelia County	1995	9.670
51	Virginia	007	Amelia County	2000	11.400
51	Virginia	007	Amelia County	2005	12.273
51	Virginia	007	Amelia County	2010	12.690
51	Virginia	007	Amelia County	2015	12.903
51	Virginia	009	Amherst County	1985	28.900
51	Virginia	009	Amherst County	1990	28.580
51	Virginia	009	Amherst County	1995	29.770
51	Virginia	009	Amherst County	2000	31.894
51	Virginia	009	Amherst County	2005	32.134
