#
# File created on 2019-05-18 23:23:53 EDT
# Refresh Date: 2018-06
#
# U.S. Geological Survey
#
# This file contains selected WaterUse data 
#
# The data you have secured from the USGS NWISWeb database may include data that have 
# not received Director's approval and as such are provisional and subject to revision. 
# The data are released on the condition that neither the USGS nor the United States 
# Government may be held liable for any damages resulting from its authorized or 
# unauthorized use.
#
#  * References to sources of water-use data can be found here. - https://water.usgs.gov/watuse
#
#  Search Criteria:
#  Year(s)          - ALL
#  Area             - County
#  County Codes(s)  - ALL
#  County Name(s)   - --ALL Counties--
#  Category Code(s) - TP
#  Category Name(s) - Total Population
#
#  Columns:
#  state_cd    - State Code
#  state_name  - State Name
#  county_cd   - County Code
#  county_nm   - County Name
#  year        - Year
#
#  The following categories are included: 
#  Total Population total population of area, in thousands 
#
state_cd	state_name	county_cd	county_nm	year	Total Population total population of area, in thousands
2s	40s	3s	40s	4s	16s
53	Washington	001	Adams County	1985	13.800
53	Washington	001	Adams County	1990	13.610
53	Washington	001	Adams County	1995	15.150
53	Washington	001	Adams County	2000	16.430
53	Washington	001	Adams County	2005	16.803
53	Washington	001	Adams County	2010	18.728
53	Washington	001	Adams County	2015	19.254
53	Washington	003	Asotin County	1985	17.000
53	Washington	003	Asotin County	1990	17.600
53	Washington	003	Asotin County	1995	20.250
53	Washington	003	Asotin County	2000	20.550
53	Washington	003	Asotin County	2005	21.178
53	Washington	003	Asotin County	2010	21.623
53	Washington	003	Asotin County	2015	22.105
53	Washington	005	Benton County	1985	105.200
53	Washington	005	Benton County	1990	112.560
53	Washington	005	Benton County	1995	133.070
53	Washington	005	Benton County	2000	142.480
53	Washington	005	Benton County	2005	157.950
53	Washington	005	Benton County	2010	175.177
53	Washington	005	Benton County	2015	190.309
53	Washington	007	Chelan County	1985	48.500
53	Washington	007	Chelan County	1990	52.250
53	Washington	007	Chelan County	1995	57.850
53	Washington	007	Chelan County	2000	66.620
53	Washington	007	Chelan County	2005	69.791
53	Washington	007	Chelan County	2010	72.453
53	Washington	007	Chelan County	2015	75.644
53	Washington	009	Clallam County	1985	52.600
53	Washington	009	Clallam County	1990	56.470
53	Washington	009	Clallam County	1995	62.500
53	Washington	009	Clallam County	2000	64.530
53	Washington	009	Clallam County	2005	69.689
53	Washington	009	Clallam County	2010	71.404
53	Washington	009	Clallam County	2015	73.486
53	Washington	011	Clark County	1985	203.400
53	Washington	011	Clark County	1990	238.060
53	Washington	011	Clark County	1995	292.270
53	Washington	011	Clark County	2000	345.240
53	Washington	011	Clark County	2005	403.766
53	Washington	011	Clark County	2010	425.363
53	Washington	011	Clark County	2015	459.495
53	Washington	013	Columbia County	1985	4.100
53	Washington	013	Columbia County	1990	4.030
53	Washington	013	Columbia County	1995	4.220
53	Washington	013	Columbia County	2000	4.060
53	Washington	013	Columbia County	2005	4.129
53	Washington	013	Columbia County	2010	4.078
53	Washington	013	Columbia County	2015	3.944
53	Washington	015	Cowlitz County	1985	79.600
53	Washington	015	Cowlitz County	1990	82.110
53	Washington	015	Cowlitz County	1995	88.900
53	Washington	015	Cowlitz County	2000	92.950
53	Washington	015	Cowlitz County	2005	97.325
53	Washington	015	Cowlitz County	2010	102.410
53	Washington	015	Cowlitz County	2015	103.468
53	Washington	017	Douglas County	1985	22.900
53	Washington	017	Douglas County	1990	26.210
53	Washington	017	Douglas County	1995	31.050
53	Washington	017	Douglas County	2000	32.600
