#
# File created on 2019-05-18 23:23:55 EDT
# Refresh Date: 2018-06
#
# U.S. Geological Survey
#
# This file contains selected WaterUse data 
#
# The data you have secured from the USGS NWISWeb database may include data that have 
# not received Director's approval and as such are provisional and subject to revision. 
# The data are released on the condition that neither the USGS nor the United States 
# Government may be held liable for any damages resulting from its authorized or 
# unauthorized use.
#
#  * References to sources of water-use data can be found here. - https://water.usgs.gov/watuse
#
#  Search Criteria:
#  Year(s)          - ALL
#  Area             - County
#  County Codes(s)  - ALL
#  County Name(s)   - --ALL Counties--
#  Category Code(s) - TP
#  Category Name(s) - Total Population
#
#  Columns:
#  state_cd    - State Code
#  state_name  - State Name
#  county_cd   - County Code
#  county_nm   - County Name
#  year        - Year
#
#  The following categories are included: 
#  Total Population total population of area, in thousands 
#
state_cd	state_name	county_cd	county_nm	year	Total Population total population of area, in thousands
2s	40s	3s	40s	4s	16s
55	Wisconsin	001	Adams County	1985	14.660
55	Wisconsin	001	Adams County	1990	15.680
55	Wisconsin	001	Adams County	1995	16.770
55	Wisconsin	001	Adams County	2000	18.640
55	Wisconsin	001	Adams County	2005	20.828
55	Wisconsin	001	Adams County	2010	20.875
55	Wisconsin	001	Adams County	2015	20.148
55	Wisconsin	003	Ashland County	1985	16.780
55	Wisconsin	003	Ashland County	1990	16.310
55	Wisconsin	003	Ashland County	1995	16.610
55	Wisconsin	003	Ashland County	2000	16.870
55	Wisconsin	003	Ashland County	2005	16.627
55	Wisconsin	003	Ashland County	2010	16.157
55	Wisconsin	003	Ashland County	2015	15.843
55	Wisconsin	005	Barron County	1985	41.040
55	Wisconsin	005	Barron County	1990	40.750
55	Wisconsin	005	Barron County	1995	41.770
55	Wisconsin	005	Barron County	2000	44.960
55	Wisconsin	005	Barron County	2005	45.834
55	Wisconsin	005	Barron County	2010	45.870
55	Wisconsin	005	Barron County	2015	45.563
55	Wisconsin	007	Bayfield County	1985	13.910
55	Wisconsin	007	Bayfield County	1990	14.010
55	Wisconsin	007	Bayfield County	1995	14.300
55	Wisconsin	007	Bayfield County	2000	15.010
55	Wisconsin	007	Bayfield County	2005	15.145
55	Wisconsin	007	Bayfield County	2010	15.014
55	Wisconsin	007	Bayfield County	2015	14.977
55	Wisconsin	009	Brown County	1985	185.260
55	Wisconsin	009	Brown County	1990	194.590
55	Wisconsin	009	Brown County	1995	209.080
55	Wisconsin	009	Brown County	2000	226.780
55	Wisconsin	009	Brown County	2005	238.987
55	Wisconsin	009	Brown County	2010	248.007
55	Wisconsin	009	Brown County	2015	258.718
55	Wisconsin	011	Buffalo County	1985	14.260
55	Wisconsin	011	Buffalo County	1990	13.580
55	Wisconsin	011	Buffalo County	1995	13.650
55	Wisconsin	011	Buffalo County	2000	13.800
55	Wisconsin	011	Buffalo County	2005	13.968
55	Wisconsin	011	Buffalo County	2010	13.587
55	Wisconsin	011	Buffalo County	2015	13.192
55	Wisconsin	013	Burnett County	1985	12.970
55	Wisconsin	013	Burnett County	1990	13.080
55	Wisconsin	013	Burnett County	1995	13.640
55	Wisconsin	013	Burnett County	2000	15.670
55	Wisconsin	013	Burnett County	2005	16.528
55	Wisconsin	013	Burnett County	2010	15.457
55	Wisconsin	013	Burnett County	2015	15.159
55	Wisconsin	015	Calumet County	1985	33.330
55	Wisconsin	015	Calumet County	1990	34.290
55	Wisconsin	015	Calumet County	1995	36.850
55	Wisconsin	015	Calumet County	2000	40.630
55	Wisconsin	015	Calumet County	2005	44.137
55	Wisconsin	015	Calumet County	2010	48.971
55	Wisconsin	015	Calumet County	2015	49.762
55	Wisconsin	017	Chippewa County	1985	53.700
