#
# File created on 2019-05-18 23:23:54 EDT
# Refresh Date: 2018-06
#
# U.S. Geological Survey
#
# This file contains selected WaterUse data 
#
# The data you have secured from the USGS NWISWeb database may include data that have 
# not received Director's approval and as such are provisional and subject to revision. 
# The data are released on the condition that neither the USGS nor the United States 
# Government may be held liable for any damages resulting from its authorized or 
# unauthorized use.
#
#  * References to sources of water-use data can be found here. - https://water.usgs.gov/watuse
#
#  Search Criteria:
#  Year(s)          - ALL
#  Area             - County
#  County Codes(s)  - ALL
#  County Name(s)   - --ALL Counties--
#  Category Code(s) - TP
#  Category Name(s) - Total Population
#
#  Columns:
#  state_cd    - State Code
#  state_name  - State Name
#  county_cd   - County Code
#  county_nm   - County Name
#  year        - Year
#
#  The following categories are included: 
#  Total Population total population of area, in thousands 
#
state_cd	state_name	county_cd	county_nm	year	Total Population total population of area, in thousands
2s	40s	3s	40s	4s	16s
54	West Virginia	001	Barbour County	1985	16.700
54	West Virginia	001	Barbour County	1990	15.700
54	West Virginia	001	Barbour County	1995	16.230
54	West Virginia	001	Barbour County	2000	15.560
54	West Virginia	001	Barbour County	2005	15.689
54	West Virginia	001	Barbour County	2010	16.589
54	West Virginia	001	Barbour County	2015	16.704
54	West Virginia	003	Berkeley County	1985	50.500
54	West Virginia	003	Berkeley County	1990	59.250
54	West Virginia	003	Berkeley County	1995	66.570
54	West Virginia	003	Berkeley County	2000	75.910
54	West Virginia	003	Berkeley County	2005	93.394
54	West Virginia	003	Berkeley County	2010	104.169
54	West Virginia	003	Berkeley County	2015	111.901
54	West Virginia	005	Boone County	1985	30.100
54	West Virginia	005	Boone County	1990	25.870
54	West Virginia	005	Boone County	1995	26.290
54	West Virginia	005	Boone County	2000	25.540
54	West Virginia	005	Boone County	2005	25.703
54	West Virginia	005	Boone County	2010	24.629
54	West Virginia	005	Boone County	2015	23.372
54	West Virginia	007	Braxton County	1985	14.800
54	West Virginia	007	Braxton County	1990	13.000
